"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"activityFeed/purchase_unit";"{player} has purchased a {unitName} of rank {rank} ({country}).";"{player} a acheté {unitName} de {rank} rang ({country}).";"{player} ha acquistato {unitName} dell'era {rank} ({country}).";"{player} erwarb {unitName} des Rangs {rank} ({country}).";"{player} ha comprado {unitName} de rango {rank} ({country}).";"{player} приобрёл {unitName}, {rank} ранга ({country}).";"{player} kupił {unitName} z {rank} ery ({country}).";"{player} koupil {unitName} {rank}. úrovně ({country})";"{player} seviye {rank} olan {unitName} satın aldı ({country}).";"{player} 已\t购\t入 {country} 的 {rank} 级\t载\t具 {unitName}。";"{player}は、\t{country}の{unitName}を\t購入しました（ランク{rank}）。";"{player} adquiriu {unitName} da patente {rank} ({country}).";"{player} здобув {unitName} {rank} рангу ({country}).";"{player} je kupio {unitName} ranga {rank} ({country}).";"{player} megvásárolta a(z) {unitName} {rank}. rangú járművet ({country}).";"{player} 이(가) {country}의 {rank}랭크 장비인 {unitName} 을(를) 구입했습니다.";"{player} купіў {unitName} {rank} рангу ({country}).";"{player} a achiziționat {unitName} de rang {rank} ({country}).";"{player} 已\t購\t入\t{country} 的 {rank} 階\t載\t具 {unitName}";"{player} 已\t购\t入\t{country}\t的 {rank} 级\t载\t具 {unitName}";"{player} đã mua {unitName} thuộc cấp độ {rank} ({country}).";"don't translate content of {}";
"activityFeed/purchase_unit/condensed";"{player} has purchased {count} vehicles.";"{player} a acheté {count} véhicules.";"{player} ha acquistato {count} unità.";"{player} hat {count} unterschiedliche Fahrzeuge erworben.";"{player} ha comprado {count} vehículos.";"{player} приобрёл {count} единиц техники.";"{player} kupił {count} jednostek tego typu.";"{player} koupil {count} strojů";"{player} {count} tane araç satın aldı.";"{player} 已\t购\t买\t了 {count} 台\t载\t具。";"{player}は{count}つの\tユニットを\t購入しています。";"{player} adquiriu {count} unidades de veículos.";"{player} придбав {count} одиниць техніки.";"{player} je kupio {count} jedinica vozila.";"{player} megvásárolt {count} járművet.";"{player} 이(가) {count}대의 장비를 구입했습니다.";"{player} купіў {count} адзінак тэхнікі.";"{player} a achiziționat {count} vehicule.";"{player} 已\t經\t購\t買 {count} 台\t載\t具";"{player} 已\t购\t买\t了 {count} 台\t载\t具";"{player} đã mua {count} phương tiện.";"don't translate content of {}";
"activityFeed/win_session";"{player} has won a battle.";"{player} a remporté une bataille";"{player} ha vinto la battaglia.";"{player} hat eine Schlacht gewonnen";"{player}  ha ganado una batalla.";"{player} выиграл битву";"{player} zwyciężył";"{player} vyhrál bitvu";"{player} bir savaşı kazandı";"{player} 取\t得\t了\t一\t场\t胜\t利。";"{player}は\t戦闘に\t勝利しました。";"{player} ganhou uma batalha";"{player} виграв битву";"{player} je pobedio u bici";"{player} győzelmet aratott egy csatában.";"{player} 이(가) 전투에서 승리했습니다!";"{player} выйграў бітву";"{player} a câștigat o bătălie";"{player} 獲\t得\t勝\t利";"{player} 获\t胜\t一\t场";"{player} đã thắng 1 trận chiến";"don't translate content of {}";
"activityFeed/win_session/condensed";"{player} has won {count} battles.";"{player} a remporté {count} batailles ";"{player} ha vinto {count} battaglie.";"{player} hat {count} Schlachten gewonnen";"{player} ha ganado {count} batallas.";"{player} выиграл {count} битв.";"{player} zwyciężył {count} razy";"{player} vyhrál {count} bitev";"{player} {count} tane savaş kazandı.";"{player} 取\t得\t了 {count} 场\t胜\t利。";"{player}は{count}回の\t戦闘に\t勝利しました。";"{player} ganhou {count} batalhas";"{player} виграв {count} битв";"{player} je pobedio u {count} bitaka";"{player} győzelmet aratott {count} csatában.";"{player} 이(가) {count}회의 전투에서 승리했습니다!";"{player} перамог у {count} баях.";"{player} a câștigat {count} bătălii";"{player} 已\t獲\t得 {count} 場\t勝\t利";"{player} 已\t获\t胜 {count} 场";"{player} đã thắng {count} trận chiến";"don't translate content of {}";
"activityFeed/win_session_after_update";"{player} won the first battle in update {version}";"{player} a gagné la première bataille dans la mise à jour {version}";"{player} ha vinto la prima battaglia nell'aggiornamento {version}";"{player} gewann die erste Schlacht in Update {version}";"{player} ha ganado la primera batalla en la actualización {version}";"{player} одержал первую победу в обновлении {version}";"{player} wygrał pierwszą bitwę po aktualizacji {version}";"{player} vyhrál první bitvu v aktualizaci {version}";"{player} {version} güncellemesinde ilk savaşını kazandı";"{player} 已\t在 {version} 版\t本\t中\t取\t得\t了\t一\t场\t胜\t利。";"{player} は\tアップデート{version} にて\t戦闘\t1回目の\t勝利を\t収めました。";"{player} venceu a primeira batalha na atualização {version}";"{player} здобув першу перемогу в оновленні {version}";"{player} pobeđuje u prvoj bici apdejta {version}";"{player} megszerezte első győzelmét a(z) {version} verziószámú frissítésben.";"플레이어 {player} 이 업데이트 {version} 에서 첫 승리를 달성했습니다!";"{player} упершыню перамог у абнаўленні {version}";"{player} a câștigat prima bătălie în versiunea {version}";"{player} 在 {version}\t更\t新\t後\t贏\t得\t了\t第\t一\t場\t戰\t鬥\t勝\t利";"{player} 在 {version}\t更\t新\t后\t贏\t得\t了\t第\t一\t場\t战\t斗\t的\t胜\t利";"{player} đã chiến thắng trận đầu tiên ở bản cập nhật {version}";"don't translate content of {}";
"activityFeed/win_session_after_update/condensed";"{player} won {count} battles in update {version}";"{player} a gagné {count} batailles dans la mise à jour {version}";"{player} ha vinto {count} battaglie nell'aggiornamento {version}";"{player} siegte in {count} Schlachten im Verlauf des Updates {version}";"{player} ha ganado {count} batallas en la actualización {version}";"{player} одержал {count} побед в обновлении {version}";"{player} wygrał {count} bitew po aktualizacji {version}";"{player} vyhrál {count} bitev v aktualizaci update {version}";"{player} {version} güncellemesinde {count} tane savaş kazandı";"{player} 已\t在 {version} 版\t本\t中\t取\t得\t了 {count} 场\t胜\t利。";"{player} は\tアップデート{version} にて{count} 回目の\t戦闘勝利を\t収めました。";"{player} venceu {count} batalhas na atualização {version}";"{player} виграв {count} битв в оновленні {version}";"{player} je pobedio u {count} bitaka apdejta {version}";"{player} megnyert {count} csatát a(z) {version} verziószámú frissítésben.";"플레이어 {player} 이 업데이트 {version} 에서 {count} 회 승리를 달성했습니다.";"{player} перамог {count} разоў у абнаўленні {version}";"{player} a câștigat {count} bătălii în versiunea {version}";"{player} 在 {version}\t更\t新\t後\t贏\t得 {count} 場\t戰\t鬥\t勝\t利";"{player} 在 {version}\t更\t新\t后\t赢\t得\t了 {count} 场\t战\t斗\t的\t胜\t率";"{player} đã chiến thắng {count} trận trong phiên bản {version}";"don't translate content of {}";
"activityFeed/major_update";"War Thunder update {version} is live!";"La mise à jour {version} de War Thunder est en ligne!";"War Thunder, aggiornamento {version} rilasciato!";"War Thunder Update {version} veröffentlicht!";"¡La actualización {version} de War Thunder ya está disponible!";"Вышло обновление War Thunder {version}!";"Dostępna aktualizacja War Thunder {version}!";"Aktualizace War Thunderu {version} je vydaná";"War Thunder {version} güncellemesi yayınlandı!";"War Thunder {version} 版\t本\t已\t上\t线！";"『War Thunder』\tアップデート {version} は\t公開中です！";"A atualização do War Thunder {version} está disponível!";"Оновлення War Thunder {version} актуальне!";"Ažuriranje {version} War Thunder-a je u lajvu!";"Megjelent a War Thunder {version} verziószámú frissítése!";"워 썬더 {version} 업데이트가 드디어 출시되었습니다!";"Выйшла абнаўленне War Thunder {version}!";"Actualizarea War Thunder {versiunea} este disponibilă!";"戰\t爭\t雷\t霆 {version} 更\t新\t已\t經\t上\t線！";"战\t争\t雷\t霆 {version} 更\t新\t完\t成！";"War Thunder phiên bản {version} đã được cập nhật";"don't translate content of {}";
"activityFeed/major_update/condensed";"War Thunder update {version} is live!";"La mise à jour {version} de War Thunder est en ligne!";"War Thunder, aggiornamento {version} rilasciato!";"War Thunder Update {version} veröffentlicht!";"¡La actualización {version} de War Thunder ya está disponible!";"Вышло обновление War Thunder {version}!";"Dostępna aktualizacja War Thunder {version}!";"Aktualizace War Thunderu {version} je vydaná";"War Thunder {version} güncellemesi yayınlandı!";"War Thunder {version} 版\t本\t已\t上\t线！";"『War Thunder』\tアップデート {version} は\t公開中です！";"A atualização do War Thunder {version} está disponível!";"Оновлення War Thunder {version} актуальне!";"Ažuriranje {version} War Thunder-a je u lajvu!";"Megjelent a War Thunder {version} verziószámú frissítése!";"워 썬더 {version} 업데이트가 드디어 출시되었습니다!";"Выйшла абнаўленне War Thunder {version}!";"Actualizarea War Thunder {versiunea} este disponibilă!";"戰\t爭\t雷\t霆 {version} 更\t新\t已\t經\t上\t線！";"战\t争\t雷\t霆 {version} 更\t新\t完\t成！";"War Thunder phiên bản {version} đã được cập nhật. ";"don't translate content of {}";
"activityFeed/clan_duel_reward";"{player} has earned {gold} Golden Eagles and is in {place} place among other squadron members.";"{player} a gagné {gold} et se positionne en rang {place} parmi les autres membres de l'escadron";"{player} ha guadagnato {gold} Aquile Dorate ed è al {place} posto tra i membri della squadriglia.";"{player} hat {gold} Golden Eagles verdient und ist auf Platz {place} unter den übrigen Mitgliedern der Kampfgruppe";"{player} ha ganado {gold} Águilas de Oro y ocupa el {place} entre los demás miembros del escuadrón.";"{player} заработал {gold} Золотых орлов и занимает {place} место среди своих однополчан";"{player} zdobył {gold}¤ orłów oraz zajmuje {place} miejsce na tle reszty członków dywizjonu";"{player} získal {gold} GE a je na {place} místě mezi ostatními hráči svazu";"{player} {gold} Altın Kartal kazandı ve filonun diğer üyeleri arasında {place}. sırada.";"{player} 获\t得\t了 {gold} 金\t鹰，\t目\t前\t在\t联\t队\t中\t排\t名\t第 {place} 名。";"{player}は{gold}イーグルを\t獲得し{place}分隊\tメンバーに\t分配される。";"{player} ganhou {gold} Golden Eagles e está no {place} lugar entre os membros do esquadrão";"{player} заробив {gold} Золотих орлів та займає {place} місце серед гравців полку";"{player} je zaradio {gold}¤ i na {place} je mestu među ostalim članovima eskadrile";"{player} a századában elért {place}. helyezésért {gold} Arany Sas jutalomban részesültél.";"{player} 이(가) 같은 비행대원 중 {place}위를 기록하여 {gold}¤ 를 획득했습니다!";"{player} зарабіў {gold} Залатых арлоў і займае {place} месца сярод сваіх аднапалчан";"{player} a câștigat {gold} vulturi și este pe locul {loc} a membrilor companiei";"{player} 獲\t得\t了 {gold} 金\t鷹\t幣，\t目\t前\t在\t聯\t隊\t中\t排\t名\t第 {place}";"{player} 获\t得\t了 {gold} 金\t鹰，\t目\t前\t在\t联\t队\t中\t排\t名\t第 {place}";"{player} nhận được {gold} Golden Eagles và đạt vị trí {place} trong số các thành viên khác của quân đoàn.";"don't translate content of {}";
"activityFeed/researched_unit";"{player} has researched the {unitName} of rank {rank} ({country}).";"{player} a recherché {unitName} de {rank} rang ({country}).";"{player} ha ricercato {unitName} di era {rank} ({country}).";"{player} hat {unitName} des Rangs {rank} ({country}) erforscht.";"{player} ha investigado {unitName} de rango {rank} ({country}).";"{player} изучил {unitName}, {rank} ранга ({country}).";"{player} odkrył {unitName} z {rank} ery ({country}).";"{player} vyzkoumal {unitName} {rank}. úrovně ({country})";"{player} seviye {rank} {unitName}({country}) araştırmasını tamamladı.";"{player} 已\t成\t功\t研\t发\t出 {country} 的 {rank} 级\t载\t具 {unitName}。";"{player}は\tランク{rank}の{unitName}({country})を\t開発しました。";"{player} pesquisou {unitName} do nível {rank} ({country}).";"{player} дослідив {unitName} {rank} рангу ({country}).";"{player} je otkučao {unitName} {rank} era ({country}).";"{player} kifejlesztette a(z) {unitName} {rank}. rangú járművet ({country}).";"{player} 이(가) {country} {rank}랭크 {unitName}을(를) 연구완료했습니다.";"{player} даследаваў {unitName} {rank} рангу ({country}).";"{player} a cercetat {unitName} de rang {rank} ({country}).";"{player} 已\t成\t功\t研\t發\t出\t{country} 的 {rank} 階\t載\t具 {unitName}。";"{player} 已\t成\t功\t研\t发\t出\t{country}\t的 {rank} 级\t载\t具 {unitName}。";"{player} đã nghiên cứu {unitName} cấp độ {rank} quốc gia ({country}).";"don't translate content of {}";
