"<ID|readonly|noverify>";"<Russian>";"<English>";"<Comments>";"<max_chars>"
"userlog/open_trophy";"Вы получили <color=@userlogColoredText>{trophy}</color> ({reward})";"You got a <color=@userlogColoredText>{trophy}</color> ({reward})";;
"crewSkillParameter/distanceEstimation";"Дистанция, на которой ошибка достигает {errorText}";"Distance with estimation error {errorText}";;
"mainmenu/btnSound";"Параметры звука";"Sound Options";;
"hotkeys/ID_AIRCRAFT_CONTROL_HEADER";"Управление самолётом";"Movement controls";;
"worldWar/iconWorldWar";"╫";"╫";;
"options/antialiasing_ssaa4x";"SSAA 4X";"SSAA 4X";;
"options/ugc_allowed_tags_preset";"Отображение контента в бою";"Show content in the battle";;
"guiHints/ugc_allowed_tags_preset";"Разрешённые типы контента (декалей, камуфляжей, декораторов), показываемого на технике других игроков в бою.";"Allowed types of content (decals, camouflages, attachables) shown on other player vehicles in the battle.";;
"ugc/tag/historical";"Исторический";"Historical";;
"ugc/tag/semihistorical";"Полуисторический";"Semihistorical";;
"ugc/tag/fictional";"Вымышленный";"Fictional";;
"ugc/tag/any";"Любой";"Any";;
"ugc/tag/thunderleague";"Лига Грома";"Thunder League";;
"ugc/tag/usergenerated";"Пользовательский";"User-generated";;
"fire_in_tank";"Пожар!";"On fire!";;
"shop/recharge";"Золото";"Gold";;
"TRIM_AILERON_POSITION_HAS_BEEN_RESTORED";"Позиция триммеров элеронов восстановлена";"Aileron trim position has been restored";;
"TRIM_RUDDER_POSITION_HAS_BEEN_RESTORED";"Позиция триммеров руля направления восстановлена";"Rudder trim position has been restored";;
"TRIM_ELEVATOR_POSITION_HAS_BEEN_RESTORED";"Позиция триммеров руля высоты восстановлена";"Elevator trim position has been restored";;
"chat/tooltip";;;;
"chat/help/squad";"Tab - команде/отряду/всем, Enter - отправить";"Tab - Team/Squad/All, Enter - send";;
"chat/help/squad/gamepad_specific";"Нажмите кнопку LT для вызова экранной клавиатуры.";"Press the LT button for turning the on-screen keyboard on.";;
"chat/help/short";"Tab - команде/всем, Enter - отправить";"Tab - Team/All, Enter - send";;
"chat/help/short/gamepad_specific";"Нажмите кнопку LT для вызова экранной клавиатуры.";"Press the LT button for turning the on-screen keyboard on.";;
"msgbox/optionWillBeChanged/decorator";"При нажатии кнопки «Отмена», декораторы, не соответствующие опции {oldValue}, будут удалены с техники";"When click ""Cancel"" button, decorators that do not match {oldValue} option will be removed from vehicle.";;
"armor_class/no_armoring/aircraft";"На данном самолёте отсутствует бронирование.";"There is no armor protection on this aircraft.";;
"armor_class/no_armoring/tank";"На данном танке отсутствует бронирование.";"There is no armor protection on this tank.";;
"xbox/gamemode/crossPlayRequired";"⋭ - требуется подключённый Cross-Network Play.";"⋭ - Enabled Cross-Network Play required.";;
"default_ugc_skin_loc";;;;
"default_ugc_skin_loc/desc";;;;
"controls/help/missile_guidance";"Наведение управляемых ракет";"Missile Guidance";;
"controls/help/missile_guidance/lock_target";"Захватите цель.";"Lock the target.";;
"controls/help/missile_guidance/hold_target";"Начните сопровождать цель.";"Start tracking the target.";;
"controls/help/missile_guidance/launch_missile";"Выпустите управляемую ракету.";"Launch the guided missile.";;
"controls/help/missile_guidance/hold_target_until_hit";"Продолжайте сопровождать цель до попадания ракеты.";"Continue tracking the target until the missile hits.";;
"hotkeys/ID_FORWARD_HELICOPTER";"Движение вперёд";"Move forward";;
"hotkeys/ID_BACKWARD_HELICOPTER";"Движение назад";"Move backward";;
"controls/help/ship_throttle_hud";"Скорость корабля
Курс в градусах
Режим работы главного двигателя
Запас плавучести; когда достигает нуля, корабль тонет";"Ship speed
Course in degrees
The mode of operation of the main engine
Buoyancy";;
"controls/help/ship_torpedo_hud";"Количество торпед в торпедном аппарате
Время перезарядки торпеды";"The number of torpedoes in the torpedo tube
Recharge torpedoes time";;
"controls/help/ship_rocket_hud";"Количество бомб
Количество ракет
Время перезарядки";"The number of bomb
The number of rocket
Recharge time";;
"controls/help/ship_binoculars_info";"Бинокль. Позволяет стрелять точнее";"Binoculars. Allows you to shoot more accurately";;
"controls/help/ship_main_weapon_cursor";"Курсор";"Cursor";;
"controls/help/ship_main_weapon_control";"Стрельба из основного орудия";"Shooting from the main gun of the ship";;
"controls/help/ship_main_weapon_markers";"Маркеры пушек следуют за курсором";"The handles of the guns follow the cursor";;
"controls/help/ship_rocket_trajectory";"Ракеты летят по параболе в место, на которое был наведен курсор";"Missiles fly in a parabola in a place that was move the cursor";;
"modification/_rocket_pack";"Ракетное вооружение";"Missiles";;
"guiHints/chooseUnitsRank";"Ранг";"Rank";;
"options/chooseUnitsRank/rank_1";"I ранг";"I rank";;
"options/chooseUnitsRank/rank_2";"II ранг";"II rank";;
"options/chooseUnitsRank/rank_3";"III ранг";"III rank";;
"options/chooseUnitsRank/rank_4";"IV ранг";"IV rank";;
"options/chooseUnitsRank/rank_5";"V ранг";"V rank";;
"options/chooseUnitsRank/rank_6";"VI ранг";"VI rank";;
"options/chooseUnitsRank/rank_7";"VII ранг";"VII rank";;
"event_rank_i";"I ранг";"rank I";;
"event_rank_ii";"II ранг";"rank II";;
"event_rank_iii";"III ранг";"rank III";;
"event_rank_iv";"IV ранг";"rank IV";;
"event_rank_v";"V ранг";"rank V";;
"shop/age/1/name";;;;
"shop/age/1/years";"I";"I";;
"shop/age/2/name";;;;
"shop/age/2/years";"II";"II";;
"shop/age/3/name";;;;
"shop/age/3/years";"III";"III";;
"shop/age/4/name";;;;
"shop/age/4/years";"IV";"IV";;
"shop/age/5/name";;;;
"shop/age/5/years";"V";"V";;
"shop/age/6/name";;;;
"shop/age/6/years";"VI";"VI";;
"shop/age/7/name";;;;
"shop/age/7/years";"VII";"VII";;
"event_dash";"-";"-";;
"event_comma";", ";", ";;
"maps/preferences/banTitle";"Исключённые и нежелательные {listName}";"Banned and disliked {listName}";;
"hotkeys/ID_FIRE_HELICOPTER";"Огонь из пушек";"Fire guns";;
"debriefing/battletasks";"Боевые задачи";"Battle Tasks";;
"engine_model/м-85";"M-85";"M-85";"SKIP_VALIDATION";
"engine_model/м-86";"M-86";"M-86";"SKIP_VALIDATION";
"title/title_сavalier_liberation";"Кавалер ордена Освобождения";"Cavalier of the Order of liberation";"SKIP_VALIDATION";
"title_сavalier_liberation/desc";;;"SKIP_VALIDATION";
"title/title_сhevalier_of_france";"Кавалер ордена Заслуг Франции";"Chevalier of the Order of merit of France";"SKIP_VALIDATION";
"title_сhevalier_of_france/desc";;;"SKIP_VALIDATION";
"worldwar/сlansInQueueTotal";"Полков в очереди: {number}";"Squadrons in the queue: {number}";"SKIP_VALIDATION";
"shop/unitCountry/tooltip";"Страна техники";"Vehicle Country";"COMMON FOR PLANES AND TANKS";
"warbond/msg/needSpendBeforeReceiving";"Максимально возможный баланс военных облигаций: {maxWarbonds}. Для получения награды необходимо потратить военные облигации.";"Maximum possible war bond balance is: {maxWarbonds}. For receive reward, need to spend war bonds.";;
"battlePass/info/rest_of_day";"Переход на новые сутки через {time}";"Transition to new day in {time}";;
"yn1/wait_time";"Время ожидания: %d:%02d";"Waiting time: %d:%02d";;
"msg/something_went_wrong";"Сервер перегружен. Повторите попытку позже!";"The server is overloaded. Please try again later!";;
