"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"//SERIOUS TIPS";;;;;;;;;;;;;;;;;;;;;;;
"loading/tip0";"You can use zoom to see the target better.";"Vous pouvez utiliser le zoom pour mieux voir la cible.";"È possibile utilizzare lo zoom per vedere meglio il bersaglio.";"Nutze beim Zielen die Zoomansicht, um dein Ziel besser erkennen zu können.";"Puede utilizar el zoom para ver mejor el objetivo.";"Вы можете использовать приближение, чтобы лучше видеть цель.";"Możesz wykorzystać przybliżenie, żeby lepiej widzieć cel.";"Ve stíhačce nič napřed letadla a až pak pozemní cíle.";"Hedefini daha iyi görebilmek için yakınlaştırmayı kullan.";"放​大​视​角​后​可​以​更​好​地​观​察​目​标。";"ズームを\t使うと、\tターゲットをより\t確認しやすくなります。";"Pode usar o zoom para ver melhor o alvo.";"Ви можете використовувати наближення щоб краще бачити ціль.";"Možeš zumirati da bi metu video bolje.";"A közelítés segítségével jobb rálátásod nyílhat a célpontra.";"확대/축소를 사용하면 목표물을 확대해서 볼 수 있습니다.";"Каб лепш бачыць цэль, карыстайцеся прыцэльнай камерай (набліжэннем).";"Poți utiliza funcția de zoom pentru a vedea ținta mai bine.";"使​用​縮​放​功​能​可​以​更​好​的​查​看​目​標";"放​大​视​角​后​可​以​更​好​地​观​察​目​标。";"Bạn có thể sử dụng phóng to để nhìn mục tiêu tốt hơn.";;
"loading/tip1";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"N'oubliez pas de visiter l’encyclopédie, elle contient de nombreuses informations intéressantes.";"Visita di frequente l'enciclopedia: contiene numerose informazioni utili.";"Kennst du schon die War Thunder Wiki unter wiki.warthunder.com? Dort findest du viele nützliche Informationen zu Fahrzeugen, Spielmechaniken und mehr und kannst auch selbst mit deinem Wissen beitragen.";"Asegúrate de visitar la enciclopedia a menudo. Contiene mucha información útil.";"Почаще заглядывайте в Энциклопедию. Там много полезной информации.";"Pamiętaj, aby często zaglądać do Encyklopedii. Zawiera ona wiele przydatnych informacji.";"Ve stíhačce nič napřed letadla a až pak pozemní cíle.";"Ansiklopediyi sürekli kontrol et, bolca faydalı bilgi içeriyor.";"多​逛​逛​“知​识​百​科”，​了​解​更​多​有​用​信​息。";"百科事典を\t確認しましょう。\t役に\t立つ\t情報が\t沢山記載されています。";"Certifique-se de visitar regularmente a Enciclopédia. Ela contém muitas informações úteis.";"Регулярно відвідуйте енциклопедію. Вона містить багато корисної інформації.";"Posećuj enciklopediju redovno. Ona sadrži mnogo korisnih informacija.";"Időnként olvasgasd az Enciklopédiát, ugyanis sok hasznos információt tartalmaz.";"그거 아시나요? 위키엔 유용한 정보가 가득 있답니다! 한 번 방문해보세요!";"Часцей заглядайце ў Энцыклапедыю. У ёй шмат карыснай інфармацыі.";"Vizitează Enciclopedia (semnul ? din dreapta-sus de pe ecran). Aceasta conține o mulțime de informații utile.";"經​常​查​看​知​識​百​科，​這​裡​有​很​多​有​用​的​資​訊";"多​了​解​载​具​的​性​能​特​点，​以​了​解​敌​我​的​强​项​与​弱​点";"Hãy đảm bảo thường xuyên ghé thăm Bách khoa toàn thư. Nó chứa rất nhiều thông tin hữu ích.";;
"loading/tip2";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"Vous pouvez utiliser le bouton de vue souris {{ID_CAMERA_NEUTRAL}} pour regarder aux alentours.";"Puoi usare la telecamera libera ({{ID_CAMERA_NEUTRAL}}) per guardarti intorno.";"Halte die Maussicht-Taste {{ID_CAMERA_NEUTRAL}} gedrückt, um dich mit Hilfe deiner Maus umschauen zu können.";"Puedes utilizar el botón de cámara del ratón {{ID_CAMERA_NEUTRAL}} para mirar alrededor.";"Вы можете использовать кнопку свободной камеры {{ID_CAMERA_NEUTRAL}}, чтобы осмотреться вокруг.";"Aby kontrolować położenie kamery za pomocą myszy, przytrzymaj {{ID_CAMERA_NEUTRAL}}.";"K rozhlížení můžeš použít tlačítko pohledu myši {{ID_CAMERA_NEUTRAL}}.";"{{ID_CAMERA_NEUTRAL}} tuşunu kullanarak farenizle etrafa bakabilirsiniz.";"可​以​使​用​自​由​视​角​键​（{{ID_CAMERA_NEUTRAL}} 键）​环​顾​四​周。";"自由視点\tボタン{{ID_CAMERA_NEUTRAL}}を\t押して\t周囲を\t見回すことができます。";"Você pode usar o botão de movimentação do mouse {{ID_CAMERA_NEUTRAL}} para olhar ao redor.";"Ви можете використати кнопку огляду мишею {{ID_CAMERA_NEUTRAL}}, щоб озирнутися навколо.";"Možete mišem gledati okolo pomoću dugmeta za kameru {{ID_CAMERA_NEUTRAL}}.";"{{ID_CAMERA_NEUTRAL}} A körülnézéshez használd a szabad kamera gombot.";"마우스 시점{{ID_CAMERA_NEUTRAL}}을 사용하면 주위를 둘러볼 수 있습니다.";"Вы можаце выкарыстоўваць кнопку свабоднай камеры {{ID_CAMERA_NEUTRAL}}, каб агледзецца вакол.";"Poți activa privirea în jur cu mouse-ul {{ID_CAMERA_NEUTRAL}}.";"你​可​以​使​用​自​由​視​角​按​鍵 ({{ID_CAMERA_NEUTRAL}}) 查​看​四​周";"可​以​使​用​自​由​视​角​键​{{ID_CAMERA_NEUTRAL}}​环​顾​四​周。";"
Bạn có thể sử dụng nút di chuyển chuột {{ID_CAMERA_NEUTRAL}} để nhìn xung quanh.";;
"loading/tip3";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"Vous pouvez envoyer des messages courts à votre équipe en utilisant le menu spécial {{ID_SHOW_VOICE_MESSAGE_LIST}}), et chaque joueur les verra dans sa propre langue";"Puoi inviare brevi messaggi alla tua squadra utilizzando il menu speciale {{ID_SHOW_VOICE_MESSAGE_LIST}}, ogni giocatore li visualizzerà nella propria lingua";"Mittels des Funkbefehlmenüs {{ID_SHOW_VOICE_MESSAGE_LIST}} kannst du kurze Funksprüche an dein Team versenden, die jeder Spieler in seiner gewählten Sprache im Spiel erhält.";"Puede enviar mensajes cortos a tu equipo mediante el menú especial {{ID_SHOW_VOICE_MESSAGE_LIST}}, y cada jugador los verá en su propio idioma";"Вы можете посылать своей команде короткие сообщения из меню {{ID_SHOW_VOICE_MESSAGE_LIST}}, и каждый игрок увидит их на своём языке.";"Wciśnij {{ID_SHOW_VOICE_MESSAGE_LIST}}, aby wyświetlić menu, z którego możesz wysyłać krótkie wiadomości do swojej drużyny, które każdy gracz będzie widział we własnym języku";"Pomocí speciální nabídky {{ID_SHOW_VOICE_MESSAGE_LIST}} můžeš svému týmu posílat krátké zprávy, které každý hráč uvidí ve svém jazyce.";"{{ID_SHOW_VOICE_MESSAGE_LIST}} özel menüyü kullanarak takımınıza kısa mesajlar gönderebilirsiniz, her oyuncu bu mesajları kendi dilince görecektir";"你​可​以​使​用​特​殊​菜​单​（{{ID_SHOW_VOICE_MESSAGE_LIST}} 键）​给​队​友​发​送​无​线​电​消​息。";"特殊\tメニュー{{ID_SHOW_VOICE_MESSAGE_LIST}}を\t使用して\t味方に\tショートメッセージを\t送信することができ、\t各\tプレイヤーは\t自分の\t言語で\tメッセージを\t見ることができます。";"Pode enviar mensagens curtas para a sua equipe usando o menu especial {{ID_SHOW_VOICE_MESSAGE_LIST}}, e cada jogador os verá em seu próprio idioma";"Ви можете надсилати своїй команді короткі повідомлення з меню {{ID_SHOW_VOICE_MESSAGE_LIST}}, і кожен гравець побачить їх на своїй мові";"Možete slati kratke poruke vašem timu koristeći specijalni meni {{ID_SHOW_VOICE_MESSAGE_LIST}} i svaki igrač će ih videti na svom sopstvenom jeziku";"{{ID_SHOW_VOICE_MESSAGE_LIST}} Rövid rádióüzeneteket küldhetsz a csapatodnak a speciális menü használatával, melyeket minden játékos a saját kliensének nyelvén kap meg.";"{{ID_SHOW_VOICE_MESSAGE_LIST}} 키를 통해 라디오 메시지를 사용하여 아군에게 짧은 메시지를 전송할 수 있으며, 모든 플레이어가 각자 설정한 언어로 볼 수 있습니다.";"Вы можаце пасылаць сваёй камандзе кароткія паведамленні з меню {{ID_SHOW_VOICE_MESSAGE_LIST}}, і кожны гулец убачыць іх на сваёй мове.";"Poți trimite mesaje scurte echipei folosind meniul special {{ID_SHOW_VOICE_MESSAGE_LIST}}. Fiecare jucător va vedea mesajul în limba sa.";"你​可​以​使​用​特​殊​菜​單​（{{ID_SHOW_VOICE_MESSAGE_LIST}} 鍵）​給​隊​友​發​送​無​線​電​消​息。";"您​可​以​通​过​特​殊​菜​单 {{ID_SHOW_VOICE_MESSAGE_LIST}} 向​您​的​队​友​发​送​简​短​消​息，​每​个​玩​家​将​以​自​己​的​语​言​看​到​这​些​消​息。";"Bạn có thể gửi tin nhắn ngắn cho đồng đội của bạn bằng cách sử dụng menu đặc biệt {{ID_SHOW_VOICE_MESSAGE_LIST}}, mọi người sẽ nhìn thấy chúng trong ngôn ngữ riêng của mình.";;
"loading/aircraft/newbie/tip0";"Don't know what to do in a stall or a spin? We have a special tutorial for this.";"Vous ne savez pas quoi faire en cas de décrochage ou de vrille ? Nous avons un tutoriel spécial pour cela.";"Non sai cosa fare in uno stallo o avvitamento ? Abbiamo uno speciale tutorial per questo.";"Bei Strömungsabriss oder Trudeln bist du hilflos? Dafür haben wir spezielle Ausbildungskurse.";"¿No sabes qué hacer en una entrada en pérdida o en una barrena? Tenemos un tutorial especial para eso.";"Трудности с выходом из штопора и сваливания? Пройдите специальный курс обучения!";"Nie wiesz, co zrobić podczas przeciągnięcia lub korkociągu? Przygotowaliśmy na ten temat specjalny samouczek.";"Než začneš bojovat proti hráčům, nauč se ovládat letadlo ve výcvikových a historických misích.";"Perdövites veya spin durumunda ne yapacağını bilmiyor musun? Bunun için özel bir eğitimimiz var.";"驾​驶​飞​机​时​不​知​道​如​何​应​对​失​速​或​尾​旋​吗？​对​此​我​们​有​专​门​的​教​程​负​责​讲​解。";"ストールや\tスピン\t対処についての\t特別な\tチュートリアルがあります。";"Não sabe o que fazer em caso de perda de sustentação(stall) ou spin? Temos um tutorial especial para isso.";"Не знаєте що робити при звалюванні чи штопорі? Ми маємо курс навчання для протидії цьому.";"Ne znaš šta da radiš kada izgubiš brzinu i padneš u kovitlac? Imamo poseban tutorijal za ovo.";"Nem tudod, mit tegyél, ha repülőgéped átesik vagy dugóhúzóba kerül? Nézz utána az Enciklopédiában.";"실속이나 스핀에 걸렸을 때 눈 앞이 캄캄해진다구요? 이 상황에 대비하기 위한 튜토리얼을 해 보시는 건 어떤가요?";"Не ведаеце, што рабіць падчас штопару і звальвання? Прайдзіце спецыяльны курс навучання!";"Nu știi ce să faci într-o stagnare sau intrare în vrie? Avem un tutorial special pentru asta.";"駕​駛​飛​機​時​不​知​道​如​何​應​對​失​速​或​尾​旋​嗎？​這​樣​做​我​們​有​專​門​的​教​程​負​責​講​解。";"请​注​意​区​分 T-34  和 T34 的​区​别。​以​免​产​生​误​会。";"Bạn không biết nên xử lý thế nào khi chết máy hoặc xoay vòng? Hãy tìm hiểu các hướng dẫn đặc biệt.";;
"loading/aircraft/tip1";"The Immelmann is an effective way to change direction in combat.";"L'Immelmann est un moyen efficace pour changer de direction en combat.";"L'Immelmann è una manovra molto efficace per cambiare direzione in un combattimento.";"Der Immelmann ist eine effektive Möglichkeit zur Richtungsänderung im Luftkampf.";"La Immelmann es una manera eficaz de cambiar de dirección en combate.";"""Иммельман"" - эффективный приём для разворота в бою.";"Zawrót Immelmanna to skuteczny sposób na zmianę kierunku lotu podczas bitwy i... zmylenie przeciwnika!";"Pozor na obranné střelce nepřátelských bombardérů a bitevníků.";"Immelmann, muharebede yön değiştirmenin etkili bir yoludur.";"在​战​斗​中​可​利​用​殷​麦​曼​回​转​迅​速​改​变​机​头​指​向。";"インメルマンターンは\tU\tターンに\t効果的な\t空戦機動の\t一つです。";"A manobra de Immelmann é uma maneira eficiente de mudar de direção em combate.";"Імельман - це досить ефективний маневр, щоб змінити напрямок руху у бою.";"Imelman manevar je efikasan način za promenu pravca kretanja u toku borbe.";"Az Immelmann-forduló hatékony módja az irányváltásnak.";"임멜만 기동은 전투 도중 방향을 바꾸는 데 효과적입니다.";"«Імельман» — эфектыўны прыём для развароту ў баі.";"Immelmann este o modalitate eficientă de a schimba direcția în luptă.";"英​麥​曼​機​動​是​改​變​機​頭​方​向​的​有​效​方​式。";"由​于​战​雷​里​的​加​成​卡​被​猜​测​具​有​使​人​运​气​变​差​的​玄​学​机​制，​因​此​被​大​家​称​为​“毒​卡”。";"Immelmann là một cách hiệu quả để thay đổi hướng trong chiến đấu.";;
"loading/aircraft/tip2";"A loop can help you get onto your opponent's tail.";"La technique, l'entrainement et l’expérience sont les clés de la victoire.";"Un loop può aiutarti a posizionarti sulla coda del tuo avversario.";"Ein Looping kann dabei helfen, dich im Luftkampf an das Heck deines Gegners zu klemmen.";"Un rizo puede ayudarte a ponerte en la cola de tu adversario.";"""Петля Нестерова"" поможет вам зайти в хвост противнику.";"Pętla pomoże ci znaleźć się na ogonie przeciwnika i posłać w jego kierunku śmiertelną serię, tylko uważaj, aby nie zakręciło Ci się w głowie!";"Ruční ovládání obranných střelců je často účinnější než nechat obranu na umělé inteligenci.";"Takla atmak bir anda düşmanınızın kuyruğuna geçmenizi sağlayabilir.";"适​时​的​内​筋​斗​机​动​可​让​你​反​咬​住​对​手​六​点。";"ループにより、\t相手の\t背後に\t回ることができます。";"Um loop pode ajudá-lo a colocar-se na cauda do seu inimigo.";"Мертва петля допоможе зайти опоненту в хвіст.";"Luping može da ti pomogne da se nađeš iza protivnika.";"Légy éber! Így is mindig lesz valami, ami elkerüli a figyelmedet.";"루프 기동으로 상대방의 후미를 잡을 수 있습니다.";"«Пятля Несцерава» дапаможа вам зайсці ў хвост супраціўніку.";"O buclă te poate ajuta să ajungi în spatele adversarului.";"適​時​的​內​筋​斗​機​動​可​讓​你​反​咬​住​對​手​六​點。";"性​感​大​嘤，​在​线​射​豹，​尽​在​战​争​雷​霆";"Một vòng nhào lộn có thể giúp đảo ngược tình thế truy đuổi tức thì.";;
"loading/aircraft/newbie/tip3";"Watch out for enemy waist gunners.";"Méfiez-vous des mitrailleurs ennemis, attaquer un bombardier en ligne droite par derrière est dangereux.";"Stai attento ai mitraglieri laterali nemici.";"Achte auf Bordschützen im Rumpf feindlicher Flugzeuge - vor allem beim Angriff auf schwere Bomber!";"Cuidado con los artilleros enemigos.";"Опасайтесь бортовых стрелков бомбардировщиков.";"Uważaj na wieżyczki strzeleckie znajdujące się na bombowcach, potrafią naprawdę zaszkodzić! ";"Ve stíhačce si udržuj výšku, rychlost, a nejlépe obojí.";"Düşman uçağının bel bölümündeki silahçılarına dikkat et.";"当​心​敌​机​的​自​卫​火​力。";"敵の\t側面銃手に\t気をつけて\t下さい。";"Cuidado com os atiradores inimigos das torres.";"Стежте за ворожими бортовими стрільцями.";"Čuvaj se neprijateljskih bočnih mitraljezaca.";"Vigyázz az ellenséges repülőgépek lövészeivel!";"적의 방어 사수를 주의하십시오.";"Сцеражыцеся бартавых стралкоў бамбардзіроўшчыкаў.";"Ferește-te de trăgătorii inamicului.";"小​心​敵​人​的​自​衛​火​力。";"当​心​敌​机​的​自​卫​火​力！​牢​记！
29​一​身​老​干​妈，​图​4​别​6​有​23。
连​山​大​肉​不​恋​战，​伊​尔​28​不​咬​尾。";"Coi chừng các xạ thủ ở eo máy bay đối phương.";;
"loading/aircraft/newbie/tip4";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Utilisez la caméra cible. {{ID_TARGET_CAMERA}}";"Usa la Visuale sul bersaglio. {{ID_TARGET_CAMERA}} ";"Halte die 'Verfolgungsansicht'-Taste {{ID_TARGET_CAMERA}} gedrückt, um mit deiner Sicht automatisch einem aufgeschalteten Ziel zu folgen.";"Utiliza la cámara de seguimiento del objetivo {{ID_TARGET_CAMERA}}.";"Используйте прицельную камеру {{ID_TARGET_CAMERA}}.";"Aby kamera śledziła zaznaczony cel, wciśnij {{ID_TARGET_CAMERA}}.";"Použij kameru cíle {{ID_TARGET_CAMERA}}.";"Hedef kamerasını kullan: {{ID_TARGET_CAMERA}}";"目​标​跟​踪​视​角​很​有​用。​按​住 {{ID_TARGET_CAMERA}} 键​便​能​切​换​至​该​视​角。";"ターゲットカメラ{{ID_TARGET_CAMERA}}を\t使用する。";"Use a Câmera de Alvo {{ID_TARGET_CAMERA}}.";"Використовуйте прицільну камеру {{ID_TARGET_CAMERA}}";"Koristite Kameru mete {{ID_TARGET_CAMERA}}.";"{{ID_TARGET_CAMERA}} Használd a célkövető kamerát.";"줌 인 하기 위해선 {{ID_TARGET_CAMERA}} 키를 누르면 됩니다.";"Выкарыстоўвайце прыцэльную камеру {{ID_TARGET_CAMERA}}.";"Utilizează camera de urmărire {{ID_TARGET_CAMERA}}.";"目​標​跟​踪​視​角​很​有​用。​按​住 {{ID_TARGET_CAMERA}} 鍵​便​能​切​換​至​該​視​角。";"使​用​目​标​摄​像​头 {{ID_TARGET_CAMERA}}。";"Hãy sử dụng Camera Mục tiêu {{ID_TARGET_CAMERA}}.";;
