"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"hotkeys/ID_HUMAN_JUMP";"Jump";"Jump";"Jump";"Jump";"Jump";"Прыжок";"Jump";"Jump";"Jump";"Jump";"Jump";"Jump";"Прыжок";"Jump";"Jump";"Jump";"Прыжок";"Jump";"Jump";"Jump";"Jump";;
"hotkeys/ID_HUMAN_SPRINT";"Fast run";"Fast run";"Fast run";"Fast run";"Fast run";"Ускоренный бег";"Fast run";"Fast run";"Fast run";"Fast run";"Fast run";"Fast run";"Ускоренный бег";"Fast run";"Fast run";"Fast run";"Ускоренный бег";"Fast run";"Fast run";"Fast run";"Fast run";;
"hotkeys/ID_HUMAN_FIRE_HEADER";"Weaponry";"Weaponry";"Weaponry";"Weaponry";"Weaponry";"Вооружение";"Weaponry";"Weaponry";"Weaponry";"Weaponry";"Weaponry";"Weaponry";"Вооружение";"Weaponry";"Weaponry";"Weaponry";"Вооружение";"Weaponry";"Weaponry";"Weaponry";"Weaponry";;
"hotkeys/ID_FIRE_HUMAN";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Стрельба из основного орудия";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Стрельба из основного орудия";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Стрельба из основного орудия";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";"Fire from the main calibre gun";;
"hotkeys/ID_FIRE_HUMAN_SECONDARY_GUN";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Стрельба из дополнительных орудий";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Стрельба из дополнительных орудий";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Стрельба из дополнительных орудий";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";"Fire from secondary guns";;
"hotkeys/ID_FIRE_HUMAN_MACHINE_GUN";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Стрельба из подствольного гранатомёта";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Стрельба из подствольного гранатомёта";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Стрельба из подствольного гранатомёта";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";"Fire from the underbarrel grenade launcher";;
"hotkeys/ID_FIRE_HUMAN_SPECIAL_GUN";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Огонь из специального оружия";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Огонь из специального оружия";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Огонь из специального оружия";"Fire from special guns";"Fire from special guns";"Fire from special guns";"Fire from special guns";;
"hotkeys/ID_SELECT_HUMAN_GUN_RESET";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Сбросить выбор орудия";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Сбросить выбор орудия";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Сбросить выбор орудия";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";"Reset weapon selection";;
"hotkeys/ID_SELECT_HUMAN_GUN_MACHINEGUN";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Выбрать пулемёт";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Выбрать пулемёт";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Выбрать пулемёт";"Select the machine gun";"Select the machine gun";"Select the machine gun";"Select the machine gun";;
"hotkeys/ID_SELECT_HUMAN_GUN_PRIMARY";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Выбрать основное орудие";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Выбрать основное орудие";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Выбрать основное орудие";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";"Select the primary weapon";;
