"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"matching/OPERATION_NOT_SUPPORTED";"Operation not supported.";"Opération non prise en charge.";"Operazione non supportata.";"Vorgang nicht unterstützt.";"Operación no admitida.";"Операция недоступна.";"Operacja nie jest obsługiwana.";"Operace není podporována";"İşlem desteklenmiyor.";"无\t法\t实\t施\t该\t操\t作。";"操作は\tサポートされていません。";"Operação não suportada.";"Операція недоступна.";"Operacija nije podržana.";"A művelet nem támogatott.";"지원되지 않는 작전입니다.";"Аперацыя недаступная.";"Operația nu este acceptată.";"無\t法\t實\t施\t該\t操\t作";"无\t法\t实\t施\t该\t操\t作。";;
"matching/SERVER_ERROR_INTERNAL";"Internal server error.";"Erreur de serveur interne.";"Errore interno del server.";"Interner Serverfehler.";"Error interno del servidor.";"Внутренняя ошибка сервера.";"Błąd wewnętrzny serwera.";"Vnitřní chyba serveru";"Dahili sunucu hatası.";"内\t部\t错\t误。";"内部\tサーバーエラー。";"Erro interno do servidor.";"Внутрішня помилка сервера.";"Interna greška.";"Belső szerverhiba.";"내부 서버 오류";"Унутраная памылка сервера.";"Eroare internă a serverului.";"內\t部\t伺\t服\t器\t錯\t誤";"内\t部\t错\t误。";;
"matching/SERVER_ERROR_PEER_NOT_EXISTS";"Player not found.";"Joueur introuvable.";"Giocatore non trovato.";"Spieler nicht gefunden.";"Jugador no encontrado.";"Игрок не найден.";"Nie znaleziono gracza.";"Hráč nenalezen";"Oyuncu bulunamadı.";"找\t不\t到\t该\t玩\t家。";"プレイヤーが\t見つかりませんでした。";"Jogador não encontrado.";"Гравець не знайдений.";"Igrač nije nađen.";"A játékos nem található.";"플레이어를 찾을 수 없습니다.";"Гулец не знойдзены.";"Jucătorul nu a fost găsit.";"沒\t有\t找\t到\t玩\t家";"找\t不\t到\t该\t玩\t家。";;
"matching/SERVER_ERROR_REQUEST_TIMEOUT";"Operation timed out.";"L'opération a expirée.";"Richiesta scaduta.";"Zeitüberschreitung des Vorgangs.";"Agotado el tiempo de la operación.";"Время ожидания ответа от сервера истекло.";"Upłynął limit czasu operacji.";"Vypršel časový limit operace";"İşlem zaman aşımına uğradı.";"操\t作\t超\t时。";"操作\tタイムアウト。";"Operação expirada.";"Час очікування відповіді від сервера закінчився.";"Operacija je istekla.";"A művelet időtúllépés miatt megszakadt.";"작업 시간 초과";"Час чакання адказу ад сервера скончыўся.";"Operația a expirat.";"操\t作\t超\t時";"操\t作\t超\t时。";;
"matching/SERVER_ERROR_PEER_LOGOUT";"Connection to the player was lost.";"Le joueur s'est déconnecté pendant l'exécution de la demande.";"Il giocatore si è disconnesso durante la richiesta.";"Der Spieler hat sich während der Anfrage ausgeloggt.";"El jugador salió de la sesión durante la ejecución de la solicitud.";"Игрок вышел из сети во время выполнения запроса.";"Gracz wylogował się w trakcie żądania operacji.";"Hráč byl odhlášen během zadávání požadavku";"Oyuncu oyun isteği sırasında çıkış yaptı.";"该\t玩\t家\t已\t登\t出。";"リクエスト\t実施中に\tプレイヤーが\tログアウトしました。";"Jogador desconectado durante a realização do pedido.";"Під час виконання запиту гравець вийшов з мережі.";"Igrač se odjavio u toku slanja zahteva.";"A játékos kijelentkezett a kérés teljesítése közben.";"요청을 수행 중 플레이어가 접속을 종료하였습니다.";"Гулец выйшаў з сеткі падчас выканання запыту.";"Jucătorul s-a deconectat în timpul solicitării cererii.";"玩\t家\t已\t經\t登\t出";"该\t玩\t家\t已\t登\t出。";;
"matching/SERVER_ERROR_PROTOCOL_MISMATCH";"A new update is available! Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte aktualisiere das Spiel über den Launcher.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"K dispozici je nová aktualizace, aktualizuj hru pomocí Launcheru";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"有\t更\t新\t可\t用，\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"Nova atualização está disponível. Por favor atualize o jogo via launcher.";"Доступне нове оновлення. Оновіть гру за допомогою лончера.";"Novo ažuriranje je dostupno. Molimo vas ažurirajte igru pomoću pokretača igre.";"Új frissítés elérhető. Kérlek, frissítsd a játékot az indítópulton keresztül.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"Абнаўленне даступнае. Скарыстайце лаўнчар, каб яго спампаваць.";"Este disponibilă o nouă actualizare. Actualizează jocul prin intermediul lansatorului.";"有\t新\t的\t更\t新\t項\t目，\t請\t透\t過\t啟\t動\t器\t更\t新\t遊\t戲";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";;
"matching/SERVER_ERROR_INVALID_VERSION";"A new update is available! Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte aktualisiere das Spiel über den Launcher.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"K dispozici je nová aktualizace, aktualizuj hru pomocí Launcheru";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"有\t更\t新\t可\t用，\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"Nova atualização está disponível. Por favor atualize o jogo via launcher.";"Доступне нове оновлення. Оновіть гру за допомогою лончера.";"Novo ažuriranje je dostupno. Molimo vas ažurirajte igru preko launchera.";"Új frissítés elérhető. Kérlek, frissítsd a játékot az indítópulton keresztül.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"Абнаўленне даступнае. Скарыстайце лаўнчар, каб яго спампаваць.";"Este disponibilă o nouă actualizare. Actualizează jocul prin intermediul lansatorului.";"有\t新\t的\t更\t新\t項\t目，\t請\t透\t過\t啟\t動\t器\t更\t新\t遊\t戲";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";;
"matching/SERVER_ERROR_PEER_AUTH_FAILED";"Account authorization failed.";"Le jeu n'a pas été activé pour votre compte.";"Il gioco non è stato attivato per il tuo account.";"Das Spiel wurde für dein Konto nicht aktiviert.";"El juego no ha sido activado para su cuenta.";"Игра не активирована для вашей учётной записи.";"Gra nie została aktywowana dla Twojego konta.";"Hra není pro tvůj účet aktivována";"Oyun hesabınız henüz aktif değil.";"账\t户\t未\t获\t得\t当\t前\t游\t戏\t版\t本\t测\t试\t资\t格。";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"Jogo não foi ativado para sua conta";"Гра не активована для вашого облікового запису.";"Igra nije aktivirana za vaš nalog.";"A játék nincs aktiválva a fiókodhoz.";"이 계정으로는 접속할 수 없습니다.";"Гульня не актывавана для вашага акаўнту.";"Jocul nu a fost activat pentru contul tău.";"此\t帳\t號\t尚\t未\t激\t活";"账\t户\t未\t激\t活。";;
"matching/SERVER_ERROR_MAINTENANCE";"Server Maintenance - we are currently in the process of introducing various updates and improvements, this should not take too long - you can keep up to date on the status of the server on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está bajo mantenimiento. Por favor vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем её лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na warthunder.com/pl.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Lütfen resmi forumdan sunucu çalışma saatlerini kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Por favor consulte a programação de manunteção do servidor no fórum oficial";"Сервер знаходиться на техобслуговуванні. Ми оновлюємо гру та робимо її кращою. Будь ласка, перевірте статус сервера на офіційному сервері warthunder.com.";"Server je pod održavanjem. Ažuriramo igru i činimo je boljom. Molimo pogledajte raspored održavanja servera na zvaničnom forumu.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 더 나은 게임을 위해 작업 중이니 잠시만 기다려 주세요. warthunder.com에서 서버 상태를 확인하실 수 있습니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verifică starea serverului pe warthunder.com.";"伺\t服\t器\t維\t護\t中，\t我\t們\t正\t在\t更\t新\t遊\t戲\t並 讓\t它\t變\t得\t更\t好，\t請\t在 warthunder.com 上\t查\t看\t伺\t服\t器\t狀\t態";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";;
"matching/SERVER_ERROR_ACCESS_DENIED";"Account authorization failed.";"Le jeu n'a pas été activé pour votre compte.";"Il gioco non è stato attivato per il tuo account.";"Das Spiel wurde nicht für dein Konto aktiviert.";"El juego no ha sido activado para su cuenta.";"Игра не активирована для вашей учётной записи.";"Gra nie została aktywowana dla Twojego konta.";"Hra není pro tvůj účet aktivována";"Oyun hesabınız henüz aktif değil.";"账\t户\t未\t获\t得\t当\t前\t游\t戏\t版\t本\t测\t试\t资\t格。";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"Jogo não foi ativado para sua conta";"Гра не активована для вашого облікового запису.";"Igra nije aktivirana za vaš nalog.";"A játék nincs aktiválva a fiókodhoz.";"이 계정으로는 접속할 수 없습니다.";"Гульня не актывавана для вашага акаўнту.";"Jocul nu a fost activat pentru acest contul.";"此\t帳\t號\t尚\t未\t激\t活";"账\t户\t未\t激\t活。";;
