"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"demo";"Demo version";"Version démo";"Versione di prova";"Demo-Version";"Versión demo";"Демоверсия";"Wersja demo";"Demoverze";"Demo sürümü";"体​验​版";"デモ\t版";"Versão Demo";"Демоверсія";"Demo verzija";"Demóverzió";"데모 버전";"Дэмаверсія";"Versiune demo";"展​示​版​本";"演​示​版";"Phiên bản thử nghiệm";;
"mainmenu/btnExit";"Exit";"Quitter";"Esci";"Verlassen";"Salir";"Выход";"Wyjdź";"Konec";"Çıkış";"退​出​游​戏";"終了";"Sair";"Вихід";"Izlaz";"Kilépés";"나가기";"Выхад";"Ieșire";"退​出​遊​戲";"退​出​游​戏";"Thoát";;
"mainmenu/btnOptions";"Options";"Options";"Opzioni";"Einstellungen";"Opciones";"Настройки";"Opcje";"Možnosti";"Seçenekler";"游​戏​选​项";"オプション";"Opções";"Налаштування";"Opcije";"Beállítások";"설정";"Налады";"Opțiuni";"設​定";"游​戏​选​项";"Tùy chỉnh";;
"mainmenu/btnCredits";"Credits";"Crédits";"Riconoscimenti";"Mitwirkende";"Créditos";"Титры";"Twórcy gry";"Autoři";"Emeği Geçenler";"制​作​团​队";"クレジット";"Créditos";"Титри";"Zasluge";"Készítők";"제작진";"Стваральнікі гульні";"Acreditări";"製​作​團​隊";"制​作​团​队";"Giới Thiệu";;
"multiplayer/creditsMode";"Credits";"Crédits";"Riconoscimenti";"Mitwirkende";"Créditos";"Титры";"Twórcy gry";"Autoři";"Emeği Geçenler";"制​作​团​队";"クレジット";"Créditos";"Титри";"Zasluge";"Készítők";"제작진";"Стваральнікі гульні";"Acreditări";"製​作​團​隊";"制​作​团​队";"Giới thiệu";;
"mainmenu/btnDemoCampaign";"Historical Campaign (TGS)";"Campagne historique (TGS)";"Campagna storica (TGS)";"Historischer Kampagne (TGS)";"Campaña Histórica (TGS)";"Историческая Кампания (TGS)";"Kampania historyczna (TGS)";"Historická kampaň (TGS)";"Tarihi Harekat (TGS)";"历​史​战​役​（TGS）";"ヒストリカル キャンペーン";"Campanha Histórica (TGS)";"Історична Кампанія (TGS)";"Istorijska Kampanja (TSG)";"Történelmi hadjárat (TGS)";"역사 기반 캠페인 (TGS)";"Гістарычная кампанія (TGS)";"Campanie istorică (TGS)";"歷​史​戰​役 (TGS)";"历​史​战​役​（TGS）";"Chiến dịch nâng cao (TGS)";;
"mainmenu/btnMissions";"Missions";"Missions";"Missioni";"Missionen";"Misiones";"Миссии";"Misje";"Mise";"Görevler";"任​务​模​式";"ミッション";"Missões";"Місії";"Misije";"Küldetések";"임무";"Місіі";"Misiuni";"任​務​模​式";"任​务​模​式";"Nhiệm vụ";;
"mainmenu/btnPvP";"Random Battles";"Batailles Aléatoires";"Battaglie Casuali";"Zufallsschlachten";"Batallas Aleatorias";"Случайные бои";"Bitwy losowe";"Náhodné bitvy";"Rastgele savaşlar";"多​人​游​戏";"ランダムバトル";"Batalhas aleatórias";"Випадкові бої";"Nasumične borbe";"Véletlenszerű csaták";"무작위 전투";"Выпадковыя баі";"Lupte aleatoare";"隨​機​戰​鬥";"多​人​游​戏";"Trận chiến ngẫu nhiên";;
"mainmenu/btnPvE";"Missions";"Missions";"Missioni";"Missionen";"Misiones";"Миссии";"Misje";"Mise";"Görevler";"任​务​模​式";"ミッション";"Missões";"Місії";"Misije";"Küldetések";"임무";"Місіі";"Misiuni";"任​務​模​式";"任​务​模​式";"Nhiệm vụ";;
"mainmenu/btnTournamentsAndEvents";"Events & Tournaments";"Événements & Tournois";"Eventi e Tornei";"Ereignisse & Turniere";"Eventos & Torneos";"События и Турниры";"Wydarzenia i Turnieje";"Eventy a turnaje";"Etkinlikler & Turnuvalar";"军​事​行​动​与​竞​技​场";"イベント & トーナメント";"Eventos & Torneios";"Події та турніри";"Eventi & Turniri";"Események és bajnokságok";"이벤트 & 토너먼트";"Падзеі і турніры";"Evenimente și turnee";"活​動​與​錦​標​賽";"新​玩​法：​特​别​行​动";"Sự kiện & Giải đấu";;
