"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"chat/error/item-not-found";"Player {nick} not found.";"Joueur {nick} introuvable.";"Giocatore {nick} non trovato.";"Spieler {nick} nicht gefunden.";"No se ha encontrado al jugador {nick}.";"Игрок {nick} не найден.";"Gracz {nick} nie został znaleziony. ";"Hráč {nick} nenalezen";"{nick} adlı oyuncu bulunamadı.";"找\t不\t到\t玩\t家 {nick}";"プレイヤー{nick}が\t見つかりません。";"Jogador {nick} não encontrado.";"Гравця {nick} не знайдено.";"Igrač {nick} nije pronađen.";"Nem található {nick} nevű játékos.";"{nick}을(를) 찾을 수 없습니다.";"Гулец {nick} не знойдзены.";"Jucătorul {nick} nu a fost găsit.";"找\t不\t到\t玩\t家 {nick}";"找\t不\t到\t玩\t家 {nick}";"Không tìm thấy người chơi {nick} .";;
"chat/error/forbidden";"You are not permitted to send messages.";"Vous n'êtes pas autorisé à envoyer des messages.";"Non ti è consentito inviare messaggi.";"Du hast keine Erlaubnis zum Senden von Nachrichten.";"No se te permite enviar mensajes.";"Вам не разрешено посылать сообщения";"Nie możesz wysyłać wiadomości.";"K zasílání zpráv nemáš oprávnění";"Mesaj gönderme iznin yok.";"已\t被\t禁\t言。";"メッセージの\t送信は\t許可されていません。";"Você não tem permissão para enviar mensagens.";"Вам не дозволено надсилати повідомлення.";"x";"Nincs jogosultságod az üzenetküldéshez.";"메시지를 전송할 수 없습니다.";"Вам не дазволена адпраўляць паведамленні.";"Nu ai permisiunea de a trimite mesaje.";"你\t已\t被\t禁\t言。";"已\t被\t禁\t言。";"Bạn không được phép gửi tin nhắn.";;
"chat/connecting";"Connecting...";"Connexion...";"Connessione...";"Verbinden...";"Conectando...";"Присоединение...";"Łączenie…";"Připojování…";"Bağlanıyor...";"正\t在\t连\t接\t聊\t天\t服\t务\t器\t…";"接続中...";"A conectar...";"З’єднання...";"Uspostavlja se veza...";"Kapcsolódás…";"연결 중...";"Падлучэнне...";"Se conectează ...";"正\t在\t連\t接\t聊\t天\t伺\t服\t器";"正\t在\t连\t接\t聊\t天\t服\t务\t器\t…";"Đang kết nối...";;
"chat/disconnected";"Chat disconnected";"Chat déconnecté";"Chat disconnessa";"Vom Chat getrennt";"Chat desconectado";"Связь потеряна";"Odłączono od czatu";"Konverzace odpojena";"Sohbet bağlantısı kesildi";"与\t聊\t天\t服\t务\t器\t的\t连\t接\t中\t断";"チャット\t切断済み";"Chat desconectado";"Зв'язок втрачено";"Čet je nepovezan";"Lekapcsolódtál a társalgóról.";"채팅과 연결이 끊어졌습니다.";"Сувязь страчана";"Discuțiile sunt deconectate";"與\t聊\t天\t伺\t服\t器\t的\t連\t接\t中\t斷";"与\t聊\t天\t服\t务\t器\t的\t连\t接\t中\t断";"Mất kết nối trò chuyện";;
"chat/connected";"Chat connected";"Chat connecté";"Chat connessa";"Mit Chat verbunden";"Conectado al chat";"Связь возобновлена";"Połączono z czatem";"Konverzace připojena";"Sohbet bağlantısı kuruldu";"聊\t天\t服\t务\t器\t已\t连\t接";"チャット\t接続済み";"Chat ligado";"Зв'язок відновлено ";"Čet je povezan";"Kapcsolódtál a társalgóhoz.";"채팅에 연결되었습니다.";"Сувязь адноўлена";"Discuțiile sunt conectate";"聊\t天\t伺\t服\t器\t已\t連\t接";"聊\t天\t服\t务\t器\t已\t连\t接";"Kết nối trò chuyện";;
"chat/squadron_connected";"Squadron <{clan}>";"Escadron {clan}";"Squadriglia <{clan}>";"Kampfgruppe <{clan}>";"Escuadrón <{clan}>";"Отряд <{clan}>";"Dywizjon <{clan}>";"Svaz <{clan}>";"Filo <{clan}>";"{clan} 联\t队";"部隊<{clan}>";"Esquadrão <{clan}>";"Полк {clan}";"Eskadrila <{clan}>";"<{clan}> század";"비행대 <{clan}>";"Полк {clan}";"Squadron <{clan}>";"{clan} 聯\t隊";"Squadron <{clan}>";"Quân đoàn <{clan}>";"SKIP VALIDATION";
"chat/connectionFail";"Chat connection failed";"Échec de la connexion au chat";"Connessione alla chat non riuscita";"Verbindung zum Chat fehlgeschlagen";"Error de conexión al chat.";"Присоединение не удалось.";"Nieudane łączenie z czatem";"Připojení ke konverzaci selhalo";"Sohbet bağlantısı başarısız oldu";"聊\t天\t服\t务\t器\t连\t接\t失\t败";"チャット 接続に\t失敗";"Falha na conexão do Chat";"Під'єднання не вдалося. ";"Povezivanje sa četom nije uspelo";"Sikertelen kapcsolódás a társalgóhoz";"채팅에 연결하지 못했습니다.";"Не ўдалося падлучыцца да чата.";"Conectarea la discuții nu a reușit";"聊\t天\t伺\t服\t器\t連\t接\t失\t敗";"聊\t天\t服\t务\t器\t连\t接\t失\t败";"Kết nối trò chuyện thất bại";;
"chat/leaveChannel";"You've left channel %s";"Vous avez quitté le canal %s";"Hai abbandonato il canale %s";"Du hast den Kanal %s verlassen.";"Has abandonado el canal %s.";"Вы покинули канал %s";"Opuszczasz kanał %s";"Opustil jsi kanál %s";"%s kanalından çıktın";"已\t离\t开\t频\t道 %s";"チャンネル %s を\t離れました";"Você deixou o canal %s";"Ви покинули канал %s ";"Napustili ste kanal  %s";"Elhagytad a(z) %s csatornát.";"%s 대화방에서 나왔습니다.";"Вы пакінулі канал %s";"Ai părăsit canalul %s";"已\t離\t開\t頻\t道 %s";"已\t离\t开\t频\t道 %s";"Bạn đã rời kênh %s";;
"chat/btnJoin";"Join";"Rejoindre";"Entra";"Beitreten";"Unirse";"Присоединиться";"Dołącz";"Připojit se";"Katıl";"加\t入";"参加";"Entrar";"Долучитися";"Udji";"Csatlakozás";"참여";"Далучыцца";"Intrare";"加\t入";"加\t入";"Tham gia";;
"chat/joinChannel";"You've joined the %s channel";"Vous avez rejoint le canal %s";"Sei entrato nel canale %s";"Du bist dem Kanal %s beigetreten.";"Te has unido al canal %s";"Вы присоединились к каналу %s";"Dołączyłeś do kanału %s";"Připojil ses ke kanálu %s";"%s kanalına katıldın";"已\t加\t入 %s 频\t道";"%s の\t部屋に\t入室しました";"Entrou para o canal de %s";"Ви приєдналися до каналу %s ";"Ušli ste u %s  kanal";"Csatlakoztál a(z) %s csatornához.";"%s 대화방에 들어갔습니다.";"Вы далучыліся да канала %s";"Te-ai alăturat canalului %s.";"已\t加\t入 %s 頻\t道";"已\t加\t入 %s 频\t道";"Bạn đã tham gia kênh %s";;
