"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"clan/name";"Squadron";"Escadron";"Squadriglia";"Kampfgruppe";"Escuadrón";"Полк";"Dywizjon";"Svaz";"Filo";"联\t队";"部隊";"Esquadrão";"Squadron";"Полк";"Eskadrila";"Század";"비행대";"Полк";"Companie";"聯隊";"联\t队";;
"clan/error/empty_name";"Squadron Name cannot be shorter than 3 symbols.";"Le nom de l'escadron ne peut être plus court que 3 symboles.";"Il nome della Squadriglia non può essere più corto di 3 lettere.";"Der Name der Kampfgruppe darf nicht kürzer als drei Zeichen sein.";"El nombre del escuadrón no puede ser inferior a 3 caracteres.";"Имя полка не может быть короче трёх символов.";"Nazwa Dywizjonu nie może być krótsza niż 3 znaki.";"Jméno svazu nesmí být kratší než 3 znaky";"Filo Adı 3 karakterden kısa olamaz.";"联\t队\t名\t称\t不\t得\t少\t于\t 3 \t个\t字\t符";"部隊名は 3 文字以上である\t必要があります。";"O nome do esquadrão não pode ter menos de 3 símbolos.";"Squadron Name cannot be shorter than 3 symbols.";"Назва полку не може бути коротше трьох символів.";"Naziv eskadrile ne može biti kraći od 3 simbola.";"A század neve nem lehet rövidebb 3 karakternél.";"비행대 이름은 세 글자 이상이어야 합니다.";"Назва палка не можа быць карацейшая за тры сімвалы.";"Numele companiei nu poate fi mai scurt de 3 caractere.";"聯隊名稱不得少於 3 個字元";"联\t队\t名\t称\t不\t得\t少\t于\t 3 \t个\t字\t符";;
"clan/error/empty_tag";"Squadron Tag cannot be empty";"Le tag de l'escadron ne peut pas être vide";"La tag della Squadriglia non può essere lasciata vuota";"Es muss ein Kürzel ('Tag') für die Kampfgruppe definiert werden.";"La etiqueta del escuadrón no puede quedar vacía";"Тег полка не может быть пустым";"Etykieta Dywizjonu nie może być pusta";"Zkratka svazu musí být vyplněna";"Filo Etiketi boş bırakılamaz";"联\t队\t缩\t写\t不\t能\t为\t空";"部隊\tタグは\t空にはできません";"Tag do esquadrão não pode estar vazia";"Squadron Tag cannot be empty";"Тег полку не може бути порожнім";"Morate uneti skraćeni naziv eskadrile";"A század nem alapulhat meg rövidített név nélkül.";"비행대의 태그를 채워 주세요.";"Тэг палка не можа быць пустым";"Eticheta companiei nu poate fi goală.";"聯隊標籤不能為空值";"联\t队\t缩\t写\t不\t能\t为\t空";;
"clan/error/tag_length";"Squadron tag cannot be longer than {maxLength} symbols.";"Le tag de l'escadron ne peut excéder {maxLength} caractères.";"La tag Squadriglia non può essere più lunga di {maxLength} caratteri.";"Das Kampfgruppen-Kürzel darf nicht mehr als {maxLength} Zeichen enthalten.";"La etiqueta de Escuadrón no puede tener más de {maxLength} símbolos.";"Тег полка не может быть длиннее {maxLength} символов.";"Etykieta Dywizjonu nie może być dłuższa niż {maxLength} znaków.";"Zkratka svazu nesmí být delší než {maxLength} znaků";"Filo etiketi {maxLength} karakterden uzun olamaz.";"联\t队\t缩\t写\t不\t得\t超\t过\t {maxLength} \t个\t字\t符";"部隊\tタグは {maxLength} より\t長くすることはできません。";"A sigla do esquadrão não pode ter mais do que {maxLength} símbolos.";"Squadron tag cannot be longer than {maxLength} symbols.";"Тег полку не може бути довшим ніж {maxLength} символів.";"Prefiks eskadrile ne može biti duži od {maxLength} simbola.";"A század rövidítése nem lehet hosszabb {maxLength} karakternél.";"비행대 태그는 {maxLength}자보다 길게 만들 수 없습니다.";"Тэг палка не можа быць даўжэйшы за {maxLength} сімвалы.";"Eticheta companiei nu poate fi mai lungă de {maxLength} caractere.";"聯隊縮寫不得超過 {maxLength} 個字元";"联\t队\t缩\t写\t不\t得\t超\t过\t {maxLength} \t个\t字\t符";;
"clan/error/bad_words_in_clanTag";"You cannot use this squadron tag";"Vous ne pouvez pas utiliser ce tag d'escadron";"Non è possibile utilizzare questo tag di Squadriglia";"Dieses Kampfgruppen-Kürzel ist unzulässig";"No puedes utilizar esta etiqueta para el escuadrón";"Нельзя использовать подобный тег полка";"Nie możesz użyć takiej Etykiety Dywizjonu";"Toto zkratku svazu nelze použít";"Bunun gibi filo etiketi kullanılamaz";"联\t队\t缩\t写\t非\t法";"その\tクランタグは\t使用できません";"Não pode usar essa tag do esquadrão";"You cannot use this squadron tag";"Не можна використовувати подібний тег полку";"Ne možete koristiti takve klanske tagove";"Ezt a századrövidítést nem használhatod.";"이 비행대 태그는 사용할 수 없습니다.";"Нельга выкарыстоўваць такі тэг палка";"Nu poți folosi această etichetă pentru companie";"無法使用這個聯隊標籤";"联\t队\t缩\t写\t非\t法";"NOT TRANSLATED";
"clan/error/empty_slogan";"Squadron Motto cannot be empty";"La devise de l'escadron ne peut pas être vide";"Il motto della Squadriglia non può essere lasciato vuoto";"Es muss ein Motto für die Kampfgruppe definiert werden.";"El lema del escuadrón no puede quedar vacío";"Девиз полка не может быть пустым";"Motto Dywizjonu nie może być puste";"Motto svazu musí být vyplněno ";"Filo sloganı boş bırakılamaz";"联\t队\t队\t训\t不\t能\t为\t空";"部隊\tモットーは\t空にはできません";"Lema do esquadrão não pode estar vazio";"Squadron Motto cannot be empty";"Девіз полку не може бути порожнім";"Morate uneti moto eskadrile";"A század nem alapulhat meg jelmondat nélkül.";"비행대 좌우명을 입력해 주세요.";"Дэвіз палка не можа быць пустым";"Sloganul companiei nu poate fi gol";"聯隊宗旨不能為空值";"联\t队\t队\t训\t不\t能\t为\t空";;
"clan/error/empty_description";"Squadron Description cannot be empty";"La description de l'escadron ne peut pas être vide";"La descrizione della Squadriglia non può essere lasciata vuota";"Es muss eine Beschreibung der Kampfgruppe definiert werden.";"La descripción del escuadrón no puede estar vacía";"Описание полка не может быть пустым";"Opis Dywizjonu nie może być pusty";"Popis svazu musí být vyplněn ";"Filo açıklaması boş bırakılamaz";"联\t队\t简\t介\t不\t能\t为\t空";"部隊説明は\t空にはできません";"Descrição do esquadrão não pode estar vazia";"Squadron Description cannot be empty";"Опис полку не може бути порожнім";"Morate uneti opis eskadrile";"A század nem alapulhat meg leírás nélkül.";"비행대 소개를 넣어주세요.";"Апісанне палка не можа быць пустым";"Descrierea companiei nu poate fi goală";"聯隊簡介不能為空白";"联\t队\t简\t介\t不\t能\t为\t空";;
"clan/needMoneyQuestion_createClan";"Are you sure you want to create a new Squadron?
It will cost you: %s";"Êtes-vous certain de vouloir créer un nouvel escadron ? Il vous en coûtera : %s";"Sei sicuro di voler creare una nuova Squadriglia? Costerà :%s";"Bist du sicher, dass du eine neue Kampfgruppe gründen möchtest? Die Kosten hierfür betragen: %s
Achtung: Für die Auflösung einer Kampfgruppe gibt es keine Rückerstattung.";"¿Estás seguro de que quieres crear un nuevo escuadrón? Te costará: %s";"Вы уверены, что хотите создать полк?
Стоимость создания полка: %s";"Czy na pewno chcesz utworzyć nowy Dywizjon? Będzie Cię to kosztować: %s";"Opravdu chceš vytvořit nový svaz za %s ?";"Yeni bir Filo kurmak istediğinizden emin misiniz? Bunun ücreti: %s";"确\t定\t要\t建\t立\t新\t联\t队\t吗\t？\t这\t将\t花\t费\t %s";"新しい\t部隊を\t設立してよろしいですか？ 次が\t必要です: %s";"Tens a certeza que desejas criar um novo esquadrão? Vai-te custar: %s";"Are you sure you want to create a new Squadron?
It will cost you: %s";"Ви впевнені, що хочете створити новий полк? Вартість створення полку: %s";"Da li ste sigurni da želite da napravite novu eskadrilu? koštaće vas: %s";"Biztosan új századot szeretnél alapítani?
Ára: %s";"새로운 비행대를 창설하시겠습니까? %s만큼이 소모됩니다.";"Ці сапраўды хочаце стварыць новы полк, заплаціўшы за гэта %s?";"Sigur dorești să creezi o companie?
Te va costa: %s";"確定要創建新的聯隊嗎？這將花費: %s";"确\t定\t要\t建\t立\t新\t联\t队\t吗\t？\t这\t将\t花\t费\t %s";;
"clan/needMoneyQuestion_editClanPrimaryInfo";"Are you sure you want to change your Squadron's Name or Tag?
It will cost you: %s";"Êtes-vous certain de vouloir changer le nom ou le tag de votre escadron ? Il vous en coûtera %s";"Sei sicuro di voler cambiare il nome o la tag della Squadriglia? Ti costerà %s";"Bist du sicher, dass du den Namen oder das Kürzel deiner Kampfgruppe ändern möchtest? Die Kosten betragen: %s";"¿Estás seguro de que quieres cambiar la etiqueta o el nombre de tu escuadrón? Esto te costará %s";"Вы уверены, что хотите изменить имя или тег полка?
Стоимость смены имени и тега полка: %s";"Czy na pewno chcesz zmienić nazwę lub etykietę twojego Dywizjonu? Będzie Cię to kosztować %s";"Opravdu chceš změnit název nebo zkratku svazu za %s ?";"Filo İsmi veya Etiketini değiştirmek istediğinize emin misiniz? Bunun ücreti %s";"确\t定\t要\t更\t改\t联\t队\t的\t名\t称\t或\t缩\t写\t吗\t？\t这\t将\t花\t费\t %s";"部隊の\t名前もしくは\tタグを\t変更してよろしいですか？ 次が\t必要です: %s";"Tens a certeza que desejas alterar o nome ou a marca do teu esquadrão? Vai te custar %s";"Are you sure you want to change your Squadron's Name or Tag?
It will cost you: %s";"Ви впевнені, що хочете змінити назву або тег полку? Вартість зміни назви і тегу полку: %s";"Da li ste sigurni da želite da promenite ime ili prefiks vaše eskadrile? Koštaće vas %s";"Biztosan meg szeretnéd változtatni a századod nevét vagy rövidítését?
Ára: %s";"비행대 이름과 태그를 변경하시겠습니까? %s만큼이 소모됩니다.";"Ці сапраўды хочаце змяніць назву або тэг палка, заплаціўшы за гэта %s?";"Sigur dorești să schimbi numele sau eticheta companiei?
Te va costa: %s";"確定要更改聯隊的名稱或標籤嗎？這將花費: %s";"确\t定\t要\t更\t改\t联\t队\t的\t名\t称\t或\t缩\t写\t吗\t？\t这\t将\t花\t费\t %s";;
"clan/needMoneyQuestion_editClanSecondaryInfo";"Are you sure you want to change your Squadron's Motto or Description?
It will cost you: %s";"Êtes-vous certain de vouloir modifier la devise ou la description de votre escadron ? Il vous en coûtera %s";"Sei sicuro di voler cambiare il motto o la descrizione della Squadriglia? Ti costerà %s";"Bist du sicher, dass du das Motto oder die Beschreibung deiner Kampfgruppe ändern möchtest? Die Kosten betragen: %s";"¿Estás seguro de que quieres cambiar el lema o la descripción de tu escuadrón? Esto te costará %s";"Вы уверены, что хотите изменить девиз или описание полка?
Стоимость смены девиза и описания полка: %s";"Czy na pewno chcesz zmienić Motto lub Opis Dywizjonu? Będzie cię to kosztować %s";"Opravdu chceš změnit motto nebo popis svazu za %s ?";"Filo Sloganı veya Açıklamasını değiştirmek istediğinizden emin misiniz? Bunu ücreti %s";"确\t定\t要\t更\t改\t联\t队\t的\t队\t训\t或\t简\t介\t吗\t？\t这\t将\t花\t费\t %s";"部隊の\tモットーもしくは\t説明を\t変更してよろしいですか？ 次が\t必要です: %s";"Tens a certeza que desejas alterar o lema ou descrição? Vai te custar %s";"Are you sure you want to change your Squadron's Motto or Description?
It will cost you: %s";"Ви впевнені, що хочете змінити девіз або опис полку? Вартість зміни девізу та опису полку: %s";"Da li ste sigurni da želite da promenite moto ili opis vaše eskadrile? Koštaće vas %s";"Biztosan meg szeretnéd változtatni a századod jelmondatát vagy leírását?
Ára: %s";"비행대 좌우명과 설명을 수정하시겠습니까? %s만큼이 소모됩니다.";"Ці сапраўды хочаце змяніць дэвіз або апісанне палка, заплаціўшы за гэта %s?";"Sigur dorești să schimbi sloganul sau descrierea companiei?
Te va costa: %s";"確定要更改聯隊的宗旨或簡介嗎？這將花費: %s";"确\t定\t要\t更\t改\t联\t队\t的\t队\t训\t或\t简\t介\t吗\t？\t这\t将\t花\t费\t %s";;
