"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"item/discount/description/buy/all";"{discount} discount on any vehicle{countryNameOptional}.";"{discount} de remise sur n'importe quel véhicule{countryNameOptional}.";"{discount}di sconto su ogni unità{countryNameOptional}.";"{discount} Rabatt auf jegliche Fahrzeuge{countryNameOptional}.";"{discount} de descuento en cualquier vehículo {countryNameOptional}.";"Скидка {discount} на покупку любой техники{countryNameOptional}.";"{discount} zniżki na dowolną maszynę{countryNameOptional}.";"{discount} sleva na jakýkoliv stroj {countryNameOptional}";"Herhangi bir araçta{countryNameOptional} {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t享\t受\t {discount} \t优\t惠";"任意の\t機体{countryNameOptional} で {discount} の\t割引がされます。";"{discount} de desconto em qualquer veículo{countryNameOptional}.";"{discount} discount on any vehicle{countryNameOptional}.";"Знижка {discount} на придбання будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na sva vozila{countryNameOptional}.";"{discount} kedvezmény bármelyik járműre. {countryNameOptional}";"모든 장비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru orice vehicul {countryNameOptional}.";"任意載具 {countryNameOptional} 折扣優惠 {discount} 。";"购\t买\t任\t意\t{countryNameOptional}\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/buy/all_premium";"{discount} discount on any premium vehicle{countryNameOptional}.";"{discount} de remise sur n'importe quel véhicule premium{countryNameOptional}.";"{discount}di sconto su ogni unità premium{countryNameOptional}.";"{discount} Rabatt auf jegliche Premiumfahrzeuge{countryNameOptional}.";"{discount} de descuento en cualquier vehículo premium {countryNameOptional}.";"Скидка {discount} на покупку любой премиумной техники{countryNameOptional}.";"{discount} zniżki na dowolną maszynę premium{countryNameOptional}.";"{discount} sleva na jakýkoliv prémiový stroj {countryNameOptional}";"Herhangi bir premium araçta{countryNameOptional} {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠";"任意の\tプレミアム\t機体{countryNameOptional} で {discount} の\t割引がされます。";"{discount} de desconto em qualquer veículo premium{countryNameOptional}.";"{discount} discount on any premium vehicle{countryNameOptional}.";"Знижка {discount} на придбання будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na sva premijum vozila{countryNameOptional}.";"{discount} kedvezmény bármelyik prémiumjárműre. {countryNameOptional}";"모든 프리미엄 장비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю любой прэміумнай тэхнікі {countryNameOptional}.";"{discount}  reducere pentru orice vehicul special {countryNameOptional}.";"任意高級載具 {countryNameOptional} 費用享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/buy/rank";"{discount} discount on any vehicle of rank {rank}{countryNameOptional}.";"{discount} de remise sur n'importe quel véhicule de rang {rank}{countryNameOptional}.";"{discount}di sconto su qualsiasi unità di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf jegliche Rang-{rank}-Fahrzeuge{countryNameOptional}.";"{discount} de descuento en cualquier vehículo de rango {rank}{countryNameOptional}.";"Скидка {discount} на покупку любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na dowolną maszynę {rank} ery {countryNameOptional}.";"{discount} sleva na jakýkoliv stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} araçta{countryNameOptional} {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t享\t受\t {discount} \t优\t惠";"ランク {rank} の\t任意の\t機体{countryNameOptional} で {discount} の\t割引がされます。";"{discount} de desconto em qualquer veículo de nível {rank}{countryNameOptional}.";"{discount} discount on any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na sva vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény bármelyik {rank}. rangú járműre. {countryNameOptional}";"모든 {rank}랭크 장비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount}  reducere pentru orice vehicul de rang {rank} {countryNameOptional}.";"購買任意{countryNameOptional} {rank} 級載具享受 {discount} 優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/buy/rank_premium";"{discount} discount on any premium vehicle of rank {rank}{countryNameOptional}.";"{discount} de remise sur n'importe quel véhicule premium de rang {rank}{countryNameOptional}.";"{discount} di conto su ogni unità premium di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf jegliche Rang-{rank}-Premiumfahrzeuge{countryNameOptional}.";"{discount} de descuento en cualquier vehículo premium de rango {rank}{countryNameOptional}.";"Скидка {discount} на покупку любой премиумной техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na dowolną maszynę premium  {rank} ery {countryNameOptional}.";"{discount} sleva na jakýkoliv prémiový stroj {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} premium araçta{countryNameOptional} {discount} indirim.";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠";"ランク {rank} の\t任意の\tプレミアム\t機体{countryNameOptional} で {discount} の\t割引がされます。";"{discount} de desconto em qualquer veículo premium de nível {rank}{countryNameOptional}.";"{discount} discount on any premium vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на придбання будь-якої преміумної техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na sva premijum vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény bármelyik {rank}. rangú prémiumjárműre. {countryNameOptional}";"모든 {rank}랭크 프리미엄 장비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на куплю любой прэміумнай тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru orice vehicul special de rang {rank} {countryNameOptional}.";"任意等級高級載具 {countryNameOptional} 費用享有 {discount} 折扣優惠。";"购\t买\t任\t意\t{countryNameOptional} {rank} \t级\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/buy/aircraft";"{discount} discount on vehicle: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de remise sur le véhicule : <color=@userlogColoredText>{aircraftName}</color>";"{discount} di sconto sull'unità: <color=@userlogColoredText>{aircraftName}</color>";"{discount} Rabatt auf Fahrzeug: <color=@userlogColoredText>{aircraftName}</color>";"{discount} de descuento en el vehículo <color=@userlogColoredText>{aircraftName}</color>";"Скидка {discount} на покупку техники: <color=@userlogColoredText>{aircraftName}</color>";"{discount} zniżki na maszynę: <color=@userlogColoredText>{aircraftName}</color>";"{discount} sleva na stroj <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{aircraftName}</color> için {discount} indirim";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t享\t受\t {discount} \t优\t惠";"<color=@userlogColoredText>{aircraftName}</color> が {discount} 割引です。";"{discount} de desconto no veículo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} discount on vehicle: <color=@userlogColoredText>{aircraftName}</color>";"Знижка {discount} на придбання техніки: <color=@userlogColoredText>{aircraftName}</color>";"<color=@userlogColoredText>{discount}%</color> popust na vozilo: <color=@userlogColoredText>{aircraftName}</color>";"{discount} kedvezmény a(z) <color=@userlogColoredText>{aircraftName}</color> járműre.";"<color=@userlogColoredText>{aircraftName}</color> {discount} 할인";"Зніжка {discount} на куплю тэхнікі: <color=@userlogColoredText>{aircraftName}</color>";"{discount} reducere pentru vehiculul: <color=@userlogColoredText>{aircraftName}</color>";"載具 : <color=@userlogColoredText>{aircraftName}</color> 費用享有{discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{aircraftName}</color> \t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/buy/aircraft/multiple";"Up to {discount} discount on vehicles.";"Jusqu'à {discount} de réduction sur les véhicules.";"Fino al {discount} di sconto sulle unità.";"Bis zu {discount} Rabatt auf Fahrzeuge.";"Hasta un  {discount}  de descuento en vehículos.";"Скидка до {discount} на покупку техники.";"Do {discount} zniżki na maszyny.";"Až {discount} sleva na stroje";"Araçlarda {discount}'a varan indirim.";"购\t买\t载\t具\t最\t高\t享\t受\t {discount} \t优\t惠";"機体が\t最大 {discount} 割引です。";"Até {discount} de desconto em veículos.";"Up to {discount} discount on vehicles.";"Знижка до {discount} на придбання техніки.";"Popust na vozila do <color=@userlogColoredText>{discount}%</color> .";"Akár {discount} kedvezmény járművekre.";"장비 가격 최대 {discount} 할인";"Зніжка да {discount} на куплю тэхнікі.";"Până la {discount} reducere pentru vehicule.";"載具最高優惠 {discount} 。";"购\t买\t载\t具\t最\t高\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/entitlements";"{discount} discount on <color=@userlogColoredText>{entitlementName}</color>.";"Remise de {discount} sur <color=@userlogColoredText>{entitlementName}</color>.";"{discount} di sconto su <color <color=@userlogColoredText>{entitlementName}</color>.";"{discount} Rabatt auf <color=@userlogColoredText>{entitlementName}</color>.";"{discount} de descuento en <color=@userlogColoredText>{entitlementName}</color>.";"Скидка {discount} на <color=@userlogColoredText>{entitlementName}</color>.";"{discount} zniżki na <color=@userlogColoredText>{entitlementName}</color>.";"{discount} sleva na <color=@userlogColoredText>{entitlementName}</color>";"{discount} indirim <color=@userlogColoredText>{entitlementName}</color>.";"购\t买\t <color=@userlogColoredText>{entitlementName}</color> \t享\t受\t {discount} \t优\t惠";"<color=@userlogColoredText>{entitlementName}</color> が {discount} 割引です。";"{discount} de desconto em <color=@userlogColoredText>{entitlementName}</color>.";"{discount} discount on <color=@userlogColoredText>{entitlementName}</color>.";"Знижка {discount} на <color=@userlogColoredText>{entitlementName}</color>.";"<color=@userlogColoredText>{discount}%</color> popust na <color=@userlogColoredText>{entitlementName}</color>.";"{discount} kedvezmény erre: <color=@userlogColoredText>{entitlementName}</color>.";"<color=@userlogColoredText>{entitlementName}</color> 자격 {discount} 할인";"Зніжка {discount} на <color=@userlogColoredText>{entitlementName}</color>.";"{discount} reducere pentru <color=@userlogColoredText>{entitlementName}</color>.";"<color=@userlogColoredText>{entitlementName}</color> 費用享有 {discount} 折扣優惠。";"购\t买\t <color=@userlogColoredText>{entitlementName}</color> \t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/repair/all";"{discount} discount on repairing any vehicle{countryNameOptional}.";"Remise de {discount} sur la réparation de tout véhicule{countryNameOptional}.";"{discount} di sconto sulle riparazioni di qualsiasi unità{countryNameOptional}.";"{discount} Rabatt auf die Reparatur jeglicher Fahrzeuge{countryNameOptional}.";"{discount} de descuento en la reparación de cualquier vehículo {countryNameOptional}.";"Скидка {discount} на ремонт любой техники{countryNameOptional}.";"{discount} zniżki na naprawę dowolnej maszyny {countryNameOptional}.";"{discount} sleva na opravu jakéhokoliv stroje {countryNameOptional}";"Herhangi bir aracın{countryNameOptional} tamirinde {discount} indirim.";"维\t修\t任\t意\t{countryNameOptional}\t载\t具\t享\t受\t {discount} \t优\t惠";"任意の\t機体{countryNameOptional} の\t修復で {discount} 割引。";"{discount} de desconto na reparação de qualquer veículo{countryNameOptional}.";"{discount} discount on repairing any vehicle{countryNameOptional}.";"Знижка {discount} на ремонт будь-якої техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na popravku svih vozila{countryNameOptional}.";"{discount} kedvezmény bármelyik jármű javítására. {countryNameOptional}";"모든 장비 수리비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на рамонт любой тэхнікі {countryNameOptional}.";"{discount} reducere pentru repararea oricărui vehicul {countryNameOptional}.";"維修任意載具 {countryNameOptional} 費用享有{discount} 折扣優惠。";"维\t修\t任\t意\t{countryNameOptional}\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/repair/all_premium";"{discount} discount on repairing any premium vehicle{countryNameOptional}.";"Remise de {discount} sur la réparation de tout véhicule premium{countryNameOptional}.";"{discount} di sconto sulle riparazioni di qualsiasi unità premium{countryNameOptional}.";"{discount} Rabatt auf die Reparatur jeglicher Premiumfahrzeuge{countryNameOptional}.";"{discount} de descuento en la reparación de cualquier vehículo premium{countryNameOptional}.";"Скидка {discount} на ремонт любой премиумной техники{countryNameOptional}.";"{discount} zniżki na naprawę dowolnej maszyny premium {countryNameOptional}.";"{discount} sleva na opravu jakéhokoliv prémiového stroje {countryNameOptional}";"Herhangi bir premium aracın{countryNameOptional} tamirinde {discount} indirim.";"维\t修\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠";"任意の\tプレミアム\t機体{countryNameOptional} の\t修復で {discount} 割引。";"{discount} de desconto na reparação de qualquer veículo premium{countryNameOptional}.";"{discount} discount on repairing any premium vehicle{countryNameOptional}.";"Знижка {discount} на ремонт будь-якої преміумної техніки{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na popravlu svih premijum vozila{countryNameOptional}.";"{discount} kedvezmény bármelyik prémiumjármű javítására. {countryNameOptional}";"모든 프리미엄 장비 수리비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на рамонт любой прэміумнай тэхнікі {countryNameOptional}.";"{discount} reducere pentru repararea oricărui vehicul special {countryNameOptional}.";"維修任意高級載具 {countryNameOptional} 費用享有 {discount} 折扣優惠。";"维\t修\t任\t意\t{countryNameOptional}\t高\t级\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
"item/discount/description/repair/rank";"{discount} discount on repairing any vehicle of rank {rank}{countryNameOptional}.";"Remise de {discount} sur la réparation de tout véhicule de rang {rank}{countryNameOptional}.";"{discount} di sconto sulle riparazioni di qualsiasi unità di ERA {rank}{countryNameOptional}.";"{discount} Rabatt auf die Reparatur jeglicher Rang-{rank}-Fahrzeuge{countryNameOptional}.";"{discount} de descuento en la reparación de cualquier vehículo de rango {rank}{countryNameOptional}.";"Скидка {discount} на ремонт любой техники {rank} ранга{countryNameOptional}.";"{discount} zniżki na naprawę dowolnej maszyny ery {rank}{countryNameOptional}.";"{discount} sleva na opravu jakéhokoliv stroje {rank}. úrovně {countryNameOptional}";"Herhangi bir seviye {rank} aracın tamirinde {discount} indirim{countryNameOptional}.";"维\t修\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t享\t受\t {discount} \t优\t惠";"任意の\tランク {rank} の\t機体{countryNameOptional} の\t修復で {discount} 割引。";"{discount} de desconto na reparação de qualquer veículode nível {rank}{countryNameOptional}.";"{discount} discount on repairing any vehicle of rank {rank}{countryNameOptional}.";"Знижка {discount} на ремонт будь-якої техніки {rank} рангу{countryNameOptional}.";"<color=@userlogColoredText>{discount}%</color> popust na popravku svih vozila {rank} ranga {countryNameOptional}.";"{discount} kedvezmény bármelyik {rank}. rangú jármű javítására. {countryNameOptional}";"모든 {rank}랭크 장비 수리비 {discount} 할인{countryNameOptional}";"Зніжка {discount} на рамонт любой тэхнікі {rank} рангу {countryNameOptional}.";"{discount} reducere pentru repararea oricărui vehicul de rang {rank} {countryNameOptional}.";"維修任意 {rank} 等級載具 {countryNameOptional} 費用享有 {discount} 折扣優惠。";"维\t修\t任\t意\t{countryNameOptional} {rank} \t级\t载\t具\t享\t受\t {discount} \t优\t惠\t。";;
