"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"events/join_event";"Take part";"Participer";"Prendi parte";"Teilnehmen";"Participar";"Участвовать";"Weź udział";"Zúčastnit se";"Katıl";"加​入";"参加する";"Fazer parte";"Взяти участь";"Učestvuj";"Részvétel";"참여";"Узяць удзел";"Participă";"加​入";"加​入";"Tham gia";;
"events/join_event_by_team";"Take part for team {team}";"Participez pour l'équipe {team}";"Prendi parte nella squadra {team}";"Für Team {team} teilnehmen";"Tomar parte en el equipo {team}";"Участвовать за команду {team}";"Dołącz do drużyny {team}";"Zúčastnit se na straně {team}";"{team} takımında yer al";"加​入​队​伍 {team}";"チーム: {team} に\t参加します。";"Fazer parte pela a equipa {team}";"Брати участь за команду {team}";"Pridružite se timu {team}";"Részvétel a(z) {team} csapat oldalán";"{team} 팀에 참가하기";"Удзельнічаць за каманду {team}";"Participă pentru echipa {team}";"加​入​隊​伍 {team}";"加​入​队​伍 {team}";"Tham gia vào đội {team}";;
"events/teamA";"Team A";"Équipe A";"Squadra A";"Team A";"Equipo A";"Команда А";"Drużyna A";"Tým A";"Takım A";"A 队";"A チーム";"Equipe A";"Команда А";"TIm A";"A csapat";"A 팀";"Каманда А";"Echipa A";"A 隊";"A 队";"Đội A";;
"events/teamB";"Team B";"Équipe B";"Squadra B";"Team B";"Equipo B";"Команда Б";"Drużyna B";"Tým B";"Takım B";"B 队";"B チーム";"Equipe B";"Команда Б";"Tim B";"B csapat";"B 팀";"Каманда Б";"Echipa B";"B 隊";"B 队";"Đội B";;
"events/ffa";"Free For All";"Chacun pour soi";"Per Tutti";"Jeder gegen Jeden";"Todos Contra Todos";"Все против всех";"Każdy na każdego";"Všichni proti všem";"Herkes Tek";"混​战";"フリーフォーオール";"Livre para todos";"Безкоштовно для всіх";"Svako za sebe";"Mindenki mindenki ellen";"자유 전투";"Усе супраць усіх";"Fiecare contra tuturor";"個​人​死​鬥";"混​战";"Một Cho Tất Cả";;
"events/team_battle";"Team Battle";"Bataille en équipe";"Battaglia a squadre";"Teamschlacht";"Batalla de Equipos";"Командный бой";"Bitwa drużynowa";"Týmová bitva";"Takım Savaşı";"团​队​竞​技";"チームバトル";"Batalha de Equipe";"Командна битва";"Timska bitka";"Team Battle";"팀 전투";"Камандны бой";"Team Battle";"團​隊​戰​鬥";"Team Battle";"Trận chiến đội";;
"teamA";"A";"A";"A";"A";"A";"А";"A";"A";"A";"A";"A";"A";"А";"A";"A";"A";"А";"A";"A";"A";"A";;
"teamB";"B";"B";"B";"B";"B";"Б";"B";"B";"B";"B";"B";"B";"Б";"B";"B";"B";"Б";"B";"B";"B";"B";;
"events/countres";"Countries:";"Pays:";"Nazioni:";"Nationen:";"Países";"Страны:";"Kraje:";"Země:";"Ülkeler:";"国​家：";"国";"Países:";"Країни:";"Države:";"Nemzetek:";"선택 가능 국가:";"Дзяржавы:";"Țări:";"國​家:";"国​家：";"Quốc gia:";;
"events/required_crafts_no_colon";"Required vehicles";"Véhicules requis";"Unità richieste";"Erforderliche Fahrzeuge";"Vehículos requeridos";"Требуемая техника";"Wymagane maszyny";"Potřebné stroje";"Gerekli araçlar";"需​要​载​具";"必要機体";"Veículos requeridos";"Необхідна техніка";"Potrebna vozila";"Szükséges járművek";"필요 장비";"Неабходная тэхніка";"Vehicule necesare";"需​求​載​具";"需​要​载​具";"Yêu cầu phương tiện";;
"events/required_crafts";"Required vehicles:";"Véhicules requis :";"Unità richieste:";"Erforderliche Fahrzeuge:";"Vehículos requeridos:";"Требуемая техника:";"Wymagane maszyny:";"Potřebné stroje:";"Gerekli Araçlar:";"载​具​要​求：";"必要機体:";"Veículos requeridos:";"Необхідна техніка:";"Potrebna vozila:";"Szükséges járművek:";"필요 장비:";"Неабходная тэхніка:";"Vehicule necesare:";"載​具​需​求：";"载​具​要​求：";"Phương tiện yêu cầu:";;
"events/allowed_crafts_no_colon";"Allowed vehicles";"Véhicules autorisés";"Unità consentite";"Zugelassene Fahrzeuge";"Vehículos permitidos";"Разрешённая техника";"Dozwolone jednostki";"Povolené stroje";"İzin verilen araçlar";"可​用​载​具";"使用可能な\t所属兵器";"Veículos permitidos";"Дозволені транспортні засоби";"Dozvoljena vozila";"Engedélyezett járművek";"사용 가능한 장비";"Дазволеная тэхніка";"Vehicule permise";"可​用​載​具";"允​许​的​载​具";"Phương tiện được phép sử dụng";;
"events/allowed_crafts";"Allowed vehicles:";"Véhicules autorisés:";"Unità consentite:";"Erlaubte Fahrzeuge:";"Vehículos permitidos:";"Разрешённая техника:";"Dozwolone pojazdy:";"Povolené stroje:";"İzin verilen araçlar:";"可​用​载​具：";"使用可能な\t機体:";"Veículos permitidas:";"Дозволена техніка:";"Dozvoljena vozila:";"Engedélyezett járművek:";"사용 가능한 장비:";"Дазволеная тэхніка:";"Vehicule permise:";"可​用​載​具：";"可​用​载​具：";"Phương tiện cho phép:";;
"events/forbidden_crafts";"Forbidden vehicles:";"Véhicules interdits:";"Unità vietate:";"Verbotene Fahrzeuge:";"Vehículos no permitidos:";"Запрещённая техника:";"Zabronione pojazdy:";"Zakázané stroje:";"Yasaklı Araçlar:";"禁​用​型​号：";"使用不可能な\t機体:";"Veículos proibidas:";"Заборонена техніка:";"Zabranjena vozila:";"Tiltott járművek:";"사용할 수 없는 장비:";"Забароненая тэхніка:";"Vehicule interzise:";"禁​用​載​具:";"禁​用​型​号：";"Phương tiện bị cấm:";;
"events/no_selected_event";"Select an event from the list.";"Sélectionnez un événement dans la liste.";"Seleziona un evento dalla lista.";"Wähle ein Ereignis aus der Liste aus.";"Selecciona un evento de la lista.";"Выберите событие в списке.";"Wybierz wydarzenie z listy.";"Vyber Event ze seznamu";"Listeden bir etkinlik seçin.";"请​从​列​表​中​选​择​一​项​军​事​行​动。";"一覧から\tイベントを\t選択してください。";"Selecione um evento da lista.";"Виберіть подію зі списку.";"Izaberite event sa liste.";"Válassz egy eseményt a listából.";"목록에서 이벤트를 선택하세요.";"Выберыце падзею са спіса.";"Selectează un eveniment din listă.";"請​從​列​表​中​選​擇​一​項​軍​事​行​動。";"请​从​列​表​中​选​择​一​项​军​事​行​动。";"Chọn một sự kiện trong danh sách.";;
"events/no_entitlement";"Required {entitlement}";"Requis {entitlement}";"Richiesto {entitlement}";"Erfordert {entitlement}";"Requiere {entitlement}";"Требуется {entitlement}.";"Wymagane {entitlement}";"Potřebné {entitlement}";"Gerekli {entitlement}";"需​要 {entitlement}";"{entitlement} が\t必要";"{entitlement} necessário";"Потрібно {entitlement}";"Potrebno {entitlement}";"{entitlement} szükséges";"{entitlement} 필요";"Патрабуецца {entitlement}.";"Necesar {entitlement}";"需​要 {entitlement}";"需​要 {entitlement}";"Yêu cầu {entitlement}";;
