"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"options/viewtype";"Default view";"Vue par défaut";"Visuale standard";"Standardansicht";"Vista predeterminada";"Вид по умолчанию";"Widok domyślny";"Výchozí pohled";"Varsayılan Görünüm";"默​认​视​角";"デフォルト\t視点";"Vista predefinida";"Вид за замовчуванням";"Standardni pogled";"Alapértelmezett nézet";"기본 시점";"Перадвызначаны від";"Cameră implicită";"默​認​視​角";"默​认​视​角";"Góc nhìn mặc định";;
"options/ingame_viewtype";"Current view";"Vue actuelle";"Visuale attuale";"Aktuelle Ansicht";"Vista actual";"Текущий вид";"Obecny widok";"Současný pohled";"Mevcut görünüm";"当​前​视​角";"現在の\t視点";"Vista atual";"Поточний вид";"Trenutni pogled";"Aktuális nézet";"현재 시점";"Бягучы від";"Cameră actuală";"當​前​視​角";"当​前​视​角";"Góc nhìn hiện tại";;
"options/viewTps";"Third-person view";"Vue à la troisième personne";"Visuale in terza persona";"Außenansicht";"Vista en tercera persona";"От третьего лица";"Widok z trzeciej osoby";"Vnější pohled";"Üçüncü şahıs bakışı";"第​三​人​称​视​角";"三人称視点";"Visão em terceira pessoa";"Вид від третьої особи";"Pogled iz trećeg lica";"Külső nézet";"3인칭 시점";"Від ад трэцяй асобы";"Cameră externă";"第​三​人​稱​視​角";"第​三​人​称​视​角";"Góc nhìn người thứ ba";;
"options/viewCockpit";"Cockpit view";"Vue du cockpit";"Visuale abitacolo";"Cockpitansicht";"Vista de cabina";"Кабина";"Widok z kokpitu";"Pohled z kokpitu";"Kokpit Görünümü";"座​舱​视​角";"コックピットからの\t視点";"Visão de Cockpit";"Кабіна";"Pogled iz kabine";"Pilótafülke-nézet";"조종석 시점";"Від з кабіны";"Cameră carlingă";"駕​駛​艙​視​角";"座​舱​视​角";"Góc nhìn buồng lái";;
"options/viewCockpitGunner";"Cockpit (Gunner) view";"Vue Cockpit (mitrailleur)";"Visuale abitacolo (Gunner)";"Bordschützenansicht";"Vista de cabina (Artillero)";"Кокпит (стрелок)";"Widok ze stanowiska strzelca";"Pohled z kokpitu (střelec)";"Kokpit (nişancı) bakışı";"机​枪​手​视​角";"コックピット(銃手)視点";"Visão de cockpit (Artilheiro)";"Кабіна (стрілець)";"Pogled iz kabine (mitraljezac)";"Pilótafülke (lövész) nézet";"조종석 (사수) 시점";"Від з кабіны (стралок)";"Cameră carlingă (trăgător)";"駕​駛​艙 (機​槍​手) 視​角";"机​枪​手​视​角";"Góc nhìn buồng lái (xạ thủ)";;
"options/viewVirtual";"Virtual Cockpit view";"Vue du Cockpit virtuel";"Visuale abitacolo virtuale";"Virtuelle Cockpitansicht";"Vista de Cabina virtual";"Виртуальная кабина";"Wirtualny kokpit";"Pohled z virtuálního kokpitu";"Sanal Kokpit bakışı";"虚​拟​座​舱​视​角";"バーチャルコックピット\t視点";"Visão de Cockpit virtual";"Віртуальна кабіна";"Virtuelni pogled iz kabine";"Virtuális pilótafülke-nézet";"가상 조종석 시점";"Віртуальная кабіна";"Cameră carlingă virtuală";"虛​擬​駕​駛​艙​視​角";"虚​拟​座​舱​视​角";"Góc nhìn buồng lái ảo";;
"options/viewGunner";"Gunner view";"Vue mitrailleur";"Visuale mitragl.";"Schützenansicht";"Vista de artillero";"Управление стрелками";"Tryb strzelca";"Pohled střelce";"Silahçı görünümü";"机​枪​手​视​角";"銃手の\t視点";"Visão do atirador";"Вид за стрільця";"Mitralješčev pogled";"Lövésznézet";"사수 시점";"Від ад стралка";"Cameră trăgător";"機​槍​手​視​角";"机​枪​手​视​角";"Góc nhìn xạ thủ";;
"options/info";"Info";"Info";"Informazioni";"Info";"Información";"Информация";"Informacje";"Informace";"Bilgi";"信​息";"情報";"Informação";"Інформація";"Info";"Infó";"정보";"Інфармацыя";"Informații";"訊​息";"信​息";"Thông tin";;
"options/select";"Apply";"Appliquer";"Applica";"Anwenden";"Aplicar";"Применить";"Zastosuj";"Použít";"Uygula";"应​用";"適用";"Aplicar";"Застосувати";"Primeni";"Alkalmaz";"적용";"Дастасаваць";"Aplicare";"應​用";"应​用";"Áp dụng";;
"options/unitsMetric";"Metric";"Métrique";"S. metrico";"Metrisch";"Métrico";"Метрическая";"System metryczny";"Metrické";"Metrik";"公​制";"メートル";"Métrico";"Метрична";"Metrički";"Metrikus";"미터법";"Метрычная";"Metric";"公​制";"公​制";"Metric";;
"options/unitsBritish";"Imperial";"Britannique";"S. inglese";"Imperial (Britisch)";"Imperial";"Британская";"System brytyjski";"Britské";"İngiliz";"英​制";"英式";"Britânico";"Британська";"Britanski";"Brit";"야드파운드법";"Брытанская";"Britanic";"英​制";"英​制";"Anh";;
"options/unitsAmerican";"US";"Américain";"S. USA";"Imperial (Amerikanisch)";"EEUU";"Американская";"System amerykański";"Americké";"Amerikan";"美​制";"米式";"Americano";"Американська";"Američki";"Amerikai";"야드파운드법";"Амерыканская";"American";"美​制";"美​制";"Mỹ";;
"options/moveMap";"Map moving mode";"Mode de déplacement de la carte";"Modalità spostamento mappa";"Kartenverschiebemodus";"Modo de movimiento del mapa";"Режим перемещения карты";"Tryb poruszania mapy";"Režim pohybu po mapě";"Harita hareket modu";"地​图​移​动​模​式";"マップの\t移動\tモード";"Modo de mover o mapa";"Режим переміщення мапи";"Map moving mode";"Map moving mode";"지도 움직이기";"Режим перемещения карты";"Map moving mode";"地​圖​移​動​模​式";"Map moving mode";"Chế độ di chuyển bản đồ";;
"options/forceHudType";"Set map type";"Définir le type de carte";"Imposta il tipo di mappa";"Kartentyp festlegen";"Configurar tipo de mapa";"Задать тип карты";"Wybierz typ mapy";"Nastavit typ mapy";"Harita türünü seç";"选​择​地​图​类​型";"マップタイプを\t設定する";"Definir tipo de mapa";"Задати тип мапи";"Set map type";"Set map type";"지도 유형 설정";"Задать тип карты";"Set map type";"選​擇​地​圖​類​型";"Set map type";"Chọn chế độ bản đồ";;
"options/setPointOfInterest";"Set a point of interest for aircraft systems";"Définir un point d'intérêt dans les systèmes de l'avion";"Imposta un punto di interesse per i sistemi aerei";"Einen Zielpunkt für Flugzeugsysteme festlegen";"Marcar un punto de interés para los sistemas de la aeronave";"Поставить точку интереса для систем самолёта";"Ustaw punkt zainteresowania (POI) dla systemów lotniczych";"Nastavit bod zájmu pro systémy letadla";"Uçak sistemleri için bir odak noktası seçin";"为​空​中​载​具​设​置​地​图​目​标​点";"航空\tシステム\t用の\t地点を\t設定する";"Definir ponto de interesse para sistemas das aeronaves";"Поставити точку інтересу для систем літака";"Set a point of interest for aircraft systems";"Set a point of interest for aircraft systems";"선택한 지역 표시";"Поставить точку интереса для систем самолёта";"Set a point of interest for aircraft systems";"為​空​中​載​具​設​置​地​圖​目​標​點";"Set a point of interest for aircraft systems";"Chọn điểm quan tâm cho hệ thống máy bay";;
