"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"mb/jpn_midway_m1/place";"IJN Hiryū, 1st Carrier Striking Force ""Kido Butai"".";"IJN Hiryū, 1st Carrier Striking Force ""Kido Butai"".";"IJN Hiryū, 1a Forza d'Attacco di Portaerei ""Kido Butai"".";"IJN Hiryū, 1. Marineluftflotte ''Kido Butai''.";"IJN Hiryū, 1era Fuerza de Ataque de Portaaviones ''Kido Butai''.";"Авианосец ""Хирю"", Первое авианосное ударное соединение ""Кидо Бутай""";"Lotniskowiec Hiryū, 1 Zespół Uderzeniowy „Kido Butai”.";"IJN Hirjú, 1. úderný svaz letadlových lodí „Kido Butai“";"IJN Hiryū, 1. Uçak Gemisi Vurucu Kuvveti ""Kido Butai"".";"日\t本\t第\t一\t航\t空\t舰\t队\t第\t二\t航\t空\t战\t队，\t“飞\t龙”\t号\t航\t空\t母\t舰";"日本海軍空母 第\t1機動部隊 飛龍";"MIJ Hiryu, 1º Frota de porta-aviões de ataque ""Kido Butai"".";"IJN Hiryū, Перша Авіаносна Ударна Група ""Kido Butai"".";"IJN Hirju, 1. Udarna grupa nosača aviona ""Kido Butai"".";"Hirjú repülőgép-hordozó, 1. csapásmérő hordozóegység (Kidó Butai)";"일본 해군 제1항모기동부대 소속 항공모함 히류";"Авіяносец «Хір'ю», Першае авіяноснае ўдарнае злучэнне «Кідо Бутай»";"Hiryū, MIJ, Prima forță de portavioane de atac „Kido Butai”.";"日\t本\t帝\t國\t海\t軍\t一\t航\t戰\t機\t動\t部\t隊，\t“飛\t龍”\t號\t航\t空\t母\t艦";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m1/date";"04:30 June 4, 1942";"4 h 30 – 4 Juin 1942";"04:30:00 del 4 Giugno 1942";"04:30 Uhr, 4. Juni 1942";"04:30hs, 4 de junio de 1942.";"04:30, 4 июня 1942";"04:30, 4 czerwca 1942 roku";"4. června 1942, 4:30";"04:30 4 Haziran 1942";"1942 年 6 月 4 日，\t4 时 30 分";"1942年\t6月\t4日\t04:30";"4 De junho de 1942 às 04:30";"04:30, 4 червня 1942 року";"04:30 Jun 4, 1942";"1942. június 4., 4:30";"1942년 6월 4일 04:30";"04:30, 4 чэрвеня 1942 года";"04:30 4 iunie 1942";"1942 年 6 月 4 日, 04:30";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m1/objective";"Lead your wing consisting of four A6M2 Zeroes in an escort mission, to attack the U.S. Midway Base.";"Conduisez votre escadron de 4 Zéros A6M2, en mission d’escorte pour l'attaque de la base américaine de Midway.";"Conduci il tuo stormo composto da 4 A6M2 Zero, in missione di scorta per attaccare la base USA di Midway.";"Führe deine Staffel von vier A6M2 Zeros und gib Jagdschutz für den Angriff auf den US-Stützpunkt auf Midway.";"Lidere a su ala de 4 aviones A6M2 Zero en una misión de escolta para atacar la base norteamericana de Midway.";"Возглавьте свой отряд, состоящий из 4 A6M2 Зеро, в миссии сопровождения для атаки на базу США на Мидуэе.";"Poprowadź swój klucz składający się z czterech samolotów A6M2 Zero w misji eskortowej, której celem jest zaatakowanie amerykańskiej bazy Midway.";"Veď svou letku čtyř letounů A6M2 Reisen na doprovodnou misi útoku na americkou základu na Midway";"Dört A6M2 Zeroe'dan oluşan uçuş kolunu, Amerikan Midway Üssün'e saldırı için verilen refakat görevinde yönet.";"率\t四\t架\t零\t战\t二\t一\t型\t掩\t护\t己\t方\t轰\t炸\t机\t空\t袭\t美\t国\t的\t中\t途\t岛\t基\t地。";"A6M2 Zero (零戦二一型) 四機編隊を\t率いて\t直掩任務を\t行い、\t米軍\tミッドウェー\t基地を\t攻撃せよ。";"Levaram sua ala contendo quatro ""A6M2 Zeroes"" em uma missão de escolta, para atacar a Base da Midway dos Estados Unidos.";"Очольте свій загін з чотирьох A6M2 Zero задля ескорту та атаки американської бази Мідуей.";"Predvodi leteći odred sastavljen od četiri A6M2 Zeroa u pratećoj misiji, za napad na američku bazu na Midveju.";"Vezesd a négy A6M2 típusú repülőgépből álló köteléked a midwayi amerikai bázis elleni támadásban.";"4기의 A6M2로 구성된 편대를 이끌고 미군의 미드웨이 기지를 공격하라.";"Узначальце сваё звяно з чатырох самалётаў A6M2 Zero у місіі суправаджэння для атакі базы ЗША на Мідуэй.";"Condu grupul format din patru avioane A6M2 Zero într-o misiune de escortă, pentru a ataca Baza SUA din Midway.";"率\t領\t四\t架\t零\t戰\t二\t一\t型\t在\t護\t航\t任\t務\t中，\t攻\t擊\t美\t國\t中\t途\t島\t基\t地。";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m1/part1";"4 June, N-day minus 3 for operation MI, Japanese naval operation for occupation of Midway Island.";"4 juin, Jour J moins 3 pour l’opération MI, opération navale japonaise pour l’occupation de l’île de Midway.";"4 giugno, mancano 3 giorni al Giorno N per l'operazione MI, operazione navale giapponese per l'occupazione dell'isola Midway.";"4. Juni, N-Day minus 3 für die Operation MI, Operation der japanischen Marine zur Besetzung der Midway-Insel.";"4 de junio, día N menos 3 para la operación MI, Operación naval japonesa para ocupar la isla Midway.";"4-е июня, за три дня до начала ""МИ"", японской военно-морской операции по оккупации атолла Мидуэй.";"4 czerwca, dzień N minus 3 operacji MI, działań japońskiej marynarki wojennej mających na celu zajęcie atolu Midway.";"4. června, den N minus 3 pro operaci MI, v níž mají japonské námořní síly za cíl dobýt ostrov Midway";"4 Haziran N Günü'ndeki MI Operasyonu'na 3 gün kala. Midway Adası'nı işgal için Japon donanma operasyonu.";"6 月 4 日，\t“MI”\t行\t动\t（日\t本\t海\t军\t攻\t占\t中\t途\t岛\t的\t行\t动）\t的\t“N 日”\t前\t三\t天";"六月四日、\t日本海軍の\tミッドウェー\t制圧計画、\t「ＭＩ\t作戦」\tにおける\t上陸予定日の\t三日前";"4 De Junho, N-day (o dia em que a unidade é notificado para redestribuir, o dia não é especificado) menos 3 para operação, operação naval japonesa para a ocupação da ilha de Midway.";"4 червня, за три дні до початку операції МІ, японська військово-морська операція з окупації острова Мідуей.";"4. jun, 3 dana do operacije MI, japanska pomorska operacija za okupaciju ostrva Midvaj.";"Június 4., N-nap mínusz 3 az MI hadműveletig, a Midway-szigetek elfoglalására irányuló japán haditengerészeti támadásig.";"6월 4일, 미드웨이 섬 점령을 위한 일본 해군의 MI 작전 개시 3일 전";"4 чэрвеня, за трое сутак да пачатку аперацыі «МІ», японскай ваенна-марской аперацыі па захопе атола Мідуэй.";"4 iunie, ziua N minus 3 pentru operațiunea MI, operațiunea navală japoneză pentru ocuparea insulei Midway.";"6 月 4 日，\tMI 行\t動\t的 N 日\t前 3 天，\t日\t本\t海\t軍\t佔\t領\t中\t途\t島\t的\t作\t戰\t行\t動";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m1/part2";"Military base at the end of the Hawaiian Island chain, a vital outpost for the U.S. Naval forces.";"Base militaire au bout de l’archipel des îles Hawaï, un avant-poste vital pour les forces navales US.";"Base militare alla fine del canale delle isole Hawaii, un avamposto vitale per le forze navali USA.";"Militärstützpunkt am Zipfel der hawaiischen Inselkette und wichtiger Außenposten für die US-Marinestreitkräfte.";"Base militar ubicada al final de la cadena de islas de Hawái, un puesto de avanzada vital para las Fuerzas Navales norteamericanas.";"Военная база в конце цепочки Гавайских островов, жизненно важный аванпост ВМФ США.";"Baza wojskowa zlokalizowana na krańcu archipelagu Hawaje, kluczowa placówka marynarki wojennej USA.";"Vojenská základna na konci havajského souostroví je důležitým stanovištěm amerických námořních sil.";"Hawaii Adalar Zinciri'nin sonundaki askeri üs. ABD için hayati bir ileri karakol. Donanma kuvvetleri.";"位\t于\t夏\t威\t夷\t群\t岛\t最\t末\t端\t的\t军\t事\t基\t地\t是\t美\t国\t海\t军\t的\t重\t要\t前\t哨。";"そこは\tハワイ\t諸島の\t端に\t位置する\t軍事基地であり、\tアメリカ\t海軍の\t重要拠点";"Base militar no fim da cadeia da ilha havaiana, a força de um posto avançado da Marinha Dos Estados Unidos.";"Військова база в кінці ланцюга Гавайських острів, життєво важливий форпост для військово-морських сил США.";"Vojna baza na kraju lanca havajskih ostrva, ispostava od vitalnog značaja za američke pomorske snage.";"Katonai bázis a Hawaii-szigetek lánculatának végén, az amerikai haditengerészet egyik létfontosságú előőrse.";"하와이 제도의 끝에 있던 군사기지는 미 해군에게 없어서는 안 될 전진기지였다.";"Вайсковая база на канцы архіпелага Гаваі, ключавы аванпост ваенна-марскіх сіл ЗША.";"Baza militară de la capătul lanțului de insule din Hawaii, un avanpost vital pentru forțele navale americane.";"位\t於\t夏\t威\t夷\t群\t島\t末\t端\t的\t軍\t事\t基\t地，\t這\t是\t美\t國\t海\t軍\t重\t要\t的\t前\t哨\t基\t地";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m1/part3";"1st Carrier Striking Force and Midway Invasion Force, approximately 300 miles out, approaching Midway from the north-east and the south-east.";"Force de frappe du premier porte-avions et Force d'invasion de Midway, à environ 300 miles, approchent Midway en venant du nord-est et du sud-est.";"La Prima Forza d'Attacco di Portaerei e la Forza d'Invasione di Midway, a circa 300 miglia, si stanno avvicinando a Midway da nordest e da sudest";"Die 1. Marineluftflotte sowie die Midway-Invasionstruppen, jetzt noch etwa 300 Meilen vor der Küste entfernt, nähern sich Midway aus Nordosten und Südosten.";"1era Fuerza de Ataque de Portaaviones y Fuerza de Invasión de Midway, aproximadamente 300 millas afuera, aproximándose a Midway desde el noreste y sureste.";"Первое авианосное ударное соединение и Силы вторжения на Мидуэй, на расстоянии приблизительно 300 миль, двигающиеся к острову с северо-востока и юго-востока.";"1 Zespół Uderzeniowy Lotniskowców i Zespół Inwazyjny na Midway, znajdujące się około 300 mil od atolu, zbliżają się do Midway od północnego wschodu i południowego wschodu.";"1. úderný svaz letadlových lodí a invazní jednotka pro Midway, asi 300 mil od cíle, přiblížení k Midwayi probíhá ze severovýchodu a jihovýchodu.";"1. Uçak Gemisi Vurucu Kuvveti ve İşgal Kuvveti, yaklaşık 300 mil açıkta, kuzeydoğu ve güneydoğudan Midway'e yaklaşıyor.";"第\t一\t航\t空\t舰\t队\t与\t中\t途\t岛\t登\t陆\t部\t队\t相\t距\t约 300 英\t里，\t两\t支\t部\t队\t正\t分\t别\t从\t东\t北\t和\t东\t南\t方\t向\t逼\t近\t中\t途\t岛。";"第一航空艦隊と\tミッドウェー\t攻略部隊は、\tミッドウェーの\t沖合、\t約五百\tキロ\t地点にあり、\t北西、\t及び\t南西の\t方角から\t接近した";"1st Carrier Striking Force e a força de invasão de Midway, aproximadamente 300 km, chegando do nordeste ao sudeste.";"Перша Авіаносна Ударна Група та сили для вторгнення на Мідуей, приблизна відстань - 300 миль, наближення до Мідуей з північного- та південного-сходу.";"1. Udarna grupa nosača aviona i snage za invaziju Midveja, udaljene otprilike 480 km, prilaze Midveju sa severoistoka i jugoistoka.";"Az 1. csapásmérő hordozóegység és a midwayi inváziós flotta mintegy 300 mérfölddel arrébb a Midway-szigetekhez közeledik északkelet és délkelet felől.";"제1항모기동부대와 미드웨이 침공 부대가 미드웨이 북동쪽과 남동쪽 대략 300마일 거리에서 접근 중이다.";"Першае авіяноснае ўдарнае злучэнне і сілы ўварвання на Мідуэй, што знаходзяцца прыблізна ў 300 мілях ад атола, набліжаюцца да Мідуэй з паўночнага ўсходу і паўднёвага ўсходу.";"Prima forță de portavioane de atac și forța de invazie a Midway, aproximativ 300 de mile distanță, se apropie de Midway de la nord-est și de sud-est.";"第\t一\t航\t空\t戰\t隊\t與\t中\t途\t島\t的\t入\t侵\t部\t隊，\t大\t約 300 英\t里\t外，\t由\t東\t北\t方\t和\t東\t南\t方\t向\t接\t近\t中\t途\t島";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m1/part4";"Early morning that day, First Carrier Striking Force under the command of Vice Admiral Nagumo Chuichi begins the first phase of the operation — air strike on Midway Atoll base.";"Tôt ce matin-là, la première escadre de porte-avions sous le commandement du Vice-Amiral Nagumo Chuichi entame la première phase des opérations : des frappes aériennes sur la base de l’atoll de Midway.";"Alle prime ore di quel giorno la Prima Forza d'Attacco di Portaerei, al comando del Vice Ammiraglio Nagumo Chuichi, inizia la prima fase operativa - attacco aereo alla base dell'Atollo Midway.";"Am frühen Morgen dieses Tages beginnt die 1. Marineluftflotte unter dem Kommando von Vizeadmiral Nagumo Chuichi mit der ersten Phase der Operation ""Lufttschlag gegen den US-Stützpunkt auf dem Midway-Atoll"".";"Temprano en la mañana de ese día, la Primera Fuerza de Ataque de Portaaviones comandada por el vice almirante Nagumo Chuichi comienza la primera fase de la operación: un ataque aéreo a la base del Atolón de Midway.";"Ранним утром в этот день Первое авианосное ударное соединение под командованием вице-адмирала Нагумо Тюити начало проведение первой фазы операции – воздушный налёт на базу атолла Мидуэй.";"Wczesnym rankiem tego dnia 1 Zespół Uderzeniowy Lotniskowców, dowodzony przez wiceadmirała Chuichi Nagumo, rozpoczął pierwszą fazę operacji - atak powietrzny na bazę Midway.";"Ráno toho dne začala První úderná skupina letadlových lodí pod velením viceadmirála Chuichi Naguma první fázi operace - letecký úder na atol Midway.";"O gün sabah erken saatte Koramiral Nagumo Chuichi komutasındaki 1. Uçak Gemisi Vurucu Kuvveti, operasyonun ilk aşamasına başladı: Midway Adası üssüne hava saldırısı.";"当\t日\t清\t晨，\t第\t一\t航\t空\t舰\t队\t司\t令\t南\t云\t忠\t一\t中\t将\t下\t令\t开\t始\t第\t一\t阶\t段\t行\t动\t—\t—\t空\t袭\t中\t途\t岛。";"その\t日の\t早朝、\t南雲忠一中将の\t指揮する「第一航空艦隊」\tは\t作戦の\t第一段階である、\tミッドウェー\t環礁基地の\t爆撃を\t開始する。";"Naquele dia de manhã cedo, a First Carrier Striking Force sob o comando do vice-almirante Nagumo Chuichi começa a primeira fase da operação — o ataque aéreo na base do Atol de Midway.";"Рано вранці того ж дня. Перша Авіаносна Ударна Група на чолі з віце-адміралом Нагумо Тюіті розпочали першу фазу операції — авіаудар на базу Атолл, Мідуей.";"Rano ujutru tog dana, Prva udarna grupa nosača aviona pod komandom vice-admirala Nagumo Čuičija, počinje prvu fazu operacije - vazdušni napad na bazu na Midveju.";"Aznap kora reggel az 1. csapásmérő hordozóegység Nagumo Csúicsi altengernagy parancsnoksága alatt megkezdi a hadművelet első fázisát,  a légicsapást a midwayi bázis ellen.";"그날 아침 일찍 나구모 주이치(南雲 忠一 ) 제독 휘하의 제1항모기동부대가 미드웨이 기지에 대한 공습으로 작전의 첫 장을 열었다.";"Раніцай гэтага дня Першае авіяноснае ўдарнае злучэнне пад камандаваннем віцэ-адмірала Нагумо Цюіці пачало першую фазу аперацыі — паветраны налёт на базу атола Мідуэй.";"Dimineața devreme în acea zi, Prima forță de portavioane de atac sub comanda viceamiralului Nagumo Chuichi începe prima fază a operațiunii - atacul aerian asupra bazei din atolul Midway.";"當\t日\t清\t晨，\t一\t航\t戰\t的\t指\t揮\t官，\t南\t雲\t忠\t一\t中\t將\t下\t令\t第\t一\t階\t段\t行\t動 ─ 空\t襲\t中\t途\t島";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m2/place";"IJN Kaga, 1st Carrier Striking Force ""Kido Butai"".";"IJN Kaga, 1ère Division de porte-avions ''Kido Butai''";"IJN Hiryū, 1a Forza d'Attacco di Portaerei ""Kido Butai"".";"IJN Kaga, 1. Marineluftflotte ''Kido Butai''.";"IJN Kaga, 1era Fuerza de Ataque de Portaaviones ''Kido Butai''.";"Авианосец ""Кага"", Первое авианосное ударное соединение ""Кидо Бутай""";"Lotniskowiec Kaga, 1 Zespół Uderzeniowy „Kido Butai”.";"IJN Kaga, 1. úderný svaz letadlových lodí „Kido Butai“.";"IJN KAga, 1. Uçak Gemisi Vurucu Kuvveti ""Kido Butai"".";"日\t本\t第\t一\t航\t空\t舰\t队\t第\t一\t航\t空\t战\t队，\t“加\t贺”\t号\t航\t空\t母\t舰";"大日本帝国海軍空母第\t1機動部隊加賀";"MIJ Kaga, 1ª Frota de Porta-Aviões de Ataque ""Kido Butai"".";"Авіаносець Кага, Перша Авіаносна Ударна Група ""Кідо Бутаі"".";"IJN Kaga, 1. Udarna grupa nosača aviona ""Kido Butai"".";"Kaga repülőgép-hordozó, 1. csapásmérő hordozóegység (Kidó Butai)";"일본 해군 제1항모기동부대 소속 항공모함 카가";"Авіяносец «Кага», Першае авіяноснае ўдарнае злучэнне «Кідо Бутай»";"Kaga, MIJ, Prima forță de portavioane de atac „Kido Butai”.";"日\t本\t帝\t國\t海\t軍\t一\t航\t戰\t機\t動\t部\t隊，\t“加\t賀”\t號\t航\t空\t母\t艦";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m2/date";"08:30 June 4, 1942";"8 h 30 – 4 Juin 1942";"08:30 del 4 Giugno 1942";"08:30 Uhr, 4. Juni 1942";"08:30hs, 4 de junio de 1942.";"08:30, 4 июня 1942";"8.30, 4 czerwca 1942 roku";"4. června 1942, 8:30";"08:30 4 Haziran 1942";"1942 年 6 月 4 日，\t8 时 30 分";"1942年\t6月\t4日\t8:30";"4 De Junho de 1942 às 08:30";"04:30, 4 червня 1942 року";"08:30 Jun 4, 1942";"1942. június 4., 8:30";"1942년 6월 4일 08:30";"08:30, 4 чэрвеня 1942 года";"08:30 4 iunie 1942";"1942 年 6 月 4 日, 08:30";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
"mb/jpn_midway_m2/objective";"Lead your wing consisting of four A6M2 Zero in a combat patrol mission over the fleet of carriers.";"Conduisez votre escadre de 4 A6M2 Zéro en patrouille au-dessus des porte-avions.";"Conduci il tuo stormo composto da 4 A6M2 Zero in una missione di ricognizione della flotta delle portaerei.";"Führe deine Staffel von vier A6M2 Zeros und begib dich auf eine Kampfpatrouille über der Trägerflotte.";"Lidere a su ala de 4 aviones A6M2 Zero en una misión de patrulla de combate sobre la flota de portaaviones.";"Возглавьте свой отряд, состоящий из 4 A6M2 Зеро, для выполнения боевого разведывательного задания над авианосным флотом. ";"Poprowadź swój klucz składający się z czterech samolotów A6M2 Zero na patrol myśliwski nad flotą lotniskowców.";"Veď svou letku čtyř letounů A6M2 Reisen na bojovou hlídku nad flotilou letadlových lodí";"Dört A6M2 Zero'dan oluşan kanadını, uçak gemisi filosu üzerinde devriye uçuşu görevinde yönet.";"率\t四\t架\t零\t战\t二\t一\t型\t在\t舰\t队\t上\t空\t巡\t逻。";"A6M2零式戦闘機\t4機による\t飛行団を\t指揮して\t敵空母艦隊に\t対する\t戦闘空中哨戒にあたる";"Levaram sua ala contendo quatro ""A6M2 Zero"" em uma missão de patrulha de combate sobre a frota dos porta-aviões.";"Очольте свій загін з чотирьох A6M2 Zero у місії з патрулювання флоту авіаносців.";"Predvodi leteći odred sastavljen od četiri A6M2 Zeroa u misiji borbene patrole iznad flote nosača aviona.";"Vezesd a négy A6M2 típusú repülőgépből álló köteléked harci járőr bevetésre a repülőgép-hordozó flotta fölé.";"4대의 A6M2로 구성된 편대를 이끌고 항모함대 상공에서 전투 초계 임무를 수행하라.";"Узначальце сваё звяно з чатырох самалётаў A6M2 Zero для выканання баявога выведвальнага задання над авіяносным флотам. ";"Condu grupul format din patru A6M2 Zero într-o misiune de luptă de patrulare peste flota de portavioane.";"率\t領\t四\t架\t零\t戰\t二\t一\t型\t在\t艦\t隊\t上\t空\t巡\t邏。";"相\t关\t字\t幕\t内\t容，\t暂\t不\t开\t放\t展\t示";;
