"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"missions/hon_jpn_first_wave";"First Wave";"Première vague";"Prima ondata";"Erste Angriffswelle";"Primera ola";"Первая волна";"Pierwsza fala";"První vlna";"İlk Dalga";"第\t一\t波\t攻\t击";"第\t1波";"Primeira onda";"First Wave";"Перша хвиля";"Prvi Talas";"Első hullám";"첫 공세";"Першая хваля";"Primul val";"第\t一\t波\t攻\t擊";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_jpn_first_wave/condition";"Wind 17-35 knots, cumulo-nimbus and strato-cumulus clouds, visibility 15, scattered squalls";"Vent de 17-35 nœuds, nuages cumulo-nimbus et strato-cumulus, visibilité 15, bourrasques et ciel parsemé";"Vento 17-35 nodi, cumulonembi e stratocumuli, visibilità 15, bufere sparse";"Wind mit Stärke 17-35 Knoten, Kumulonimbus- und Stratokumuluswolken, Sicht 15, vereinzelte Böen";"Viento de 17-35 nudos, nubes cumulonimbos y estratocúmulo, visibilidad 15, turbonadas dispersas";"Ветер 17-35 узлов, кучевые дождевые и слоисто-кучевые облака, видимость 15, порывистый ветер";"Wiatr: 17-35 węzłów, zachmurzenie: cumulonimbusy i stratocumulusy, widoczność: 15, szkwał";"Oblaka kumulonimby a stratokumuly, viditelnost 15, vítr o rychlosti 30 - 65 km/h, izolované poryvy větru";"Rüzgar 17-35 knot. Kümülonimbus ve stratokümülüs bulutları. Görüş mesafesi 15. Dağınık rüzgarlar";"风\t速 17-35 节，\t积\t雨\t云\t与\t层\t积\t云，\t能\t见\t度 15，\t局\t部\t有\t颮";"風速\t17～35\tノット、\t積乱雲および\t層積雲、\t視程\t15、\t散発的\tスコール";"Vento 17-35 nós, nuvens cumulo-nimbus e estrato-cumulos, visibilidade 15, visão dispersa";"Wind 17-35 knots, cumulo-nimbus and strato-cumulus clouds, visibility 15, scattered squalls";"Вітер 17-35 вузлів, купчасті дощові і шарувато-купчасті хмари, видимість 15, поривчастий вітер";"Vetar 17-35 čvorova, oblaci kumulonimbusni i stratokumulusni, vidljivost 15, povremeni naleti vetra";"Szélsebesség 31-65 km/h, zivatarfelhők és gomolyos rétegfelhőzet, látótávolság 15 km, elszórt széllökések";"풍속 17~35노트, 적란운 및 층적운, 시정 15, 간헐적 돌풍";"Вецер 17-35 вузлоў, кучава-дажджавыя і слаіста-кучавыя аблокі, бачнасць 15, вецер парывісты";"Vânt 17-35 noduri, nori cumulo-nimbus și strato-cumulus, vizibilitate 15, rafale răzlețe.";"風\t速 17-35 節，\t積\t雨\t雲\t和\t層\t積\t雲，\t能\t見\t度 15，\t局\t部\t亂\t流";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_jpn_first_wave/desc";"Japanese forces:
90 B5N2, 54 D3A1, 45 A6M2

American forces:
Hundreds of planes on different airfields, few battleships and numerous ships of another type in the harbor";"Forces japonaises:
90 B5N2, 54 D3A1, 45 A6M2

Forces américaines:
Des centaines d'avions sur plusieurs aérodromes, quelques bateaux de guerre et de nombreux bateaux d'autres types dans le port";"Forze giapponesi:
90 B5N2, 54 D3A1, 45 A6M2

Forze statunitensi:
Centinaia di velivoli in diverse basi aeree, alcune corazzate e numerose navi di altro tipo nel porto";"Japanische Streitkräfte:
90 x B5N2, 54 x D3A1, 45 x A6M2

Amerikanische Streitkräfte:
Hunderte von Flugzeugen auf verschiedenen Flugplätzen, einige Schlachtschiffe und zahlreiche Schiffe anderen Typs im Hafen";"Fuerzas japonesas:
90 B5N2, 54 D3A1, 45 A6M2

Fuerzas norteamericanas:
Cientos de aviones en diversos aeródromos, algunos acorazados y varias naves de otro tipo ubicadas en el puerto";"Силы японцев:
90 B5N2, 54 D3A1, 45 A6M2

Силы американцев:
Сотни самолётов на различных аэродромах, несколько линкоров и множество кораблей других типов в гавани";"Siły japońskie:
B5N2: 90, D3A1: 54, A6M2: 45

Siły amerykańskie:
Setki samolotów na różnych lotniskach, kilka pancerników i liczne okręty innego typu w porcie.";"Japonské síly:
90× B5N2
54× D3A1 
45× A6M2 Reisen

Americké síly:
Stovky letadel na různých letištích, několik bitevních lodí a množství lodí dalšího typu v přístavu";"Japon kuvvetleri:
90 B5N2, 54 D3A1, 45 A6M2

Amerikan kuvvetleri:
Limanda farklı pistlerdeki yüzlerce uçak, birkaç savaş gemisi ve farklı tipte birçok gemi var";"日\t军：
90 架\t九\t七\t舰\t攻，\t54 架\t九\t九\t舰\t爆，\t45 架\t零\t战

美\t军：
成\t百\t上\t千\t架\t飞\t机\t分\t布\t于\t各\t机\t场，\t少\t数\t战\t列\t舰\t和\t大\t量\t其\t他\t各\t型\t舰\t只";"日本軍:
B5N2九七式艦上攻撃機 90機, D3A1九九式艦上攻撃機 54機, A6M2零式戦闘機 45機

米軍:
各飛行場にそれぞれ\t航空機が\t数百機、\t湾には\t戦艦数隻、\t別の\t種類の\t艦船多数";"Forças Japonesas:
 90 B5N2, 54 D3A1, 45 A6M2

Forças Americanas:
Centenas de aviões em aeródromos diferentes, alguns encouraçados e numerosos navios de outro tipo no porto";"Japanese forces:
90 B5N2, 54 D3A1, 45 A6M2

American forces:
Hundreds of planes on different airfields, few battleships and numerous ships of another type in the harbor";"Сили японців: 
90 B5N2, 54 D3A1, 45 A6M2  

Сили американців: 
Сотні літаків на різних аеродромах, декілька лінкорів і безліч кораблів інших типів в гавані";"Japanske snage:
90 B5N2, 54 D3A1, 45 A6M2

Američke snage:
Na stotine aviona sa različitih aerodroma, nekoliko bojnih brodova i brojni brodovi različitih vrsta u luci";"Japán haderő:
90 db B5N2, 54 db D3A1 és 45 db A6M2

Amerikai haderő:
Repülők százai különböző reptereken, néhány csatahajó és számos más típusú hajó az öbölben";"일본군 병력:
B5N2 : 90대, D3A1 : 90대, A6M2 : 45대

미군 병력:
여러 비행장에 배치된 수백 대의 항공기, 항구에 배치된 많지 않은 전함들과 다른 종류의 함정 다수";"Сілы японцаў:
90 B5N2, 54 D3A1, 45 A6M2

Сілы амерыканцаў:
Сотні самалётаў на розных аэрадромах, некалькі лінкараў і вялікая колькасць караблёў іншых тыпаў у гавані";"Forțele japoneze:
90 B5N2, 54 D3A1, 45 A6M2.

Forțele americane:
Sute de avioane pe diferite aerodromuri, câteva cuirasate și numeroase nave de alt tip în port.";"日\t軍：
90 架\t九\t七\t艦\t攻，\t54 架\t九\t九\t艦\t爆，\t45 架\t零\t戰\t二\t一\t型

美\t軍：
成\t百\t上\t千\t架\t飛\t機\t分\t佈\t於\t各\t機\t場，\t少\t數\t戰\t列\t艦\t和\t大\t量\t其\t他\t各\t型\t艦\t隻";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_jpn_second_wave";"Second Wave";"Deuxième vague";"Seconda ondata";"Zweite Angriffswelle";"Segunda ola";"Вторая волна";"Druga fala";"Druhá vlna";"İkinci Dalga";"第\t二\t波\t攻\t击";"第\t2波";"Segunda vaga";"Second Wave";"Друга хвиля";"Drugi Talas";"Második hullám";"2차 공세";"Другая хваля";"Al doilea val";"第\t二\t波\t攻\t擊";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_jpn_second_wave/condition";"Wind 17-35 knots, cumulo-nimbus and strato-cumulus clouds, visibility 15, scattered squalls";"Vent de 17-35 nœuds, nuages cumulo-nimbus et strato-cumulus, visibilité 15, bourrasques et ciel parsemé";"Vento 17-35 nodi, cumulonembi e stratocumuli, visibilità 15, bufere sparse";"Wind mit Stärke 17-35 Knoten, Kumulonimbus- und Stratokumuluswolken, Sicht 15, vereinzelte Böen";"Viento de 17-35 nudos, nubes cumulonimbos y estratocúmulo, visibilidad 15, turbonadas dispersas";"Ветер 17-35 узлов, кучевые дождевые и слоисто-кучевые облака, видимость 15, порывистый ветер";"Wiatr: 17-35 węzłów, zachmurzenie: cumulonimbusy i stratocumulusy, widoczność: 15, szkwał";"Oblaka kumulonimby a stratokumuly, viditelnost 15, vítr o rychlosti 30 - 65 km/h, izolované poryvy větru";"Rüzgar 17-35 knot. Kümülonimbus ve stratokümülüs bulutları. Görüş mesafesi 15. Dağınık rüzgarlar";"风\t速 17-35 节，\t积\t雨\t云\t与\t层\t积\t云，\t能\t见\t度 15，\t局\t部\t有\t颮";"風速\t17～35\tノット、\t積乱雲および\t層積雲、\t視程\t15、\t散発的\tスコール";"Vento 17-35 nós, cumulo-nimbus e strato-cumulus, visibilidade 15, visão dispersa";"Wind 17-35 knots, cumulo-nimbus and strato-cumulus clouds, visibility 15, scattered squalls";"Вітер 17-35 вузлів, купчасті дощові і шарувато-купчасті хмари, видимість 15, поривчастий вітер";"Vetar 17-35 čvorova, oblaci kumulonimbusni i stratokumulusni, vidljivost 15, povremeni naleti vetra";"Szélsebesség 31-65 km/h, zivatarfelhők és gomolyos rétegfelhőzet, látótávolság 15 km, elszórt széllökések";"풍속 17~35노트, 적란운 및 층적운, 시정 15, 간헐적 돌풍";"Вецер 17-35 вузлоў, кучава-дажджавыя і слаіста-кучавыя аблокі, бачнасць 15, вецер парывісты";"Vânt 17-35 noduri, nori cumulo-nimbus și strato-cumulus, vizibilitate 15, rafale răzlețe.";"風\t速 17-35 節，\t積\t雨\t雲\t和\t層\t積\t雲，\t能\t見\t度 15，\t局\t部\t亂\t流";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_jpn_second_wave/desc";"Japanese forces:
54 B5N2, 81 D3A1, 36 A6M2

American forces:
Hundreds of planes on different airfields, few battleships and numerous ships of another type in the harbor";"Forces japonaises:
54 B5N2, 81 D3A1, 36 A6M2

Forces américaines:
Des centaines d'avion dans le ciel, quelques bateaux de guerre et plusieurs bateau d'autre type dans la région";"Forze giapponesi:
54 B5N2, 81 D3A1, 36 A6M2

Forze statunitensi:
Centinaia di velivoli in diverse basi aeree, alcune corazzate e numerose navi di altro tipo nel porto";"Japanische Streitkräfte:
54 x B5N2, 81 x D3A1, 36 x A6M2

Amerikanische Streitkräfte:
Hunderte von Flugzeugen auf verschiedenen Flugplätzen, einige Schlachtschiffe und zahlreiche Schiffe anderen Typs im Hafen";"Fuerzas japonesas:
54 B5N2, 81 D3A1, 36 A6M2

Fuerzas norteamericanas:
Cientos de aviones en diversos aeródromos, algunos acorazados y varias naves de otro tipo ubicadas en el puerto";"Силы японцев:
54 B5N2, 81 D3A1, 36 A6M2

Силы американцев:
Сотни самолётов на различных аэродромах, несколько линкоров и множество кораблей других типов в гавани";"Siły japońskie:
B5N2: 54, D3A1: 81, A6M2: 36

Siły amerykańskie:
Setki samolotów na różnych lotniskach, kilka pancerników i liczne okręty innego typu w porcie.";"Japonské síly:
54× B5N2
81× D3A1
36× A6M2 Reisen

Americké síly:
Stovky letadel na různých letištích, několik bitevních lodí a množství lodí dalšího typu v přístavu";"Japon kuvvetleri:
54 B5N2, 81 D3A1, 36 A6M2

Amerikan kuvvetleri:
Limanda farklı pistlerdeki yüzlerce uçak, birkaç savaş gemisi ve farklı tipte birçok gemi var";"日\t军：
54 架\t九\t七\t舰\t攻，\t81 架\t九\t九\t舰\t爆，\t36 架\t零\t战

美\t军：
成\t百\t上\t千\t架\t飞\t机\t分\t布\t于\t各\t机\t场，\t少\t数\t战\t列\t舰\t和\t大\t量\t其\t他\t各\t型\t舰\t只";"日本軍:
B5N2 九七式艦上攻撃機 54機, D3A1九九式艦上攻撃機 81機, A6M2零式戦闘機 36機

米軍:
各飛行場にそれぞれ\t航空機が\t数百機、\t湾には\t戦艦数隻、\t別の\t種類の\t艦船多数";"Forças Japonesas:
 54 B5N2, 81 D3A1, 31 A6M2

Forças Americanas:
Centenas de aviões em aeródromos diferentes, alguns encouraçados e numerosos navios de outro tipo no porto";"Japanese forces:
54 B5N2, 81 D3A1, 36 A6M2

American forces:
Hundreds of planes on different airfields, few battleships and numerous ships of another type in the harbor";"Сили японців:
54 B5N2, 81 D3A1, 36 A6M2
  
Сили американців: 
Сотні літаків на різних аеродромах, декілька лінкорів і безліч кораблів інших типів в гавані";"Japanske snage:
90 B5N2, 54 D3A1, 45 A6M2

Američke snage:
Na stotine aviona sa različitih aerodroma, nekoliko bojnih brodova i brojni brodovi različitih vrsta u luci";"Japán haderő:
54 db B5N2, 81 db D3A1 és 36 db A6M2

Amerikai haderő:
Repülők százai különböző reptereken, néhány csatahajó és számos más típusú hajó az öbölben";"일본군 병력:
B5N2 : 54대, D3A1 : 81대, A6M2 : 36대

미군 병력:
여러 비행장에 배치된 수백 대의 항공기, 항구에 배치된 많지 않은 전함들과 다른 종류의 함정 다수";"Сілы японцаў:
54 B5N2, 81 D3A1, 36 A6M2

Сілы амерыканцаў:
Сотні самалётаў на розных аэрадромах, некалькі лінкараў і вялікая колькасць караблёў іншых тыпаў у гавані";"Forțele japoneze:
54 B5N2, 81 D3A1, 36 A6M2.

Forțele americane:
Sute de avioane pe diferite aerodromuri, câteva cuirasate și numeroase nave de alt tip în port.";"日\t軍：
54 架\t九\t七\t艦\t攻，\t81 架\t九\t九\t艦\t爆，\t36 架\t零\t戰\t二\t一\t型

美\t軍：
成\t百\t上\t千\t架\t飛\t機\t分\t佈\t於\t各\t機\t場，\t少\t數\t戰\t列\t艦\t和\t大\t量\t其\t他\t各\t型\t艦\t隻";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_usa_sbd";"Return to Oahu";"Retour à Oahu";"Ritorno a Oahu";"Rückkehr nach Oahu";"Regreso a Oahu";"Возвращение в Оаху";"Powrót na Oahu";"Návrat na Oahu";"Oahu'ya dön";"返\t回\t瓦\t胡\t岛";"オアフ\t島帰還";"Regressa para Oahu";"Return to Oahu";"Повернення в Оаху";"Vrati se na Oahu";"Visszatérés Oahura";"오아후로의 귀환";"Вяртанне на Ааху";"Revenirea la Oahu";"回\t到\t歐\t胡\t島";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_usa_sbd/condition";"Wind 17-35 knots, cumulo-nimbus and strato-cumulus clouds, visibility 15, scattered squalls";"Vent de 17-35 nœuds, nuages cumulo-nimbus et strato-cumulus, visibilité 15, bourrasques et ciel parsemé";"Vento 17-35 nodi, cumulonembi e stratocumuli, visibilità 15, bufere sparse";"Wind mit Stärke 17-35 Knoten, Kumulonimbus- und Stratokumuluswolken, Sicht 15, vereinzelte Böen";"Viento de 17-35 nudos, nubes cumulonimbos y estratocúmulo, visibilidad 15, turbonadas dispersas";"Ветер 17-35 узлов, кучевые дождевые и слоисто-кучевые облака, видимость 15, порывистый ветер";"Wiatr: 17-35 węzłów, zachmurzenie: cumulonimbusy i stratocumulusy, widoczność: 15, szkwał";"Oblaka kumulonimby a stratokumuly, viditelnost 15, vítr o rychlosti 30 - 65 km/h, izolované poryvy větru";"Rüzgar 17-35 knot. Kümülonimbus ve stratokümülüs bulutları. Görüş mesafesi 15. Dağınık rüzgarlar";"风\t速 17-35 节，\t积\t雨\t云\t与\t层\t积\t云，\t能\t见\t度 15，\t局\t部\t有\t颮";"風速\t17～35\tノット、\t積乱雲および\t層積雲、\t視程\t15、\t散発的\tスコール";"Vento 17-35 nós, cumulo-nimbus e strato-cumulus, visibilidade 15, visão dispersa";"Wind 17-35 knots, cumulo-nimbus and strato-cumulus clouds, visibility 15, scattered squalls";"Вітер 17-35 вузлів, купчасті дощові і шарувато-купчасті хмари, видимість 15, поривчастий вітер";"Vetar 17-35 čvorova, oblaci kumulonimbusni i stratokumulusni, vidljivost 15, povremeni naleti vetra";"Szélsebesség 31-65 km/h, zivatarfelhők és gomolyos rétegfelhőzet, látótávolság 15 km, elszórt széllökések";"풍속 17~35노트, 적란운 및 층적운, 시정 15, 간헐적 돌풍";"Вецер 17-35 вузлоў, кучава-дажджавыя і слаіста-кучавыя аблокі, бачнасць 15, вецер парывісты";"Vânt 17-35 noduri, nori cumulo-nimbus și strato-cumulus, vizibilitate 15, rafale răzlețe.";"風\t速 17-35 節，\t積\t雨\t雲\t和\t層\t積\t雲，\t能\t見\t度 15，\t局\t部\t亂\t流";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/hon_usa_sbd/desc";"Japanese forces:
Unknown

American forces:
18 SBD-3 in reconnaissance plane role";"Forces japonaises:
Inconnu

Forces américaines:
18 SBD-3 en rôle de reconnaissance d'avion";"Forze giapponesi:
Sconosciute

Forze statunitensi:
18 SBD-3 come aerei da ricognizione";"Japanische Streitkräfte:
Unbekannt

Amerikanische Streitkräfte:
18 x SBD-3 als Aufklärer";"Fuerzas japonesas:
Desconocido

Fuerzas norteamericanas:
18 SBD-3 con la función de vuelo reconocimiento";"Силы японцев:
Неизвестно

Силы американцев:
18 SBD-3 в качестве самолётов разведки";"Siły japońskie:
Nieznane

Siły amerykańskie:
18 SBD-3 wysłane na rozpoznanie.";"Japonské síly:
Neznámé

Americké síly:
18× SBD-3 Dauntless v průzkumné výzbroji";"Japon kuvvetleri:
Bilinmiyor

Amerikan kuvvetleri:
Keşif uçağı görevi yapan 18 SBD-3";"日\t军：
未\t知

美\t军：
18 架\t侦\t查\t用 SBD-3\t“无\t畏”";"日本軍:
不明

米軍:
18機の\tSBD-3\tが\t偵察任務中";"Forças Japonesas
desconhecido

Forças Americanas: 
18 SBD-3 no papel de avião de reconhecimento";"Japanese forces:
Unknown

American forces:
18 SBD-3 in reconnaissance plane role";"Сили японців: 
Невідомо  

Сили американців: 
18 SBD-3 в якості літаків розвідки";"Japanske snage:
Nepoznato

Američke snage:
18 SBD - 3 u izviđačkim ulogama";"Japán haderő:
Ismeretlen

Amerikai haderő:
18 db SBD-3 felderítő feladatkörben";"일본군 전력:
불명

미군 전력:
정찰 임무를 수행 중인 SBD-3 : 18대";"Сілы японцаў:
Невядома

Сілы амерыканцаў:
18 SBD-3 у ролі самалётаў выведкі";"Forțele japoneze:
Necunoscute.

Forțele americane:
18 SBD-3 în rol de recunoaștere.";"日\t軍:
不\t明

美\t軍:
18 架\t偵\t查\t用 SBD-3  無\t畏";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
"missions/coS_0";"Invasion of Tulagi";"Invasion de Tulagi";"Invasione di Tulagi";"Invasion von Tulagi";"Invasión de Tulagi";"Вторжение на Тулаги";"Inwazja na Tulagi";"Invaze na Tulagi";"Tulagi'nin işgali";"入\t侵\t图\t拉\t吉";"ツラギ\t島侵略";"Invasão de Tulagi";"Invasion of Tulagi";"Вторгнення на Тулагі";"Invazija Tulagija";"Tulagi megszállása";"툴라기 침공";"Уварванне на Тулагі";"Invazia insulei Tulagi";"入\t侵\t圖\t拉\t吉";"相\t关\t字\t幕\t内\t容，\t暂\t不\t展\t示";;
