"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"MF_TooLong";"It took you too long.";"Ça vous a pris trop de temps.";"Hai impiegato troppo.";"Du hast zu lange gebraucht.";"Te ha llevado demasiado tiempo.";"Слишком много времени прошло.";"Zajęło Ci to zbyt wiele czasu.";"Trvalo vám to příliš dlouho";"Çok uzun sürdü.";"已​耗​时​太​久";"時間が\t掛かり\t過ぎたようです";"Demorou muito tempo.";"Занадто багато часу пройшло.";"Predugo vam je trebalo.";"Kifutottál az időből";"시간이 얼마 남지 않았습니다.";"Гэта заняло ў вас зашмат часу.";"Ți-a luat prea mult.";"已​耗​時​太​久";"已​耗​时​太​久";"Thao tác thực hiện quá lâu.";;
"MF_NoAttempts";"Your flight was destroyed.";"Votre groupe a été détruit.";"Il tuo stormo è stato distrutto.";"Deine Staffel wurde zerstört.";"Tu escuadrón ha sido destruido.";"Ваш отряд уничтожен.";"Twoja eskadra została zniszczona";"Tvá letka byla zničena";"Uçuş filon yok edildi.";"飞​机​被​击​毁";"飛行小隊が\t殲滅されました。";"O teu avião foi destruído.";"Ваш загін знищено.";"Vaš let je uništen.";"A köteléked megsemmisült";"편대원 전원이 격추당했습니다.";"Ваш звяз знішчаны.";"Avionul tău a fost distrus.";"飛​機​被​擊​毀";"飞​机​被​击​毁";"Chuyến bay của bạn đã bị hủy.";;
"MF_WrongActions";"Try again";"Réessayer";"Riprova";"Versuche es erneut.";"Vuelve a intentarlo";"Попробуйте еще раз";"Spróbuj ponownie.";"Zkus to znovu";"Tekrar dene";"再​试​一​次";"再挑戦してください。";"Tente novamente";"Спробуйте ще раз";"Pokušaj opet";"Próbáld újra";"재시도";"Паспрабуйце яшчэ раз";"Încearcă din nou";"再​試​一​次";"再​试​一​次";"Hãy thử lại";;
"MF_MOFailed";"You have failed your mission.";"Vous avez perdu la mission.";"Hai fallito la tua missione.";"Du hast versagt.";"Has fracasado en tu misión.";"Вы не смогли выполнить задание.";"Misja nie została wykonana.";"Misi jsi nesplnil";"Görev başarısız.";"任​务​失​败";"作戦失敗です。";"Falhou a sua missão.";"Вам не вдалося виконати завдання.";"Niste uspeli da izvršite misiju.";"Nem sikerült teljesítened a küldetésed";"임무에 실패하였습니다.";"Вам не ўдалося выканаць місію.";"Ai eșuat misiunea.";"任​務​失​敗";"任​务​失​败";"Nhiệm vụ của bạn đã thất bại.";;
"MF_Empty";;;;;;;;;;;;;;;;;;;;;;;
"MF_Base_Destroyed";"All base defenders were destroyed.";"Tous les défenseurs de le base ont été détruits.";"Tutte le unità di difesa della base sono state distrutte.";"Alle Verteidiger wurden zerstört.";"Todos los defensores de la base fueron destruidos.";"Все защитники базы погибли.";"Wszyscy obrońcy bazy zostali zniszczeni.";"Všichni obránci základny byli zničeni";"Üssü savunan tüm birimler yok edildi.";"所​有​基​地​防​御​设​施​均​被​摧​毁";"拠点防衛部隊が\t全滅しました。";"Todos os defensores da base foram destruídos.";"Усі захисники бази загинули.";"Svi branioci baze su uništeni.";"A bázist védő összes egység megsemmisült";"모든 기지 방어병력이 궤멸되었습니다.";"Усе абаронцы базы загінулі.";"Toți apărătorii bazei au fost distruși.";"所​有​基​地​防​禦​設​施​均​被​摧​毀";"所​有​基​地​防​御​设​施​均​被​摧​毁";"Tất cả căn cứ phòng thủ đã bị phá hủy.";;
"MF_Civilian_killed";"Collateral damage will not be tolerated.";"Les dommages collatéraux ne seront pas tolérés.";"I danni collaterali non saranno tollerati.";"Kollateralschaden wird nicht toleriert.";"No se tolerarán daños colaterales.";"Нанесение вреда союзникам недопустимо.";"Zniszczenia i straty wśród ludności cywilnej nie będą tolerowane.";"Vedlejší škody nebudou tolerovány";"Sivil kayıplara tolerans gösterilmeyecek.";"你​造​成​了​附​带​平​民​损​害";"巻き\t添えによる\t被害が\t深刻です";"Danos colaterais não serão tolerados.";"Нанесення шкоди союзникам неприпустимо.";"Kolateralna šteta neće biti tolerisana.";"A járulékos veszteség megengedhetetlen";"2차 피해는 용납되지 않습니다.";"Страты сярод цывільнага насельніцтва не дапускаюцца.";"Daunele colaterale nu sunt tolerate.";"你​造​成​了​附​帶​平​民​損​害";"你​造​成​了​附​带​平​民​损​害";"Tổn thất ngoài dự kiến sẽ không được bỏ qua.";;
"MF_flee";"The enemy escaped.";"L'ennemi s'est sauvé.";"Il nemico è fuggito.";"Der Feind ist entkommen.";"El enemigo ha escapado.";"Враг сбежал.";"Wróg uciekł.";"Nepřátelé unikli";"Düşman kaçtı.";"敌​人​逃​掉​了";"敵は\t逃亡しました";"O inimigo escapou.";"Враг втік.";"Neprijatelj je pobegao.";"Az ellenség elmenekült";"적이 탈출했습니다.";"Вораг уцёк.";"Inamicul a scăpat.";"敵​人​逃​掉​了";"敌​人​逃​掉​了";"Đối phương đã trốn thoát.";;
"MF_To_many_ally_died";"We have lost too many allies.";"Vous avez perdu trop d'alliés.";"Abbiamo perso troppi alleati.";"Wir haben zu viele Verbündete verloren.";"Hemos perdido demasiados aliados.";"Мы потеряли слишком много союзников.";"Straciliśmy zbyt wielu sojuszników.";"Ztratili jsme příliš mnoho spojenců";"Çok fazla müttefik kaybettik.";"友​军​损​失​过​于​严​重";"味方を\t多く\t失い\t過ぎたようです";"Perdemos muitos aliados.";"Ми втратили занадто багато союзників.";"Izgubili ste previše saveznika.";"Túl sok szövetségest vesztettünk";"너무 많은 아군을 잃었습니다.";"Мы страцілі зашмат хаўруснікаў.";"Am pierdut prea mulți aliați.";"友​軍​損​失​過​於​嚴​重";"友​军​损​失​过​于​严​重";"Chúng ta đã mất quá nhiều đồng minh.";;
"MF_spotted";"You were detected by the enemy.";"Vous avez été détecté par l'ennemi.";"Sei stato individuato dal nemico.";"Der Feind hat dich entdeckt.";"El enemigo te ha detectado.";"Вы были замечены противником.";"Wróg Cię wykrył.";"Byl jsi odhalen nepřítelem";"Düşman tarafından farkedildin.";"已​被​敌​军​发​现";"敵に\t発見されました";"Foste detectado pelo inimigo.";"Ви були помічені противником.";"Neprijatelj vas je otkrio.";"Észrevett az ellenség";"적에게 발각되었습니다.";"Вас выявіў супраціўнік.";"Ai fost detectat de inamic.";"已​被​敵​軍​發​現";"已​被​敌​军​发​现";"Bạn đã bị quân địch phát hiện.";;
"MF_doneDestr";"You have destroyed the dam";"Vous avez détruit le barrage";"Hai distrutto la diga.";"Du hast den Damm zerstört.";"Has destruido la presa";"Вы разрушили дамбу";"Zniszczyłeś tamę.";"Zničil jsi přehradu";"Barajı imha ettin";"你​摧​毁​了​大​坝";"ダムを\t破壊しました";"Destruiste a barragem";"Ви знищили дамбу";"Uništili ste branu";"Megsemmisítetted a gátat";"댐을 파괴했습니다.";"Вы зруйнавалі дамбу";"Ai distrus barajul.";"你​摧​毀​了​水​壩";"你​摧​毁​了​大​坝";"Bạn đã phá hủy con đê";;
"MF_hostageDie";"You eliminated the hostages";"Vous avez éliminé les otages";"Hai ucciso gli ostaggi";"Du hast die Geiseln getötet.";"Has matado a los rehenes";"Вы уничтожили заложников";"Wyeliminowałeś zakładników";"Zabil jsi rukojmí";"Rehineleri öldürdün";"你​误​杀​了​人​质";"人質を\t殺害してしまいました";"Matas-te os reféns";"Ви вбили заручників";"Eliminisali ste taoce";"Likvidáltad a túszokat";"인질을 사살했습니다";"Вы знішчылі закладнікаў";"Ai eliminat ostaticii.";"你​誤​殺​了​人​質";"你​误​击​了​人​质";"Bạn đã giết các con tin";;
"MF_ally_kill";"Friendly fire will not be tolerated";"Les tirs alliés ne seront pas tolérés.";"Il fuoco amico non sarà tollerato.";"Teambeschuss wird nicht toleriert";"No se tolerará el fuego amigo";"Стрельба по союзникам недопустима";"Bratobójczy ogień nie będzie tolerowany";"Palba do vlastních nebude tolerována";"Dost ateşine tolerans gösterilmeyecek";"你​误​伤​了​队​友";"味方機への\t誤射は\t許されません";"Fogo amigo não será tolerado";"Стрільба по союзникам неприпустима";"Prijateljska vatra neće biti tolerisana";"A baráti tűz megengedhetetlen";"아군을 사격해서는 안 됩니다.";"Агонь па сваіх не дапускаецца";"Tirul asupra aliaților nu este tolerat.";"你​誤​傷​了​隊​友";"你​误​伤​了​队​友";"Bắn trúng đồng đội sẽ không được bỏ qua";;
