"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"location/guadalcanal";"Guadalcanal";"Guadalcanal";"Guadalcanal";"Guadalcanal";"Guadalcanal";"Гуадалканал";"Guadalcanal";"Guadalcanal";"Guadalcanal";"瓜\t达\t尔\t卡\t纳\t尔\t岛";"ガダルカナル\t島";"Guadalcanal";"Гуадалканал";"Gvadalkanal";"Guadalcanal";"과달카날";"Гуадалканал";"Guadalcanal";"瓜\t達\t爾\t卡\t納\t爾\t島";"热\t带\t岛\t屿";"Guadalcanal";;
"location/wake_island";"Wake Island";"Atoll de Wake";"Isola di Wake";"Wake Island";"Isla Wake";"Остров Уэйк";"Wyspa Wake";"ostrov Wake";"Wake Adası";"威\t克\t岛";"ウェーク\t島";"Ilha Wake";"Острів Вейк";"Ostrvo Vejk";"Wake-sziget";"웨이크 섬";"Востраў Уэйк";"Insula Wake";"威\t克\t島";"大\t洋\t孤\t岛";"Đảo Wake";;
"location/midway";"Midway";"Midway";"Isole Midway";"Midway";"Midway";"Мидуэй";"Midway";"Midway";"Midway";"中\t途\t岛";"ミッドウェイ";"Midway";"Мідвей";"Midvej";"Midway-szigetek";"미드웨이";"Мідуэй";"Midway";"中\t途\t島";"环\t礁";"Midway";;
"location/malta";"Malta";"Malte";"Malta";"Malta";"Malta";"Мальта";"Malta";"Malta";"Malta";"马\t耳\t他";"マルタ\t島";"Malta";"Мальта";"Malta";"Málta";"몰타";"Мальта";"Malta";"馬\t爾\t它";"马\t耳\t他";"Malta";;
"location/water_midway";"Midway";"Midway";"A largo delle Midway";"Midway";"Midway";"Мидуэй";"Midway";"Midway";"Midway";"中\t途\t岛";"ミッドウェイ";"Midway";"Мідвей";"Midvej";"Midway-szigetek";"미드웨이";"Мідуэй";"Midway";"中\t途\t島";"环\t礁";"Midway";;
"location/water_coral";"Coral Sea";"Mer de Corail";"Mar dei Coralli";"Korallenmeer";"Mar del Coral";"Коралловое море";"Morze Koralowe";"Korálové moře";"Mercan Denizi";"珊\t瑚\t海";"珊瑚海";"Mar de coral";"Коралове море";"Koralno More";"Korall-tenger";"산호해";"Каралавае мора";"Marea Coralilor";"珊\t瑚\t海";"珊\t瑚\t海";"Biển Coral";;
"location/water_guadalcanal";"Guadalcanal";"Guadalcanal";"A largo di Guadalcanal";"Guadalcanal";"Guadalcanal";"Гуадалканал";"Guadalcanal";"Guadalcanal";"Guadal Kanal";"瓜\t达\t尔\t卡\t纳\t尔\t岛";"ガダルカナル";"Guadalcanal";"Гуадалканал";"Gvadalkanal";"Guadalcanal";"과달카날";"Гуадалканал";"Guadalcanal";"瓜\t達\t爾\t卡\t納\t爾\t島";"热\t带\t岛\t屿";"Guadalcanal";;
"location/honolulu";"Oahu";"Oahu";"Oahu";"Oahu";"Oahu";"Оаху";"Oahu";"Oahu";"Oahu";"瓦\t胡\t岛";"オアフ\t島";"Oahu";"Оаху";"Oahu";"Oahu";"오아후";"Ааху";"Oahu";"瓦\t胡\t島";"海\t军\t基\t地";"Oahu";;
"location/britain";"Britain";"Grande-Bretagne";"Gran Bretagna";"Großbritannien";"Gran Bretaña";"Британия";"Anglia";"Británie";"Britanya";"不\t列\t颠";"イギリス";"Grã-Bretanha";"Британія";"Britanija";"Nagy-Britannia";"영국";"Англія";"Britania";"不\t列\t顛";"不\t列\t颠";"Anh";;
"location/sicily";"Sicily";"Sicile";"Sicilia";"Sizilien";"Sicilia";"Сицилия";"Sycylia";"Sicílie";"Sicilya";"西\t西\t里";"シチリア\t島";"Sicília";"Сицилія";"Sicilija";"Szicília";"시칠리아";"Сіцылія";"Sicilia";"西\t西\t里";"西\t西\t里";"Sicily";;
"location/berlin";"Berlin";"Berlin";"Berlino";"Berlin";"Berlín";"Берлин";"Berlin";"Berlín";"Berlin";"柏\t林";"ベルリン";"Berlim";"Берлін";"Berlin";"Berlin";"베를린";"Берлін";"Berlin";"柏\t林";"心\t脏\t地\t带";"Berlin";;
"location/bulge";"Bulge";"Ardennes";"Ardenne";"Ardennen";"Ardenas";"Арденны";"Ardeny";"Ardeny";"Bulge";"突\t出\t部";"バルジ";"Ardenas";"Арденни";"Ardeni";"Ardennek";"벌지";"Ардэны";"Ardeni";"突\t出\t部";"突\t出\t部";"Bulge";;
"location/korsun";"Korsun";"Korsun";"Korsun";"Korsun";"Korsun";"Корсунь";"Korsuń";"Korsuň";"Korsun";"科\t尔\t孙";"コルスン";"Korsun";"Корсунь";"Korsun";"Korszuny";"코르순";"Корсунь";"Korsun";"科\t爾\t松";"科\t尔\t孙";"Korsun";;
"location/stalingrad";"Stalingrad";"Stalingrad";"Stalingrado";"Stalingrad";"Stalingrado";"Сталинград";"Stalingrad";"Stalingrad";"Stalingrad";"斯\t大\t林\t格\t勒";"スターリングラード";"Estalinegrado";"Сталінград";"Staljingrad";"Sztálingrád";"스탈린그라드";"Сталінград";"Stalingrad";"史\t達\t林\t格\t勒";"冬\t将\t军";"Stalingrad";;
"location/stalingrad_w";"Winter Stalingrad";"Stalingrad en Hiver";"Stalingrado (inverno)";"Stalingrad (Winter)";"Invierno en Stalingrado";"Зимний Сталинград";"Stalingrad, Zima";"Stalingrad v zimě";"Stalingrad Kışı";"斯\t大\t林\t格\t勒 • 冬\t季";"冬の\tスターリングラード";"Estalinegrado, Inverno";"Зимовий Сталінград";"Staljingrad zimi";"Sztálingrád (tél)";"스탈린그라드, 겨울";"Зімовы Сталінград";"Stalingrad (iarna)";"史\t達\t林\t格\t勒 • 冬\t季";"冬\t将\t军";"Mùa đông Stalingrad";;
"location/krymsk";"Kuban";"Kuban";"Kuban";"Kuban";"Kubán";"Кубань";"Kubań";"Kubáň";"Kuban";"库\t班";"クバン";"Kuban";"Кубань";"Kubanj";"Kubán";"쿠반";"Кубань";"Kuban";"庫\t班";"东\t线\t丘\t陵";"Kuban";;
