"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"hon_jpn_first_wave_m01_takeoff";"Take off and follow the attack group leader";"Décollez et suivez le chef de groupe";"Decolla e segui il comandante del gruppo d'attacco";"Starte und folge dem Angriffsgruppenführer";"Despegue y siga al líder del grupo de ataque";"Взлетите и следуйте за ведущим ударной группы";"Wystartuj i podążaj za dowódcą grupy bojowej.";"Vzlétni a následuj velitele útočné skupiny";"Havalan ve sadırı grubu liderini takip et";"起\t飞\t并\t紧\t随\t攻\t击\t编\t队\t队\t长";"離陸して\t攻撃隊の\t編隊長に\t追従せよ";"Descole/Decole e siga o líder do grupo de ataque";"Take off and follow the attack group leader";"Злетіть та прямуйте за ведучим ударної групи";"Uzleti i prati vođu napadačke grupe";"Szállj fel, és kövesd a kötelékparancsnokot";"이륙한 후에 공격 편대장을 따르라";"Узляціце і накіроўвайцеся за камандзірам ударнай групы";"Decolează și urmează liderul grupului de atac";"起飛並緊隨攻擊編隊隊長";"起\t飞\t并\t紧\t随\t攻\t击\t编\t队\t队\t长";;
"hon_jpn_first_wave_m02_wheeler";"Attack Wheeler Field";"Attaquez Wheeler Field";"Attacca il campo Wheeler";"Greife Wheeler Field an";"Ataque al campo Wheeler";"Атакуйте Уилер-Филд";"Zaatakuj lotnisko Wheelera.";"Zaútočte na letiště Wheeler Field";"Wheeler Field'e saldır";"攻\t击\t惠\t勒\t机\t场";"ホイラー\t飛行場を\t攻撃せよ";"Ataque Wheeler Field";"Attack Wheeler Field";"Атакуйте Вілер-Філд";"Napadni Wheeler Polje";"Támadd meg a Wheeler Field repülőteret";"휠러 비행장을 공격하라";"Атакуйце Уілер-Філд";"Atacă aerodromul Wheeler";"攻擊惠勒機場 ";"攻\t击\t惠\t勒\t机\t场";;
"hon_jpn_first_wave_m03_ships";"Attack enemy battleships in harbor";"Attaquez les navires de guerre ennemis dans le port";"Attacca le corazzate nemiche nel porto";"Greife die feindlichen Schlachtschiffe im Hafen an";"Ataque a los acorazados enemigos que se encuentran en el puerto";"Атакуйте вражеские линейные крейсера в гавани";"Zaatakuj pancerniki wroga znajdujące się w porcie";"Zaútočte na nepřátelské bitevní lodě v přístavu";"Limandaki düşman savaş gemilerine saldır";"攻\t击\t珍\t珠\t港\t内\t的\t美\t国\t战\t列\t舰";"戦艦\tアリゾナを\t攻撃せよ";"Ataque os couraçados inimigos no porto";"Attack enemy battleships in harbor";"Атакуйте ворожі лінійні крейсери у гавані";"Napadni neprijateljske borbene brodove u luci";"Támadd meg a kikötőben található ellenséges csatahajókat";"항구에 있는 적 전함을 공격하라";"Атакуйце варожыя лінейныя крэйсеры ў гавані";"Atacă navele de luptă inamice din port";"攻擊珍珠港內的美國戰列艦";"攻\t击\t港\t内\t的\t敌\t方\t战\t列\t舰";;
"hon_jpn_first_wave_m04_flyaway";"Fly back to the carrier fleet";"Revenez au porte-avions";"Torna alla flotta di portaerei";"Fliege zur Trägerflotte zurück";"Regrese a la flota de portaaviones";"Возвращайтесь к Первой авианосной флотилии";"Wróć do floty lotniskowców";"Leťte zpátky k flotile letadlových lodí";"Taşıyıcı filosuna geri uç";"返\t回\t航\t母\t舰\t队";"空母に\t帰艦せよ";"Voe de volta para a frota de porta-aviões";"Fly back to the carrier fleet";"Повертайтесь до Першої авіаносної флотилії";"Vrati se do flote nosača";"Repülj vissza a repülőgéphordozó-flottához";"항공모함 함대로 돌아가라";"Вяртайцеся да Першай авіяноснай флатыліі";"Zboară înapoi la flota de portavioane";"返回航母艦隊";"返\t回\t航\t母\t舰\t队";;
"hon_jpn_first_wave_m05_land";"Land on Hiryū deck";"Appontez sur l'Hiryu";"Atterra sul ponte della Hiryū";"Lande auf dem Deck der Hiryū";"Aterrice en la pista de Hiryū";"Посадите самолёт на палубу ""Хирю""";"Wyląduj na pokładzie Hiryū";"Přistaň na palubě Hirjú";"Hiryū'nun güvertesine iniş yap";"在\t“\t飞\t龙\t”\t号\t上\t降\t落";"飛龍に\t着艦せよ";"Pouse no convés do Hiryū";"Land on Hiryū deck";"Виконайте посадку на палубу ""Хірю""";"Sleti na palubu Hirjua";"Szállj le a Hirjú repülőgép-hordozóra";"히류의 갑판에 착함하라";"Пасадзіце самалёт на палубу авіяносца «Хір'ю»";"Aterizează pe puntea lui Hiryū";"在 飛龍 號上降落";"在\t“\t飞\t龙\t”\t号\t上\t降\t落";;
"hon_jpn_second_wave_m01_takeoff";"Take off and follow the attack group leader";"Décollez et suivez le chef de groupe";"Decolla e segui il comandante del gruppo d'attacco";"Starte und folge dem Gruppenführer";"Despegue y siga al líder del grupo de ataque";"Взлетите и следуйте за ведущим ударной группы";"Wystartuj i podążaj za dowódcą grupy bojowej.";"Vzlétni a následuj velitele útočné skupiny";"Havalan ve sadırı grubu liderini takip et";"起\t飞\t并\t紧\t随\t攻\t击\t编\t队\t队\t长";"離陸して\t攻撃隊の\t編隊長に\t追従せよ";"Descole/Decole e siga o líder do grupo de ataque";"Take off and follow the attack group leader";"Злетіть та прямуйте за ведучим ударної групи";"Uzleti i prati vođu napadačke grupe";"Szállj fel, és kövesd a kötelékparancsnokot";"이륙한 후에 공격 편대장을 따르라";"Узляціце і накіроўвайцеся за камандзірам ударнай групы";"Decolează și urmează liderul grupului de atac";"起飛並緊隨攻擊編隊隊長";"起\t飞\t并\t紧\t随\t攻\t击\t编\t队\t队\t长";;
"hon_jpn_second_wave_m02_ships";"Attack enemy battleships in harbor";"Attaquez les navires de guerre ennemis dans le port";"Attacca le corazzate nemiche nel porto";"Greife die feindlichen Schlachtschiffe im Hafen an";"Ataque a los acorazados enemigos que se encuentran en el puerto";"Атакуйте вражеские линейные крейсера в гавани";"Zaatakuj pancerniki wroga znajdujące się w porcie";"Zaútočte na nepřátelské bitevní lodě v přístavu";"Limandaki düşman savaş gemilerine saldır";"攻\t击\t珍\t珠\t港\t内\t的\t舰\t只";"戦艦\tアリゾナを\t攻撃せよ";"Ataque os couraçados inimigos no porto";"Attack enemy battleships in harbor";"Атакуйте ворожі лінійні крейсери у гавані";"Napadni neprijateljske bojne brodove u luci";"Támadd meg a kikötőben található ellenséges csatahajókat";"항구에 있는 적 전함을 공격하라";"Атакуйце варожыя лінейныя крэйсеры ў гавані";"Atacă navele de luptă inamice din port";"攻擊珍珠港內的艦隻";"攻\t击\t港\t内\t的\t舰\t只";;
"hon_jpn_second_wave_m03_zero";"Attack the hydroplane base";"Attaquez la base d'hydravions";"Attacca la base degli idrovolanti";"Greife den Stützpunkt der Wasserflugzeuge an";"Atacar la base de hidroaviones";"Атакуйте базу гидропланов";"Zaatakuj bazę hydroplanów";"Zaútočte na základnu hydroplánů";"Deniz Uçağı üssüne saldır";"攻\t击\t水\t上\t飞\t机\t基\t地";"水上機基地を\t攻撃せよ";"Atacar a base de hidroaviões";"Attack the hydroplane base";"Атакуйте базу гідропланів";"Napadni bazu hidroaviona";"Támadd meg a hidroplánbázist";"수상기 기지를 공격하라";"Атакуйце базу гідрапланаў";"Atacă baza de hidroavioane";"攻擊水上飛機基地";"攻\t击\t水\t上\t飞\t机\t基\t地";;
"hon_jpn_second_wave_m04_fly away";"Fly back to the carrier fleet";"Revenez au porte-avions";"Torna alla flotta di portaerei";"Fliege zur Trägerflotte zurück";"Regrese a la flota de portaaviones";"Возвращайтесь к Первой авианосной флотилии";"Wróć do floty lotniskowców";"Leťte zpátky k flotile letadlových lodí";"Uçak Gemisi filosuna geri uç";"返\t回\t航\t母\t舰\t队";"空母に\t帰艦せよ";"Voe de volta para a frota de porta-aviões";"Fly back to the carrier fleet";"Повертайтесь до Першої авіаносної флотилії";"Vrati se do flote nosača";"Repülj vissza a repülőgéphordozó-flottához";"항공모함 함대로 돌아가라";"Вяртайцеся да Першай авіяноснай флатыліі";"Zboară înapoi la flota de portavioane";"返回航母艦隊";"返\t回\t航\t母\t舰\t队";;
"hon_jpn_second_wave_m04_land";"Land on Hiryū deck";"Appontez sur l'Hiryu";"Atterra sul ponte della Hiryū";"Lande auf dem Deck der Hiryū";"Aterrice en la pista de Hiryū";"Посадите самолёт на палубу ""Хирю""";"Wyląduj na pokładzie Hiryū";"Přistaň na palubě Hirjú";"Hiryū'nun güvertesine iniş yap";"在\t“\t飞\t龙\t”\t号\t上\t降\t落";"飛龍に\t着艦せよ";"Pouse no convés do Hiryū";"Land on Hiryū deck";"Виконайте посадку на палубу ""Хірю""";"Sleti na palubu Hirjua";"Szállj le a Hirjú repülőgép-hordozóra";"히류의 갑판에 착함하라";"Пасадзіце самалёт на палубу авіяносца «Хір'ю»";"Aterizează pe puntea lui Hiryū";"在 飛龍 號上降落";"在\t“\t飞\t龙\t”\t号\t上\t降\t落";;
