"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"missions/enemy_bombers_spawn";"Enemy bombers";"Bombardiers ennemis";"Bombardieri nemici";"Feindliche Bomber";"Bombarderos enemigos";"Бомбардировщики врага";"Bombowce wroga";"Nepřátelské bombardéry";"Düşman bombardıman uçakları";"敌​军​轰​炸​机";"敵軍爆撃機";"Bombardeiros Inimigos";"Бомбардувальники ворога";"Neprijateljski bombarderi";"Ellenséges bombázók";"적 폭격기들";"Варожыя бамбардзіроўшчыкі";"Bombardiere inamice";"敵​軍​轟​炸​機";"敌​军​轰​炸​机";"Máy bay ném bom của đối phương";;
"missions/friendly_bombers_spawn";"Allied bombers";"Bombardiers alliés";"Bombardieri alleati";"Verbündete Bomber";"Bombarderos aliados";"Союзные бомбардировщики";"Sojusznicze bombowce";"Spojenecké bombardéry";"Dost bombardıman uçakları";"友​军​轰​炸​机";"友軍爆撃機";"Bombardeiros aliados";"Союзні бомбардувальники";"Saveznički bombarderi";"Szövetséges bombázók";"아군 폭격기들";"Хаўрусныя бамбардзіроўшчыкі";"Bombardiere aliate";"友​軍​轟​炸​機";"友​军​轰​炸​机";"Máy bay ném bom của đồng minh";;
"missions/wide_air_spawn";"Air point";"Point aérien";"Punto di rigenerazione aereo";"Lufteinstiegspunkt";"Punto aéreo";"Воздушная точка";"Punkt powietrzny";"Letecká oblast";"Hava noktası";"空​中​出​生​点";"上空拠点";"Ponto aéreo";"Повітряна точка";"Air point";"Légi pont";"공중 지점";"Паветраны пункт";"Air point";"空​中​出​生​點";"Air point";"Điểm trên không";;
"missions/air_spawn";"Air point";"Point aérien";"Punto di rigenerazione aerea";"Lufteinstiegspunkt";"Punto aéreo";"Воздушная точка";"Punkt powietrzny";"letecká oblast";"Hava noktası";"空​中​出​生​点";"上空拠点";"Ponto aéreo";"Повітряна точка";"Vazdušna tačka";"Légi pont";"공중 지점";"Паветраны пункт";"Intrare aeriană";"空​中​出​生​點";"空​中​出​生​点";"Điểm trên không";;
"missions/air_spawn_0";"Air point";"Point aérien";"Punto di rigenerazione aerea";"Lufteinstiegspunkt";"Punto aéreo";"Воздушная точка";"Punkt powietrzny";"Letecká oblast";"Hava noktası";"空​中​出​生​点";"上空\tスポーンポイント";"Ponto aéreo";"Повітряна точка";"Air point";"Légi pont";"공중 지점";"Паветраны пункт";"Air point";"空​中​出​生​點";"Air point";"Điểm trên không";;
"missions/air_spawn1";"Air point 1";"Point aérien 1";"Punto aereo";"Lufteinstiegspunkt #1";"Punto aéreo 1";"Воздушная точка 1";"Punkt powietrzny 1";"letecká oblast #1";"Hava noktası 1";"一​号​空​中​出​生​点";"上空拠点 1";"Ponto aéreo 1";"Повітряна точка 1";"Vazdušna tačka 1";"Légi pont 1";"공중 지점 1";"Паветраны пункт 1";"Intrare aeriană 1";"一​號​空​中​出​生​點";"一​号​空​中​出​生​点";"Điểm trên không 1";;
"missions/air_spawn2";"Air point 2";"Point aérien 2";"Punto di rigenerazione aerea 2";"Lufteinstiegspunkt #2";"Punto aéreo 2";"Воздушная точка 2";"Punkt powietrzny 2";"letecká oblast #2";"Hava noktası 2";"二​号​空​中​出​生​点";"上空拠点 2";"Ponto aéreo 2";"Повітряна точка 2";"Vazdušna tačka 2";"Légi pont 2";"공중 지점 2";"Паветраны пункт 2";"Intrare aeriană 2";"二​號​空​中​出​生​點";"二​号​空​中​出​生​点";"Điểm trên không 2";;
"missions/spawn_random";"Random point";"Point aléatoire";"Punto casuale";"Zufälliger Einstiegspunkt";"Punto aleatorio";"Случайная точка";"Losowy punkt odradzania";"náhodná oblast";"Rasgele nokta";"随​机​选​择";"ランダムポイント";"Ponto aleatório";"Довільна точка";"Nasumična tačka";"Véletlenszerű pont";"무작위 지점";"Выпадковы пункт";"Intrare aleatorie";"隨​機​選​擇";"随​机​选​择";"Điểm ngẫu nhiên";;
"missions/spawn_destroyers_random";"Random point";"Point d’apparition des destroyers";"Punto casuale";"Zufälliger Einstiegspunkt";"Punto aleatorio";"Случайная точка";"Losowy punkt odradzania";"Náhodná oblast";"Rastgele nokta";"随​机​选​择";"ランダムポイント";"Ponto aleatório";"Довільна точка";"Nasumična tačka";"Véletlenszerű pont";"소형함 무작위 스폰 지점";"Выпадковы пункт";"Intrare aleatorie";"隨​機​選​擇";"随​机​选​择";"Điểm ngẫu nhiên";;
"missions/spawn_cruisers_random";"Random point";"Point d'apparition des croiseurs";"Punto casuale";"Zufälliger Einstiegspunkt";"Punto aleatorio";"Случайная точка";"Losowy punkt odradzania";"Náhodná oblast";"Rasgele nokta";"随​机​选​择";"ランダムポイント";"Ponto aleatório";"Довільна точка";"Nasumična tačka";"Véletlenszerű pont";"대형함 무작위 스폰 지점";"Выпадковы пункт";"Intrare aleatorie";"隨​機​選​擇";"随​机​选​择";"Điểm ngẫu nhiên";;
