"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"pl1/check_profile";"Checking the data...";"Vérification des données...";"Caricamento dati.";"Überprüfe Daten...";"Comprobando los datos...";"Проверка данных...";"Sprawdzanie danych...";"Kontrola dat…";"Veriler kontrol ediliyor...";"正​在​检​查​数​据​…";"データを\tロード\t中…";"Verificando dados...";"Перевірка даних...";"Proveravanje podataka...";"Adatok ellenőrzése…";"데이터 확인 중...";"Праверка даных...";"Verificare date ...";"正​在​檢​查​資​料...";"正​在​检​查​数​据​…";"Đang tải dữ liệu...";;
"pl1/save_profile";"Saving the data...";"Sauvegarde des données...";"Salvataggio dei dati...";"Speichere Daten...";"Guardando los datos...";"Сохранение данных...";"Zapisywanie danych...";"Ukládání dat…";"Veri kaydediliyor...";"正​在​保​存​数​据​…";"データを\t保存中…";"Salvando dados...";"Збереження даних...";"Snimanje podataka...";"Adatok mentése…";"데이터 저장 중...";"Захаванне даных...";"Salvare date ...";"正​在​保​存​資​料...";"正​在​保​存​数​据​…";"Đang lưu dữ liệu...";;
"pl1/check_network";"Checking the network...";"Vérification du réseau...";"Controllo della connessione...";"Überprüfe Netzwerk...";"Comprobando la red...";"Проверка coeдинения...";"Sprawdzanie sieci...";"Kontrola sítě…";"İletişim ağı denetleniyor...";"正​在​检​查​网​络​…";"ネットワークを\t確認中です…";"Verificando conexão...";"Перевірка з'єднання...";"Provera mreže...";"Hálózat ellenőrzése…";"네트워크 확인 중...";"Праверка злучэння...";"Verificare rețea ...";"正​在​檢​查​網​路...";"正​在​检​查​网​络​…";"Đang kiểm tra đường truyền...";;
"yn1/connecting_msg";"Connecting to the server...";"Connexion au serveur...";"Connessione al server...";"Verbindung wird hergestellt...";"Conectando con el servidor...";"Подключение к серверу...";"Łączenie z serwerem...";"Připojování k serveru…";"Sunucuya bağlanıyor...";"正​在​连​接​服​务​器​…";"サーバーに\t接続中...";"Conectando ao servidor...";"Підключення до сервера...";"Povezivanje na server...";"Kapcsolódás a szerverhez…";"서버에 연결 중...";"Злучэнне з серверам...";"Conectare la server ...";"正​在​連​接​伺​服​器...";"正​在​连​接​服​务​器​…";"Đang kết nối tới máy chủ...";;
"yn1/online_restricted_msg";"Online service is disabled on your account due to parental control restrictions";"Service en ligne invalide sur votre compte, dû à des restrictions de contrôle parental";"Il servizio online sul tuo account è stato disattivato a causa delle restrizioni del filtro famiglia";"Der Online-Service ist auf deinem Konto aufgrund von Kindersicherungseinstellungen deaktiviert";"El servicio online está desactivado en tu cuenta debido a restricciones de control parental";"Для вашей учётной записи интернет-сервисы заблокированы при помощи средств родительского контроля.";"Usługi sieciowe są na twoim koncie nieaktywne z powodu ograniczeń nałożonych przez kontrolę rodzicielską";"Online služba je vzhledem k nastavení tvého účtu nebo rodičovským omezením vypnuta";"Ebeveyn kontrolü kısıtlamaları nedeniyle hesabındaki online hizmet devre dışı bırakıldı";"账​户​的​在​线​服​务​被​禁​用。​原​因：​家​长​控​制。";"ペアレンタル・コントロール\t制限があるため、\t
お\t客様の\tアカウントでは\t弊社\tオンラインサービスがご\t使用いただけません。";"Serviço on-line está desativado na sua conta devido a restrições de controle";"Для вашого облікового запису інтернет-сервіси заблоковані за допомогою засобів батьківського контролю.";"Online servers je onesposobljen na vašem nalogu zbog roditeljskih kontrolnih ograničenja";"A szülői felügyeleti korlátozások miatt az online szolgáltatás le lett tiltva a felhasználói fiókodhoz!";"보호자 제어 제한으로 인해 귀하의 계정은 온라인 서비스를 사용할 수 없습니다.";"Інтэрнэт-сэрвісы на вашым акаўнце былі заблакіраваны бацькоўскім кантролем.";"Serviciul online este dezactivat pentru acest cont datorită restricțiilor de control parental";"帳​戶​的​在​線​服​務​被​禁​用。​原​因：​家​長​控​制。";"账​户​的​在​线​服​务​被​禁​用。​原​因：​家​长​控​制。";"Dịch vụ trực tuyến bị vô hiệu hóa trên tài khoản của bạn do sự hạn chế kiểm soát";;
"yn1/chat_restricted_msg";"Chat is disabled on your account due to chat restrictions";"Chat invalide sur votre compte dû à des restrictions de chat";"La chat sul tuo account è stata disattivata a causa delle restrizioni alla chat";"Die Chatfunktion ist auf deinem Konto aufgrund von Chat-Einschränkungen deaktiviert";"El chat está desactivado en tu cuenta debido a restricciones de chat";"Для вашей учётной записи чат заблокирован.";"Czat na twoim koncie jest nieaktywny z powodu ograniczeń czatu";"Konverzace je u tvého účtu vypnuta kvůli omezení";"Sohbet kısıtlamaları nedeniyle hesabında sohbet devre dışı bırakıldı";"账​户​的​聊​天​功​能​被​禁​用。​原​因：​聊​天​限​制。";"チャット\t規制のためこの\tアカウントでは\tチャットは\t使用できません";"O chat está desativado na sua conta devido a restrições de chat";"Для вашого облікового запису чат заблокований.";"Čet vam je onemogućen zbog čet restrikcija";"A társalgó korlátozások miatt a társalgó le lett tiltva a felhasználói fiókodhoz!";"대화 제한으로 인해 귀하의 계정은 대화가 불가능합니다.";"Чат на вашым акаўнце заблакіраваны .";"Discuțiile sunt dezactivate pentru acest cont datorită restricțiilor pentru discuții";"帳​戶​的​聊​天​功​能​被​禁​用。​原​因：​聊​天​限​制。";"账​户​的​聊​天​功​能​被​禁​用。​原​因：​聊​天​限​制。";"Trò chuyện bị vô hiệu hóa trên tài khoản của bạn do sự hạn chế trò chuyện";;
"yn1/disconnection";"You have been signed out of the server. Returning to the Main Menu.";"Vous avez été déconnecté du serveur. Retour au menu principal.";"Sei stato espulso dal server. Ritorno al menù principale";"Du wurdest vom Server abgemeldet. Rückkehr zum Hauptmenü.";"Usted ha salido de la sesión del servidor. Regresando al Menú Principal.";"Вы отключились от сервера. Возврат в главное меню...";"Wylogowano cię z serwera. Powrót do menu głównego.";"Byl jsi odhlášen od serveru, probíhá návrat do hlavní nabídky";"Sunucudan çıkarıldın. Ana Menü'ye dönülüyor.";"已​从​服​务​器​注​销。​正​在​返​回​主​菜​单。";"サーバーから\tサインアウトしました。\tメインメニューに\t戻ります。";"Você foi desconectado do servidor. Retornando ao menu principal.";"Ви від'єднались від сервера. Повернення в головне меню...";"Izlogovani ste sa glavnog servera. Vraćanje u Glavni Meni.";"Lecsatlakoztál a szerverről. Visszakerülsz a főmenübe.";"서버에서 로그아웃 되었습니다. 주 메뉴로 돌아갑니다.";"Вы адлучыліся ад сервера. Зараз вы вернецеся ў галоўнае меню.";"Ai fost deconectat de la server. Revenire la meniul principal.";"已​從​伺​服​器​退​出。​正​在​返​回​主​菜​單。";"已​从​服​务​器​注​销。​正​在​返​回​主​菜​单。";"Bạn đã rời khỏi máy chủ. Đang trở lại màn hình menu chính.";;
"yn1/error/80022B04";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte das Spiel über den Launcher aktualisieren.";"Hay una nueva actualización disponible. Por favor, actualiza el juego a través del lanzador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"K dispozici je nová aktualizace, aktualizuj hru pomocí Launcheru";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"有​更​新​可​用。​请​通​过​启​动​器​更​新​游​戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"Nova atualização está disponível. Por favor, atualize o jogo através do launcher.";"Доступне оновлення. Використовуйте програму запуску для його завантаження.";"Novo ažuriranje je dostupno. Molimo vas ažurirajte igru preko launchera.";"Elérhető egy új frissítés. Kérlek, frissítsd a játékot az indítópulton keresztül.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"Абнаўленне даступнае. Скарыстайце лаўнчар, каб яго спампаваць.";"Este disponibilă o actualizare nouă. Actualizează jocul prin intermediul lansatorului.";"有​更​新​可​用。​請​通​過​啟​動​器​更​新​遊​戲。";"有​更​新​可​用。​请​通​过​启​动​器​更​新​游​戏。";"Bản cập nhật mới, bạn có thể cập nhật tại launcher game.";;
"yn1/error/80022B34";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte das Spiel über den Launcher aktualisieren.";"Hay una nueva actualización disponible. Por favor, actualiza el juego a través del lanzador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Utworzenie gry nie powiodło się";"K dispozici je nová aktualizace, aktualizuj hru pomocí Launcheru";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"有​更​新​可​用。​请​通​过​启​动​器​更​新​游​戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"Nova atualização está disponível. Por favor, atualize o jogo através do launcher.";"Доступне оновлення. Використовуйте програму запуску для його завантаження.";"Novo ažuriranje je dostupno. Molimo vas ažurirajte igru preko launchera.";"Elérhető egy új frissítés. Kérlek, frissítsd a játékot az indítópulton keresztül.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"Абнаўленне даступнае. Скарыстайце лаўнчар, каб яго спампаваць.";"Este disponibilă o actualizare nouă. Actualizează jocul prin intermediul lansatorului.";"有​更​新​可​用。​請​通​過​啟​動​器​更​新​遊​戲。";"有​更​新​可​用。​请​通​过​启​动​器​更​新​游​戏。";"Bản cập nhật mới, bạn có thể cập nhật tại launcher game.";;
"yn1/error/80022B35";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte das Spiel über den Launcher aktualisieren.";"Hay una nueva actualización disponible. Por favor, actualiza el juego a través del lanzador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"K dispozici je nová aktualizace, aktualizuj hru pomocí Launcheru";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"有​更​新​可​用。​请​通​过​启​动​器​更​新​游​戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"Nova atualização está disponível. Por favor, atualize o jogo através do launcher.";"Доступне оновлення. Використовуйте програму запуску для його завантаження.";"Novo ažuriranje je dostupno. Molimo vas ažurirajte igru preko launchera.";"Elérhető egy új frissítés. Kérlek, frissítsd a játékot az indítópulton keresztül.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"Абнаўленне даступнае. Скарыстайце лаўнчар, каб яго спампаваць.";"Este disponibilă o actualizare nouă. Actualizează jocul prin intermediul lansatorului.";"有​更​新​可​用。​請​通​過​啟​動​器​更​新​遊​戲。";"有​更​新​可​用。​请​通​过​启​动​器​更​新​游​戏。";"Bản cập nhật mới, bạn có thể cập nhật tại launcher game.";;
