"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"yn1/error/80022B04";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está de mantenimiento. Por favor vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, дивіться розклад роботи серверу на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t方\t論\t壇\t上\t的\t公\t告。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";"Máy chủ đang bảo trì. Chi tiết vui lòng theo dõi tin tức tại trang chủ.";;
"yn1/error/80022B34";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está de mantenimiento. Por favor, vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, дивіться розклад роботи серверу на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t方\t論\t壇\t上\t的\t公\t告。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";"Máy chủ đang bảo trì. Chi tiết vui lòng theo dõi tin tức tại trang chủ.";;
"yn1/error/80022B35";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está de mantenimiento. Por favor, vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, дивіться розклад роботи серверу на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t方\t論\t壇\t上\t的\t公\t告。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";"Máy chủ đang bảo trì. Chi tiết vui lòng theo dõi tin tức tại trang chủ.";;
"yn1/error/8002233F";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está de mantenimiento. Por favor, vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, дивіться розклад роботи серверу на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t方\t論\t壇\t上\t的\t公\t告。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";"Máy chủ đang bảo trì. Chi tiết vui lòng theo dõi tin tức tại trang chủ.";;
"charServer/updateError/75";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está bajo mantenimiento. Estamos actualizando el juego y haciéndolo mejor. Por favor revise el estado del servidor en warthunder.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, перевірте стан сервера на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t公\t告。";"服\t务\t器\t维\t护\t中。\t请\t查\t阅\t官\t网\t的\t时\t间\t安\t排。";"Máy chủ đang trong quá trình bảo trì. Chúng tôi đang cập nhật và nâng cấp trò chơi để làm nó tốt hơn. Vui lòng kiểm tra trạng thái máy chủ trên trang web warthunder.com.";;
"mainmenu/update_avail_popup_title";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está de mantenimiento. Por favor, vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, дивіться розклад роботи серверу на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t阅\t官\t网\t的\t时\t间\t安\t排。";"Máy chủ đang bảo trì. Chi tiết vui lòng theo dõi tin tức tại trang chủ.";;
"mainmenu/update_avail_popup_text";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Vous pouvez consulter le statut des serveurs sur warthunder.com.";"Il server è in manutenzione. Stiamo migliorando il gioco. Consulta le notizie del server sul warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está de mantenimiento. Por favor, vea el horario del servidor en el foro oficial.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę, by stała się lepsza. Zajrzyj do harmonogramu prac na oficjalnym forum.";"Probíhá údržba serveru, více informací nalezneš na oficiálním fóru";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos a atualizar o jogo e tornando-o melhor. Verifique o status do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Будь ласка, дивіться розклад роботи серверу на офіційному форумі.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t阅\t官\t网\t的\t时\t间\t安\t排。";"Máy chủ đang bảo trì. Chi tiết vui lòng theo dõi tin tức tại trang chủ.";;
"yn1/disconnection/psn";"You have been signed out of PlayStation™Network. To play War Thunder, the online status is required. You will be returned to the login screen.";"Vous avez été déconnecté du PlayStation™Network. Pour jouer à War Thunder, être en ligne est nécessaire. Vous allez être renvoyé à l'écran de connexion.";"Non hai effettuato l'accesso al PlayStation™Network. Per giocare a War Thunder è necessario effettuare l'accesso. Verrai riportato alla schermata d'accesso.";"Deine Verbindung zum PlayStation™Network wurde getrennt. Zum Spielen von War Thunder musst du online sein. Du wirst zum Login-Bildschirm zurückgeleitet.";"Ha cerrado sesión en PlayStation™Network. Para jugar a War Thunder, debe iniciar sesión. Volverá a la pantalla de inicio.";"Вы отключились от PlayStation™Network. Чтобы играть в War Thunder, необходимо быть онлайн. Вы будете возвращены в окно логина.";"Zostałeś wylogowany z sieci PlayStation™Network. By zagrać w War Thunder musisz się ponownie zalogować. Powrócisz do okna logowania.";"Byl jsi odhlášen z PlayStation™Network. Ke hraní War Thunder je vyžadováno online připojení. Budeš vrácen na přihlašovací obrazovku.";"PlayStation™Network çevrimiçi hizmetinden çıktınız. War Thunder oynayabilmek için çevrimiçi olmanız gerekmektedir. Giriş ekranına geri yönlendiriliyorsunuz.";"已\t从 PlayStation\t™ 网\t络\t断\t开，\t将\t返\t回\t登\t录\t界\t面。\t请\t保\t证\t稳\t定\t的\t网\t络\t连\t接\t进\t行\t该\t游\t戏。";"PlayStation™Networkから\tサインアウトしました。\tWar Thunderを\tプレイするには、\tオンライン\t状態である\t必要があります。\tログイン\t画面に\t戻ります。";"Foi desconectado da PlayStation™Network. Para jogar o War Thunder, o estado online é necessário. Será redirecionado para o ecrã de login.";"Ви вийшли з мережі PlayStation™Network. Щоб грати у War Thunder, потрібен онлайн статус. Ви будете повернуті до вікна входу до системи.";"Odjavili ste se iz PlayStation™Network-a. Da igrate War Thunder, morate biti na mreži. Bićete vraćeni na ekran za prijavu.";"Kijelentkeztetésre kerültél a PlayStation™Network fiókodból. Online állapot szükséges, hogy játszhass a War Thunderrel. Visszairányításra kerülsz a bejelentkező képernyőre.";"PlayStation™Network에 가입 완료되었습니다. 워썬더를 플레이하시려면 온라인 자격이 필요합니다. 로그인 화면으로 돌아갑니다.";"Вы выйшлі з PlayStation™Network. Каб гуляць у War Thunder, трэба быць у сетцы. Зараз вы вернецеся на экран уваходу ў гульню.";"Ai fost deconectat din rețeau PlayStation™Network. Pentru a juca War Thunder, trebuie să fii conectat. Vei fi trimis la meniul de conectare.";"已\t從 PlayStation\t™\tNetwork 網\t路\t斷\t開，\t將\t返\t回\t登\t入\t介\t面。\t請\t保\t證\t穩\t定\t的\t網\t路\t連\t接\t進\t行\t該\t遊\t戲。";"已\t从 PlayStation\t™\tNetwork 网\t络\t断\t开，\t将\t返\t回\t登\t陆\t界\t面。\t请\t保\t证\t稳\t定\t的\t网\t络\t连\t接\t进\t行\t该\t游\t戏。";"Bạn đã đăng xuất khỏi PlayStation™Network. Để chơi WarThunder, yêu cầu duy trì ổn định mạng. Bạn sẽ trở lại giao diện đăng nhập.";;
"loading/help_tip01";;;;;;;;;;;;;;;;;;;;;;;
"hints/f1_controls";;;;;;;;;;;;;;;;;;;;;;;
