"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"charServer/chapter/subscriptions";"Subscriptions";"Abonnements";"Iscrizioni";"Abonnements";"Subscripciones";"Подписки";"Abonamenty";"Předplatné";"Üyelikler";"订\t阅";"サブスクリプション";"Assinaturas";"Підписки";"Pretplata";"Előfizetések";"구독";"Падпіскі";"Abonamente";"訂\t閱";"订\t阅";"Đăng ký";;
"charServer/chapter/subscriptions/desc";"Subscriptions - various improvements, active for a limited period of time.";"Abonnements - diverses améliorations, actives pendant une période de temps limitée.";"Iscrizioni: vari miglioramenti, attivi per un periodo di tempo limitato.";"Abonnements - verschiedene Verbesserungen, die für einen gewissen Zeitraum aktiv sind.";"Subscripciones: diversas mejoras, activas durante un período de tiempo limitado.";"Подписки — различные улучшения, действующие ограниченное количество времени.";"Abonamenty - różne ulepszenia, aktywne przez ograniczony okres czasu.";"Předplatné - různá vylepšení, aktivní po omezenou dobu";"Üyelikler - sınırlı bir süre için etkin olan çeşitli geliştirmeler.";"订\t阅\t—\t—\t各\t种\t游\t戏\t改\t进，\t仅\t在\t一\t段\t时\t间\t内\t有\t效。";"サブスクリプション ―さまざまな\t改良版、\t限定期間のみ\tアクティブ。";"Assinaturas - várias melhorias, ativo durante um período limitado de tempo.";"Підписки – різноманітні покращення, що діють тимчасово.";"Pretplata - razna poboljšanja, aktivna na određeno vreme.";"Előfizetések – számos előnnyel járnak korlátozott ideig.";"구독하기 - 다양한 기능향상 제공, 제한된 시간동안만 활성화";"Падпіскі — розныя паляпшэнні, якія дзейнічаюць абмежаваны час.";"Abonamente - diferite îmbunătățiri, activ pentru o perioadă limitată.";"訂\t閱\t—\t—\t各\t種\t遊\t戲\t改\t進，\t僅\t在\t一\t段\t時\t間\t內\t有\t效。";"订\t阅\t—\t—\t各\t种\t游\t戏\t改\t进，\t仅\t在\t一\t段\t时\t间\t内\t有\t效。";"Gói đăng ký - các cải tiến đa dạng, có hiệu lực trong một thời gian giới hạn.";;
"charServer/chapter/eagles";"Golden Eagles";"Golden Eagles";"Monete-aquila";"Golden Eagles";"Águilas de oro";"Золотые орлы";"Złote orły";"GE (Golden Eagles)";"Altın Kartal";"金\t鹰";"ゴールデンイーグル";"Golden Eagles";"Золоті орли";"Zlatni orlovi";"Arany Sasok";"골든 이글";"Залатыя арлы";"Vulturi de aur";"金\t鷹";"金\t鹰";"Golden Eagles";;
"charServer/chapter/eagles/desc";"<color=@currencyGoldColor>¤</color> (Golden Eagles) is the currency which can be spent on premium accounts, vehicles and other premium content, as well as <color=@currencyWpColor>€</color> (Silver Lions).";"<color=@currencyGoldColor>¤</color> (Golden Eagles) est la monnaie qui peut être dépensée pour des jours de compte premium, des véhicules et d'autres contenus premium, ainsi que des <color=@currencyWpColor>€</color> (Lions).";"<color=@currencyGoldColor>¤</color> (Aquile d'Oro) è la valuta spendibile per account premium, mezzi e altri contenuti premium, oltre che per
<color=@currencyWpColor>€</color> (Leoni Argentati).";"<color=@currencyGoldColor>¤</color> (Golden Eagles) ist die Währung, die für Premium-Konten, Premium-Fahrzeuge und andere Premium-Inhalte sowie für <color=@currencyWpColor>€</color> (Silver Lions) ausgegeben werden kann.";"<color=@currencyGoldColor>¤</color> (Águilas de Oro) es la moneda que se puede gastar en cuentas premium, vehículos y otro contenido premium, así como en <color=@currencyWpColor>€</color> (Leones de Plata).";"<color=@currencyGoldColor>¤</color> (Золотые орлы) — валюта, за которую можно приобрести Премиум-аккаунт, технику и прочий премиум-контент, а также <color=@currencyWpColor>€</color> (Серебряные львы).";"<color=@currencyGoldColor>¤</color> (Złote Orły) to waluta, którą można wydawać na konta premium, maszyny oraz inną zawartość premium, jak również na <color=@currencyWpColor>€</color> (Lwy).";"<color=@currencyGoldColor>¤</color> (Zlaté orlice - GE) je měna, která může být použita na nákup prémiového účtu, licencí nebo jiného prémiového obsahu, stejně tak na nákup <color=@currencyWpColor>€</color> (SL).";"<color=@currencyGoldColor>¤</color> (Altın Kartal) premium hesaplar, araçlar, diğer premium içerik ve <color=@currencyWpColor>€</color> (Gümüş Aslan) almak için kullanılabilen para birimidir.";"<color=@currencyGoldColor>¤</color>\t（金\t鹰）\t是 War Thunder 的\t高\t级\t货\t币，\t可\t用\t于\t购\t买\t高\t级\t账\t号、\t高\t级\t载\t具\t等\t进\t阶\t内\t容。\t金\t鹰\t也\t能\t兑\t换 <color=@currencyWpColor>\t€\t</color>\t（银\t狮）。";"<color=@currencyGoldColor>¤</color> （ゴールデンイーグル）\tは\tプレミアムアカウント、\t機体、\tその\t他の\tプレミアムコンテンツだけでなく<color=@currencyWpColor>€</color> （シルバーライオン）\tの\t購入にも\t使用することができる\t通貨です。";"<color=@currencyGoldColor>¤</color> (Golden Eagles) é a moeda que pode ser gasta em contas premium, veículos e outros conteúdos premium, bem como <color=@currencyWpColor>€</color> (Silver Lions).";"<color=@currencyGoldColor>¤</color> (Золоті орли) - валюта, за яку можна придбати преміум акаунт, техніку та інший преміум контент, а також <color=@currencyWpColor>€</color> (Срібні леви).";"<color=@currencyGoldColor>¤</color> (Zlatni Orlovi) je valuta koja može biti potrošena na premijum nalog, licence i druge premijum sadržaje, kao i za<color=@currencyWpColor>€</color> (Lavove).";"Az <color=@currencyGoldColor>¤</color> (Arany Sasok) az a játékbeli fizetőeszköz, amit prémium előfizetésre, járművekre és egyéb prémiumtartalmakra, illetve <color=@currencyWpColor>€</color> (Ezüst Oroszlán) vásárlására költhető el.";"<color=@currencyGoldColor>¤</color>(골든 이글) 은 프리미엄 계정, 차량 및 다른 프리미엄 콘텐츠뿐만 아니라 <color=@currencyWpColor>€</color>(라이온) 구매를 위해 사용할 수 있는 게임 머니입니다.";"<color=@currencyGoldColor>¤</color> (Залатыя арлы) — унутрыгульнявая валюта, за якую можна купіць прэміумны акаўнт, ліцэнзіі і іншы прэміумны кантэнт, а таксама <color=@currencyWpColor>€</color> (Срэбныя львы).";"<color=@currencyGoldColor>¤</color> (Vulturii de aur) sunt monede care pot fi cheltuite pentru conturi plătite, vehicule și conținut special și pentru a cumpăra <color=@currencyWpColor>€</color> (Lei de argint).";"<color=@currencyGoldColor>¤</color>\t（金\t鷹）\t是 War Thunder 的\t高\t級\t貨\t幣，\t可\t用\t於\t購\t買\t高\t級\t賬\t號、\t高\t級\t載\t具\t等\t進\t階\t內\t容。\t金\t鷹\t也\t能\t兌\t換 <color=@currencyWpColor>\t€\t</color>\t（銀\t獅）。";"<color=@currencyGoldColor>¤</color>\t（金\t鹰）\t是《战\t争\t雷\t霆\t》\t的\t高\t级\t货\t币，\t可\t用\t于\t购\t买\t高\t级\t账\t号、\t乘\t员\t组\t认\t证\t资\t格\t等\t进\t阶\t内\t容。\t金\t鹰\t也\t能\t兑\t换 <color=@currencyWpColor>\t€\t</color>\t（银\t狮）。";"<color=@currencyGoldColor>¤</color> (Golden Eagles) là đơn vị tiền tệ có thể sử dụng để mua tài khoản premium, phương tiện và nội dung cao cấp khác, cũng như <color=@currencyWpColor>€</color> (Silver Lions).";;
"charServer/chapter/warpoints";"Silver Lions";"Lions";"Leoni Argentati";"Silver Lions";"Leones de Plata";"Серебряные львы";"Srebrne Lwy";"Stříbrní lvi";"Gümüş Aslan";"银\t狮";"ライオン";"Silver Lions";"Срібні леви";"Lavovi";"Ezüst oroszlán";"라이온";"Срэбныя львы";"Lei";"銀\t獅";"银\t狮";"Silver Lions";;
"charServer/chapter/warpoints/desc";"<color=@currencyWpColor>€</color> (Silver Lions) is the in-game currency which can be spent on vehicles, armament, immediate repair etc. The <color=@currencyWpColor>€</color> (Silver Lions) cannot be spent on premium content.";"<color=@currencyWpColor>€</color> (Lions) est la monnaie du jeu, elle peut être investie en avion, armement, une réparation immédiate, etc. Le <color=@currencyWpColor>€</color> (Lions) ne peut pas être dépensé pour un contenu premium.";"I <color=@currencyWpColor>€</color> (Leoni Argentati) sono la valuta del gioco; è possibile spenderli per l'acquisto di unità, armamenti, riparazioni immediate e così via. I <color=@currencyWpColor>€</color> (Leoni Argentati) non possono essere utilizzati per l'acquisto di contenuti premium.";"<color=@currencyWpColor>€</color> (Silver Lions) ist die spielinterne Währung, die für Fahrzeuge, Munition, sofortige Reparaturen und andere Dinge ausgegeben werden kann. Mit <color=@currencyWpColor>€</color> können keine Premium-Inhalte erworben werden.";"<color=@currencyWpColor>€</color> (Leones de Plata) es la moneda del juego que se puede gastar en vehículos, armamento, reparaciones inmediatas, etc. Los <color=@currencyWpColor>€</color> (Leones de Plata) no se pueden gastar en contenido premium.";"<color=@currencyWpColor>€</color> (Серебряные львы) — внутриигровая валюта, за которую можно покупать технику, боеприпасы, ускоренный ремонт и прочее. За <color=@currencyWpColor>€</color> (Серебряные львы) нельзя приобрести премиум-контент.";"<color=@currencyWpColor>€</color> (Lwy) to waluta, którą można wydawać na nowe maszyny, uzbrojenie czy natychmiastowe naprawy itp. <color=@currencyWpColor>€</color> (Lwy) nie mogą być wydawane na zawartość premium.";"<color=@currencyWpColor>€</color> (Stříbrní lvi) je herní měna, kterou lze utratit za letadla a tanky, výzbroj, okamžité opravy atd. <color=@currencyWpColor>€</color> (Stříbrné lvy) nelze utrácet za prémiový obsah.";"<color=@currencyWpColor>€</color> (Gümüş Aslan), uçak, teçhizat, anlık onarım, vs. almak için kullanılabilen oyun içi para birimidir. <color=@currencyWpColor>€</color> (Gümüş Aslan) premium içerik için harcanamaz.";"<color=@currencyWpColor>\t€\t</color>\t（银\t狮）\t是 War Thunder 的\t基\t础\t货\t币，\t可\t用\t于\t购\t买\t载\t具、\t武\t器\t挂\t载\t与\t支\t付\t维\t修\t费\t用\t等\t用\t途。\t<color=@currencyWpColor>\t€\t</color>\t（银\t狮）\t不\t能\t购\t买\t进\t阶\t内\t容。";"<color=@currencyWpColor>€</color>（シルバーライオン）\tは\t機体、\t武装、\t緊急修理等に\t使用できる\t通貨です。\t <color=@currencyWpColor>€</color>（シルバーライオン）\tは\tプレミアムコンテンツには\t使用できません。";"<color=@currencyWpColor>€</color> (Silver Lions) é a moeda do jogo que pode ser gasta em veículos, armamento, reparo imediato, etc. <color=@currencyWpColor>€</color> (Silver Lions) não podem ser gasto em conteúdo premium.";"<color=@currencyWpColor>€</color> (Срібні леви) - валюта, за яку можна купувати техніку, боєприпаси, моментальний ремонт та ін. За <color=@currencyWpColor>€</color> (Срібні леви) неможливо придбати преміум контент.";"<color=@currencyWpColor>€</color> (Lavovi) je valuta u igri koja može biti potrošena na vozila, naoružanje, popravku, itd. <color=@currencyWpColor>€</color> (Lavovi) ne mogu biti potrošeni na premijum sadržaj.";"A <color=@currencyWpColor>€</color> (Silver Lions) a játékbeli valuta, amelyet járművek, fegyverzet, azonnali javítás stb. megvásárlására lehet költeni. A <color=@currencyWpColor>€</color> (Silver Lions) azonban nem használható prémium tartalomra.";"<color=@currencyWpColor>€</color>(라이온)은 장비, 무장, 즉각수리 등을 위해 사용할 수 있는 게임 머니입니다. 하지만 <color=@currencyWpColor>€</color>으로 프리미엄 콘텐츠를 구매할 수는 없습니다.";"<color=@currencyWpColor>€</color> (Срэбныя львы) — унутрыгульнявая валюта, за якую можна купляць тэхніку і боепрыпасы, аплачваць паскораны рамонт і іншае. За <color=@currencyWpColor>€</color> (Срэбныя львы) нельга купляць прэміумны кантэнт.";"<color=@currencyWpColor>€</color> (Leii) sunt monede din joc care pot fi cheltuite pe vehicule, armament, reparări instantanee, etc. <color=@currencyWpColor>€</color> (Leii) nu pot fi cheltuiți pe conținut special și pot fi câștigați și ca recompensă în lupte.";"<color=@currencyWpColor>\t€\t</color> (銀\t獅\t幣) 是\t遊\t戲\t中\t的\t基\t礎\t貨\t幣，\t可\t以\t用\t於\t載\t具，\t武\t器，\t維\t修\t費\t用\t等，\t但 <color=@currencyWpColor>\t€\t</color> (銀\t獅\t幣) 不\t能\t用\t於\t花\t費\t進\t階\t內\t容\t中。";"<color=@currencyWpColor>\t€\t</color>\t（银\t狮）\t是《战\t争\t雷\t霆\t》\t的\t基\t础\t货\t币，\t可\t用\t于\t购\t买\t飞\t机、\t武\t器\t装\t备\t和\t改\t装\t件\t等。\t<color=@currencyWpColor>\t€\t</color>\t（银\t狮）\t不\t能\t购\t买\t进\t阶\t内\t容。";"<color=@currencyWpColor>€</color> (Silver Lions) là đơn vị tiền tệ trong game có thể sử dụng để mua phương tiện, vũ khí, sửa chữa ngay lập tức, v.v. Tuy nhiên, <color=@currencyWpColor>€</color> (Silver Lions) không thể sử dụng để mua nội dung Premium.";"COMMON FOR PLANES AND TANKS";
"charServer/chapter/warpoints/expireWarning";"Please note that the exchanged Silver Lions will be valid for {days} days. Exchanged Silver Lions will be spent first.";"Veuillez noter que les Lions échangées seront valables pendant {days} jours. Les Lions échangées seront dépensées en premier.";"I Leoni Argentati scambiati saranno validi per {days} giorni. I leoni scambiati saranno spesi per primi.";"Bitte beachte, dass die getauschten Lions für {days} Tage gültig sind. Getauschte Lions werden zuerst ausgegeben.";"Ten en cuenta que los Leones de Plata canjeados serán válidos durante {days} días. Los Leones de Plata canjeados se gastarán primero.";"Имейте в виду, что обменянные Серебряные львы будут действительны в течение {days} дней. Обменянные Серебряные львы будут потрачены в первую очередь.";"Należy pamiętać, że wymienialne Lwy będą ważne przez {days} dni. Wymienialne Lwy zostaną wydane w pierwszej kolejności.";"Vezměte prosím na vědomí, že vyměněné SL budou platné {days} dnů a budou utraceny jako první.";"Unutmayın ki takas edilen Gümüş Aslanlar {days} gün için geçerli olacak. Takas edilen Gümüş Aslanlar önce harcanır.";"请\t注\t意\t兑\t换\t获\t得\t的\t银\t狮\t存\t在 {days} 天\t的\t有\t效\t期\t限。\t在\t需\t要\t花\t费\t银\t狮\t的\t场\t合\t将\t会\t优\t先\t消\t耗\t兑\t换\t的\t银\t狮。";"交換した\tシルバーライオンは {days} 日間のみ\t有効となりますのでご\t注意ください。\tまた、\tシルバーライオンは\t交換で\t所得したものから\t最初に\t使用されます。";"Por favor, note que os Silver Lions trocados serão válidos para {days} dias. Silver Lions trocados serão gastos primeiro.";"Майте на увазі, що обміняні Срібні леви будуть дійсні протягом {days} днів. Обміняні Срібні леви будуть витрачені в першу чергу.";"Molimo Vas zapamtite da će zamenjeni lavovi biti validni {days} dana. Zamenjeni lavovi će biti potrošeni prvi.";"Kérjük, vedd figyelembe, hogy az átváltott ezüst oroszlán csak {days} napig használható fel! Először mindig az átváltott ezüst oroszlánok kerül elköltésre.";"환전한 라이온은 {days} 일 동안 사용 가능합니다. 환전한 라이온이 먼저 소모됩니다.";"Майце на ўвазе, што абмяняныя Срэбныя львы будуць сапраўдныя на працягу {days} дзён. Абмененыя Срэбныя львы будуць патрачаны ў першую чаргу.";"Leii convertiți vor fi valizi pentru {days} zile. Vor fi cheltuiți leii convertiți mai întâi.";"請\t注\t意\t兌\t換\t獲\t得\t的\t銀\t獅\t存\t在 {days} 天\t的\t有\t效\t期\t限。\t在\t需\t要\t花\t費\t銀\t獅\t的\t場\t合\t將\t會\t優\t先\t消\t耗\t兌\t換\t的\t銀\t獅。";"请\t注\t意\t兑\t换\t获\t得\t的\t银\t狮\t存\t在 {days} 天\t的\t有\t效\t期\t限。\t在\t需\t要\t花\t费\t银\t狮\t的\t场\t合\t将\t会\t优\t先\t消\t耗\t兑\t换\t的\t银\t狮。";"Lưu ý: Silver Lions được trao đổi sẽ có giá trị cho {days} ngày. Silver Lions được trao đổi sẽ được sử dụng trước.";;
"charServer/entitlement/PremiumAccount";"Premium Account";"Compte premium";"Account premium";"Premium-Konto";"Cuenta premium";"Премиум-аккаунт";"Konto premium";"Prémiový účet";"Premium Hesap";"高\t级\t账\t号";"プレミアムアカウント";"Conta Premium";"Преміум акаунт";"Premijum nalog";"Prémium előfizetés";"프리미엄 계정";"Прэміумны акаўнт";"Cont plătit";"高\t級\t帳\t號";"VIP";"Tài khoản Premium";;
"charServer/entitlement/PremiumAccount/desc/string_1";"A Premium Account is a membership purchased with Golden Eagles that provides the following benefits:";"Un compte Premium est un abonnement acheté avec des Golden Eagles vous fournissant les avantages suivants:";"L'Account Premium è un tipo di adesione elite che fornisce molti bonus:";"Das Premium-Konto ist eine Art von Elite-Mitgliedschaft, die eine Menge Boni bietet:";"Una Cuenta Premium es una membresía adquirida con Águilas de Oro que proporciona los siguientes beneficios:";"Обладатели Премиум-аккаунта получают ряд бонусов и привилегий:";"Konto Premium to członkostwo zakupione za Złote Orły, które zapewnia następujące korzyści:";"Prémiový účet je členství zakoupené za Zlaté orlice, které poskytuje následující výhody:";"Premium Hesap, Altın Kartal ile satın alınan ve aşağıdaki avantajları sağlayan bir üyeliktir:";"高\t级\t账\t号\t是\t一\t种\t进\t阶\t会\t员\t身\t份，\t使\t用\t金\t鹰\t购\t买，\t可\t享\t受\t诸\t多\t特\t权： ";"プレミアムアカウントは、\t多くの\tボーナスを\t受け\t取ることができる\tエリートメンバーシップです：";"A Conta Premium é um tipo de associação elite que oferece muitos bônus:";"Власники преміум акаунтів отримують ряд бонусів та привілеїв:";"Premijum nalog je tip elitnog članstva koje daje mnoge bonuse:";"A prémium fiók egyfajta elit tagság, ami rengeteg előnyt hordoz:";"프리미엄 계정은 골든 이글을 사용해 구매할 수 있는 기간제 상품으로, 다음과 같은 혜택을 제공합니다:";"Уладальнікі Прэміум-акаўнта атрымліваюць шэраг бонусаў і прывілеяў:";"A Premium Account is a membership purchased with Golden Eagles that provides the following benefits:";"高\t級\t帳\t號\t是\t一\t種\t尊\t貴\t的\t會\t員\t身\t份，\t可\t享\t受\t諸\t多\t特\t權：";"A Premium Account is a membership purchased with Golden Eagles that provides the following benefits:";"Tài khoản Premium là loại tài khoản ưu tú mang lại nhiều phần thưởng.";;
"charServer/entitlement/PremiumAccount/desc/string_2";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Research Points in all game modes";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Points de Recherche dans tous les modes de jeu";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Punti Ricerca in tutte le modalità di gioco";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Forschungspunkte in allen Spielmodi";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Puntos de Investigación en todos los modos de juego";"{bonusRpPercent} <color=@currencyRpColor>▉</color> очков исследований во всех игровых режимах";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Punktów Badań we wszystkich trybach gry";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Body výzkumu ve všech herních režimech";"{bonusRpPercent} <color=@currencyRpColor>▉</color> tüm oyun modlarında araştırma puanı bonusu";"{bonusRpPercent} <color=@currencyRpColor>\t▉\t</color> 研\t发\t点\t加\t成，\t适\t用\t于\t所\t有\t游\t戏\t模\t式";"すべての\tゲームモードで{bonusRpPercent} <color=@currencyRpColor>▉</color>リサーチポイント";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Pontos de Pesquisa em todos os modos de jogo";"{bonusRpPercent} <color=@currencyRpColor>▉</color> (Очок досліджень) у всіх ігрових режимах";"{bonusRpPercent} <color=@currencyRpColor>▉</color> poena za istraživanje u svim režimima igre";"{bonusRpPercent} <color=@currencyRpColor>▉</color> fejlesztési pont minden játékmódban";"모든 게임 모드에서 연구 점수 {bonusRpPercent} <color=@currencyRpColor>▉</color> 추가";"{bonusRpPercent} <color=@currencyRpColor>▉</color> (ачкоў даследаванняў) ва ўсіх гульнявых рэжымах";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Research Points in all game modes";"{bonusRpPercent} <color=@currencyRpColor>\t▉\t</color> 研\t發\t點\t加\t成，\t適\t用\t於\t所\t有\t遊\t戲\t模\t式";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Research Points in all game modes";"{bonusRpPercent} <color=@currencyRpColor>▉</color> Điểm nghiên cứu trong tất cả chế độ trò chơi.";;
