"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"coral_mis0_dlg1_ph01";" Heading towards the island.";" En direction de l’île";" Ci stiamo dirigendo all'isola.";" Auf dem Weg zur Insel.";" Nos dirigimos hacia la isla.";"Выдвигаемся к острову.";"Zmierzam w stronę wyspy.";"Mířím k ostrovu.";" Adaya gidiliyor.";"飞​向​目​标​岛​屿";"島に\t向かってる";"Em direção à ilha.";"Висуваємося до острова.";" Idem prema ostrvu.";"A sziget felé haladván.";" 섬 쪽을 향하고 있다.";"Накіроўваемся да паўвострава.";" Îndreaptă-te spre insulă.";"飛​向​目​標​島​嶼";"飞​向​目​标​岛​屿";" Hướng tới hòn đảo.";;
"coral_mis0_dlg1_ph02";" Maintain vigilance. The planes that attacked our bombers could be anywhere.";" Restez vigilants. Les avions qui ont attaqué nos bombardiers peuvent être partout.";" Tieni gli occhi aperti. Gli aerei che hanno attaccato i nostri bombardieri potrebbero essere ovunque.";" Bleiben Sie wachsam. Die Jäger, die unsere Bomber angegriffen haben, können überall sein.";" Mantengan la vigilancia. Los aviones que atacaron a nuestros bombarderos pueden estar en cualquier parte.";"Будьте внимательны. Самолёты, атаковавшие наши бомбардировщики, могут быть где угодно.";"Zachowaj czujność. Samoloty, które zaatakowały nasze bombowce, mogą być wszędzie.";"Buďte ostražití. Letadla, která napadla naše bombardéry, mohou být kdekoli.";" Tetikte ol. Bombardıman uçaklarımıza saldıran uçaklar her yerde olabilir.";"保​持​警​惕。​对​我​方​轰​炸​机​图​谋​不​轨​的​敌​机​随​时​会​出​现。";"警戒を\t怠るな　\t爆撃隊を\t攻撃した\t連中がいるはずだ";"Mantenham a vigilância. Os aviões que atacaram os nossos bombardeiros podem estar em qualquer lado.";"Будьте уважні. Літаки, наші бомбардувальники, що атакували, можуть бути де завгодно.";" Ostanite spremni. Avioni koji su napali naše bombardere mogu biti u blizini.";"Maradjatok éberek! Bárhol lehetnek a repülők, melyek megtámadták a bombázóinkat.";" 긴장 풀지마. 아군 폭격기들을 공격한 비행기들이 어디 있을지 모른다. ";"Будзьце ўважлівы. Самалёты, якія атакавалі нашы бамбардзіроўшчыкі, могуць быць усюды.";" Menține vigilența. Avioanele care ne-au atacat bombardierele ar putea fi oriunde.";"保​持​警​惕。​對​我​方​轟​炸​機​圖​謀​不​軌​的​敵​機​隨​時​會​出​現。";"保​持​警​惕。​对​我​方​轰​炸​机​图​谋​不​轨​的​敌​机​随​时​会​出​现。";" Duy trì cảnh giác. Những chiếc máy bay tấn công máy bay ném bom của chúng ta có thể ở bất cứ nơi nào.";;
"coral_mis0_dlg2_ph01";" I see them!";" Je les vois !";" Li vedo!";" Ich sehe sie!";" ¡Los veo!";"Вижу их!";"Widzę ich!";"Vidím je!";" Onları görüyorum!";"我​看​到​他​们​了！";"いたぞ！";"Estou a vê-los!";"Бачу їх!";" Vidim ih!";"Látom őket!";" 보인다!";"Бачу іх!";" Le văd!";"我​看​到​他​們​了！";"我​看​到​他​们​了！";" Tôi đã thấy chúng!";;
"coral_mis0_dlg2_ph02";" Right into our hands.";" En plein dans nos mains.";" Ci sono caduti fra le mani.";" Direkt in unsere Hände.";" Están justo donde los queremos.";"Сами к нам пришли.";"Prosto w nasze ręce!";"Jdou nám přímo do náruče.";" Elimizin altındalar.";"刚​好​在​射​程​内";"こっちに\t向かってきた";"Mesmo para as nossas mãos.";"Самі до нас пришли.";" Pravo u naše ruke.";"Egyenesen a karjainkba sétálnak.";" 바로 우리 손아귀에 들어온다.";"Самі прыйшлі да нас.";" Chiar în mâinile noastre.";"剛​好​在​射​程​內";"刚​好​在​射​程​内";" Phía tay phải của chúng ta.";;
"coral_mis0_dlg2_ph03";" Excellent. Attack!";" Excellent. Attaquez !";" Ottimo. All'attacco!";" Ausgezeichnet. Angriff!";" Excelente. ¡Ataquen!";"Отлично. В атаку!";"Doskonale, a teraz do ataku!";"Výborně. Do útoku!";" Mükemmel. Hücum!";" 太​好​了。​动​手！";"いいぞ　\t攻撃！";" Excelente. Ataque!";"Відмінно. У атаку!";" Odlčno. Napad!";"Remek. Támadás!";" 좋아. 공격 개시!";"Добра. У атаку!";" Excelent. Atacați!";" 太​好​了。​動​手！";" 太​好​了。​动​手！";" Tuyệt vời. Tấn công!";;
"coral_mis0_dlg2_ph04";" Leave no survivors!";" Pas de merci !";" Non lasciate superstiti!";" Keine Überlebenden!";" ¡no dejen uno vivo!";"Никого не оставлять!";"Wybić wszystkich!";"Nikdo nesmí přežít!";" Hiç canlı bırakma!";"将​他​们​一​网​打​尽！";"生きて\t帰すな";" Não deixem nenhum sobrevivente!";"Нікого не залишати!";" Ne ostavljajte preživele!";"Ne hagyjatok túlélőket!";" 한 놈도 살려두지 마라!";"Нікога не шкадаваць!";" Nu lăsați supraviețuitori!";"將​他​們​一​網​打​盡！";"将​他​们​一​网​打​尽！";"Tiêu diệt toàn bộ!";;
"coral_mis0_dlg3_ph01";" I think that's it.";" Je pense que c'est tout.";" Questo è tutto.";" Ich denke, das war's.";" Creo que eso es todo.";"Думаю, это всё.";" Myślę, że to jest to.";"To bude myslím všechno.";" Sanırım hepsi bu kadar.";"应​该​差​不​多​了​吧。";"片づけたな";" Acho que é isso.";"Думаю, це усе.";" Mislim da je to, to.";"Azt hiszem, ennyi volt.";" 이쯤이면 된 것 같군.";"Думаю, гэта ўсё.";" Cred că asta-i tot.";"應​該​差​不​多​了​吧。";"应​该​差​不​多​了​吧。";" Đúng như tôi nghĩ.";;
"coral_mis0_dlg3_ph02";" Yorktown! This is Lieutenant Fenton, do you read me?";" Yorktown ! Ici le Lieutenant Fenton, vous me recevez ?";" Yorktown! Parla il Tenente Fenton, mi ricevete?";" Yorktown! Hier ist Lieutenant Fenton, können Sie mich höhren?";" ¡Yorktown! aquí el teniente Fenton, ¿me recibe?";"""Йорктаун""! Говорит лейтенант Фентон, приём.";"Yorktown! Tu porucznik Fenton, słyszycie mnie?";"Yorktowne! Tady poručík Fenton, slyšíte mě?";" Yorktown! Teğmen Fenton konuşuyor, beni duyuyor musun?";"“约​克​城”​号！​这​里​是​芬​顿​中​尉，​能​收​到​吗？";"ヨークタウン、\tこちら\tフェントン\t大尉　\t聞こえるか？";" Yorktown! Este é o Tenente Fenton, estão-me a ouvir?";"Йорктаун! Говорить лейтенант Фентон, прийом.";" Jorktaun! Ovo je poručnik Fenton,da li me čujete?";"Yorktown! Itt Fenton hadnagy. Hallanak engem?";" USS 요크타운! 여긴 펜턴 중위다, 들리는가?";"Ёрктаўн! Гэта лейтэнант Фэнтан, прыём.";" Yorktown! Aici este Locotenentul Fenton, mă auziți?";"“約​克​城”​號！​這​裡​是​芬​頓​中​尉，​能​收​到​嗎？";"“约​克​城”​号！​这​里​是​芬​顿​中​尉，​能​收​到​吗？";" Yorktown! Đây là trung úy Fenton, nghe tôi nói không?";;
"coral_mis0_dlg3_ph03";" I copy, Lieutenant.";" Je vous reçois, Lieutenant.";" La riceviamo, Tenente.";" Ich höre Sie, Lieutenant.";" Le recibo, teniente.";"Слушаю вас, лейтенан.";"Tak jest, poruczniku.";"Slyším vás, poručíku.";" Duyuyorum, Teğmen.";"收​到，​中​尉。";"聞こえます、\t大尉";" Entendido, Tenente.";"Слухаю вас, лейтенан.";" Čujemo poručniče.";"Veszem, hadnagy.";" 들린다, 중위.";"Слухаю вас, лейтэнант.";" Da, Locotenente.";"收​到，​中​尉。";"收​到，​中​尉。";" Nghe rõ, trung úy.";;
"coral_mis0_dlg3_ph04";" Reporting the situation. Enemy planes destroyed.";" Rapport de la situation. Avions ennemis détruits.";" Faccio rapporto. Aerei nemici distrutti.";" Berichterstattung über die Situation. Feindliche Flugzeuge zerstört.";" Informo la situación. Aviones enemigos destruidos.";"Докладываю обстановку. Вражеские самолёты уничтожены.";"Raport sytuacyjny. Samoloty wroga zostały zniszczone.";"Hlásím stav situace. Nepřátelská letadla zničena.";" Durum rapor ediliyor. Düşman uçakları yok edildi.";"报​告​战​况。​敌​机​全​灭。";"報告する　\t敵航空機を\t殲滅";" Relatório da situação. Aviões inimigos destruidos.";"Доповідаю обстановку. Ворожі літаки знищені.";" Izveštavamo o situaciji. Neprijateljski avioni su uništeni.";"Helyzetjelentés. Ellenséges gépek kiiktatva.";" 상황 보고. 적기를 격추했다.";"Дакладваю абстаноўку. Варожыя самалёты знішчаны.";" Raportez situația. Avioanele inamice au fost distruse.";"報​告​戰​況。​敵​機​全​滅。";"报​告​战​况。​敌​机​全​灭。";" Báo cáo tình hình. Máy bay đối phương đã bị tiêu diệt.";;
