"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"us_gc_m1_dialog1_ph1";" Our goal is the coast of Florida Island. We need to clear the area for landing.";" Nous visons la côte de l’île Florida. Nous devons dégager la zone pour l’atterrissage.";" Il nostro obiettivo è la costa dell'isola di Florida. Dobbiamo sgombrare l'area per l'atterraggio.";" Unser Ziel ist die Küste von Florida Island. Wir müssen den Bereich für die Landung sichern.";" Nuestro objetivo es la costa de la isla Florida. Debemos despejar la zona para desembarcar.";"Наш сектор — побережье острова Флорида, нам надо расчистить территорию для высадки.";"Naszym celem jest wybrzeże wyspy Floridy. Musimy oczyścić ten obszar, by można tam było lądować.";"Naším cílem je pobřeží ostrova Nggela. Musíme oblast vyčistit pro vylodění.";" Hedefimiz Florida Adası'nın sahili. İniş için bölgeyi temizlemeliyiz.";"目​标：​佛​罗​里​达​岛​滩​头。​我​们​要​为​登​陆​部​队​清​扫​出​场​地。";"標的は\tフロリダ\t島の\t海岸だ　\t上陸部隊の\t露払いをする";"Nosso objetivo é a ilha da costa da Flórida. Precisamos limpar a área para pousar.";"Наш сектор - узбережжя острова Флоріда, нам потрібно розчистити територію для висадки.";" Naš cilj je obala Florida ostrva. Moramo da očistimo oblast za sletanje.";"Célunk a Florida-sziget partjai. Meg kell tisztítanunk a területet a leszálláshoz.";" 우리의 목적지는 플로리다 섬의 해안이다. 상륙을 위해 그곳을 정리할 필요가 있다.";"Наш сектар — узбярэжжа вострава Фларыда, нам трэба расчысціць тэрыторыю для высадкі.";" Scopul nostru este coasta insulei Florida. Trebuie să curățăm zona pentru aterizare.";"目​標：​佛​羅​里​達​島​灘​頭。​我​們​要​為​登​陸​部​隊​清​掃​出​場​地。";"目​标：​佛​罗​里​达​岛​滩​头。​我​们​要​为​登​陆​部​队​清​扫​出​场​地。";" Mục tiêu của chúng ta là bờ biển đảo Florida. Chúng ta cần khu vực an toàn để hạ cánh.";;
"us_gc_m1_dialog1_ph2";" I see floatplanes on the ground, trying to take off!";" Je vois des hydravions sur le sol qui essaient de décoller !";" Vedo degli idrovolanti a terra, pronti a decollare!";" Ich sehe Wasserflugzeuge am Boden, sie versuchen zu starten!";" ¡Veo hidroaviones en tierra a punto de despegar!";"Вижу поплавковые самолёты внизу, похоже, они пытаются взлететь!";"Widzę na ziemi wodnosamoloty, próbują wystartować!";"Vidím hydroplány, které se snaží vzlétnout!";" Karada kalkmayı deneyen deniz uçakları görüyorum!";"我​看​到​一​些​水​上​飞​机​正​准​备​起​飞！";"地上に\t水上機　\t離陸しようとしてる";" Vejo hidroaviões no chão, tentando decolar!";"Бачу поплавкові літаки внизу, схоже, вони намагаються злетіти!";" Vidim hidroavione na zemlji, pokušavaju da polete!";"Hidroplánokat látok a vízen, megpróbálnak felszállni!";" 비행정이 지상에 있는 게 보인다. 이륙하려 하고 있군!";"Бачу паплаўковыя самалёты ўнізе, відаць, яны спрабуюць узляцець!";" Văd hidroavioane la sol, încearcă să decoleze!";"我​看​到​一​些​水​上​飛​機​正​準​備​起​飛！";"我​看​到​一​些​水​上​飞​机​正​准​备​起​飞！";" Tôi thấy những chiếc thủy phi cơ đang cố gắng cất cánh!";;
"us_gc_m1_dialog2_ph1";" We need to stop them!";" Nous devons les arrêter !";" Dobbiamo fermarli!";" Wir müssen sie aufhalten!";" ¡Debemos detenerlos!";"Надо не дать им возможности это сделать!";"Musimy je powstrzymać!";"Musíme je zastavit!";" Onları durdurmamız gerek!";"我​们​得​阻​止​他​们！";"奴らを\t阻止しろ";" Precisamos detê-los!";"Потрібно не дати їм можливості це зробити!";" Moramo da ih zaustavimo!";"Meg kell állítanunk őket!";" 놈들을 막아야 해!";"Трэба іх спыніць!";" Trebuie să le oprim!";"我​們​得​阻​止​他​們！";"我​们​得​阻​止​他​们！";" Chúng ta cần phải chặn chúng lại!";;
"us_gc_m1_dialog3_ph1";" Looks like our job here is done. Let's keep on searching.";" On dirait que nous avons fini par ici. Continuons à chercher.";" A quanto pare qui abbiamo finito. Continuiamo a cercare.";" Scheint, als wäre unser Job hier erledigt. Lasst uns weiter suchen.";" Parece que nuestro trabajo está terminado. Continuemos con la búsqueda.";"Похоже, здесь мы закончили, продолжаем поиск";"Wygląda na to, że nasza robota tutaj się skończyła. Szukajmy dalej.";"Vypadá to, že naše práce je vykonána. Pokračujte v hledání.";" Görünüşe göre buradaki işimiz bitti! Aramaya devam edelim.";"这​里​已​经​没​什​么​活​干​了，​我​们​继​续​搜​索​吧。";"ここは\t上がりだ　\t索敵を\t続行しよう";"Parece que nosso trabalho aqui está feito. Vamos continuar procurando.";"Схоже, тут ми закінчили, продовжуємо пошук";" Izgleda da je naš posao ovde završen. Nastavimo sa potragom.";"Úgy látszik, itt végeztünk. Folytassuk a keresést.";" 아무래도 여기서 할 일은 다 끝난 것 같군. 계속 수색하자고.";"Здаецца, тут наша работа скончана, працягваем пошук";" Se pare că treaba noastră aici s-a încheiat. Să continuăm să mai căutăm.";"這​裡​已​經​沒​什​麼​活​幹​了，​我​們​繼​續​搜​索​吧。";"这​里​已​经​没​什​么​活​干​了，​我​们​继​续​搜​索​吧。";" Có vẻ như công việc của chúng ta ở đây đã xong. Hãy tiếp tục tìm kiếm.";;
"us_gc_m1_dialog3_ph2";" More planes, six of them, in the harbor straight ahead.";" Il y a six avions de plus dans le port juste devant.";" Altri aerei, sei, nel porto davanti a noi.";" Weitere Flugzeuge, sechs von ihnen, im Hafen direkt voraus.";" Más aviones, son seis, sobre el puerto, justo hacia adelante.";"Еще самолёты, шесть штук, в гавани, прямо по курсу";"Kolejne samoloty, sześć, na przystani na wprost.";"Další letadla v přístavu přímo před námi. Je jich šest.";" Daha fazla uçak; altı tanesi ilerideki limanda.";"发​现​更​多​敌​机，​有​六​架，​就​在​前​面​的​海​港​处。";"さらに\t敵機、\t真正面の\t港に\t六機発見";"Mais aviões, seis deles, no porto em frente.";"Ще літаки, шість штук, в гавані, прямо по курсу";" Još aviona, šest, u luci pravo napred.";"Még több repülő. Hatan vannak a kikötőben egyenesen előttünk.";" 또 다른 적기다. 6대가 항구 정면으로 오고 있군.";"Яшчэ самалёты, шэсць штук, у гавані, на 12 гадзін";" Mai multe avioane, șase, în portul din față.";"發​現​更​多​敵​機，​有​六​架，​就​在​前​面​的​海​港​處。";"发​现​更​多​敌​机，​有​六​架，​就​在​前​面​的​海​港​处。";" Phát hiện thêm máy bay, 6 chiếc trong số chúng tiến thẳng về phía cảng.";;
"us_gc_m1_dialog3_ph3";" I see them. We're low on ammunition, try not to waste it.";" Je les vois. Nous n’avons plus beaucoup de munitions, essayez de ne pas les gâcher.";" Li vedo. Abbiamo poche munizioni, cerchiamo di non sprecarle.";" Ich sehe sie! Die Munition wird knapp, gehen Sie sparsam damit um.";" Puedo verlos. Tenemos pocas municiones, intenta no desperdiciarlas.";"Вижу, патронов мало, старайтесь не тратить их зря";"Widzę je. Kończy nam się amunicja, nie marnujcie jej.";"Vidím je. Máme málo munice, zkuste jí neplýtvat.";" Onları görüyorum. Cephanemiz az, boşa kullanmamaya çalışalım.";"看​到​了。​不​过​我​们​的​弹​药​不​多​了，​尽​量​别​浪​费。";"確認した　\t残弾が\t少ない　\t無駄弾を\t撃つなよ";" Vejo eles. Temos poucas munições, tente não desperdiçá-las.";"Бачу, патронів мало, намагайтеся не витрачати їх даремно";" Vidim ih. Imamo malo municije, nemojte da je trošite.";"Látom őket. Kevés a lőszerünk, lehetőleg ne pazaroljunk.";" 그들이 보이는군. 우린 탄약이 얼마 없어. 그러니 낭비 없이 제대로 쏘도록 해.";"Бачу, патронаў мала, старайцеся не марнаваць іх дарма";" Le văd. Nu avem multă muniție, încercați să nu o irosiți.";"看​到​了。​不​過​我​們​的​彈​藥​不​多​了，​儘​量​別​浪​費。";"看​到​了。​不​过​我​们​的​弹​药​不​多​了，​尽​量​别​浪​费。";" Tôi đã thấy chúng. Chúng ta có rất ít đạn, hãy cố gắng tránh lãng phí.";;
"us_gc_m1_dialog4_ph1";" Looks like that was the last one.";" On dirait que c’était la dernière.";" Sembra che quello fosse l'ultimo.";" Sieht aus, als war das der letzte.";" Parece que ese fue el último.";"Похоже, это был последний";"To chyba był ostatni.";"Vypadá to, že to byl poslední.";" Galiba bu sonuncuydu.";"这​应​该​是​最​后​一​架​了。";"今のが\t最後だな";"Parece que foi o último.";"Схоже, це був останній";" Izgleda da je to bio poslednji.";"Úgy látszik, ez volt az utolsó.";" 저게 마지막인 것 같군 그래.";"Здаецца, гэты быў апошні";" Se pare că ăsta a fost ultimul.";"這​應​該​是​最​後​一​架​了。";"这​应​该​是​最​后​一​架​了。";" Có vẻ như đó là chiếc cuối cùng.";;
"us_gc_m1_dialog4_ph2";" I'm out of ammunition.";" Je n’ai plus de munitions.";" Non ho più munizioni.";" Ich habe keine Munition mehr.";" Me he quedado sin munición.";"Патронов больше нет";"Skończyła mi się amunicja.";"Došla mi munice.";" Cephanem bitti.";"我​的​弹​药​用​光​了。";"こっちは\t弾切れだ";"Estou sem munição.";"Патронів більше немає";" Ostao sam bez municije.";"Kifogytam a lőszerből.";" 탄약이 모두 소진됐다.";"У мяне скончыліся патроны";" Nu mai am muniție.";"我​的​彈​藥​用​光​了。";"我​的​弹​药​用​光​了。";" Tôi đã hết đạn.";;
"us_gc_m1_dialog4_ph3";" We've done our job. Let's head back to the ship.";" C’est fait. Retournons au bateau.";" Abbiamo compiuto la nostra missione. Torniamo alla nave.";" Unser Job ist erledigt. Kehren wir zum Schiff zurück.";" Hemos hecho nuestro trabajo. Regresemos al barco.";"Свою работу мы сделали. Возвращаемся на корабль";"Zrobiliśmy, co do nas należało. Wracajmy na okręt.";"Svou práci jsme odvedli. Teď se vrátíme na loď.";" İşimizi yaptık. Gemiye geri dönelim.";"任​务​完​成，​我​们​返​回​舰​队​吧。";"任務完了だ　\t艦に\t戻ろう";" Nós fizemos o nosso trabalho. Vamos voltar para o navio.";"Свою роботу ми зробили. Повертаємося на корабель";" Uradili smo posao. Hajde da se vratimo na brod.";"Itt végeztünk. Irány vissza a hajóhoz.";" 우리가 할 일은 다 끝났어. 함대로 복귀한다.";"Мы выканалі сваю работу. Вяртаемся на карабель";" Ne-am făcut treaba. Să ne întoarcem la navă.";"任​務​完​成，​我​們​返​回​艦​隊​吧。";"任​务​完​成，​我​们​返​回​舰​队​吧。";" Chúng ta đã xong việc. Hãy quay lại con tàu.";;
"us_gc_m1_dialog5_ph1";" Look, down there!";" Regardez, en bas !";" Guarda, laggiù!";" Sehen Sie, da unten!";" ¡Mira, allí abajo!";"Смотри – там, внизу!";"Patrzcie, na dole!";"Podívejte, tam dole!";" Bak, aşağıda!";"看​下​面！";"見ろ、\t下だ";"Olhe, lá embaixo!";"Дивися - там, внизу!";" Pogledaj dole!";"Nézd, ott lent!";" 저기! 아래야!";"Глядзі, што ўнізе!";" Uite, acolo jos!";"看​下​面！";"看​下​面！";" Nhìn kìa, ở dưới kia!";;
