"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"jpn_midway_m1_dialog1_ph1";" Take a course on Midway, keep the formation";" Direction Midway, restez en formation.";" Si diriga a Midway, mantenga la formazione";" Nehmen Sie Kurs auf Midway, halten Sie die Formation";"Toma un rumbo hacia Midway, mantén la formación";"Берем курс на Мидуэй, держите формацию.";"Kurs na Midway, trzymać szyk.";"Naberte kurs na Midway, udržujte formaci.";" Midway'a yol alın, formasyonu bozmayın";"飞​向​中​途​岛，​保​持​队​型！";"目標\tミッドウェー　\t編隊を\t維持せよ";" Rumar a Midway, manter a formação";"Беремо курс на Мідвей, тримаєте формацію.";" Zauzmite kurs ka Midveju, ostanite u formaciji";"Vegyétek az irányt Midway felé, tartsátok az alakzatot.";" 대형을 유지하며 미드웨이로 비행하라.";"Курс на Мідуэй, трымайце строй.";"Îndreptați-vă spre Midway, păstrați formația.";"飛​向​中​途​島，​保​持​隊​型！";"飞​向​环​礁，​保​持​队​型！";" Thực hiện một chuyến bay trên đảo Midway, giữ đội hình";;
"jpn_midway_m1_dialog1_ph2";" Lets repeat Pearl Harbor!";" On se refait un Pearl Harbor !";" Ripetiamo un'altra Pearl Harbor! ";" Lasst uns Pearl Harbor wiederholen! ";" ¡Repitamos nuestra hazaña en Pearl Harbor! ";"Повторим Перл-Харбор!";"Powtórzmy Pearl Harbor!";"Zopakujeme Pearl Harbor!";" Pearl Harbor'u tekrar yaşatalım! ";"让​我​们​重​现​珍​珠​港​的​辉​煌​吧！ ";"真珠湾の\t調子で\t行くぞ！";" Vamos repetir Pearl Harbor!";"Повторимо Перл-Харбор!";" Ponovimo Perl Harbor!";"Ismételjük meg Pearl Harbort!";" 다시 한 번 진주만처럼 만들어버리자고!";"Паўторым Пёрл-Харбар!";"Hai să repetăm ce a fost la Pearl Harbor!";"讓​我​們​重​現​珍​珠​港​的​輝​煌​吧！ ";"让​我​们​重​现​ZZ​港​的​辉​煌​吧！ ";" Cho phép tái hiện trận Trân Châu Cảng!";;
"jpn_midway_m1_dialog2_ph1";" Hold above formation of bombers, be ready to intercept enemy fighters";" Restez au-dessus des formations de bombardiers, soyez prêts à intercepter les chasseurs ennemis.";" Mantenga la formazione dei bombardieri, stia pronto a intercettare i caccia nemici ";" Bleiben Sie über der Bomberformation und fangen Sie feindliche Jäger ab ";" Mantente por encima de la formación de bombarderos, prepárate para interceptar cazas enemigos";"Держимся выше формации бомбардировщиков, будьте готовы перехватить истребители противника.";"Trzymać się nad formacją bombowców, przygotować do ataku na myśliwce wroga.";"Držte se nad formací bombardérů, buďte připraveni zachytit nepřátelské stíhačky";" Bombardıman uçakları dizilişi koruyun, düşman savaş uçaklarını durdurmaya hazır olun ";"在​轰​炸​机​编​队​上​方​保​持​好​阵​型，​随​时​准​备​拦​截​敌​方​战​斗​机。";"爆撃機隊の\t上空を\t維持　\t敵の\t戦闘機に\t備えろ";" Mantenham-se acima da formação dos bombardeiros, estejam prontos para interceptar caças inimigos";"Тримаємося вище за формацію бомбардувальників, будьте готові перехопити винищувачі противника.";" Držite formaciju iznad bombardera, budite spremni da presretnete neprijateljske lovce";"Tartsátok az alakzatot a bombázók felett, álljatok készen az ellenséges vadászok elfogására.";" 폭격기 대형 위를 유지하면서 적 전투기를 요격할 준비를 하도록.";"Трымаемся вышэй за фармацыю бамбардзіроўшчыкаў, будзе гатовыя перахопліваць знішчальнікі супраціўніка.";"Stați deasupra formației de bombardiere, fiți pregătiți să interceptați avioanele de vânătoare inamice.";"在​轟​炸​機​編​隊​上​方​保​持​好​陣​型，​隨​時​準​備​攔​截​敵​方​戰​鬥​機。";"在​轰​炸​机​编​队​上​方​保​持​好​阵​型，​随​时​准​备​拦​截​敌​方​战​斗​机。";" Giữ nguyên đội hình máy bay ném bom, sẵn sàng đánh chặn các máy bay tiêm kích đối phương";;
"jpn_midway_m1_dialog3_ph1";" We took too many losses, we cannot continue the attack, we must turn back";" Nous avons subi trop de pertes, nous ne pouvons pas continuer l’attaque, il faut rebrousser chemin.";" Abbiamo sofferto troppe perdite, non possiamo proseguire l'attacco, dobbiamo tornare indietro";" Wir haben zu viele Verluste, wir können den Angriff nicht fortsetzen, wir müssen umkehren";" Hemos sufrido demasiadas pérdidas, no podemos continuar el ataque, debemos regresar.";"У нас слишком большие потери, мы не можем продолжать дальше атаку, разворачиваемся обратно.";"Ponieśliśmy zbyt wielkie straty, nie możemy kontynuować ataku, musimy zawrócić.";"Máme moc těžké ztráty, nemůžeme pokračovat v útoku. Musíme se vrátit.";" Çok fazla kayıp verdik, taarruza devam edemeyiz, geri dönmeliyiz";"我​们​的​损​失​过​于​惨​重，​不​能​再​继​续​攻​击​了。​必​须​撤​退​了。";"我が\t方の\t損害は\t甚大、\t攻撃続行は\t不可能だ　\t全機撤退する";" Nós tivemos muitas baixas, não podemos continuar o ataque, temos de retornar";"У нас занадто великі втрати, ми не можемо продовжувати далі атаку, розгортаємося назад.";" Pretrpeli smo previse gubitaka,ne možemo da nastavimo sa napadom, moramo da se vratimo";"Túl sok veszteséget szenvedtünk, nem tudjuk folytatni a támadást. Vissza kell fordulnunk.";" 손실이 너무 크다. 더이상 공격을 계속 할 수 없다. 후퇴해야 한다.";"У нас занадта вялікія страты, мы не можам далей працягваць атаку, паварочваем назад.";"Avem prea multe pierderi, nu putem continua atacul, trebuie să ne întoarcem.";"我​們​的​損​失​過​於​慘​重，​不​能​再​繼​續​攻​擊​了。​必​須​撤​退​了。";"我​们​的​损​失​过​于​惨​重，​不​能​再​继​续​攻​击​了。​必​须​撤​退​了。";" Chúng ta bị thiệt hại quá nặng, không thể tiếp tục các cuộc tấn công, chúng ta phải quay trở lại";;
"jpn_midway_m1_dialog4_ph1";" Launch the attack";" A l’attaque.";" Lanciate l'attacco";" Beginnen Sie mit dem Angriff";" Lancen el ataque.";"Начинаем атаку";"Rozpocząć atak.";"Vyrazte do útoku.";" Saldırıyı başlat";"发​起​攻​击！";"攻撃開始";" Lançar o ataque";"Починаємо атаку";" Otpočnite napad";"Támadás!";" 공격 개시";"Пачынаем атаку";"Lansați atacul";"發​起​攻​擊！";"发​起​攻​击！";" Phát động cuộc tấn công";;
"jpn_midway_m1_dialog5_ph1";" We have destroyed weapons caches on the island, but the runway was not damaged.";" Nous avons détruit des caches d’armes sur l’île mais la piste n’a pas été endommagée.";" Abbiamo distrutto i depositi d'armi sull'isola, ma la pista d'atterraggio non è stata danneggiata.";" Wir haben Waffenlager auf der Insel zerstört, aber die Piste wurde nicht beschädigt.";" Hemos destruido los alijos de armas de la isla, pero la pista de aterrizaje no ha sido dañada.";"Мы уничтожили склады с оружием на острове, но взлётная полоса не была повреждена.";"Zniszczyliśmy składy broni na wyspie, ale pas startowy pozostał nienaruszony.";"Zničili jsme ostrovní skladiště zbraní, ale dráha poškozena nebyla.";" Adadaki silah yığınaklarını yok ettik; fakat uçak pisti hasar görmedi.";"我​们​已​经​摧​毁​了​岛​上​的​武​备，​但​跑​道​却​毫​发​无​损。";"島の\t武器庫の\t破壊に\t成功　\tだが\t滑走路は\t無傷だ";" Nós destruímos caches de armas na ilha, mas a pista de descolagem não foi danificada.";"Ми знищили склади зі зброєю на острові, але злітна смуга не була пошкоджена.";" Uništili smo zalihe oružja na ostrvu, ali je pista ostala netaknuta.";"Megsemmisítettük a fegyverraktárakat a szigeten, de a kifutópálya sértetlen maradt.";" 우리는 섬의 무기고를 파괴했지만, 활주로는 피해를 입지 않았다.";"Мы знішчылі склады са зброяй на востраве, але ўзлётная паласа не была пашкоджана.";"Am distrus cuiburile de arme de pe insulă, dar pista nu a fost afectată.";"我​們​已​經​摧​毀​了​島​上​的​武​備，​但​跑​道​卻​毫​髮​無​損。";"我​们​已​经​摧​毁​了​岛​上​的​武​备，​但​跑​道​却​毫​发​无​损。";" Chúng ta đã phá hủy kho vũ khí trên đảo, nhưng đường băng không bị hư hại.";;
"jpn_midway_m1_dialog5_ph2";" We need to attack again.";" Nous devons attaquer de nouveau !";" Dobbiamo attaccare di nuovo.";" Wir müssen nochmal angreifen.";" Debemos atacar nuevamente.";"Понадобится еще одна атака.";"Musimy zaatakować ponownie.";"Musíme zaútočit znovu.";" Tekrar saldırmamız gerek.";"要​求​发​动​第​二​波​攻​击。";"再攻撃せよ";" Nós precisamos atacar novamente.";"Знадобиться ще одна атака.";" Moramo da napadnemo ponovo.";"Újból támadnunk kell.";" 우리는 다시 공격해야 한다.";"Патрэбна яшчэ адна атака.";"Trebuie să atacăm din nou.";"要​求​發​動​第​二​波​攻​擊。";"要​求​发​动​第​二​波​攻​击。";" Chúng ta cần phải tấn công thêm một lần nữa.";;
"jpn_midway_m2_dialog1_ph1";" We won't be able to catch up with them.";" On ne va pas pouvoir les rattraper.";" Non potremo raggiungerli.";" Wir können sie nicht einholen.";" No podremos alcanzarlos.";"Этих нам уже не догнать";"Nie uda nam się ich dogonić.";"Ty už nedoženeme.";" Onları yakalayamayacağız.";"我​们​追​不​上​他​们。";"連中に\t追い\t着くのは\t無理だ";" Nós não seremos capazes de alcançar eles.";"Цих нам вже не наздогнати";" Nećemo moći da ih sustignemo.";"Nem fogjuk utolérni őket.";" 우린 그들을 따라잡을 수 없을거야.";"Гэтых мы ўжо не дагонім";"Nu vom putea să-i mai ajungem.";"我​們​追​不​上​他​們。";"我​们​追​不​上​他​们。";" Chúng ta sẽ không thể bắt kịp họ.";;
"jpn_midway_m2_dialog1_ph2";" What kind of planes were those?";" C’était quel type d’avions ?";" Che tipo d'aerei erano quelli?";" Was für ein Flugzeugtyp war das?";" ¿Qué clase de aviones eran esos?";"Что это были за самолёты?";"Co to były za samoloty?";"Co to bylo za letadla?";" Onlar ne tür uçaklardı?";"是​什​么​机​种？";"ありゃ\t一体なんだ？";" Que tipo de aviões eram estes?";"Що це були за літаки?";" Koji su to avioni bili?";"Azok meg milyen repülőgépek voltak?";" 방금 저건 어떤 기종이였지?";"Што гэта былі за самалёты?";"Ce fel de avioane au fost alea?";"是​什​麼​機​種？";"是​什​么​机​种？";" Có những loại máy bay nào vậy?";;
"jpn_midway_m2_dialog1_ph3";" They look like B-17 from Midway.";" On dirait des B-17 de Midway.";" Sembrano i B-17 dalle Midway.";" Sie sahen aus wie B-17 aus Midway";" Parecen los B-17 de Midway.";"Похожи на B-17, видимо, с Мидуэя";"Wyglądają jak B-17 z Midway.";"Vypadalo to na B-17 z Midwaye.";" Midway'dan B-17'lere benziyorlardı.";"似​乎​是​中​途​岛​起​飞​的 B-17。";"ミッドウェーから\t来た\tＢ17\tのようだ";" Eles parecem B-17 de Midway.";"Схожі на B-17, мабуть, з Мідвея";" Izgledaju kao B-17 sa Midveja.";"Midway-szigeteki B-17-eseknek tűnnek.";" 미드웨이에서 온 B-17같다.";"Падобныя да B-17, напэўна з Мідуэй.";"Arată ca B-17 de la Midway.";"似​乎​是​中​途​島​起​飛​的 B-17。";"似​乎​是​环​礁​起​飞​的 B-17。";" Chúng trông giống như B-17 từ Midway.";;
"jpn_midway_m2_dialog1_ph4";" You think there will be other attacks?";" Tu penses qu’il y aura d’autres attaques ?";" Pensi che ci sarà un altro attacco?";" Meinst du, es gibt noch weitere Angriffe?";" ¿Crees que habrá más ataques?";"Думаешь, будут еще атаки?";"Sądzisz, że będą inne ataki?";"Myslíš, že budou další útoky?";" Başka saldırı olacak mı sence?";"你​觉​得​今​天​还​会​有​敌​机​来​袭​吗?";"また\t攻めてくると\t思うか？";" Você acha que haverá outros ataques?";"Думаєш, будуть ще атаки?";" Misliš li da će biti još napada?";"Szerinted lesznek még újabb támadások?";" 추가적인 공격이 있을 거라 생각하시는 겁니까?";"Мяркуеш, будуць яшчэ атакі?";"Crezi că vor mai exista alte atacuri?";"你​覺​得​今​天​還​會​有​敵​機​來​襲​嗎?";"你​觉​得​今​天​还​会​有​敌​机​来​袭​吗?";" Bạn nghĩ rằng sẽ có các cuộc tấn công khác?";;
"jpn_midway_m2_dialog1_ph5";" I think so. Otherwise they wouldn't have ordered us to take off.";" Oui Sinon ils ne nous auraient pas ordonné de décoller.";" Credo di sì. Altrimenti non ci avrebbero ordinato di decollare.";" Ich denke schon. Sonst würden sie uns nicht befohlen haben zu starten.";"Sí. Si no fuera así, no nos habrían ordenado que despeguemos.";"Думаю, да, иначе зачем нас подняли в воздух?";"Tak sądzę. Inaczej nie kazaliby nam wystartować.";"Určitě. Jinak by nám nedávali rozkaz vzlétnout.";" Bence olacak. Aksi halde bize kalkış emri vermezlerdi.";"多​半​会​的。​否​则​他​们​也​不​会​命​令​我​们​起​飞​了。";"だろうな　\tそうでなきゃ\t我々に\t発艦命令を\t出すことはない";" Eu acho que sim. Caso contrário eles não teriam nos ordenado a descolar.";"Думаю, так, інакше навіщо нас підняли в повітря?";" Mislim da hoće. Inače nam ne bi naredili da poletimo.";"Szerintem igen. Máskülönben nem adták volna parancsba, hogy szálljunk fel.";" 그래. 그렇지 않고서야 이륙명령이 떨어졌을 리가 없지.";"Думаю, так, інакш навошта нас узнялі ў паветра?";"Așa cred. În caz contrar, nu ne-ar fi ordonat să decolam.";"我​想​也​是，​否​則​他​們​也​不​會​命​令​我​們​起​飛​了。";"多​半​会​的。​否​则​他​们​也​不​会​命​令​我​们​起​飞​了。";" Tôi nghĩ vậy. Nếu không họ đã không yêu cầu chúng ta cất cánh.";;
"jpn_midway_m2_dialog2_ph1";" I see a group of enemy bombers to the south, at 6,500 feet!";" Je vois un groupe de bombardiers ennemis, à 6500 pieds !";" Vedo un gruppo di bombardieri a sud, a 6500 piedi!";" Ich sehe eine Gruppe feindlicher Bomber in Südrichtung, auf 6.500 Fuß!";" ¡Veo un grupo de bombarderos enemigos al sur, a 6.500 pies!";"Вижу группу вражеских бомбардировщиков, направление юг, высота 2000 метров!";"Widzę na południu grupę bombowców wroga, na 2000 metrach!";"Na jih od nás vidím skupinu nepřátelských bombardérů. Výška 6 500 stop!";" 6.500 feet'te güneye giden düşman bombardıman uçağı görüyorum!";"我​看​到​南​面​有​一​队​敌​军​轰​炸​机，​高​度 6,500 英​尺！";"南に\t敵爆撃機の\t編隊を\t視認、\t高度二千\tメートル";" Eu vejo um grupo de bombardeiros inimigos ao sul, a 6.500 pés!";"Бачу групу ворожих бомбардувальників, напрям південь, висота 2000 метрів!";" Vidim grupu neprijateljskih bombardera ka jugu, na 6500 stopa!";"Egy csoport ellenséges bombázót látok déli irányban 2000 méteres magasságban!";" 남쪽 6,500 피트에서 폭격기 무리를 발견했다.";"Бачу групу варожых бамбардзіроўшчыкаў, кірунак на поўдзень, вышыня 2000 метраў!";"Văd un grup de bombardiere inamice la sud, la 6500 de metri!";"我​看​到​南​面​有​一​隊​敵​軍​轟​炸​機，​高​度 6,500 英​尺！";"我​看​到​南​面​有​一​队​敌​军​轰​炸​机，​高​度 6,500 英​尺！";" Tôi thấy một nhóm máy bay ném bom đối phương về phía Nam, ở độ cao 6.500 feet!";;
