"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"tutorial01_dialogue01_p01";"Welcome to the tarmac. ";"Bienvenue sur le tarmac.";"Benvenuto sulla pista. ";"Willkommen auf der Startbahn. ";"Bienvenido a la pista.";"Приветствую вас на взлётной полосе.";"Witaj na pasie startowym.";"Vítej na dráze";"Piste hoş geldiniz. ";"欢\t迎\t来\t到\t停\t机\t坪\t。";"駐機場へようこそ";"Bem vindo ao asfalto. ";"Welcome to the tarmac. ";"Вітаю вас на злітній смузі.";"Dobrodošli na pistu. ";"Üdvözöllek az aszfalton. ";"주기장에 온 걸 환영한다.";"Вітаю на ўзлётнай паласе.";"Bine ai venit pe pistă.";"歡迎來到停機坪 ";"欢\t迎\t来\t到\t停\t机\t坪\t。";;
"tutorial01_dialogue01_p02";"Today you will take your first flight.";"Aujourd’hui, vous allez voler pour la première fois.";"Oggi farai il tuo primo volo.";"Heute machen Sie Ihren ersten Flug.";"Hoy realizarás tu primer vuelo.";"Сегодня вам предстоит совершить свой первый полёт.";"Dziś odbędziesz swój pierwszy lot.";"Dnes tě čeká tvůj první let";"Bugün ilk uçuşunuzu yapacaksınız.";"今\t天\t你\t将\t完\t成\t首\t次\t飞\t行\t。";"今日は\t君の\t初\tフライトの\t日だ";"Hoje vais ter o teu primeiro voo.";"Today you will take your first flight.";"Сьогодні має відбутися ваш перший політ.";"Danas ćete imati vaš prvi let.";"Ma fogsz először repülni.";"오늘 귀관의 첫 비행이 있을 것이다.";"Сёння адбудзецца ваш першы палёт.";"Astăzi vei zbura prima oară.";"今天你將開始你的首次飛行";"今\t天\t你\t将\t完\t成\t首\t次\t飞\t行\t。";;
"tutorial01_dialogue01_p03";"Try to follow the instructions carefully and don't be discouraged by any difficulties.";"Essayez de bien suivre les instructions et ne soyez pas découragé par les difficultés.";"Cerca di seguire attentamente le istruzioni e non ti abbatterre di fronte alle difficoltà.";"Folgen Sie aufmerksam den Anweisungen und lassen Sie sich nicht von Schwierigkeiten entmutigen.";"Trata de seguir las instrucciones cuidadosamente y no te desanimes por las dificultades.";"Старайтесь чётко выполнять инструкции и не бойтесь трудностей.";"Staraj się uważnie wykonywać polecenia i nie zniechęcaj się żadnymi trudnościami.";"Snaž se pečlivě poslouchat pokyny a nenech se odradit těžkostmi";"Talimatları dikkatlice takip etmeye çalışın ve hiçbir zorluk cesaretinizi kırmasın.";"尽\t量\t小\t心\t遵\t循\t指\t导\t，\t遇\t到\t任\t何\t困\t难\t都\t不\t要\t灰\t心\t。";"説明をよく\t聴く\t事　\t難しいからといってやる\t気を\t失くさないように";"Tenta seguir as indicações cuidadosamente e não desanimes com as dificuldades.";"Try to follow the instructions carefully and don't be discouraged by any difficulties.";"Намагайтеся чітко додержуватися інструкцій та не боятися труднощів.";"Pokušajte pažljivo pratiti uputstva i ne obeshrabrujte se u slučaju bilo kakvih poteškoća.";"Próbáld meg figyelmesen követni az instrukciókat, ne aggódj nem lesz nehéz.";"침착하게 지시를 따르고, 어려워도 낙담하지 않을 수 있도록 한다.";"Старайцеся дакладна выконваць інструкцыі і не адступайце перад цяжкасцямі.";"Încearcă să urmezi cu atenție instrucțiunile și să nu fii descurajat de dificultăți.";"儘量小心並遵詢指導說明，不要因為遭遇困難而氣餒";"尽\t量\t小\t心\t遵\t循\t指\t导\t，\t遇\t到\t任\t何\t困\t难\t都\t不\t要\t灰\t心\t。";;
"tutorial01_dialogue01_p04";"Let's get going.";"Allons-y.";"Cominciamo.";"Legen wir los.";"Vamos.";"Начинаем.";"Ruszajmy.";"Dejme se do toho";"Haydi işe koyulalım.";"让\t我\t们\t出\t发\t吧\t。";"では\t始めよう";"Vamos lá.";"Let's get going.";"Починаємо.";"Hajde da krenemo.";"Kezdjünk is hozzá.";"시작하지.";"Пачынаем.";"Haide să începem.";"我們出發吧";"让\t我\t们\t出\t发\t吧\t。";;
"tutorial01_dialogue02_p01";"In order for the plane to take off, it needs to build enough speed.";"Pour que l’avion puisse décoller, il doit prendre suffisamment de vitesse.";"Per poter decollare, l'aereo deve raggiungere la velocità necessaria.";"Damit das Flugzeug abheben kann, muss es schnell genug sein.";"Para que el avión pueda despegar, necesita tomar la suficiente velocidad.";"Чтобы самолёт взлетел, он должен набрать достаточную скорость.";"Żeby wystartować, samolot musi nabrać odpowiedniej prędkości.";"Aby mohl letoun vzlétnout, musí nabrat rychlost";"Uçağın kalkabilmesi için yeterli hızı toplaması gereklidir.";"为\t了\t能\t让\t飞\t机\t起\t飞\t，\t需\t要\t先\t加\t速\t至\t足\t够\t的\t速\t度\t。";"飛行機が\t離陸するには\t十分な\t速度が\t必要だ";"Para o avião descolar, ele precisa de ter velocidade suficiente.";"In order for the plane to take off, it needs to build enough speed.";"Щоб літак міг злетіти, він повинен набрати достатню швидкість.";"Da bi avion poleteo, mora da razvije dovoljno brzine.";"Ahhoz hogy felszálljon a repülőd, fel kell gyorsulnia.";"먼저, 이륙하기 위해서는 충분한 속도가 필요하다.";"Каб самалёт узляцеў, ён павінен набраць дастатковую хуткасць.";"Pentru ca avionul să decoleze, trebuie să aibă suficientă viteză.";"為了能讓飛機起飛，需要加速到足夠的速度";"为\t了\t能\t让\t飞\t机\t起\t飞\t，\t需\t要\t先\t加\t速\t至\t足\t够\t的\t速\t度\t。";;
"tutorial01_dialogue02_p02";"I'm increasing engine power to maximum.";"J’augmente la puissance du moteur au maximum.";"Sto aumentando al massimo la potenza del motore";"Ich erhöhe die Motorleistung auf Maximum.";"Estoy aumentando la potencia del motor al máximo.";"Я увеличиваю мощность двигателя до максимума.";"Zwiększam moc silnika do maksimum.";"Zvyšuji výkon motoru na maximum";"Motor gücünü maksimuma getiriyorum.";"我\t正\t在\t把\t发\t动\t机\t功\t率\t加\t到\t最\t大\t。";"今\tエンジンパワーを\t全開にしている";"Estou a aumentar a potência do motor no máximo.";"I'm increasing engine power to maximum.";"Я збільшую потужність двигуна до максимуму.";"Povećavam snagu motora na maksimum.";"Most maximálisra növelem a tolóerőt.";"지금 엔진 출력을 최대로 올리고 있어.";"Я павялічваю цягу рухавіка да максімуму.";"Măresc puterea motorului la maxim.";"我正在把引擎功率加到最大";"我\t正\t在\t把\t发\t动\t机\t功\t率\t加\t到\t最\t大\t。";;
"tutorial01_dialogue02_p03";"Now I can release the throttle lever.";"Maintenant, je peux relâcher l’accélérateur.";"Adesso posso lasciare andare la manetta.";"Jetzt kann ich den Gashebel loslassen.";"Ahora puedo soltar la palanca del acelerador.";"Теперь рычаг газа можно оставить в покое.";"Teraz mogę zwolnić dźwignię przepustnicy.";"Teď můžu plynovou páku uvolnit";"Şimdi gaz levyesini bırakabilirim.";"现\t在\t我\t可\t以\t松\t开\t节\t流\t阀\t了\t。";"もう\tスロットルを\t放しても\t良いだろう";"Agora posso largar a alavanca do acelerador.";"Now I can release the throttle lever.";"Зараз важіль газу можна залишити. ";"Sada mogu da pustim polugu gasa.";"Most már elengedhetem a gázkart.";"이제 스로틀 레버를 놔도 된다.";"Цяпер ручку газу можна адпусціць.";"Acum pot elibera maneta de accelerație.";"現在我可以鬆開油門桿了";"现\t在\t我\t可\t以\t松\t开\t节\t流\t阀\t了\t。";;
"tutorial01_dialogue02_p04";"The plane will gather speed.";"L’avion va prendre de la vitesse.";"L'aereo prenderà velocità.";"Das Flugzeug nimmt Fahrt auf.";"El avión ganará velocidad.";"Самолёт разгоняется сам.";"Samolot zacznie nabierać prędkości.";"Letoun nabere rychlost";"Uçak hız toplayacak.";"飞\t机\t会\t不\t断\t加\t速\t。";"飛行機が\t加速する";"O avião vai ganhando velocidade.";"The plane will gather speed.";"Літак розженеться сам.";"Avion će dobijati na brzini.";"A repülő elkezd gyorsulni.";"기체 속도가 점점 올라갈 거다.";"Самалёт разганяецца сам.";"Avionul va prinde viteză.";"飛機會加速";"飞\t机\t会\t不\t断\t加\t速\t。";;
"tutorial01_dialogue02_p05";"Now that my speed is high enough, the plane will slowly lift off the ground.";"Maintenant que la vitesse est suffisante, l’avion va s'élever lentement.";"Adesso che la mia velocità è abbastanza elevata, l'aereo si alzerà lentamente da terra.";"Jetzt, wo meine Geschwindigkeit hoch genug ist, wird das Flugzeug langsam vom Boden abheben.";"Ahora que la velocidad es lo suficientemente alta, el avión se elevará lentamente por encima de la tierra.";"Скорость уже достаточная, самолёт начинает приподниматься.";"Teraz, gdy mam już odpowiednią prędkość, samolot powoli oderwie się od ziemi.";"Když je teď moje rychlost dostatečná, letoun se pomalu odlepí od země";"Artık hızım yeterince yüksek olduğuna göre, uçak yavaşça karadan kalkacak.";"现\t在\t速\t度\t已\t经\t够\t快\t了\t，\t飞\t机\t将\t会\t慢\t慢\t离\t开\t地\t面\t。";"速度が\t十分に\t上がると、\t機体はゆっくり\t地面を\t離れる";"Agora que a minha velocidade está alta o suficiente, o avião vai começar a levantar lentamente.";"Now that my speed is high enough, the plane will slowly lift off the ground.";"Швидкість вже достатня, літак починає підноситися.";"Sada kada sam postigao dovoljnu brzinu, avion će polako početi da se odvaja od zemlje.";"Most, hogy már elég gyorsan gurulunk, lassan felemelem a földről.";"이제 속도가 충분히 붙었으니, 천천히 지면에서 떠오르게 된다.";"Хуткасць ужо дастатковая, самалёт пачынае ўздымацца.";"Acum că viteza mea este suficient de mare, avionul se va ridica încet de la sol.";"現在速度已經夠快了，飛機會慢慢離開地面";"现\t在\t速\t度\t已\t经\t够\t快\t了\t，\t飞\t机\t将\t会\t慢\t慢\t离\t开\t地\t面\t。";;
"tutorial01_dialogue02_p06";"I can use the elevation rudder to make it take off faster.";"Je peux utiliser le manche pour le faire décoller plus vite.";"Posso usare il timone per farlo decollare più velocemente.";"Ich kann das Höhenruder benutzen, um das Abheben zu beschleunigen.";"Puedo usar el timón de elevación para hacer que despegue más rápido. ";"Я могу использовать руль высоты, чтобы заставить его быстрее оторваться от земли.";"Mogę użyć steru wysokości, by wystartował szybciej.";"Pomocí výškovky mohu start urychlit";"Daha hızlı kalkması için irtifa dümenini kullanabilirim.";"我\t可\t以\t利\t用\t升\t降\t舵\t让\t它\t更\t快\t起\t飞\t。";"昇降舵を\t使えばより\t早く\t離陸出来る";"Eu posso utilizar o leme de elevação para descolar mais rápido.";"I can use the elevation rudder to make it take off faster.";"Я можу використовувати стерно висоти, щоб змусити його швидше відірватися від землі.";"Mogu upotrebiti kormilo visine da bih lakše poleteo.";"A magassági kormányt használva megkönnyítem a felszállást.";"승강타를 사용하면 훨씬 더 빠르게 이륙할 수 있어.";"Я магу выкарыстаць руль вышыні, каб прымусіць яго хутчэй адарвацца ад зямлі.";"Pot folosi manșa profundorului pentru a o face mai repede.";"我可以使用升降舵讓它更快的起飛";"我\t可\t以\t利\t用\t升\t降\t舵\t让\t它\t更\t快\t起\t飞\t。";;
