"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"wake_mis2_dlg1_ph01";" Base, can you hear me? Do you copy?";" A la base, vous m’entendez ? Vous me recevez ?";" Base, mi sentite? Mi ricevete?";" Basis, können Sie mich hören? Haben Sie verstanden?";" Base, ¿me oyen? ¿Me reciben?";"Приём! Как слышно меня? Приём!";"Baza, słyszycie mnie? Odbiór.";"Základno, slyšíte mě? Slyšíte mě?";" Kule, beni duyabiliyor musun? Duyabiliyor musun?";"基​地，​能​听​到​吗？​是​否​收​到？";"ベース、\t聞こえるか？ 応答せよ";" Base, está me ouvindo? Estás a ouvir?";"Прийом! Як чутно мене? Прийом!";" Bazo, da li me čujete? Da li razumete?";"Bázis, hallasz engem? Veszed az adást?";" 기지 응답바람, 내 말이 들리나?";"База, чуеце мяне? Прыём!";" Baza, mă auziți? Recepționați?";"基​地，​能​聽​到​嗎？​是​否​收​到？";"基​地，​能​听​到​吗？​是​否​收​到？";" Căn cứ, có nghe tôi không? Nghe không?";;
"wake_mis2_dlg1_ph02";" Yes I hear you. Sound off.";" Oui je vous entends. Parlez.";" Si, la riceviamo. Parli pure..";" Ja, ich höre Sie. Lassen Sie hören.";" Sí, lo escucho. Hable.";"Слышу вас отлично. Докладывайте.";"Tak, słyszę cię. Zgłaszajcie się.";"Ano, slyším vás. Mluvte.";" Evet, duyuyorum. Ses yok.";"收​到，​请​讲。";"ああ\t聞こえる　\tどうぞ";" Sim, te oiço. Som off.";"Чую вас чудово. Доповідайте.";" Da čujemo te. Gasimo zvuk.";"Igen, veszem. Vége.";" 크게 잘 들린다.";"Чуем вас добра. Дакладвайце.";" Da, te-am auzit. Vorbește.";"收​到，​請​講。";"收​到，​请​讲。";" Vâng, tôi nghe rõ. Hết.";;
"wake_mis2_dlg1_ph03";" No enemy aircraft detected. I repeat, we didn't detect any enemy aircraft.";" Pas d’avion ennemi repéré. Je répète, nous n’avons repéré aucun avion ennemi.";" Nessun aereo nemico rilevato. Ripeto, non abbiamo rilevato nessun aereo nemico.";" Keine feindlichen Flugzeuge entdeckt. Ich wiederhole, wir haben keine feindlichen Flugzeuge entdeckt.";" No hemos detectado aviones enemigos. Repito, no hemos detectado aviones enemigos.";"Вражеские самолёты не обнаружены. Повторяю: мы не обнаружили ни одного вражеского самолёта.";"Nie wykryliśmy samolotów wroga. Powtarzam, nie wykryliśmy obecności samolotów wroga.";"Nezjištěna žádná nepřátelská letadla. Opakuji, nezjistili jsme žádná nepřátelská letadla";" Düşman uçağı tespit edilmedi. Tekrar ediyorum, hiç düşman uçağı tespit etmedik.";"未​侦​察​到​敌​机。​重​复，​我​们​未​发​现​敌​机。";"敵機は\t確認出来ず　\t繰り\t返す、\t敵機の\t姿は\t確認出来ず";" Nenhum avião inimigo detectado. Repito, não detetámos qualquer aeronave inimiga.";"Ворожі літаки не виявлені. Повторюю: ми не виявили жодного ворожого літака.";" Nema primećenih neprijateljskih aviona. Ponavljam, nismo primetili neprijateljske avione.";"Nem észleltünk ellenséges repülőgépet. Ismétlem, nem észleltünk egy ellenséges repülőgépet sem.";" 적기 없음. 반복한다, 적의 어떠한 항공기도 포착되지 않았다.";"Варожыя самалёты не выяўлены. Паўтараю: варожыя самалёты не выяўлены.";" Nu au fost detectate avioane inamice. Repet, nu am detectat nici un avion inamic.";"未​偵​查​到​敵​機。​重​複，​我​們​未​發​現​敵​機。";"未​侦​查​到​敌​机。​重​复，​我​们​未​发​现​敌​机。";" Không phát hiện thấy máy bay đối phương. Tôi nhắc lại, chúng tôi không phát hiện bất kỳ máy bay đối phương nào.";;
"wake_mis2_dlg1_ph04";" Roger that.";" Bien reçu.";" Ricevuto.";" Roger!";" Recibido.";"Вас понял.";"Przyjąłem.";"Rozumím.";" Anlaşıldı.";"收​到。";"了解";" Entendido.";"Вас зрозумів.";" Primljeno.";"Vettem.";" 알겠다.";"Зразумеў!";" Recepționat.";"收​到。";"收​到。";" Nghe rõ.";;
"wake_mis2_dlg1_ph05";" Looks like the Japanese are retreating.";" On dirait que les Japonais se retirent.";" Sembra che i Giapponesi si stiano ritirando.";" Sieht aus, als würden die Japaner sich zurückziehen.";" Parece que los japoneses se están retirando.";"Похоже, японцы отступают.";"Wygląda na to, że Japończycy się wycofują.";"Vypadá to, že se Japonci stahují.";" Görünüşe göre Japonlar geri çekiliyor.";"看​来​日​军​正​在​撤​退。";"日本軍は\t退却してるようだ";" Parece que os japoneses estão recuando.";"Схоже, японці відступають. ";" Izgleda da se Japanci povlace.";"Úgy látszik, a japánok visszavonulnak.";"일본군이 퇴각중인 것 같다.";"Відаць, японцы адступаюць. ";" Se pare că japonezii se retrag.";"看​來​日​軍​正​在​撤​退。";"看​来 R 军​正​在​撤​退。";" Có vẻ như quân Nhật đang rút lui.";;
"wake_mis2_dlg1_ph06";" Major, attack cargo ships. I repeat, attack cargo ships in sector M-9.";" Commandant, Attaquez les cargos. Je répète, attaquez les cargos dans le secteur M-9";" Comandante, attaccate le navi da carico. Ripeto, attaccare le navi da carico nel settore M-9.";" Major, Angriff auf Frachtschiffe. Ich wiederhole, greifen Sie die Frachtschiffe in Sektor M-9 an.";" Comandante, ataque a los buques de carga. Repito, ataque a los buques de carga en el sector M-9.";"Майор, атакуйте грузовые корабли. Повторяю приказ: атакуйте грузовые корабли.";"Majorze, zaatakujcie transportowce. Powtarzam, zaatakujcie transportowce w sektorze M-9.";"Majore, zaútočte na nákladní lodě. Opakuji, zaútočte na nákladní lodě v sektoru M-9.";" Binbaşı, kargo gemilerine saldırın. Tekrar ediyorum, sektör M-9'daki kargo gemilerine saldırın.";"少​校，​攻​击​货​船。​重​复​一​遍，​攻​击​位​于 M-9 区​域​内​的​货​船。";"輸送艦を\t攻撃せよ　\t繰り\t返す、\tＭ９地区の\t輸送艦を\t攻撃せよ";" Major, atacar navios de carga. Repito, atacar os navios reabastecedores no setor M-9.";"Майор, атакуйте вантажні кораблі. Повторюю наказ: атакуйте вантажні кораблі.";" Majore, napadnite teretne brodove. Ponavljam, napadnite teretne brodove u sektoru M-9.";"Őrnagy, támadja meg a teherszállító hajókat! Ismétlem, támadja meg a teherszállító hajókat az M9-es szektorban!";" 소령, 수송선을 공격하라. 반복한다, M-9 지역에 있는 수송선을 공격하라.";"Маёр, атакуйце грузавыя караблі. Паўтараю: атакуйце грузавыя караблі.";" Maiorule, atacă cargourile. Repet, atacă cargourile din sectorul M-9.";"少​校，​攻​擊​貨​船。​重​複​一​遍，​攻​擊​位​於 M-9 區​域​內​的​貨​船。";"少​校，​攻​击​货​船。​重​复​一​遍，​攻​击​位​于 M-9 区​域​内​的​货​船。";" Thiếu tá, tấn công tàu chở hàng. Tôi lặp lại, tấn công các tàu vận chuyển hàng hóa trong khu vực M-9.";;
"wake_mis2_dlg1_ph07";" Roger that.";" Bien reçu.";" Ricevuto.";" Verstanden!";" Recibido.";"Вас понял.";"Tak jest.";"Rozumím.";" Anlaşıldı.";"收​到。";"了解";" Entendido.";"Вас зрозумів.";" Primljeno.";"Vettem.";" 알겠다.";"Зразумеў!";" Recepționat.";"收​到。";"收​到。";" Nghe rõ.";;
"wake_mis2_dlg1_ph08";" Let's go down and join the party!";" Descendons nous joindre à la fête !";" Scendiamo a divertirci!";" Lasst uns runtergehen und mit der Party beginnen!";" ¡Bajemos y sumémonos a la fiesta!";"Давайте спустимся и присоединимся к веселью!";"Lećmy dołączyć do zabawy!";"Tak vzhůru na večírek!";"Alçalıp partiye katılalım!";"下​去​享​受​大​餐​吧！";"パーティーに\t参加するか";" Vamos descer e se juntar à festa!";"Давайте спустимося і приєднаємося до веселощів!";" Spustimo se i pridružimo se žurci!";"Ereszkedjünk le és csatlakozzunk a buliba!";" 어서 내려가서 파티에 합류하자고!";"Прапаную знізіцца і далучыцца да вечарынкі!";" Să mergem jos și să ne alăturăm petrecerii!";"下​去​享​受​大​餐​吧！";"下​去​享​受​大​餐​吧！";" Hãy cùng xuống và tham gia bữa tiệc nào!";;
"wake_mis2_dlg2_ph01";" Great job!";" Bon boulot !";" Ottimo lavoro!";" Gut gemacht!";" ¡Excelente trabajo!";"Отличная работа!";"Świetna robota!";"Skvělá práce!";" Harika!";"干​得​好！";"でかした！";" Belo trabalho!";"Прекрасна робота!";" Odličan posao!";"Szép munka!";" 잘 했다!";"Добрая работа!";" Bună treabă!";"幹​得​好！";"干​得​好！";" Tuyệt!";;
"wake_mis2_dlg2_ph02";" Reload at the airfield and attack the destroyer. It's been damaged, but it's too far for the battery fire to finish it.";" Réarmez-vous à l’aérodrome et attaquez le croiseur. Il a été touché, mais il est trop loin pour qu'on puisse l'achever par tirs de salve.";" Ricarichi in pista e attacchi il cacciatorpediniere. È stato danneggiato, ma è troppo lontano per raggiungerlo con tutta la batteria e finirlo.";" Laden Sie auf dem Flugplatz nach und greifen Sie den Zerstörer. Er ist beschädigt, befindet sich aber außerhalb unserer Reichweite.";" Recarga en el aeródromo y ataca al destructor. Ha sufrido daños, pero está demasiado lejos para que el fuego de la batería acabe con él.";"Пополните боекомплект на аэродроме и атакуйте эсминец. Он повреждён, но огонь батарей уже не достаёт до него.";"Dozbroić się na lotnisku i zaatakować niszczyciel. Został uszkodzony, ale jest za daleko, by wykończyła go bateria.";"Přezbrojte se na letišti a zaútočte na torpédoborec. Byl poškozen, ale dokázal se vzdálit mimo dostřel baterií.";" Hava alanında ikmal yap ve destroyeri yok et. Hasar gördü; fakat batarya ateşi ile işini bitirmek için menzil dışında.";"在​机​场​补​充​好​弹​药​后，​去​攻​击​那​条​受​损​的​驱​逐​舰。​我​方​的​岸​基​火​炮​无​法​覆​盖​那​么​远​的​目​标。";"飛行場で\t補給し、\tＡ７地区の\t駆逐艦を\t攻撃せよ　\t相手は\t手負いだが、\t砲撃の\t射程外で\t止めを\t刺せない";" Recarrega no aeródromo e ataca o contratorpedeiro. Foi danificado, mas está muito longe para o fogo da bateria acabar com ele.";"Поповніть боєкомплект на аеродромі і атакуйте есмінець. Він пошкоджений, але вогонь батарей вже не дістає до нього.";" Dopunite se na aerodromu i napadnite razarač. Oštećen je, ali je predaleko za artiljerijsku vatru da bi ga dokrajčila.";"Tölts újra a repülőtéren, és támadd meg az ellenséges rombolót. Már megrongálódott, de túl messze van a tüzérségi ágyútűztől.";" 비행장에서 재무장하고 구축함을 공격하라. 어느정도 피해를 입혔지만 끝내 버리기엔 포대 사정권에서 너무 멀리 벗어났어.";"Пераўзбройцеся на аэрадроме і атакуйце эсмінец. Ён пашкоджаны, але батарэі ўжо да яго не дабіваюць.";" Reîncărcați-vă la aerodrom și atacați distrugătorul. A fost deteriorat, dar este prea departe ca focul bateriei să-l termine.";"在​機​場​補​充​好​彈​藥​後，​去​攻​擊​那​條​受​損​的​驅​逐​艦。​我​方​的​岸​基​火​炮​無​法​覆​蓋​那​麼​遠​的​目​標。";"在​机​场​补​充​好​弹​药​后，​去​攻​击​那​条​受​损​的​驱​逐​舰。​我​方​的​岸​基​火​炮​无​法​覆​盖​那​么​远​的​目​标。";" Hãy nạp đạn tại sân bay và tấn công tàu khu trục. Nó đã bị hư hại nhưng vẫn chưa đủ hỏa lực để hạ nó.";;
