"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"ships/uss_cv_immortal_0";"Carrier";"Porte-avion";"USS Immortal";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"USS Immortal";"Uçak Gemisi";"航​空​母​舰";"空母";"Porta-aviões";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"USS Immortal";"航​空​母​艦";"【航​空​母​舰​】";"Tàu sân bay";;
"ships/uss_cv_immortal_1";"Carrier";"Porte-avion";"Portaerei USA";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"USS Immortal";"Uçak Gemisi";"航​空​母​舰";"空母";"Porta-aviões";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"Portavion american";"航​空​母​艦";"【航​空​母​舰​】";"Tàu sân bay";;
"ships/uss_cv_immortal_2";"Carrier";"Porte-avion";"Portaerei";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"Immortal";"Uçak Gemisi";"航​空​母​舰";"空母";"Porta-aviões";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"Portavion";"航​空​母​艦";"【航​空​母​舰​】";"Tàu sân bay";;
"ships/uss_lcvp_light_0";"Landing craft";"Barge de débarquement";"USS LCVP";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Barka Desantowa";"Landing Craft Vehicle Personnel";"Çıkarma Gemisi";"登​陆​艇";"上陸用舟艇";"Lancha de desembarque";"Десантне судно";"Desantni čamac";"deszanthajó";"상륙정";"Дэсантны карабель";"USS LCVP";"登​陸​艇";"【登​陆​艇​】";"Tàu đổ bộ";;
"ships/uss_lcvp_light_1";"Landing craft";"Barge de débarquement";"Nave da sbarco USA";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Barka Desantowa";"LCVP";"Çıkarma Gemisi";"登​陆​艇";"上陸用舟艇";"Lancha de desembarque";"Десантне судно";"Desantni čamac";"deszanthajó";"상륙정";"Дэсантны карабель";"Barjă de debarcare SUA";"登​陸​艇";"【登​陆​艇​】";"Tàu đổ bộ";;
"ships/uss_lcvp_light_2";"Landing craft";"Barge de débarquement";"Nave da sbarco";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Barka Desantowa";"LCVP";"Çıkarma Gemisi";"登​陆​艇";"上陸用舟艇";"Lancha de desembarque";"Десантне судно";"Desantni čamac";"deszanthajó";"상륙정";"Дэсантны карабель";"Barjă de debarcare";"登​陸​艇";"【登​陆​艇​】";"Tàu đổ bộ";;
"tracked_vehicles/ussr_t34_85_increased_pitch_0";"Tank";"Char";"T34-85";"Panzer";"Tanque";"Танк";"Czołg";"T-34-85 (ZIS-53)";"Tank";"坦​克";"戦車";"Tanque";"Танк";"Tenk";"harckocsi";"전차";"Танк";"T34-85";"坦​克";"【坦​克​】";"Xe tăng";;
"tracked_vehicles/ussr_t34_85_increased_pitch_1";"Tank";"Char";"Carro medio";"Panzer";"Tanque";"Танк";"Czołg";"T-34-85";"Tank";"坦​克";"戦車";"Tanque";"Танк";"Tenk";"harckocsi";"전차";"Танк";"Tanc mediu";"坦​克";"【坦​克​】";"Xe tăng";;
"tracked_vehicles/ussr_t34_85_increased_pitch_2";"Tank";"Char";"Carro armato";"Panzer";"Tanque";"Танк";"Czołg";"T-34";"Tank";"坦​克";"戦車";"Tanque";"Танк";"Tenk";"harckocsi";"전차";"Танк";"Tanc";"坦​克";"【坦​克​】";"Xe tăng";;
"air_defence/searchLightTop_0";"Search light";"Projecteur";"Proiettore";"Suchscheinwerfer";"Reflector";"Прожектор";"Reflektor";"pátrací reflektor";"Projektör";"探​照​灯";"サーチライト";"Luz de busca";"Прожектор";"Reflektor";"keresőfény";"탐조등";"Пражэктар";"Proiector";"探​照​燈";"探​照​灯";"Đèn rọi";;
