"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"modification/category/lth";"Flight performance";"Performances de vol";"Prestazioni di volo";"Flugleistung";"Rendimiento de Vuelo";"Лётные характеристики";"Osiągi";"Výkony a pohyblivost";"Uçuş performansı";"飞\t行\t性\t能";"飛行性能";"Desempenho de voo";"Льотні характеристики";"Performanse letenja";"Teljesítmény";"비행성능";"Лётныя характарыстыкі";"Performanță zbor";"飛\t行\t性\t能";"飞\t行\t性\t能";"Thiết bị và động cơ";;
"modification/category/armor";"Survivability";"Survivabilité";"Capacità di sopravvivenza";"Überlebensfähigkeit";"Supervivencia";"Живучесть";"Wytrzymałość";"Výdrž a ochrana";"Hayatta Kalma";"生\t存\t能\t力";"生存性";"Capacidade de sobrevivência";"Живучість";"Izdržljivost";"Túlélőképesség";"생존성";"Жывучасць";"Supraviețuire";"生\t存\t能\t力";"生\t存\t能\t力";"Cấu trúc";;
"modification/category/weapon";"Weaponry";"Armement";"Armamento";"Bewaffnung";"Armamento";"Вооружение";"Uzbrojenie";"Výzbroj a palebná síla";"Silahlar";"武\t器\t配\t置";"武装関連";"Armamento";"Озброєння";"Naoružanje";"Fegyverzet";"무장";"Узбраенне";"Armament";"武\t器\t配\t置";"武\t器\t配\t置";"Vũ khí";;
"modification/category/mobility";"Mobility";"Mobilité";"Mobilità";"Mobilität";"Movilidad";"Подвижность";"Mobilność";"Výkony a pohyblivost";"Mobilite";"机\t动\t改\t装";"機動力";"Mobilidade";"Рухливість";"Pokretljivost";"Mozgékonyság";"주행성능";"Рухомасць";"Mobilitate";"機\t動\t改\t裝";"机\t动\t改\t装";"Thiết bị và động cơ";;
"modification/category/protection";"Protection";"Protection";"Sopravvivenza";"Schutz";"Protección";"Защищенность";"Ochrona";"Výdrž a ochrana";"Korunma";"防\t御\t改\t装";"防御力";"Proteção";"Захищеність";"Zaštita";"Védelem";"방호력";"Абароненасць";"Protecție";"防\t禦\t改\t裝";"防\t御\t改\t装";"Thiết bị hỗ trợ";;
"modification/category/firepower";"Firepower";"Puissance de feu";"Potenza di fuoco";"Feuerkraft";"Potencia de fuego";"Огневая мощь";"Uzbrojenie";"Výzbroj a palebná síla";"Ateş gücü";"武\t器\t改\t装";"火力";"Poder de fogo";"Вогнева потужність";"Vatrena moć";"Tűzerő";"화력";"Агнявая моц";"Putere de foc";"武\t器\t改\t裝";"武\t器\t改\t装";"Hỏa lực";;
"modification/category/primaryWeapon";"Offensive armament";"Armement offensif";"Armamento offensivo";"Offensivbewaffnung";"Armamento ofensivo";"Штатное оружие";"Uzbrojenie główne";"Hlavňová výzbroj";"Saldırı donanımı";"前\t射\t武\t器";"固定武装";"Armamento ofensivo";"Штатна зброя";"Ofanzivno naoružanje";"Támadófegyverzet";"주무장";"Штатнае ўзбраенне";"Armament ofensiv";"前\t射\t武\t器";"前\t射\t武\t器";"Vũ khí chính";;
"modification/category/secondaryWeapon";"Secondary weapon";"Arme secondaire";"Arma secondaria";"Sekundärbewaffnung";"Arma secundaria";"Подвесное оружие";"Uzbrojenie dodatkowe";"Přídavná výzbroj";"İkinci silah";"挂\t载";"追加武装";"Arma secundária";"Підвісна зброя";"Sekundarno oružje";"Másodlagos fegyverzet";"보조 무장";"Падвеснае ўзбраенне";"Armament secundar";"掛\t載";"挂\t载";"Vũ khí phụ";;
"modification/category/premiumMods";"Special";"Spécial";"Premium";"Spezial";"Especial";"Особые";"Premium";"Speciální";"Özel";"高\t级\t功\t能";"スペシャル";"Mods Premium";"Особливі";"Specijalni";"Prémium";"프리미엄";"Спецыяльныя";"Special";"高\t級\t功\t能";"高\t级\t功\t能";"Đặc biệt";;
"modification/category/expendables";"Supplies";"Consommables";"Rifornimenti";"Verbrauchsgüter";"Suministros";"Обеспечение";"Materiały eksploatacyjne ";"Doplnění";"Levazım";"消\t耗\t物\t品";"消耗品";"Suprimentos";"Забезпечення";"Zalihe";"Utánpótlás";"소모품";"Забеспячэнне";"Resurse";"消\t耗\t物\t品";"消\t耗\t物\t品";"Vật phẩm";;
"modification/category/seakeeping";"Seakeeping";"Tenue en mer";"Galleggiabilità";"Seegangverhalten";"Navegabilidad";"Мореходность";"Dzielność morska";"Výkony a pohyblivost";"Deniz Dayanıklılığı";"适\t航\t性\t能";"凌波性";"Navegabilidade";"Мореплавство";"Seakeeping";"Teljesítmény";"내항성";"Мараходнасць";"Navigabilitate";"適\t航\t性\t能";"适\t航\t性\t能";"Khả năng đi biển";;
"modification/category/unsinkability";"Unsinkability";"Insubmersibilité";"Inaffondabilità";"Sinkschutz";"Insumergibilidad";"Непотопляемость";"Przetrwanie";"Výdrž a ochrana";"Batmamazlık";"抗\t沉\t能\t力";"応急処置";"Flutuabilidade";"Непотоплюваність";"Unsinkability";"Túlélőképesség";"생존성";"Непатапляльнасць";"Flotabilitate";"抗\t沉\t能\t力";"抗\t沉\t能\t力";"Khả năng sống sót";;
"modification/category/bonus";"Tier bonus";"Bonus de rang";"Bonus era";"Rangbonus";"Bonificación de tier";"Бонус ступени";"Premia za etap";"Bonus za úroveň";"Seviye Bonusu";"等\t级\t奖\t励";"ランクボーナス";"Bônus da patente";"Бонус рангу";"Bonus za rang";"Tier bonus";"티어 보너스";"Бонус ступени";"Tier bonus";"階\t級\t獎\t勵";"Tier bonus";"Tiền thưởng theo cấp độ";;
