"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"weapons/cannonMGC30L";"20 mm MG C/30L cannon";"Canon de 20mm MG C/30L";"Cannone da 20mm MG C/30L";"20 mm MG C/30L Maschinenkanone";"Cañón MG C/30L de 20 mm";"20-мм пушка MG C/30L";"Działko MG C/30L kal. 20 mm";"20 mm kanón MG C/30L";"MG C/30L 20 mm top";"20 毫\t米 MG C/30L 机\t炮";"20 mm MG C/30L 機関砲";"Canhão de 20 mm MG C/30L";"20-мм гармата MG C/30L";"Top 20 mm MG C/30L";"20 mm-es MG C/30L gépágyú";"20 mm MG C/30L 기관포";"20-мм гармата MG C/30L";"Tun MG C/30L, cal. 20 mm";"20 毫\t米 MG C/30L 機\t炮";"20 毫\t米 MG C/30L 机\t炮";"Pháo MG C/30L 20 mm";;
"weapons/cannonType5";"30 mm Type 5 cannon";"Canon de 30mm type 5";"Cannone Tipo 5 da 30mm";"30mm Typ 5 Maschinenkanone";"Cañón Tipo 5 de 30 mm";"30-мм пушка Type 5";"Działo Typ 5 kal. 30 mm";"30 mm kanón typ 5";"30 mm Type 5 top";"30 毫\t米 五\t式\t固\t定\t机\t炮";"30 mm 五式 機関砲";"Canhão de 30 mm Type 5";"30-мм гармата Type 5";"Top 30 mm type 5";"30 mm-es 5-ös típusú gépágyú";"30 mm 5식 기관포";"30-мм гармата тып 5";"Tun tip 5, cal. 30 mm";"30 毫\t米\t五\t式\t機\t炮";"30 毫\t米\t五\t式\t固\t定\t机\t炮";"Pháo nòng 30mm Type 5";;
"weapons/cannonType5_external";"30 mm Type 5 cannon";"Canon de 30 mm Type 5";"Cannone Tipo 5 da 30mm";"30 mm Typ 5 Maschinenkanone";"Cañón Tipo 5 de 30 mm";"30-мм пушка Type 5";"Działo Typ 5 kal. 30 mm";"30 mm kanón typ 5";"30 mm Type 5 top";"30 毫\t米 五\t式\t固\t定\t机\t炮";"30 mm 五式 機関砲";"Canhão de 30 mm Type 5";"30-мм гармата Type 5";"30 mm Type 5 cannon";"30 mm-es 5-ös típusú gépágyú";"30 mm 5식 기관포";"30-мм пушка Type 5";"Tun tip 5, cal. 30 mm";"30 毫\t米\t五\t式\t機\t炮";"30 毫\t米\t五\t式\t固\t定\t机\t炮";"Pháo nòng 30mm Type 5";;
"weapons/gunType97";"7.7 mm Type 97 machine gun";"Mitrailleuse de 7.7mm type 97";"Mitragliatrice da 7.7mm Tipo 97";"7,7 mm Typ 97 Maschinengewehr";"Ametralladora Tipo 97 de 7.7 mm";"7,7-мм пулемёт Type 97";"Karabin maszynowy Typ 97 kal. 7,7 mm";"7,7 mm kulomet typ 97";"7.7 mm Type 97 makineli tüfek";"7.7 毫\t米 九\t七\t式\t固\t定\t机\t枪";"九七式七粍七固定機銃";"Metralhadora de 7,7 mm Type 97";"7,7-мм кулемет Type 97";"Mitraljez 7.7 mm tip 97";"7,7 mm-es 97-es típusú géppuska";"7.7 mm 97식 기관총";"7,7-мм кулямёт тып 97";"Mitralieră tip 97, cal. 7,7 mm";"7.7 毫\t米\t九\t七\t式\t車\t載\t機\t槍";"7.7 毫\t米\t九\t七\t式\t固\t定\t机\t枪";"Súng máy nòng 7.7 mm Type 97";;
"weapons/gunType97_turret";"7.7 mm Type 97 machine gun";"Mitrailleuse de 7,7 mm type 97";"Mitragliatrice da 7.7mm Tipo 97";"7,7 mm Typ 97 Maschinengewehr";"Ametralladora Tipo 97 de 7.7 mm";"7,7-мм пулемёт Type 97";"Karabin maszynowy Typ 97 kal. 7,7 mm";"7,7 mm kulomet typ 97";"7.7 mm Type 97 makineli tüfek";"7.7 毫\t米 九\t七\t式\t旋\t回\t机\t枪";"九七式七粍七固定機銃";"Metralhadora de 7,7 mm Type 97";"7,7-мм кулемет Type 97";"Mitraljez 7.7 mm tip 97";"7,7 mm-es 97-es típusú géppuska";"7.7 mm 97식 기관총";"7,7-мм кулямёт тып 97";"Mitralieră tip 97, cal. 7,7 mm";"7.7 毫\t米\t九\t七\t式\t車\t載\t機\t槍";"7.7 毫\t米\t九\t七\t式\t旋\t回\t机\t枪";"Súng máy 7.7 mm type 97";;
"weapons/cannonType99";"20 mm Type 99 Model 1 cannon";"Canon de 20mm type 99-I";"Cannone da 20mm Tipo 99 Modello 1";"20 mm Typ 99 Modell 1 Maschinenkanone";"Cañón Tipo 99 Modelo 1 de 20 mm";"20-мм пушка Type 99 Model 1";"Działko Typ 99 Model 1 kal. 20 mm";"20 mm kanón typ 99 model 1";"20 mm Type 99 Model 1 top";"20 毫\t米 九\t九\t式\t一\t号\t固\t定\t机\t炮";"20 mm 九九式 一号 機関砲";"Canhão de 20 mm Type 99 Model 1";"20-мм гармата Type 99 Model 1";"Top 20 mm type 99 mk1";"20 mm-es Type 99 Mark 1 gépágyú";"20 mm 99식 1호 기관포";"20-мм гармата тып 99 мад. 1";"Tun tip 99 Mark 1, cal. 20 mm";"20 毫\t米\t九\t九\t式\t一\t號\t機\t炮";"20 毫\t米\t九\t九\t式\t一\t号\t固\t定\t机\t炮";"Pháo nòng 20 mm Type 99 Mẫu 1";;
"weapons/cannonType99_turret";"20 mm Type 99 Model 1 cannon";"Canon de 20mm type 99-I";"Cannone da 20mm Tipo 99 Modello 1";"20 mm Typ 99 Modell 1 Maschinenkanone";"Cañón Tipo 99 Modelo 1 de 20 mm";"20-мм пушка Type 99 Model 1";"Działko Typ 99 Model 1";"20 mm kanón typ 99 model 1";"20 mm Type 99 Model 1 top";"20 毫\t米 九\t九\t式\t一\t号\t旋\t回\t机\t炮";"20 mm 九九式 一号 機関砲";"Canhão de 20 mm Type 99 Model 1";"20-мм гармата Type 99 Model 1";"Top 20 mm type 99 mk1";"20 mm-es Type 99 Mark 1 gépágyú";"20 mm 99식 1호 기관포";"20-мм гармата тып 99 мад. 1";"Tun tip 99 Mark 1, cal. 20 mm";"20 毫\t米\t九\t九\t式\t一\t號\t機\t炮";"20 毫\t米\t九\t九\t式\t一\t号\t旋\t回\t机\t炮";"Pháo nòng 20 mm Type 99 Mẫu 1";;
"weapons/cannonType99Mod2_mark3_turret";"20 mm Type 99 Model 2 Mark 3 cannon";"Canon de 20 mm type 99-II mk. 3";"Cannone da 20mm Tipo 99-II Modello 2 mk. 3";"20 mm Typ 99 Modell 2 Mark 3 Maschinenkanone";"Cañón Tipo 99 Modelo 2 Mark 3 de 20 mm";"20-мм пушка Type 99 Model 2 Mark 3";"Działko wz. 99-2 mod. 3 kal. 20 mm";"20 mm kanón typ 99 model 2 Mk.3";"20 mm Type 99 Model 2 Mark 3 top";"20 毫\t米 九\t九\t式\t二\t号\t机\t炮\t三\t型";"20 mm type 99-II mk. 3 cannon";"Canhão de 20 mm Type 99 Model 2 Mark 3";"20-мм гармата Type 99 Model 2 Mark 3";"20 mm tip 99-II mk. 3 top";"20 mm-es Type 99 Mark 2 Model 3 gépágyú";"20 mm 99식 2호 3형 기관포";"20-мм гармата тып 99-2 mk.3";"Tun tip 99 Mark 2 Model 3, cal. 20 mm";"20 毫\t米\t九\t九\t式\t二\t號\t機\t炮\t三\t型";"20 毫\t米\t九\t九\t式\t二\t号\t机\t炮\t三\t型";"Pháo nòng 20 mm Type 99 Mẫu 2 Mark 3";;
"weapons/cannonType99Mod2_mark5_turret";"20 mm Type 99 Model 2 Mark 5 cannon";"Canon de 20 mm type 99-II mk. 5";"Cannone da 20mm Tipo 99-II Modello 2 mk. 5";"20 mm Typ 99 Modell 2 Mark 3 Maschinenkanone";"Cañón Tipo 99 Modelo 2 Mark 5 de 20 mm";"20-мм пушка Type 99 Model 2 Mark 5";"Działko wz. 99-2 mod. 5 kal. 20 mm";"20 mm kanón typ 99 model 2 Mk.5";"20 mm Type 99 Model 2 Mark 5 top";"20 毫\t米 九\t九\t式\t二\t号\t机\t炮\t五\t型";"20 mm type 99-II mk. 5 cannon";"Canhão de 20 mm Type 99 Model 2 Mark 5";"20-мм гармата Type 99 Model 2 Mark 5";"20 mm tip 99-II mk. 5 top";"20 mm-es Type 99 Mark 2 Model 5 gépágyú";"20 mm 99식 2호 5형 기관포";"20-мм гармата тып 99-2 mk.5";"Tun tip 99 Mark 2 Model 5, cal. 20 mm";"20 毫\t米\t九\t九\t式\t二\t號\t機\t炮\t三\t型";"20 毫\t米\t九\t九\t式\t二\t号\t机\t炮\t五\t型";"Pháo nòng 20 mm Type 99 Mẫu 2 Mark 5";;
"weapons/gunMAC34";"7.5 mm MAC 1934 machine gun";"Mitrailleuse MAC 1934 de 7,5 mm";"Mitragliatrice MAC 1934 da 7.5 mm";"7,5 mm MAC 1934 Maschinengewehr";"Ametralladora MAC 1934 de 7.5 mm";"7,5-мм пулемёт MAC 1934";"Karabin maszynowy MAC 1934 kal. 7.5 mm";"7,5 mm kulomet MAC model 1934";"7.5 mm MAC 1934 makineli tüfek";"7.5 毫\t米 MAC 1934 机\t枪";"7.5 mm MAC 1934 機関銃";"Metralhadora de 7,5 mm MAC 1934";"7,5-мм кулемет MAC 1934";"7.5 mm MAC 1934 machine gun";"7,5 mm-es MAC 1934 géppuska";"7.5 mm MAC 1934 기관총";"7,5-мм кулямёт MAC 1934";"Mitralieră MAC 1934, cal. 7,5 mm";"7.5 毫\t米 MAC 1934 機\t槍";"7.5 毫\t米 MAC 1934 机\t枪";"Súng máy 7.5 mm MAC 1934";;
