"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"HONOLULU_1_MISSION/name";"First Wave";"Première vague";"Prima ondata";"Erste Welle";"Primera Ola";"Первая Волна";"Pierwsza fala";"První vlna";"İlk Dalga";"第​一​波​攻​击";"第\t1波";"Primeira vaga";"Перша Хвиля";"Prvi Talas";"Első hullám";"첫 공세";"Першая хваля";"Primul val";"第​一​波​攻​擊";"第​一​波​攻​击";"Đợt đầu tiên";;
"HONOLULU_1_MISSION/desc";"Destroy all vehicles on Wheeler Field in the mission ""First Wave"".";"Détruire tous les véhicules sur le terrain de Wheeler dans la mission 'Première Vague'.";"Distruggi tutti i veicoli a Wheeler Field nella missione ""Prima ondata"".";"Zerstöre alle Fahrzeuge auf Wheeler Field in der Mission 'Erste Welle'.";"Destruye todos los vehículos en Wheeler Field en la misión ""Primera Oleada"".";"Уничтожьте весь автотранспорт на Уилер-Филд в миссии ""Первая Волна"".";"W misji „Pierwsza fala” zniszcz wszystkie maszyny na Lotnisku Wheelera.";"V misi „První vlna“ znič všechna vozidla na letišti Wheeler Field";"""İlk Dalga"" görevinde Wheeler Field'daki tüm araçları yok et.";"在​“第​一​波​攻​击”​任​务​中，​摧​毁​惠​勒​机​场​上​的​全​部​车​辆。";"ミッション「第 1 波」\tで、\tホイラー\t飛行場の\t全車両を\t撃破する";"Destrua todos os veículos no Wheeler Field na missão ""Primeira onda"".";"Знищте весь автотранспорт на Уілер-Філд в місії ""Перша Хвиля"".";"Uništi sva vozila na Whiler Polju u misiji ""Prvi Talas"".";"Semmisíts meg minden járművet a Wheeler Field repülőtéren az Első hullám küldetésben.";"""첫 공세"" 임무에서 휠러 비행장에 있는 모든 차량을 파괴하라.";"Знішчыце ўвесь аўтатранспарт на Уілер-Філд у місіі «Першая хваля».";"Distruge toate vehiculele de pe aerodromul Wheeler în misiunea „Primul val”.";"在​“第​一​波​攻​擊”​任​務​中，​摧​毀​惠​勒​機​場​上​的​全​部​車​輛。";"在​“第​一​波​攻​击”​任​务​中，​摧​毁​惠​勒​机​场​上​的​全​部​车​辆。";"Phá hủy toàn bộ phương tiện tại Wheeler Field trong nhiệm vụ ""Cuộc chiến đầu tiên"".";;
"HONOLULU_2_MISSION/name";"Second Wave";"Deuxième vague";"Seconda ondata";"Zweite Welle";"Segunda Oleada";"Вторая Волна";"Druga fala";"Druhá vlna";"İkinci Dalga";"第​二​波​攻​击";"第\t２波";"Segunda vaga";"Друга Хвиля";"Drugi Talas";"Második hullám";"2차 공세";"Другая хваля";"Al doilea val";"第​二​波​攻​擊";"第​二​波​攻​击";"Đợt thứ hai";;
"HONOLULU_2_MISSION/desc";"Bomb two different targets by one loadout in the mission ""Second Wave"".";"Bombarder deux cibles différentes avec le chargement de la mission 'Deuxième Vague'.";"Bombarda due bersagli diversi con un solo sgancio nella missione ""Seconda ondata"".";"Bombardiere zwei verschiedene Ziele mit einer Waffenladung in der Mission 'Zweite Welle'.";"Bombardea dos objetivos diferentes con una sola carga en la misión ""Segunda Oleada"".";"Разбомбите две разные цели с одного бомбового заряда в миссии ""Вторая Волна"".";"W misji „Druga fala” zbombarduj dwa różne cele jednym ładunkiem bomb.";"V misi „Druhá vlna“ bombarduj dva různé cíle jedním nákladem pum";"""İkinci Dalga"" görevinde tek sortide iki farklı hedefi bombala.";"在​“第​二​波​攻​击”​任​务​中，​使​用​一​次​载​弹​炸​中​两​个​不​同​目​标。";"ミッション「第 2 波」\tで、\t1回分の\t装備弾薬を\t用いて\t2\tつの\t異なる\t標的を\t爆発する";"Bombardeia dois alvos diferentes com um carregamento na missão ""Segunda vaga"".";"Розбомбіть дві різні цілі з одного бомбового заряду в місії ""Друга Хвиля"".";"Bombarduj dve različite mete sa jednim punjenjem u misiji ""Drugi Talas"".";"Bombázz le egy bombateherrel két különböző célpontot a Második hullám küldetésben.";"""2차 공세"" 임무에서 재무장 없이 두 개의 서로 다른 목표를 폭격하라.";"Разбамбіце дзве розныя цэлі бомбамі адной бомбавай нагрузкі ў місіі «Другая хваля».";"Bombardează două ținte diferite cu o singură încărcătură în misiunea „Al doilea val”.";"在​“第​二​波​攻​擊”​任​務​中，​使​用​一​次​載​彈​炸​中​兩​個​不​同​目​標。";"在​“第​二​波​攻​击”​任​务​中，​使​用​一​次​载​弹​炸​中​两​个​不​同​目​标。";"Đánh bom hai mục tiêu khác nhau trong nhiệm vụ ""Cuộc chiến thứ hai"".";;
"HONOLULU_3_MISSION/name";"Return to Oahu";"Retour à Oahu";"Ritorno a Oahu";"Rückkehr nach Oahu";"Regreso a Oahu";"Возвращение в Оаху";"Powrót na Oahu";"Návrat na Oahu";"Oahu'ya dön";"返​回​瓦​胡​岛";"オアフ\t島帰還";"Retorne para Oahu";"Повернення в Оаху";"Povratak na Oahu";"Visszatérés Oahura";"오아후로의 귀환";"Вяртанне на Ааху";"Revenirea la Oahu";"返​回​瓦​胡​島";"返​回​瓦​胡​岛";"Trở lại Oahu";;
"HONOLULU_3_MISSION/desc";"Make ""Touch and Go"" on Ford Island in the mission ""Return to Oahu"".";"Faire un 'posé décollé' dans mission 'Retour à Oahu' sur l'île Ford dans la mission 'Retour à Oahu'.";"Effettua un ""mordi e fuggi"" su Ford Island nella missione ""Ritorno a Oahu"".";"Führe 'Aufsetzen und Durchstarten' auf Ford Island in der Mission 'Rückkehr nach Oahu' durch.";"Haz un ""Toque y despegue"" en Ford Island en la misión ""Regreso a Oahu"".";"Выполните взлёт сразу после посадки на острове Форд в миссии ""Возвращение в Оаху"".";"W misji „Powrót na Oahu” wykonaj na wyspie Forda lądowanie typu konwojer.";"V misi „Návrat na Oahu“ proveď přistání a okamžitý vzlet na Ford Island";"""Oahuya Dönüş"" görevinde Ford Adası'nda ""Touch and Go"" yap.";"在​“返​回​瓦​胡​岛”​任​务​中，​在​福​特​岛​上​完​成​连​续​起​降。";"ミッション「オアフ\t島帰還」\tで、\tフォード\t島にて「タッチアンドゴー」\tを\t行う";"Faz ""toca e foge"" na ilha de Ford na missão ""Regressa para Oahu"".";"Виконайте зліт відразу після посадки на острові Форд в місії ""Повернення в Оаху"".";"Izvedi “Touch-and-Go” na ostrvu Ford u misiji ""Povratak na Oahu"".";"Érintsd a Ford-szigetet a Visszatérés Oahura küldetésben.";"""오아후로의 귀환"" 임무에서 포드 섬에서 터치 앤 고(활주로에 착륙장치가 닿은 채로 멈추지 않고 다시 이륙하는 것)를 수행하라.";"Зрабіце пасадку з наступным неадкладным узлётам на востраве Форд у місіі «Вяртанне на Ааху».";"Execută o „Atingere și plecare” pe Insula Ford în misiunea „Revenirea la Oahu”.";"在​“返​回​瓦​胡​島”​任​務​中，​在​福​特​島​上​完​成​連​續​起​降。";"在​“返​回​瓦​胡​岛”​任​务​中，​在​福​特​岛​上​完​成​连​续​起​降。";"Thực hiện ""Thăm dò và di chuyển"" trên đảo Ford trong nhiệm vụ ""Trở về Oahu"".";;
"WAKEIS_05_MISSION/name";"Survivor";"Survivant";"Sopravvissuto";"Überlebenskünstler ";"Sobreviviente";"Выживший";"Ocalały";"Přeživší";"Sağ kalan";"幸​存​者 ";"生存者";"Sobrevivente";"Вцілілий";"Preživeli";"Túlélő";"생존자";"Ацалелы";"Supraviețuitor!";"倖​存​者 ";"幸​存​者 ";"Người sống sót";;
"WAKEIS_05_MISSION/desc";"Land your damaged aircraft on the airfield in the mission ""The Two Against Thirty-Nine"".";"Atterrissez votre avion endommagé sur l'aérodrome de la mission 'Les deux contre les trente-neuf'.";"Atterra alla base con il tuo aereo danneggiato nella missione ""Due Contro Trentanove"".";"Lande dein beschädigtes Flugzeug auf dem Flugplatz in der Mission 'Die beiden gegen 39'.";"Aterriza tu avión dañado en el aeródromo en la misión ""Los Dos contra Treinta y Nueve"".";"Посадите поврежденный самолёт на аэродром в миссии ""Двое против тридцати девяти"".";"W misji „Dwóch przeciwko trzydziestu dziewięciu” wyląduj uszkodzonym samolotem na lotnisku.";"V misi „Dva proti devětatřiceti“ přistaň s poškozeným letounem na letišti";"""Otuz Dokuza Karşı İki"" görevinde hasarlı uçağını havaalanına indir.";"在​“以​二​敌​三​十​九”​任​务​中，​驾​驶​受​损​的​飞​机​降​落​至​机​场​上。";"ミッション「2 対 39」\tで、\t破損した\t機体を\t飛行場に\t着陸させる";"Pousa o teu avião danificado no aeródromo na missão ""Os dois contra trinta - nove"".";"Посадіть пошкоджений літак на аеродром в місії ""Двоє проти тридцяти дев'яти"".";"Prizemlji svoj oštećeni avion na aerodromu u misiji ""Dva protiv Trideset Devet"".";"Szállj le a sérült gépeddel a repülőtérre a Ketten harminckilenc ellen küldetésben.";"""39대 2"" 임무에서 손상된 항공기를 비행장에 착륙시켜라.";"Пасадзіце пашкоджаны самалёт на аэрадром у місіі «Двое супраць трыццаці дзевяці».";"Aterizează avionul avariat pe aerodrom în misiunea „Doi împotriva a 39”.";"在​“以​二​敵​三​十​九”​任​務​中，​駕​駛​受​損​的​飛​機​降​落​至​機​場​上。";"在​“以​二​敌​三​十​九”​任​务​中，​驾​驶​受​损​的​飞​机​降​落​至​机​场​上。";"Hạ cánh máy bay bị hư hại trong nhiệm vụ ""2 chống lại 39"".";;
"WAKEIS_02_MISSION/name";"Second Breath";"Deuxième souffle";"Nuova energia";"Zweiter Atem ";"Segundo Aliento";"Второе дыхание";"Chwila oddechu";"Druhý dech";"İkinci Nefes";"重​振​旗​鼓";"元気回復";"Segundo fôlego";"Друге дихання";"Drugi Dah";"Második lélegzet";"두 번째 숨결";"Другое дыханне";"A doua suflare";"重​振​旗​鼓";"重​振​旗​鼓";"Hơi thở Thứ hai";;
"WAKEIS_02_MISSION/desc";"Rearm on the airfield between attacks on hostile ships in the mission ""American Counterattack"".";"Réarmer sur l'aérodrome entre les attaques des navires hostiles dans la mission 'Américains contre-attaque'.";"Riarma il tuo aereo alla base tra gli attacchi alle navi nemiche nella missione ""Contrattacco Statunitense"".";"Lade in der Mission 'Amerikanischer Gegenangriff' zwischen den Angriffen auf feindliche Schiffe auf dem Flugplatz nach.";"Reármate en el aeródromo entre ataques a naves hostiles en la misión ""Contraataque Estadounidense"".";"Перезарядитесь на аэродроме между атаками на вражеские корабли в миссии ""Контратака американцев"".";"W misji „Amerykański Kontratak” przezbrój się na lotnisku pomiędzy atakami na okręty wroga.";"V misi „Americký protiútok“ přezbroj na letišti mezi útoky na nepřátelské lodě";"""Amerikan Karşı Saldırısı"" görevinde düşman uçaklarına yapılan saldırıların arasında tekrar silahlan.";"在​“美​军​反​攻”​任​务​中，​趁​攻​击​敌​方​舰​船​的​间​隙​在​机​场​补​充​弹​药。";"ミッション「米軍の\t反撃」\tで、\t敵艦攻撃の\t合間に\t飛行場で\t弾薬を\t補充する";"Rearma no aeródromo entre ataques a navios hostis na missão ""Contra-ataque americano"".";"Встигніть перезарядитися на аеродромі між атаками на ворожі кораблі в місії ""Контратака американців"".";"Naoružaj se na pisti između napada na neprijateljske brodove u misiji ""Američki Kontranapad"".";"Tölts újra a repülőtéren a hajók elleni támadások között az Amerikai ellentámadás küldetésben.";"""미군의 반격"" 임무에서 적함에 대한 공격 도중에 비행장에서 무장 재보급을 수행하라.";"Пераўзбройцеся на аэрадроме паміж атакамі на варожыя караблі ў місіі «Контратака амерыканцаў».";"Rearmează avionul pe aerodrom printre atacurile navelor ostile în misiunea „Contraatac american”.";"在​“美​軍​反​攻”​任​務​中，​趁​攻​擊​敵​方​艦​船​的​間​隙​在​機​場​補​充​彈​藥。";"在​“ A 军​反​攻”​任​务​中，​趁​攻​击​敌​方​舰​船​的​间​隙​在​机​场​补​充​弹​药。";"Tái vũ trang trên sân bay giữa cuộc tấn công tàu địch trong nhiệm vụ ""Quân Mỹ phản công"".";;
