"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"a-20g/bicolor43";"Unicolor camouflage, 1943";"Camouflage unicolor, 1943";"Mimetizzazione verde, 1943";"Einfarbiger Tarnanstrich, 1943";"Camuflaje unicolor, 1943";"Одноцветный камуфляж, 1943 год";"Kamuflaż jednobarwny, 1943";"Olivový vzor s pruhy USAAF, ""5H-E""";"Tek renkli kamuflaj, 1943";"1943 年，\t标\t准\t单\t色\t涂\t装";"単色迷彩 (1943年)";"Camuflagem unicolor, 1943";"Одноколірний камуфляж, 1943 рік";"Dvobojna kamuflaža, 1943.";"Egyszínű festés";"단색 도색, 1943년";"Аднакаляровы камуфляж, 1943 г.";"Camuflaj unicolor, 1943";"1943 年\t標\t準\t單\t色\t塗\t裝";"标\t准\t单\t色\t涂\t装";"Ngụy trang một màu, năm 1943";;
"a-20g/bicolor43/desc";"Standard unicolor camouflage, 1943";"Camouflage bicolore, 1943";"Mimetizzazione bicolore standard, 1943";"Einfarbiger Standard-Tarnanstrich, 1943";"Camuflaje estándar unicolor, 1943";"Стандартный одноцветный камуфляж, 1943 год.";"Standardowy kamuflaż jednobarwny, 1943";"celoroční invazní kamufláž
United States Army Air Force
1943";"Standart tek renkli kamuflaj, 1943";"1943 年，\t标\t准\t单\t色\t涂\t装";"2色迷彩、\t1943年";"Camuflagem predefinida unicolor, 1943";"Стандартний одноколірний камуфляж, 1943 рік.";"Standardna jednobojna kamuflaža, 1943.";"Szabványos egyszínű festés
1943.";"표준 단색 위장도색, 1943년";"Стандартны аднакаляровы камуфляж, 1943 г.";"Camuflaj standard unicolor, 1943.";"1943 年\t標\t準\t單\t色\t塗\t裝";"标\t准\t单\t色\t涂\t装";"Tiêu chuẩn ngụy trang một màu, năm 1943";;
"a-20g/default";"Summer camouflage";"Camouflage d'été";"Mimetizzazione estiva";"Sommer-Tarnanstrich";"Camuflaje de verano";"Летний камуфляж";"Kamuflaż letni";"Olivový vzor USAAF";"Yaz kamuflajı";"夏\t季\t涂\t装";"夏季迷彩";"Camuflagem de verão";"Літній камуфляж";"Letnja kamuflaža";"Nyári járműfestés";"하계 위장도색";"Летні камуфляж";"Camuflaj de vară";"夏\t季\t塗\t裝";"夏\t季\t涂\t装";"Ngụy trang mùa hè";;
"a-20g/default/desc";"Standard bicolor tropical camouflage, Sicily, Summer 1943";"Camouflage bicolore tropical standard, Sicile, Eté 1943";"Mimetizzazione tropicale bicolore standard, Sicilia estate 1943";"Zweifarbiger Standard-Tropentarnanstrich, Sizilien, Sommer 1943";"Camuflaje tropical estándar bicolor, Sicilia, verano de 1943";"Стандартный двухцветный тропический камуфляж, Сицилия, лето 1943 год.";"Standardowy dwubarwny kamuflaż tropikalny, Sycylia, lato 1943";"celoroční kamufláž
United States Army Air Force
Sicílie
léto 1943";"Sicilya, 1943 yazı";"1943 年\t夏，\t西\t西\t里，\t标\t准\t双\t色\t热\t带\t涂\t装";"標準\tバイカラー\t熱帯迷彩、\tシチリア\t島、\t1943年夏";"Camuflagem predefinida bicolor tropical, Sicília, verão de 1943";"Стандартний двоколірний тропічний камуфляж, Сицилія, літо 1943 року.";"Standardna dvobojna tropska kamuflaža, Sicilija, leto 1943.";"Szabványos kétszínű trópusi festés
Szicília, 1943 nyara";"표준 2색 열대 위장도색, 1943년 여름 시칠리아";"Стандартны двухкаляровы трапічны камуфляж, Сіцылія, лета 1943 г.";"Camuflaj standard bicolor tropical, Sicilia, vara 1943.";"1943 年\t夏，\t西\t西\t里，\t標\t準\t雙\t色\t熱\t帶\t塗\t裝";"标\t准\t双\t色\t热\t带\t涂\t装";"Tiêu chuẩn ngụy trang hai màu nhiệt đới, Sicily, mùa hè năm 1943";;
"a-20g/skonk_works_live";"""Skonk Works"", 647th Squadron camouflage";"""Skonk Works"", camouflage du 647e Escadron";"""Skonk Works"", 647 Squadron camuffamento";"""Skonk Works"" Tarnanstrich des 647th Squadron";"Camuflaje ""Skonk Works"", 647º Escuadrón";"""Сконк работает"", камуфляж 647-й эскадрильи";"Kamuflaż 647 Eskadry „Skonk Works”";"Olivový vzor USAAF, ""6Q-R"", 647. BS";"""Skonk Works"", 647. Filo kamuflajı";"第 647 中\t队\t“臭\t鼬\t工\t厂”\t涂\t装";"第\t647部隊迷彩,""スカンクワークス""";"""Skonk Works"", Camuflagem do 647th Squadron";"""Сконк працює"", камуфляж 647-ї ескадрильї";"""Skonk Works"", 647ma Eskadrilna kamuflaža";"Skonk Works";"제647비행대대 ""스컹크 웍스""";"«Skonk Works», камуфляж 647-й эскадрыллі";"Camuflaj „Skonk Works”, escadrila 647";"第 647 中\t隊\t“臭\t鼬\t工\t廠”\t塗\t裝";"第 647 中\t队\t“臭\t鼬\t工\t厂”\t涂\t装";"""Skonk Works"", nguỵ trang của Phi đoàn 647th";;
"a-20g/skonk_works_live/desc";"""Skonk Works"", aircraft serial number 43-10213, 410th Bombardment Group, 647th Bombardment Squadron, May 1944. Camouflage by Yaroslav ""brodyaga_enot"" Dzyuin.";"""Skonk Works"", numéro de série 43-10213, 410th Bombardment Group, 647th Bombardment Squadron, mai 1944. Camouflage par Yaroslav ""brodyaga_enot"" Dzyuin.";"""Skonk Works"", matricola velivolo 43-10213, 410A Bombardment Group, 647 squadrone di bombardamento, maggio 1944. Camuffamento da Yaroslav ""brodyaga_enot"" Dzyuin.";"""Skonk Works"", Flugzeug-Seriennummer 43-10213, 410th Bombardment Group, 647th Bombardment Squadron, May 1944. Tarnanstrich von Yaroslav ""brodyaga_enot""Dzyuin.";"""Skonk Works"", avión número de serie 43-10213, 410º Grupo de Bombardeo, 647º Escuadrón de Bombardeo, Mayo de 1944. Camuflaje de Yaroslav ""brodyaga_enot"" Dzyuin.";"""Сконк работает"", самолёт с серийным номером 43-10213, 410-я бомбардировочная группа, 647-я бомбардировочная эскадрилья, май 1944. Камуфляж выполнил Ярослав ""brodyaga_enot"" Дзюин.";"„Skonk Works”, numer seryjny samolotu 43-10213, 410 Grupa Bombowa, 647 Eskadra Bombowa, maj 1944 r. Kamuflaż wykonał Yaroslav „brodyaga_enot” Dzyuin.";"celoroční kamufláž
United States Army Air Force
647th Bombardment Squadron
410th Bombardment Group
""Skonk Works""
květen 1944";"""Skonk Works"", uçak seri numarası 43-10213, 410. Bombardıman Grubu, 647. Bombardıman Filosu, Mayıs 1944. Kamuflajı yapan: Yaroslav ""brodyaga_enot"" Dzyuin.";"1944 年 5 月，\t第 410 轰\t炸\t机\t大\t队\t第 647 轰\t炸\t机\t中\t队，\t编\t号 43-10213，\t“臭\t鼬\t工\t厂”\t涂\t装\t（作\t者： Yaroslav ""brodyaga_enot"" Dzyuin）";"「スカンクワークス」\tシリアル\t番号: 43-10213, 第\t410爆撃隊 647爆撃部隊 1944年\t5月, 迷彩制作者: Yaroslav ""brodyaga_enot"" Dzyuin";"""Skonk Works"", avião com número de série 43-10213, 410th Bombardment Group, 647th Bombardment Squadron, maio de 1944. Camuflagem feita por Yaroslav ""brodyaga_enot"" Dzyuin.";"""Сконк працює"", літак з серійним номером 43-10213, 410-та бомбардувальна група, 647-а бомбардувальна ескадрилья, травень 1944. Камуфляж виконав Ярослав"" ""brodyaga_enot"" ""Дзюін.";"""Skonk Works"", avion serijski broj 43-10213, 410te Bombarderske Grupe, 647me Bombarderske Eskadrile, Maj 1944. Kamuflaže Yaroslav ""brodyaga_enot"" Dzyuin.";"Lajstromszám: 43-10213
410. Bomber Group, 647. Bomber Squadron
1944. május
Készítette: Jaroszlav „brodyaga_enot” Dzjuin";"1944년 5월 제410폭격비행전대(410th Bombardment) 제647폭격비행대대(647th Bombardment Squadron)의 ""스컹크 웍스""(Skonk Works) 가 칠해진 도색, 항공기 일련번호 43-10213, Yaroslav ""brodyaga_enot"" Dzyuin 제공";"«Сконк робіць» («Skonk Works»), самалёт з серыйным нумарам 43-10213, 410-я бамбардзіровачная група, 647-я бамбардзіровачная эскадрылля, май 1944 г. Камуфляж выкананы Яраславам «brodyaga_enot» Дзюйнам.";"„Skonk Works”, avionul cu seria 43-10213, grupul de bombardament 410, escadrila de bombardament 647, mai 1944. Realizat de Yaroslav „brodyaga_enot” Dzyuin.";"1944 年 5 月，\t第 410 轟\t炸\t機\t大\t隊\t第 647 轟\t炸\t機\t中\t隊，\t編\t號 43-10213，\t“臭\t鼬\t工\t廠”\t塗\t裝\t（作\t者： Yaroslav ""brodyaga_enot"" Dzyuin）";"第 410 轰\t炸\t机\t大\t队\t第 647 轰\t炸\t机\t中\t队，\t编\t号 43-10213，\t“臭\t鼬\t工\t厂”\t涂\t装\t（作\t者： Yaroslav ""brodyaga_enot"" Dzyuin）";"""Skonk Works"", máy bay số hiệu 43-10213, Đơn vị oanh tạc 410th , Phi đội oanh tạc 647th, tháng Năm 1944. Nguỵ trang bởi Yaroslav ""brodyaga_enot"" Dzyuin.";;
"a-26c/default/desc";"Standard unicolor night camouflage with insignia of the 13th Bomb Squadron, USAF";"Camouflage de nuit unicolore standard avec l'insigne du 13ème Bomb Squadron, USAF";"Mimetizzazione monocolore notturna con le insegne della 13° Squadriglia Bombardieri, USAF";"Einfarbiger Standard-Nachttarnanstrich mit Insignien des 13. Bombergeschwaders USAF";"Camuflaje nocturno estándar monocolor con la insignia del 13.º Escuadrón de bombardeo, USAF";"Стандартный одноцветный ночной камуфляж с обозначениями 13-й бомбардировочной эскадрильи USAF.";"Standardowy jednobarwny nocny kamuflaż z oznaczeniami 13 Eskadry Bombowej, USAF";"noční kamufláž
United States Air Force
13th Bombardment Squadron";"13. Bombardıman Filosu işaretleri ile standart tek renkli USAF gece kamuflajı";"美\t国\t空\t军\t第 13 轰\t炸\t机\t中\t队，\t标\t准\t单\t色\t夜\t战\t涂\t装";"標準単色夜間迷彩/米国空軍第\t13爆撃中隊";"Camuflagem noturna monocromática predefinida com a insignia do 13th Bomb Squadron, USAF";"Стандартний одноколірний нічний камуфляж з позначеннями 13-ої бомбардувальної ескадрильї USAF.";"Standardna jednobojna noćna kamuflaža sa oznakama 13. bombarderske eskadrile, USAF";"Szabványos egyszínű éjszakai festés
13. Bomber Squadron
Egyesült Államok Légiereje";"미 육군항공대 제13폭격 비행대 부대마크가 그려진 표준 단색 야간 도색";"Стандартны аднакаляровы начны камуфляж з апазнавальнымі знакамі 13-й бамбардзіровачнай эскадрыллі ВПС ЗША.";"Camuflaj standard unicolor nocturn cu stema escadrilei 13 bombardiere, Forțele Aeriene ale SUA.";"美\t國\t空\t軍\t標\t準\t單\t色\t夜\t戰\t塗\t裝，\t第 13 轟\t炸\t機\t中\t隊\t徽\t標";"A\t国\t空\t军\t标\t准\t单\t色\t夜\t战\t涂\t装，\t第 13 轰\t炸\t机\t中\t队\t徽\t标";"Tiêu chuẩn ngụy trang đêm một màu với huy hiệu của phi đoàn ném bom số 13, không quân Mỹ";;
"a2d/blue";"Unicolor sea camouflage";"Camouflage marin uni";"Mimetizzazione marittima";"Einfarbiger Marine-Tarnanstrich";"Camuflaje unicolor marítimo";"Морской";"Jednobarwny kamuflaż morski";"Jednobarevná námořní kamufláž";"Tek renkli deniz kamuflajı";"单\t色\t海\t洋\t涂\t装";"単色洋上迷彩";"Camuflagem monocromática de mar";"Морський";"Unicolor sea camouflage";"Egyszínű tengeri járműfestés";"단색 해상 위장도색";"Морской";"Camuflaj unicolor maritim";"單\t色\t海\t洋\t塗\t裝";"单\t色\t海\t洋\t涂\t装";"Ngụy trang đơn sắc biển";;
"a2d/blue/desc";"Standard unicolor sea camouflage pattern Overall Gloss Sea Blue";"Camouflage marin standard uni Bleu Mer Brillant";"Mimetizzazione marittima standard Blu Oltremare";"Einfarbiger Marine-Tarnmuster, Meeresblau
";"Patrón estándar de camuflaje marino unicolor Azul Marino Brillante General";"Стандартная одноцветная морская схема камуфляжа Overall Gloss Sea Blue";"Standardowy jednobarwny morski kamuflaż ze wzorem Overall Gloss Sea Blue";"Standardní jednobarevný mořský maskovací vzor lesklá mořská modř";"Standart tek renkli deniz kamuflaj deseni, Genel Parlak Deniz Mavisi";"亮\t光\t海\t蓝\t标\t准\t单\t色\t海\t洋\t涂\t装";"全体的に\tグロスシーブルーの、\t標準的な\t単色洋上迷彩\tパターン";"Camuflagem monocromática de mar standard Overall Gloss Sea Blue";"Стандартна одноколірна морська схема камуфляжу Overall Gloss Sea Blue";"Standard unicolor sea camouflage pattern Overall Gloss Sea Blue";"Szabványos egyszínű tengeri festés.";"1941년의 표준 2색 해상 위장도색";"Стандартная одноцветная морская схема камуфляжа Overall Gloss Sea Blue";"Camuflaj standard unicolor maritim model albastru marin lucios uniform.";"亮\t光\t海\t藍\t標\t準\t單\t色\t海\t洋\t塗\t裝";"亮\t光\t海\t蓝\t标\t准\t单\t色\t海\t洋\t涂\t装";"Nguỵ trang đơn sắc biển tiêu chuẩn với hoa văn xanh dương bóng";;
"a5m4/default/desc";"Standard unicolor pre-war camouflage, Akagi aircraft carrier";"Camouflage standard unicolore d'avant-guerre, Porte-avion Akagi";"Livrea monocolore anteguerra standard, portaerei Akagi";"Einfarbiger Standard-Vorkriegstarnanstrich, Flugzeugträger Akagi";"Camuflaje unicolor estándar de la pre-guerra, Portaaviones Akagi";"Стандартный одноцветный камуфляж довоенного образца, авианосец ""Акаги""";"Standardowy jednobarwny kamuflaż przedwojenny, lotniskowiec Akagi";"denní pestrá kamufláž
Dai-Nippon teigun kókútai
Akagi
1938";"Standart tek renkli savaş öncesi kamuflaj, Akagi uçak gemisi ";"战\t前\t标\t准\t单\t色\t涂\t装，\t“赤\t城”\t号\t航\t空\t母\t舰";"戦前標準単色迷彩 1938年";"Camuflagem monocromática padrão do pré-guerra, porta-aviões Akagi";"Стандартний одноколірний камуфляж довоєнного зразка, авіаносець ""Акагі""";"Standardna jednobojna predratna kamuflaža, 1938.";"Szabványos egyszínű háború előtti festés
Akagi repülőgép-hordozó";"1938년 전쟁 전의 표준 단색 위장도색";"Стандартны аднакаляровы камуфляж даваеннага ўзору, авіяносец «Акагі»";"Camuflaj standard unicolor antebelic, portavionul Akagi.";"戰\t前\t標\t準\t單\t色\t塗\t裝，\t“赤\t城”\t號\t航\t空\t母\t艦";"战\t前\t标\t准\t单\t色\t涂\t装，\tR\t国\t航\t空\t母\t舰";"Tiêu chuẩn ngụy trang một màu trước chiến tranh, năm 1938";;
