"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"streaks/first_blood";"First strike!";"Première frappe !";"Primo attacco!";"Erstschlag!";"¡Primer ataque!";"Первый удар!";"Pierwsze uderzenie!";"První úder";"İlk darbe!";"先\t拔\t头\t筹！";"先制撃破";"Primeiro ataque!";"Перший удар!";"Prvi udar!";"Első csapás!";"선취점!";"Першы ўдар!";"Prima lovitură";"先\t拔\t頭\t籌！";"先\t拔\t头\t筹！";"Đòn đầu tiên!";;
"streaks/first_blood/other";"has delivered the first strike!";"a terminé la première frappe !";"ha sferrato il primo attacco!";"hat den Erstschlag ausgeführt!";"ha realizado un ataque inicial!";"ударил первым!";"zadaje pierwsze uderzenie!";"uštědřil první úder";"ilk darbeyi vurdu!";"先\t拔\t头\t筹！";"最初の\t一撃を\t与えました！";"deu o primeiro ataque!";"ударив першим!";"je naneo prvi udar!";"mérte az első csapást!";"(이)가 선취점 달성!";"ударыў першы!";"a dat prima lovitură!";"先\t拔\t頭\t籌！";"先\t拔\t头\t筹！";"đã ra đòn đầu tiên!";;
"streaks/first_blood/desc";"The first to destroy an enemy in the mission.";"Le premier à détruire un ennemi en bataille.";"Per aver distrutto un nemico per primo in missione.";"Erster, der einen Feind in der Mission zerstört.";"El primero en destruir a un enemigo en la misión.";"Первым уничтожил противника в миссии.";"Pierwsze zniszczenie przeciwnika w misji.";"Buď první, kdo zničí v misi nepřítele.";"Görevde düşmanı ilk yok eden kişi.";"在\t战\t斗\t中\t率\t先\t摧\t毁\t敌\t方\t单\t位。";"ミッションで\t最初に\t敵を\t撃破した。";"Primeiro a abater um inimigo na partida.";"Першим знищив противника в місії.";"Nanesen prvi udar.";"The first to destroy an enemy in the mission.";"임무 중 가장 먼저 적을 격파했습니다.";"Первым уничтожил противника в миссии.";"The first to destroy an enemy in the mission.";"在\t戰\t鬥\t中\t率\t先\t摧\t毀\t敵\t方\t單\t位。";"全\t队\t第\t一\t个\t摧\t毁\t敌\t方\t单\t位";"Người đầu tiên tiêu diệt kẻ thù trong nhiệm vụ.";;
"streaks/final_blow";"Final blow!";"Coup de grâce !";"Colpo finale!";"Entscheidender Schlag!";"¡Golpe final!";"Последний удар!";"Ostateczny cios!";"Poslední úder";"Son vuruş!";"最\t后\t一\t击！";"決定打";"Golpe final!";"Останній удар!";"Poslednji udarac!";"Végső csapás!";"마지막 한방!";"Апошні ўдар!";"Lovitură finală!";"最\t後\t一\t擊！";"最\t后\t一\t击！";"Đòn cuối cùng!";;
"streaks/final_blow/other";"has delivered the final blow!";"a donné le coup de grâce !";"ha inflitto il colpo finale!";"hat den entscheidenden Schlag ausgeführt!";"¡has asestado el golpe final!";"нанёс последний удар!";"zadał ostateczny cios!";"uštědřil poslední úder";"son vuruşu yaptı!";"完\t成\t了\t最\t后\t一\t击！";"最後の\t一撃を\t与えました！";"deu o golpe final!";"наніс останній удар!";"je naneo poslednji udarac!";"mérte a végső csapást!";"이(가) 마지막 한방을 날렸습니다!";"нанёс апошні ўдар!";"a dat ultima lovitură!";"完\t成\t了\t最\t後\t一\t擊！";"完\t成\t了\t最\t后\t一\t击！";"đã ra đòn cuối cùng!";;
"streaks/final_blow/desc";"Destroyed the last enemy in the mission.";"A détruit le dernier véhicule ennemi en bataille.";"Per aver distrutto un nemico per ultimo in missione.";"Zerstörte den letzten Feind in der Mission.";"Destruido el último enemigo de la misión.";"Уничтожил последнего противника в миссии.";"Zniszczenie ostatniego przeciwnika w misji.";"Zničení posledního nepřítele v misi.";"Görevdeki son düşmanı yok etti.";"在\t战\t斗\t中\t取\t得\t最\t后\t一\t个\t战\t果。";"ミッションで\t最後に\t敵を\t撃破した。";"Abatido o último inimigo na partida.";"Знищив останнього противника в місії.";"Nanesen poslednji udarac.";"Destroyed the last enemy in the mission.";"가장 마지막으로 적을 격파하였습니다.";"Уничтожил последнего противника в миссии.";"Destroyed the last enemy in the mission.";"在\t戰\t鬥\t中\t取\t得\t最\t後\t一\t個\t戰\t果。";"完\t成\t了\t终\t场\t前\t最\t后\t一\t次\t击\t杀";"Đã tiêu diệt kẻ thù cuối cùng trong nhiệm vụ.";;
"streaks/last_man_standing";"The last man standing!";"Le dernier homme debout !";"Ultimo uomo!";"Letzter Überlebender!";"¡El último hombre en pie!";"Последний выживший!";"Ostatni żywy!";"Poslední přeživší";"Ayakta kalan son adam!";"最\t终\t赢\t家！";"最後の\t一人！";"O último homem de pé!";"Останній з тих, що вижили!";"Poslednji  čovek na nogama!";"Utolsó legény a gáton!";"최후의 생존자";"Апошні жывы!";"Ultimul om rămas";"最\t終\t贏\t家！";"最\t终\t赢\t家！";"Kẻ sống sót cuối cùng!";;
"streaks/last_man_standing/other";;;;;;;;;;;;;;;;;;;;;;;
"streaks/last_man_standing/desc";"The last player remaining in the mission.";"Le dernier joueur restant dans la mission.";"L'ultimo giocatore rimasto in vita nella missione.";"Der letzte überlebende Spieler der Mission.";"Último jugador que ha quedado en la misión.";"Остался последним живым игроком в миссии.";"Ostatni gracz pozostały w misji.";"Poslední žijící hráč v misi";"Görevde kalan son oyuncu.";"全\t场\t最\t后\t一\t位\t幸\t存\t者。";"任務で\t生き\t残った\t最後の\tパイロット";"O último jogador que permaneceu na missão.";"Залишився останнім живим гравцем в місії.";"Poslednji pilot u misiji.";"Az utolsó játékos maradtál a csatában.";"전투에서 홀로 끝까지 살아남은 플레이어.";"Застаўся апошнім жывым гульцом у місіі.";"Ultimul jucător rămas în misiune.";"全\t場\t最\t後\t一\t位\t倖\t存\t者。";"全\t场\t最\t后\t一\t位\t幸\t存\t者。";"Người chơi cuối cùng còn lại trong nhiệm vụ.";;
"streaks/battle_royale_first_place_lost";"One step away from victory";"A une marche de la victoire";"Ad un passo dalla vittoria";"So nah und doch so fern";"A un paso de la victoria";"В шаге от победы";"O krok od zwycięstwa";"Krůček od vítězství";"Zaferden bir adım uzak";"一\t步\t之\t遥";"勝利まであと\t一歩";"A um passo da vitória";"За крок від перемоги";"Na korak do pobede";"Egy lépésre a győzelemtől";"승리까지 한발짝";"Адзін крок да перамогі";"La un pas de victorie";"一\t步\t之\t遙";"一\t步\t之\t遥";"Một bước nữa để đạt được chiến thắng";;
