"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"worldWar/btn_battles";"Battles";"Batailles";"Battaglie";"Schlachten";"Batallas";"Битвы";"Bitwy";"Bitvy";"Çarpışmalar";"战\t斗";"ハリコフ";"Batalhas";"Битви";"Bitke";"Csaták";"전투";"Бітвы";"Bătălii";"戰\t鬥";"  ";"Trận chiến";;
"worldWar/btn_all_battles";"╫ All Battles";"╫ Toutes les batailles";"╫ Tutte le Battaglie";"╫ Alle Schlachten";"╫ Todas las Batallas";"╫ Все Битвы";"╫ Wszystkie Bitwy";"╫ Všechny bitvy";"╫ Bütün Çarpışmalar";"╫ 所\t有\t战\t斗";"╫ 全\tバトル";"╫ Todas as batalhas";"╫ Усі Битви";"╫ Sve bitke";"╫ Minden csata";"╫ 모든 전투";"╫ Усе бітвы";"╫ Toate bătăliile";"╫ 所\t有\t戰\t鬥";"  ";"╫ Tất cả các trận chiến";;
"worldWar/btn_all_battles_full_text";"╫ All World War battles";"╫ Toutes les batailles de la Guerre mondiale";"╫ Tutte le Battaglie della Guerra Mondiale";"╫ Alle Weltkrieg-Schlachten";"╫ Todas las Batallas de Guerra Mundial";"╫ Все битвы Мировой войны";"╫ Wszystkie bitwy Wojny Światowej";"╫ Všechny bitvy Světové války";"╫ Bütün Dünya Savaşı çarpışmaları";"╫ 所\t有\t世\t界\t大\t战\t战\t斗";"╫ 全世界大戦\tバトル";"╫ Todas as batalhas da guerra mundial";"╫ Всі битви Світової Війни";"╫ Sve bitke Svetskog rata";"╫ Minden világháborús csata";"╫ 모든 세계 대전 전투";"╫ Усе бітвы Сусветнай вайны";"╫ Toate bătăliile Războiului Mondial";"╫ 所\t有\t世\t界\t大\t戰\t戰\t鬥";"  ";"╫ Tất cả các trận chiến Thế Chiến";;
"worldWar/stayInOperation";"Stay in operation";"Rester en opération";"Resta nell'operazione";"In Operation verbleiben";"Permanecer en operación";"Остаться в операции";"Zostań w operacji";"Zůstat v operaci";"Harekatta kal";"留\t在\t军\t事\t行\t动\t中";"作戦にとどまる";"Permaneça na operação";"Залишитися в операції";"Ostanite u operaciji";"Maradj a hadműveletben";"작전에 계속 참여";"Застацца ў аперацыі";"Rămâi în operațiune";"留\t在\t軍\t事\t行\t動\t中";"  ";"Ở lại trong chiến dịch";;
"worldWar/noAccess";"No access to World War";"Pas d'accès à la Guerre mondiale";"Nessun accesso alla Guerra Mondiale";"Kein Zugriff auf den Weltkriegsmodus";"Sin acceso a Guerra Mundial";"Нет доступа к Мировой войне";"Brak dostępu do Wojny Światowej";"Bez přístupu ke Světové válce";"Dünya savaşına erişim yok";"未\t满\t足\t世\t界\t大\t战\t的\t加\t入\t条\t件";"世界大戦へ\tアクセスできません";"Sem acesso a Guerra Mundial";"Немає доступа до Світової Війни";"Nema pristupa Svetskom ratu ";"Nincs hozzáférésed a világháborúhoz";"세계 대전에 참여할 권한이 없습니다.";"Няма доступу да Сусветнай вайны";"Fără acces la Războiul Mondial";"未\t滿\t足\t世\t界\t大\t戰\t的\t加\t入\t條\t件";"  ";"Không có quyền truy cập vào Thế Chiến";;
"worldWar/playCondition";"To access World War mode, you need to purchase at least one unit of rank {rank} for any country.";"Pour accéder au mode de jeu Guerre mondiale, vous devez posséder une unité de rang {rank} pour chaque pays.";"Per accedere alla Guerra Mondiale, devi acquistare almeno una unità di era {rank} di una qualsiasi nazione.";"Um dich dem Weltkriegmodus anzuschließen, musst du wenigstens ein Fahrzeug des Rangs {rank} einer beliebigen Nation erwerben.";"Para acceder al modo Guerra Mundial, necesita comprar al menos una unidad de rango {rank} para cualquier país.";"Для доступа к режиму Мировая война необходимо купить хотя бы одну единицу техники {rank} ранга за любую страну.";"Aby uzyskać dostęp do trybu Wojny światowej, musisz zakupić przynajmniej jeden pojazd ery {rank} dowolnego kraju.";"Pro přístup ke Světové válce si musíš koupit alespoň jeden stroj {rank}. úrovně jakékoliv země";"Dünya Savaşı moduna girmek için herhangi bir ülkeden en az bir adet seviye {rank} birim satın almış olmalısınız.";"要\t加\t入\t世\t界\t大\t战\t模\t式，\t必\t须\t先\t购\t买\t任\t意\t一\t个\t国\t家\t的 {rank} 级\t载\t具。";"世界大戦\tモードに\tアクセスするには、\tいずれかの\t国の\tランク {rank} の\tユニットを\t最低\t1\tつ\t購入してください。";"Para acessar a guerra mundial você é necessário obter ao menos um veículo do rank {rank} de qualquer nação.";"Для відкриття режиму «Світова війна» вам необхідно придбати хоча б одну одиницю техніки {rank} рангу за будь-яку країну.";"To access World War mode, you need to purchase at least one unit of rank {rank} for any country.";"Hogy hozzáférj a Világháború módhoz, meg kell venned legalább egy, {rank} rangú egységet bármely országból.";"세계 대전 모드에 참여하기 위해서는 적어도 {rank} 랭크 이상의 장비를 1대 이상 소유하고 있어야 합니다.";"Каб атрымаць доступ да рэжыму сусветнай вайны, неабходна купіць прынамсі адну машыну {rank} рангу за адвольную дзяржаву.";"Pentru a accesa modul «Război Mondial», trebuie să cumperi cel puțin un vehicul de rangul {rank} pentru orice țară.";"要\t加\t入\t世\t界\t大\t戰\t模\t式，\t必\t須\t先\t購\t買\t任\t意\t一\t個\t國\t家\t的 {rank} 階\t載\t具。";"  ";"Để truy cập vào Chế độ Thế Chiến, bạn phải mua ít nhất một đơn vị của cấp bậc {rank} cho bất kì quốc gia nào.";;
"mainmenu/btnWorldwar";"World War";"Guerre mondiale";"Guerra Mondiale";"Weltkrieg";"Guerra Mundial";"Мировая война";"Wojna Światowa";"Světová válka";"Dünya Savaşı";"世\t界\t大\t战";"世界大戦";"Guerra Mundial";"Світова війна";"Svetski rat";"Világháború";"세계 대전";"Сусветная вайна";"Război Mondial";"世\t界\t大\t戰";"  ";"Thế chiến";;
"mainmenu/operationsMap";"Operation";"Opération";"Operazione";"Operation";"Operación";"Операция";"Operacja";"Operace";"Operasyon";"军\t事\t行\t动";"作戦";"Operação";"Операція";"Operation";"Hadművelet";"작전";"Аперацыя";"Operation";"軍\t事\t行\t動";"Operation";"Chiến dịch";"NOT TRANSLATED";
"worldWar/battleName";"Battle #{number}";"Bataille #{number}.";"Battaglia #{number}";"Schlacht #{number}.";"Batalla #{number}.";"Битва №{number}";"Bitwa #{number}.";"Bitva #{number}";"Çarpışma #{number}.";"战\t斗 #{number}";"#{number} と\t戦う";"Batalha #{number}.";"Битва №{number}.";"Bitka #{number}";"Csata #{number}.";"전투 #{number}";"Бітва №{number}";"Bătălia nr. {number}";"戰\t鬥 #{number}";"  ";"Trận chiến #{number}";;
"worldWar/shortBattleName";"#{number}.";"#{number}.";"#{number}.";"#{number}.";"#{number}.";"№{number}.";"#{number}.";"#{number}";"#{number}.";"#{number}";"#{number}";"#{number}.";"№{number}.";"#{number}.";"#{number}.";"#{number}";"№{number}.";"nr. {number}.";"#{number}";"  ";"#{number}.";;
"worldWar/participatingCountries";"The following countries are currently participating in World War:";"Les nations suivantes participent actuellement à la guerre mondiale:";"Le seguenti nazioni stanno partecipando attualmente alla Guerra Mondiale:";"Die folgenden Nationen nehmen gegenwärtig am Weltkrieg teil:";"The following countries are currently participating in World War:";"В настоящее время в Мировой войне участвуют следующие страны:";"W Wojnie światowej obecnie biorą udział następujące państwa:";"Světové války se v této chvíli účastní následující země:";"Aşağıdaki ülkeler şu anda Dünya Savaşı'nda yer alıyor:";"以\t下\t国\t家\t正\t在\t参\t与\t世\t界\t大\t战：";"世界大戦には、\t現在、\t以下の\t国が\t参加しています：";"Atualmente os seguintes países estão participando da guerra mundial:";"В даний час в Світовій Війні беруть участь наступні країни:";"The following countries are currently participating in World War:";"A következő országok vesznek részt jelenleg a világháborúban:";"다음 국가들이 세계 대전에 참여하고 있습니다:";"У дадзены момант у Сусветнай вайне ўдзельнічаюць наступныя дзяржавы:";"Următoarele țări participă la Războiul Mondial:";"以\t下\t國\t家\t正\t在\t參\t與\t世\t界\t大\t戰：";"  ";"Những quốc gia sau đây hiện đang tham gia vào Thế Chiến.";;
"worldWar/noParticipatingCountries";"No countries are currently participating in World War.";"Aucune nation ne participe actuellement à la guerre mondiale.";"Nessuna nazione sta partecipando attualmente alla Guerra Mondiale.";"Keine Nation nimmt gegenwärtig am Weltkrieg teil.";"No hay países participando actualmente en la Guerra Mundial.";"В настоящее время нет стран, участвующих в Мировой войне.";"Żadne państwo nie bierze obecnie udziału w Wojnie światowej.";"Světové války se v této chvíli neúčastní žádné země";"Hiçbir ülke şuan Dünya Savaşı'nda rol almıyor.";"没\t有\t任\t何\t国\t家\t参\t与\t世\t界\t大\t战。";"現在、\t世界大戦に\t参加している\t国はありません。";"Atualmente nenhum país está participando da guerra mundial.";"В даний час немає країн, що беруть участь в Світовій Війні.";"No countries are currently participating in World War.";"Egy ország sem vesz részt jelenleg a világháborúban.";"현재 어떤 국가도 세계 대전에 참여하지 않고 있습니다.";"У дадзены момант няма дзяржаў, якія ўдзельнічаюць у Сусветнай вайне.";"Momentan nu participă nici o țară la Războiul Mondial.";"沒\t有\t任\t何\t國\t家\t參\t與\t世\t界\t大\t戰。";"  ";"Không có quốc gia nào hiện đang tham gia vào Thế Chiến.";;
"worldWar/battles";"{number} {number=battle/battles}";"{number} {number=bataille(s)}";"{number} {number=battle/battles}";"{number} {number=Schlacht/Schlachten}";"{number} {number=batalla/batallas}";"{number} {number=битва/битвы/битв}";"{number} {number=battle/battles}";"{number} {number=bitva/bitvy/bitev}";"{number} {number=savaş/savaş}";"{number} {number=\t场\t战\t斗\t/\t场\t战\t斗}";"{number} {number=戦/戦}";"{number} {number=battle/battles}";"{number} {number=битва/битви/битв}";"{number} {number=battle/battles}";"{number} {number=csata/csata}";"{number} {숫자=전투/전투들}";"{number} {number=бітва/бітвы/бітваў}";"{number} {number=bătălie/bătălii}";"{number} {number=\t場\t戰\t鬥\t/\t場\t戰\t鬥}";"  ";"{number} {number=Trận chiến/Trận chiến}";;
"worldWar/menu";"Menu";"Menu";"Menu";"Menü";"Menú";"Меню";"Menu";"Nabídka";"Menü";"菜\t单";"メニュー";"Menu";"Меню";"Meni";"Menü";"메뉴";"Меню";"Meniu";"選\t單";"  ";"Menu";;
"worldWar/menu/selectOperation";"╫ Select operation";"Sélection de l'opération";"╫ Seleziona l'operazione";"╫ Operation auswählen";"╫ Seleccionar operación";"╫ Выбор операции";"Wybierz operację";"╫ Výběr operace";"╫ Harekat seç";"╫ 选\t择\t军\t事\t行\t动";"作戦を\t選択";"╫ Selecionar operação";"╫ Вибір операції";"╫ Izaberite operaciju";"╫ Hadművelet-választás";"작전 선택";"╫ Выбар аперацыі";"╫ Selectare operațiune";"╫ 選\t擇\t軍\t事\t行\t動";"  ";"╫ Chọn chiến dịch.";;
"worldWar/menu/mainMenu";"╫ Main Menu";"╫ Menu principal";"╫ Menu Principale";"╫ Hauptmenü";"╫ Menú Principal";"╫ Главное меню";"╫ Menu główne";"╫ Hlavní nabídka";"╫ Ana Menü";"╫ 主\t菜\t单";"╫ メインメニュー";"╫ Menu principal";"╫ Головне меню";"╫ Glavni meni";"╫ Főmenü";"╫ 주 메뉴";"╫ Галоўнае меню";"╫ Meniu principal";"╫ 主\t選\t單";"  ";"╫ Trang chủ";;
"worldWar/menu/quitToHangar";"Quit to hangar";"Retourner au hangar";"Torna all'Hangar";"Zurück zum Hangar";"Volver al hangar";"Выход в ангар";"Wyjdź do hangaru";"Návrat na základnu";"Hangara dön";"返\t回\t基\t地";"格納庫を\t終了";"Sair para o hangar";"Вийти в ангар";"Quit to hangar";"Kilépés a hangárba";"격납고로 나가기";"Выхад у ангар";"Ieșire în hangar";"返\t回\t機\t庫";"  ";"Thoát về căn cứ";;
"worldWar/menu/createVehicleSet";"Create vehicle set";"Créer un ensemble de véhicules";"Crea un set di mezzi";"Fahrzeugset erstellen";"Crear conjunto de vehículos";"Создать набор техники";"Utwórz zestaw maszyn";"Vytvořit sadu strojů";"Araç seti oluştur";"创\t建\t载\t具\t队\t列";"兵器の\tセットを\t作成する";"Criar conjunto de veículos";"Створити набір техніки";"Create vehicle set";"Járműkészlet létrehozása";"장비 설정 생성";"Стварыць набор тэхнікі";"Create vehicle set";"創\t建\t載\t具\t隊\t列";"Create vehicle set";"Tạo set phương tiện";"NOT TRANSLATED";
