"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"xinp/Select";"Statistics";"Statistiques";"Statistiche";"Statistiken";"Estadísticas";"Статистика";"Statystyki";"Statistiky";"İstatistikler";"数\t据\t统\t计";"統計";"Estatísticas";"Статистика";"Statistika";"Statisztika";"시점";"Статыстыка";"Statistici";"數\t據\t統\t計";"查\t看";"naming convention";
"yn1/error/80022B04";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Nous mettons le jeu à jour afin de l'améliorer. Vous pouvez consulter le statut des serveurs sur le site warthunder.com.";"Il server è in manutenzione. Stiamo aggiornando e migliorando il gioco. Consulta lo stato dei server su warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está en mantenimiento. Estamos actualizando el juego y mejorándolo. Por favor, comprueba el estado del servidor en warthunder.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na warthunder.com/pl.";"Probíhá údržba serveru a vylepšení hry. Více informací nalezneš warthunder.com";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos atualizando o jogo e tornando-o melhor. Por favor, verifique o estado do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Ми оновлюємо гру та робимо її краще. Будь ласка, перевірте розклад роботи серверу на офіційному форумі warthunder.ru.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";;
"yn1/error/80022B34";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Nous mettons le jeu à jour afin de l'améliorer. Vous pouvez consulter le statut des serveurs sur le site warthunder.com.";"Il server è in manutenzione. Stiamo aggiornando e migliorando il gioco. Consulta lo stato dei server su warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está en mantenimiento. Estamos actualizando el juego y mejorándolo. Por favor, comprueba el estado del servidor en warthunder.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na warthunder.com/pl.";"Probíhá údržba serveru a vylepšení hry. Více informací nalezneš warthunder.com";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos atualizando o jogo e tornando-o melhor. Por favor, verifique o estado do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Ми оновлюємо гру та робимо її краще. Будь ласка, перевірте розклад роботи серверу на офіційному форумі warthunder.ru.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";;
"yn1/error/80022B35";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Nous mettons le jeu à jour afin de l'améliorer. Vous pouvez consulter le statut des serveurs sur le site warthunder.com.";"Il server è in manutenzione. Stiamo aggiornando e migliorando il gioco. Consulta lo stato dei server su warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está en mantenimiento. Estamos actualizando el juego y mejorándolo. Por favor, comprueba el estado del servidor en warthunder.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na warthunder.com/pl.";"Probíhá údržba serveru a vylepšení hry. Více informací nalezneš warthunder.com";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos atualizando o jogo e tornando-o melhor. Por favor, verifique o estado do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Ми оновлюємо гру та робимо її краще. Будь ласка, перевірте розклад роботи серверу на офіційному форумі warthunder.ru.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";;
"yn1/error/8002233F";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Nous mettons le jeu à jour afin de l'améliorer. Vous pouvez consulter le statut des serveurs sur le site warthunder.com.";"Il server è in manutenzione. Stiamo aggiornando e migliorando il gioco. Consulta lo stato dei server su warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está en mantenimiento. Estamos actualizando el juego y mejorándolo. Por favor, comprueba el estado del servidor en warthunder.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na warthunder.com/pl.";"Probíhá údržba serveru a vylepšení hry. Více informací nalezneš warthunder.com";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos atualizando o jogo e tornando-o melhor. Por favor, verifique o estado do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Ми оновлюємо гру та робимо її краще. Будь ласка, перевірте розклад роботи серверу на офіційному форумі warthunder.ru.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t方\t论\t坛\t上\t的\t时\t间\t表。";;
"charServer/updateError/75";"The server is under maintenance. We are updating the game and making it better. Please check the server status on warthunder.com.";"Les serveurs sont en maintenance. Nous mettons le jeu à jour afin de l'améliorer. Vous pouvez consulter le statut des serveurs sur le site warthunder.com.";"Il server è in manutenzione. Stiamo aggiornando e migliorando il gioco. Consulta lo stato dei server su warthunder.com.";"Die Server werden gerade gewartet, um Updates und Verbesserungen aufzuspielen. Besuche www.warthunder.de für weitere Infos.";"El servidor está en mantenimiento. Estamos actualizando el juego y mejorándolo. Por favor, comprueba el estado del servidor en warthunder.com.";"Сервер находится на обслуживании. В настоящий момент мы обновляем игру и делаем ее лучше. Проверьте состояние сервера на официальном сайте warthunder.ru.";"Serwer jest w trakcie prac konserwacyjnych. Aktualizujemy grę w celu jej usprawnienia. Sprawdź status serwera na warthunder.com/pl.";"Probíhá údržba serveru a vylepšení hry. Více informací nalezneš warthunder.com";"Sunucu bakımda. Oyunu güncelliyor ve daha iyi hale getiriyoruz. Lütfen warthunder.com üzerinde sunucu durumunu kontrol edin.";"游\t戏\t版\t本\t升\t级，\t服\t务\t器\t维\t护\t中。\t请\t查\t看\t官\t网\t上\t的\t时\t间\t表。";"サーバーは\tメンテナンス\t中です。\t公式\tフォーラム\t上の\tサーバーの\tスケジュールを\t参照してください。";"O servidor está em manutenção. Estamos atualizando o jogo e tornando-o melhor. Por favor, verifique o estado do servidor em warthunder.com.";"Сервер знаходиться на обслуговуванні. Ми оновлюємо гру та робимо її краще. Будь ласка, перевірте розклад роботи серверу на офіційному форумі warthunder.ru.";"Server je trenutno pod održavanjem. Ažuriramo igru i činimo je boljom. Proverite status servera na www.warthunder.com.";"A szerver jelenleg karbantartás alatt áll, mely során frissítjük és jobbá tesszük a játékot. A szerver állapotáról a warthunder.com weboldalon tájékozódhatsz.";"서버가 현재 점검 중입니다. 공식 포럼에서 서버 일정을 확인해 주시기 바랍니다.";"Праводзіцца тэхнічнае абслугоўванне сервера. Зараз мы абнаўляем і паляпшаем гульню. Праверце стан сервера на афіцыйным вэб-сайце warthunder.ru.";"Serverul este în întreținere. Actualizăm jocul și îl facem mai bun. Verificați starea serverului pe warthunder.com.";"遊\t戲\t版\t本\t升\t級，\t伺\t服\t器\t維\t護\t中。\t請\t查\t看\t官\t網\t上\t的\t時\t間\t表。";"服\t务\t器\t维\t护\t中。\t请\t查\t阅\t官\t网\t的\t时\t间\t安\t排。";;
"msgbox/btn_onlineShop";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft 商\t店";"Microsoft Store";"Microsoft Store is a MS term.";
"msgbox/btn_onlineShop_unlockEvent";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft Store";"Microsoft 商\t店";"Microsoft Store";"Microsoft Store is a MS term.";
"mainmenu/btnUnlockAchievement";"Challenges";"Défis";"Sfide";"Herausforderungen";"Desafíos";"Испытания";"Wyzwania";"Výzvy";"Görevler";"挑\t战";"チャレンジ";"Conquistas";"Досягнення";"Izazovi";"Kihívások";"도전과제";"Выпрабаванні";"Provocări";"挑\t戰";"挑\t战";;
"mainmenu/btnFavoritesUnlockAchievement";"Favourite Challenges";"Défis préférés";"Sfide Preferite";"Lieblings-Herausforderungen";"Desafíos Favoritos";"Избранные испытания";"Ulubione Wyzwania";"Oblíbené výzvy";"Favori Görevler";"中\t意\t挑\t战";"お\t気に\t入りの\tチャレンジ";"Conquistas favoritas";"Вибрані досягнення";"Favourite Challenges";"Kedvenc kihívások";"선호 도전과제";"Абраныя выпрабаванні";"Provocări favorite";"中\t意\t挑\t戰";"中\t意\t挑\t战";;
