<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<HChinese>;<TChinese>;<Japanese>;<Portuguese>;<Vietnamese>;<Ukrainian>;<Serbian>;<Korean>;<Hungarian>;<Belarusian>;<Romanian>;<Comments>
close;Close;Fermer;Chiudi;Schließen;Cerrar;Закрыть;Zamknij;Zavřít;Kapat;关闭;关闭;關閉;閉じる;Fechar;Đóng;Закрити;Zatvori;닫기;Bezárás;Закрыць;Închidere;
error/incorrectExit;It seems that the game was shut down incorrectly. It is recommended to perform file check. Would you like to do it now?;Il semblerait que le jeu ait été fermé de manière incorrecte. Il est recommandé de vérifier les fichiers. Voulez-vous le faire maintenant ?;Sembra che il gioco sia stato chiuso non correttamente. E' consigliato eseguire un controllo dei files. Vuoi effettuarlo ora?;Das Spiel wurde unerwartet beendet. Eine Überprüfung der Spieldateien wird empfohlen. Prüfung jetzt durchführen?;Parece que el juego fue cerrado incorrectamente. Se recomienda realizar verificación de archivos. ¿Te gustaría hacerlo ahora?;Кажется, игра была завершена некорректно. Рекомендуем выполнить проверку файлов. Сделать это сейчас?;Gra nie została poprawnie zamknięta. Zalecane jest sprawdzenie plików.;Zdá se, že byla hra nestandardně ukončena. Doporučujeme provést kontrolu souborů. Chcete tak nyní učinit?;Oyun yanlış bir biçimde kapatıldı. Dosya kontrolü yapılması önerilmektedir. Bunu şimdi yapmak ister misiniz?;游戏异常关闭。要检查文件的完整性吗？;游戏异常关闭。要检查文件的完整性吗？;遊戲異常關閉。要檢查檔案的完整性嗎？;It seems game was shut down incorrectly. It is recommended to perform files check. Would you like to do it now?;Parece que o jogo foi desligado incorretamente. É recomendado verificar os ficheiros. Deseja fazê-lo agora?;Có vẻ như trò chơi đã bị tắt không đúng. Chúng tôi đề nghị để thực hiện kiểm tra các tập tin. Bạn có muốn làm điều đó bây giờ?;Схоже гра некоректно завершила свою роботу. Рекомендовано провести перевірку файлів. Бажаєте здійснити це зараз?;Izgleda da se igra ugasila nepravilno. Preporučujemo da izvršite proveru fajlova. Da li želite da uradite to sada?;게임이 잘못 종료된 것 같습니다. 파일을 검사하십시오. 지금 실행하시겠습니까?;Úgy tűnik, a játék nem megfelelően került leállításra, ezért erősen ajánlott ellenőrizni a fájlok épségét. Szeretnéd ezt most megtenni?;Здаецца, гульня была завершана некарэктна. Рэкамендуем выканаць праверку файлаў. Ці хочаце зрабіць гэта зараз?;Se pare că jocul a fost închis incorect. Este recomandată executarea unei verificări. Dorești să o efectuezi acum?;
error/launcher_update;Couldn't update launcher;Impossible de mettre à jour le launcher;Impossibile aggiornare il launcher;Launcher konnte nicht aktualisiert werden;No se pudo actualizar el iniciador;ÐÐµ ÑƒÐ´Ð°Ð»Ð¾ÑÑŒ Ð¾Ð±Ð½Ð¾Ð²Ð¸Ñ‚ÑŒ Ð»Ð¾Ð½Ñ‡ÐµÑ€;Nie moÅ¼na zaktualizowaÄ‡ launchera;Launcher nemohl bÃ½t aktualizovÃ¡n.;BaÅŸlatÄ±cÄ± gÃ¼ncellenemedi;æ— æ³•æ›´æ–°å¯åŠ¨å™¨;æ— æ³•æ›´æ–°å¯åŠ¨å™¨;無法更新啟動器;ランチャーがアップデートできませんでした;NÃ£o foi possÃ­vel atualizar o inicializador;Couldn't update launcher;ÐÐµ Ð²Ð´Ð°Ð»Ð¾ÑÑ Ð¾Ð½Ð¾Ð²Ð¸Ñ‚Ð¸ Ð»Ð¾Ð½Ñ‡ÐµÑ€ ;NeuspeÅ¡no aÅ¾uriranje launchera;런처 업데이트에 실패했습니다;Nem sikerÃ¼lt az indÃ­tÃ³pult frissÃ­tÃ©se;ÐÐµ ÑžÐ´Ð°Ð»Ð¾ÑÑ Ð°Ð±Ð½Ð°Ð²Ñ–Ñ†ÑŒ Ð»Ð°ÑžÐ½Ñ‡Ð°Ñ€;Lansatorul nu s-a putut actualiza;
error/save_settings_exit;Couldn't save game settings. Exit launcher anyway?;Impossible d'enregistrer les paramètres de jeu. Quitter quand même le lanceur ?;Impossibile salvare le impostazioni di gioco. Uscire comunque dal launcher?;Einstellungen konnten nicht gespeichert werden. Launcher trotzdem beenden?;No se ha podido guardar la configuración del juego. ¿Quieres salir del iniciador de todas formas?;Не удалось сохранить игровые настройки. Всё равно выйти из приложения?;Nie udało się zapisać ustawień gry. Chcesz mimo to opuścić program uruchamiający?;Nastavení hry nebylo možné uložit. Přesto ukončit spouštěcí program?;Oyun ayarları kaydedilemedi. Yine de başlatıcıdan çıkılsın mı?;无法保存游戏设置。确定要退出启动器吗？;无法保存游戏设置。确定要退出启动器吗？;無法保存遊戲設定。確定要退出啟動器嗎？;ゲームの設定を保存できませんでした。それでも、ランチャーを終了しますか?;Não foi possível gravar as configurações do jogo. Sair do iniciador mesmo assim?;Không thể lưu cài đặt. Thoát launcher?;Не вдалося зберегти налаштування гри. Бажаєте все одно закрити лончер?;Podešavanja igre nisu sačuvana. Svejedno izaći iz pokretača igre?;게임 설정을 저장할 수 없습니다. 론처를 종료하시겠습니까?;Nem sikerült elmenteni a beállításokat. Biztosan kilépsz az indítópultból?;Не ўдалося захаваць налады гульні. Усё адно выйсці з лаўнчара?;Nu s-au putut salva setările jocului. Părăsești lansatorul?;
error/exit_confirm_while_download;Closing the window will stop the download. The download will continue next time you run the launcher. Are you sure you want to exit now?;La fermeture de cette fenêtre arrêtera le téléchargement. Le téléchargement reprendra la prochaine fois que vous relancerez le programme. Voulez vous vraiment quitter  ?;Chiudere la finestra interromperà il download. Il download continuerà la prossima volta che verrà avviato il launcher. Vuoi uscire ora?;Das Schließen dieses Fensters wird den Download unterbrechen. Er wird mit dem nächsten Start des Launchers fortgesetzt. Launcher wirklich beenden?;Cerrar la ventana detendrá la descarga. La descarga continuará la próxima vez que ejecute el iniciador. ¿De verdad quieres salir ahora?;Закрытие программы прервёт скачивание. Скачивание продолжится при следующем запуске приложения. Вы уверены, что хотите выйти?;Zamknięcie okna zatrzyma pobieranie. Będzie ono kontynuowane przy ponownym uruchomieniu. Chcesz kontynuować?;Zavření okna přeruší stahování. To bude pokračovat při dalším spuštění programu. Chcete nyní program zavřít?;Başlatıcıyı kapatmak indirme sonlandıracaktır. İndirme, başlatıcıyı tekrar çalıştırdığınızda devam edecektir. Gerçekten çıkmak istiyor musunuz?;关闭窗口将会停止下载，下次启动时会继续下载。确定要立即退出吗？;关闭窗口将会停止下载，下次启动时会继续下载。确定要立即退出吗？;Closing the window will stop the download. The download will continue next time you run the launcher. Do you really want to exit now?;Closing the window will stop the download. The download will continue next time you run the launcher. Do you really want to exit now?;Fechar a janela não pára o download. O download vai continuar a próxima vez que correr o inicializador. Deseja sair agora?;Bạn chắc chắn muốn dừng tải dữ liệu trò chơi? ;Закриття вікна зупинить завантаження. Воно продовжиться наступного разу, коли ви запустите лончер. Ви дійсно бажаєте вийти?;Zatvaranje prozora će stopirati skidanje. Ono će biti nastavljeno sledeći put kad pokrenete pokretač igre. Da li ste sigurni da želite da izađete sad?;창을 닫으면 다운로드가 중단됩니다. 론처를 다시 실행하면 다운로드가 계속됩니다. 지금 나가시겠습니까?;Az ablak bezárása leállítja a letöltést. A letöltés az indítópult következő futtatásakor fog folytatódni. Biztosan ki szeretnél lépni?;Закрыццё акна спыніць спампаванне, якое працягнецца пры наступным запуску лаўнчара. Ці сапраўды хочаце выйсці?;Închizând fereastra se va opri descărcarea. Aceasta va continua  la următoarea pornire a lansatorului. Sigur dorești s-o închizi acum?;
error/confirm_pause;If you pause download, you will have to wait longer. The download will automatically continue after 30 minutes. Are you sure you want to pause your download?;Si vous mettez le téléchargement en pause, il reprendra automatiquement après 30 minutes. Voulez vous mettre le téléchargement en pause  ?;Se metti in pausa il download dovrai aspettare più a lungo. Il download continuerà automaticamente dopo 30 minuti. Sei sicuro di voler mettere in pausa?;Das Pausieren des Downloads bedeutet zusätzliche Wartezeit. Er wird automatisch nach 30 Minuten fortgesetzt. Soll der Download wirklich pausiert werden?;Si detiene la descarga, tendrá que esperar más. La descarga continuará automáticamente después de 30 minutos. ¿Seguro que quieres detener tu descarga?;Если вы остановите загрузку, вам придётся ждать дольше. Загрузка возобновится автоматически через 30 минут. Вы уверены, что хотите приостановить загрузку?;Jeśli zatrzymasz pobieranie, będziesz mógł zaczekać dłużej. Pobieranie zostanie wznowione po 30 minutach. Czy chcesz przerwać?;Pokud nyní stahování pozastavíte, budete muset čekat déle. Stahování bude automaticky pokračovat po 30 minutách. Opravdu chcete pozastavit stahování?;If you pause download you will have to wait longer. The download will automatically continue after 30 minutes. Are you sure you want to pause your download?;暂停下载后将会暂时等待，并在 30 分钟后自动恢复。确定要暂停下载吗？;暂停下载后将会暂时等待，并在 30 分钟后自动恢复。确定要暂停下载吗？;If you pause download you will have to wait longer. The download will automatically continue after 30 minutes. Are you sure you want to pause your download?;If you pause download you will have to wait longer. The download will automatically continue after 30 minutes. Are you sure you want to pause your download?;Se parar o download vai ter de esperar mais tempo. O download vai continuar automaticamente após 30 minutos. Tem a certeza que quer parar o download?;If you pause download you will have to wait longer. The download will automatically continue after 30 minutes. Are you sure you want to pause your download?;Якщо ви призупинете завантаження, то вам доведеться довше чекати. Через 30 хв. воно автоматично продовжиться. Ви дійсно бажаєте призупинити завантаження?;Ako pauzirate skidanje, moraćete da čekate duže. Skidanje će automatski biti nastavljeno za 30 minuta. Da li ste sigurni da želite da pauzirate skidanje?;다운로드를 일시 정지하면 더 오래 기다려야 합니다. 다운로드가 30분 후 자동으로 계속됩니다. 다운로드를 일시 정지하시겠습니까?;Ha szünetelteted a letöltést, tovább kell majd várnod. A letöltés automatikusan folytatódni fog 30 perc múlva. Biztosan szüneteltetni szeretnéd a letöltést?;Калі вы прыпыніце спампаванне, вам давядзецца чакаць больш. Спампаванне адновіцца аўтаматычна праз 30 хвілін. Ці сапраўды хочаце прыпыніць спампаванне?;Dacă suspenzi descărcarea, va trebui să aștepți mai mult. Aceasta va continua automat după 30 de minute. Sigur dorești să suspenzi descărcarea?;
error/save_settings_run;Couldn't save game settings. Run the game anyway?;Impossible d'enregistrer les paramètres de jeu. Lancer le jeu quand même ?;Impossibile salvare le impostazioni di gioco. Eseguire comunque il gioco?;Einstellungen konnten nicht gespeichert werden. Spiel trotzdem starten?;No se ha podido guardar la configuración del juego. ¿Quieres ejecutar el juego de todas formas?;Не удалось сохранить игровые настройки. Всё равно запустить игру?;Nie udało się zapisać ustawień gry. Chcesz mimo to uruchomić grę?;Nastavení hry nebylo možné uložit. Přesto spustit hru?;Oyun ayarları kaydedilemedi. Yine de oyun çalıştırılsın mı?;无法保存游戏设置。确定要运行游戏吗？;无法保存游戏设置。确定要运行游戏吗？;無法保存遊戲設定。確定要執行遊戲嗎？;ゲームの設定を保存できませんでした。それでも、ゲームを実行しますか?;Não foi possível gravar as configurações do jogo. Correr o jogo mesmo assim?;Không thể lưu cài đặt. Khởi động trò chơi?;Не вдалося зберегти налаштування гри. Бажаєте все одно запустити гру?;Podešavanja igre nisu sačuvana. Svejedno pokrenuti igru?;게임 설정을 저장할 수 없습니다. 게임을 실행하시겠습니까?;Nem sikerült elmenteni a beállításokat. Biztosan elindítod így a játékot?;Не ўдалося захаваць налады гульні. Усё адно запусціць гульню?;Nu s-au putut salva setările jocului. Continui executarea jocului?;
error/noFileFound;File not found;Fichier introuvable;File non trovato;Datei nicht gefunden;Archivo no encontrado;Файл не найден;Nie odnaleziono pliku;Soubor nebyl nalezen;Dosya bulunamadı;找不到文件;找不到文件;未找到檔案;ファイルが見つかりません;Não foi possível encontrar o ficheiro;File not found;Файл не знайдено;Datoteka nije pronađena;파일을 찾을 수 없습니다;A fájl nem található;Файл не знойдзены;Fișierul nu a fost găsit;
settings/server;Server;Serveur;Server;Server;Servidor;Сервер;Serwer;Server;Sunucu;服务器;服务器;伺服器;サーバー;Servidor;Server;Сервер;Server;서버;Szerver;Сервер;Server;
setting/off;off;Désactivé;Disattivato;Aus;Off;нет;Brak;vypnuto;kapalı;关;关;關;オフ;off;tắt;немає;Bez;끄기;ki;няма;oprit;
