"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"header";"War Thunder (Settings)";"War Thunder (Paramètres)";"War Thunder (Impostazioni)";"War Thunder (Einstellungen)";"War Thunder (Configuraciones)";"War Thunder (Настройки)";"War Thunder (Ustawienia)";"War Thunder (Nastavení)";"War Thunder (Ayarlar)";"WarThunder（设置）";"WarThunder（設定）";"War Thunder (設定)";"War Thunder (Configurações)";"War Thunder (Cài đặt)";"War Thunder (Налаштування)";"War Thunder (Podešavanja)";"워 썬더 (설정)";"War Thunder (Beállítások)";"War Thunder (Налады)";"War Thunder (Setări)";
"settings/ultralow";"min";"Minimum";"min";"Minimal";"mín.";"минимум";"Minimalne";"minimální";"min";"最低";"最低";"最小";"nim";"thấp nhất";"мінімум";"minimum";"최소";"minimum";"найніжэйшыя";"min";
"settings/low";"low";"Bas";"basso";"Niedrig";"bajo";"низкие";"Niskie";"nízké";"düşük";"低";"低";"低";"baixo";"thấp";"низькі";"niska";"낮음";"alacsony";"нізкія";"mică";
"settings/medium";"medium";"Moyen";"medio";"Mittel";"medio";"средние";"Średnie";"střední";"orta";"中";"中";"中";"médio";"bình thường";"середні";"srednja";"중간";"közepes";"сярэднія";"medie";
"settings/high";"high";"Haut";"alto";"Hoch";"alto";"высокие";"Wysokie";"vysoké";"yüksek";"高";"高";"高";"alto";"cao";"високі";"visoka";"높음";"magas";"высокія";"mare";
"settings/max";"max";"Maximum";"max";"Maximal";"máx.";"максимальные";"Maksymalne";"maximální";"en yüksek";"最高";"最高";"最大";"máximo";"cao nhất";"максимальні";"maksimum";"최대";"maximum";"найвышэйшыя";"max";
"settings/movie";"movie";"Film";"film";"Film";"película";"кино";"Film";"film";"film";"电影";"電影";"動画";"filme";"phim ảnh";"кіно";"filmska";"영화";"filmszerű";"кіно";"film";
"settings/custom";"custom";"Personnalisé";"personalizzato";"Benutzerdefiniert";"personalizar";"пользовательские";"Użytkownika";"vlastní";"özel";"自定义";"自定義";"カスタム";"personalizado";"tùy chỉnh";"користувацькі";"podesiva";"사용자 지정";"egyéni";"карыстальніцкія";"personal";
"setting/ultralow";"min";"Minimum";"min";"Minimal";"mín.";"минимум";"Minimalne";"minimální";"min";"最低";"最低";"最小";"nim";"thấp nhất";"мінімум";"minimum";"최소";"minimum";"найніжэйшыя";"min";
"setting/low";"low";"Bas";"basso";"Niedrig";"bajo";"низкое";"Niskie";"nízké";"düşük";"低";"低";"低";"baixo";"thấp";"низька";"niska";"낮음";"alacsony";"нізкая";"mică";
