"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"___p7";"sample";"sample";"esempio";"Beispiel";"muestra";"пример";"próbka";"vzorek";"örnek";"试\t样";"サンプル";"sample";"sample";"зразок";"primer";"minta";"맛보기";"прыклад";"sample";"sample";"sample";;
"decals/category/worldwar";"World War";"World War";"World War";"World War";"World War";"Мировая война";"World War";"World War";"World War";"世\t界\t大\t战";"World War";"World War";"World War";"World War";"World War";"World War";"World War";"World War";"World War";"World War";"World War";;
"decals/category/thunderLeague";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Liga Thunder";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder Liga";"썬더 리그";"Ліга Грому";"Thunder League";"Thunder League";"Thunder League";;
"decals/category/thunder_league";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Liga Thunder";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder Liga";"썬더 리그";"Ліга Грому";"Thunder League";"Thunder League";"Thunder League";;
"unlocks/group/thunderLeague";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Liga Thunder";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder Liga";"썬더 리그";"Ліга Грому";"Thunder League";"Thunder League";"Thunder League";;
"unlocks/group/thunder_league";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Liga Thunder";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder Liga";"썬더 리그";"Ліга Грому";"Thunder League";"Thunder League";"Thunder League";;
"decals/category/weekly";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Nuove settimanali ▩";"Aktuelle Woche ▩";"Week’s latest ▩ Until 23.07.20";"Новинки недели ▩ До 23.07.20";"Week’s latest ▩";"Časově omezená nabídka";"Haftanın en yenileri ▩";"双\t周\t特\t供\t \t▩";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Новинки тижня ▩";"Najnoviji nedeljni ▩";"Kétheti ajánlat ▩";"Week’s latest ▩ Until 23.07.20";"Навінкі тыдня ▩";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Week\t’\ts latest \t▩\t Until 23.07.20";"ONLY «Week’s latest ▩» is to be translated";
"unlocks/group/weekly";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Nuove settimanali ▩";"Aktuelle Woche ▩";"Week’s latest ▩ Until 23.07.20";"Новинки недели ▩ До 23.07.20";"Aktualnie do zdobycia ▩";"Časově omezená nabídka";"Haftanın en yenileri ▩";"双\t周\t特\t供\t \t▩";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Новинки тижня ▩";"Najnoviji nedeljni ▩";"Kétheti ajánlat ▩";"Week’s latest ▩ Until 23.07.20";"Навінкі тыдня ▩";"Week’s latest ▩ Until 23.07.20";"Week’s latest ▩ Until 23.07.20";"Week\t’\ts latest \t▩\t Until 23.07.20";"ONLY «Week’s latest ▩» is to be translated";
"decals/thunder_league_skull";"Thunder League Decal";"Thunder League Decal";"Decalcomania Thunder League";"Abzeichen der Thunder League";"Calcomanía de la liga Thunder";"Декаль Лиги Грома";"Oznaczenie Thunder League";"emblém Thunder ligy";"Thunder Ligi Çıkartması";"雷\t霆\t联\t赛\t贴\t花";"Thunder League デカール";"Thunder League Decal";"Thunder League Decal";"Декаль Ліги Грома";"Thunder Liga nalepnica";"Thunder Liga matrica";"Thunder League Decal";"Дэкаль Лігі Грому";"Thunder League Decal";"Thunder League Decal";"Thunder League Decal";;
"decals/thunder_league_skull/desc";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";"www.warthunder.pro";;
"decals/monkey_santa";"Happy Holidays!";"Happy Holidays!";"Buone Feste!";"Frohe Feiertage!";"¡Felices vacaciones!";"Новый год 2016";"Wesołych Świąt!";"kresba Vánoční opice";"İyi Bayramlar!";"节\t日\t快\t乐\t！";"ハッピーホリデー！";"Happy Holidays!";"Happy Holidays!";"Веселих свят!";"Srećni praznici!";"Kellemes ünnepeket!";"즐거운 휴일 되세요!";"Новы год 2016";"Happy Holidays!";"Happy Holidays!";"Happy Holidays!";;
"decals/monkey_santa/desc";;;;;;;;;;;;;;;;;;;;;;;
"decals/mustache";"Mustache";"Mustache";"Baffi";"Schnurrbart";"Bigote";"Усы";"Wąsy";"Knírek";"Bıyık";"小\t胡\t子";"口ひげ";"Mustache";"Mustache";"Вуса";"Brkovi";"Bajusz";"콧수염";"Вусы";"Mustache";"Mustache";"Mustache";;
"decals/mustache/desc";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Baffi per i membri della Thunder League";"Einzigartiger Schnurrbart für Mitglieder der Thunder League";"Bigote original para los miembros de la liga Thunder";"Уникальные усы для членов Лиги Грома";"Unikalne wąsy dla członków Thunder League";"Unikátní knír pro členy Thunder ligy";"Thunder Ligi üyeleri için özgün bıyık";"雷\t霆\t联\t赛\t参\t与\t者\t专\t属\t胡\t子";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Унікальні вуса для членів Ліги Грома";"Jedinstveni brkovi za članove Thunder lige";"Egyedi bajusz a Thunder Liga tagok részére.";"Unique mustache for the Thunder League members";"Унікальныя вусы для членаў Лігі Грому";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";;
"decals/mustache_r";"Right mustache";"Right mustache";"Baffo destro";"Rechter Schnurrbart";"Bigote derecho";"Правый ус";"Prawy wąs";"Pravý knír";"Sağ bıyık";"小\t胡\t子\t（\t右\t）";"Right mustache";"Right mustache";"Right mustache";"Правий вус";"Desni brk";"Jobb oldali bajusz";"오른쪽 콧수염";"Правы вус";"Right mustache";"Right mustache";"Right mustache";;
"decals/mustache_r/desc";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Baffi per i membri della Thunder League";"Einzigartiger Schnurrbart für Mitglieder der Thunder League";"Bigote original para los miembros de la liga Thunder";"Уникальные усы для членов Лиги Грома";"Unikalne wąsy dla członków Thunder League";"Unikátní knír pro členy Thunder ligy";"Thunder Ligi üyeleri için özgün bıyık";"雷\t霆\t联\t赛\t参\t与\t者\t专\t属\t胡\t子";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Унікальні вуса для членів Ліги Грома";"Jedinstveni brkovi za članove Thunder lige";"Egyedi bajusz a Thunder Liga tagok részére.";"Unique mustache for the Thunder League members";"Унікальныя вусы для членаў Лігі Грому";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";;
"decals/mustache_l";"Left mustache";"Left mustache";"Baffo sinistro";"Linker Schnurrbart";"Bigote izquierdo";"Левый ус";"Lewy wąs";"Levý knír";"Sol bıyık";"小\t胡\t子\t（\t左\t）";"Left mustache";"Left mustache";"Left mustache";"Лівий вус";"Levi brk";"Bal oldali bajusz";"왼쪽 콧수염";"Левы вус";"Left mustache";"Left mustache";"Left mustache";;
"decals/mustache_l/desc";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Baffi per i membri della Thunder League";"Einzigartiger Schnurrbart für Mitglieder der Thunder League";"Bigote original para los miembros de la liga Thunder";"Уникальные усы для членов Лиги Грома";"Unikalne wąsy dla członków Thunder League";"Unikátní knír pro členy Thunder ligy";"Thunder Ligi üyeleri için özgün bıyık";"雷\t霆\t联\t赛\t参\t与\t者\t专\t属\t胡\t子";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Унікальні вуса для членів Ліги Грома";"Jedinstveni brkovi za članove Thunder lige";"Egyedi bajusz a Thunder Liga tagok részére.";"Unique mustache for the Thunder League members";"Унікальныя вусы для членаў Лігі Грому";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";"Unique mustache for the Thunder League members";;
"decals/valentines_day_16";"Heart and Arrow!";"Heart and Arrow!";"Cuore e Freccia!";"Herz und Pfeil!";"¡Flecha y corazón!";"Сердце со стрелой";"Serce i strzała!";"Srdce a šíp!";"Kalp ve Ok!";"一\t见\t钟\t情";"ハートアンドアロー！";"Heart and Arrow!";"Heart and Arrow!";"Серце зі стрілою!";"Srce i strela!";"Szív és nyíl!";"Heart and Arrow!";"Сэрца са стралой";"Heart and Arrow!";"Heart and Arrow!";"Heart and Arrow!";;
"decals/valentines_day_16/desc";;;;;;;;;;;;;;;;;;;;;;;
