"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"___p5";"sample";"exemple";"esempio";"Beispiel";"muestra";"пример1";"przykład";"vzorek";"örnek";"sample";"サンプル";"amostra";"зразок";"primer";"minta";"맛보기";"прыклад";"eșantion";"樣\t品";"sample";"Mẫu";;
"title/title_reconstructor";"Re-Enactor";"Re-enactor";"Ricostruttore";"Nachsteller";"Recreador";"Реконструктор";"Rekonstruktor";"Reenactor";"Yeniden canlandırıcı";"传\t奇\t演\t绎\t者";"再上演者";"Re-Enactor";"Реконструктор";"Re-enaktor";"Rekonstruáló";"재연 배우";"Рэканструктар";"Re-Enactor";"重\t新\t演\t繹";"Re-Enactor";"Người Tái Hiện";;
"title_reconstructor/desc";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Sera donné aux joueurs actifs qui ont organisé et soutenu des événements créés par les utilisateurs dédiés aux batailles historiques.";"Per tutti i giocatori che hanno organizzato e supportato attivamente gli eventi dedicati alle battaglie storiche.";"Wird an Spieler verliehen, die aktiv an der Organisation und Unterstützung von Spielern ins Leben gerufenen Ereignissen zur Nachstellung historischer Schlachten teilgenommen haben.";"Se otorgará a los jugadores activos que hayan organizado y apoyado eventos creados por los usuarios y dedicados a las batallas histróricas.";"Выдаётся активным игрокам, организующим и поддерживающим пользовательские события, посвящённые историческим битвам.";"Nadawany aktywnym graczom, którzy organizowali i wspierali tworzenie wydarzeń poświęconych bitwom historycznym.";"organizace a podpora historických eventů";"Kullanıcı tarafından üretilmiş tarihsel savaşlara adanmış etkinlikleri organize eden ve destekleyen aktif oyunculara verilecektir.";"赠\t与\t那\t些\t积\t极\t地\t组\t织、\t支\t援\t了\t历\t史\t战\t役\t再\t现\t活\t动\t（玩\t家\t志\t愿\t参\t与）\t的\t玩\t家。";"ヒストリカルバトルに\t特化した\tユーザー\t作成の\tイベントを\t企画した\tユーザーに\t与えられます。";"Será dado a jogadores ativos que organizaram e apoiaram eventos criados por usuários dedicados às batalhas históricas.";"Видається активним гравцям, які організовують та підтримують користувацькі заходи, присвячені історичним битвам.";"Biće dodeljen aktivnim igračima koji su organizovali i podržali događaje korisnika posvećene istorijskim bitkama.";"A felhasználók által rendezett történelmi csaták szervezésében és támogatásában részt vevő játékosok részére.";"유저가 제작한 역사적 전투 이벤트를 기획하고 지원한 유저에게 주어집니다";"Даецца актыўным гульцам, якія арганізоўваюць і падтрымліваюць карыстальніцкія падзеі, прысвечаныя гістарычным бітвам.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"將\t會\t給\t予\t積\t極\t組\t織、\t參\t與\t歷\t史\t戰\t役\t活\t動\t中\t的\t活\t躍\t玩\t家";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Sẽ được trao cho những người chơi tích cực đã tổ chức và hỗ trợ các sự kiện do người dùng tạo ra dành cho các trận đánh lịch sử.";;
"title/title_2v2_master";"2v2 Master-Duelist";"Maître duelliste 2v2";"Maestro Duellante 2v2";"2v2-Duellmeister";"Maestro Duelista 2v2";"Мастер-дуэлянт 2v2";"Mistrz pojedynków 2 na 2";"Mistr duelant 2 vs. 2";"2v2 Usta-düellocu";"2v2 大\t师";"2v2 マスターデュエリスト";"Mestre-Duelista 2v2";"2v2 Майстер-дуелянт";"2 na 2 Majstor-duelist";"2v2 párbajmester";"2대2 마스터 듀얼리스트";"Майстар-дуэлянт 2v2";"2v2 Master-Duelist";"2v2 大\t師\t決\t鬥";"2v2 Master-Duelist";"Bậc Thầy Tay đôi 2v2";;
"title/title_vk_quiz_expert_16";"War Thunder Mastermind";"Cerveau de War Thunder";"Secchione di War Thunder";"War Thunder Mastermind";"Mente Maestra de War Thunder";"Знаток War Thunder";"Szara osobistość War Thunder";"War Thunder Mastermind";"War Thunder Dehası";"War Thunder 智\t多\t星";"Facebook\tアプリを\t使用して\t10個中\t7個の\t質問に\t正しく\t答えてください。";"War Thunder Mastermind";"Знавець War Thunder";"Odgovori tačno na 7 od 10 pitanja koristeći FB aplikaciju.";"War Thunder szakértő";"워 썬더 전문가";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder 智\t多\t星";"War Thunder Mastermind";"Chiến Lược Sư War Thunder";;
"title_vk_quiz_expert_16/desc";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Le titre est décerné aux participants du quiz FB. Plus d’informations sur notre page officielle http://www.facebook.com/WarThunder";"Titolo assegnato per la partecipazione al quiz di FB.
Più informazioni sulla nostra pagina ufficiale http://www.facebook.com/WarThunder";"Der Titel wird für die Teilnahme am Facebook-Quiz vergeben.
Weitere Informationen auf unserer offiziellen FB-Seite: http://www.facebook.com/WarThunder";"El título premia la participación en el concurso de FB.
Más información en nuestra página oficial http://www.facebook.com/WarThunder";"Титул выдаётся за участие в викторине в приложении ВКонтакте. 
Подробности в группе http://vk.com/warthunder";"Tytuł przyznawany jest za udział w Quizie FB.
Więcej informacji na naszej oficjalnej stronie http://www.facebook.com/WarThunder";"Titul je udělován za účast v FB kvízu. Další informace na naší oficiální stránce http://www.facebook.com/WarThunder";"Ünvan FB testine katılım için verilmiştir.
Daha fazla bilgi resmi web sayfamızdadır http://www.facebook.com/WarThunder";"参\t与 Facebook 问\t答\t挑\t战\t的\t奖\t励。
前\t往\t官\t方\t页\t面\t查\t看\t更\t多\t信\t息：\thttp://www.facebook.com/WarThunder";"Facebookの\tクイズに\t参加することによって\t称号が\t授与されます。\t
詳細については、\t公式\tFacebook\tページをご\t覧ください http://www.facebook.com/WarThunder";"O título é concedido pela participação no quiz do FB.
Mais informações em nossa página oficial http://www.facebook.com/WarThunder";"Титул видається за участь у вікторині FB.
Більше інформації на нашій офіційній сторінці http://www.facebook.com/WarThunder";"Titula je dodeljena za učestvovanje u fejsbuk kvizu.
Više informacija na našoj zvaničnoj stranici http://www.facebook.com/WarThunder";"Jutalom a Facebook-kvízben való részvételért.";"이 칭호는 페이스북 퀴즈에 참여한 보상으로 지급됩니다. 자세한 내용은 워썬더 공식 페이스북(http://www.facebook.com/WarThunder)을 참고하세요.";"Тытул даецца за ўдзел у віктарыне ў праграме ВКонтакте. 
Падрабязней чытайце ў суполцы http://vk.com/warthunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"參\t加 FB 活\t動\t可\t以\t獲\t得\t稱\t號
更\t多\t資\t訊\t請\t查\t看\t官\t方\tFB\t粉\t絲\t團 http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Danh hiệu được trao cho sự tham gia vào trò chơi trên Facebook. Thông tin chi tiết có trên trang chính thức của chúng tôi tại http://www.facebook.com/WarThunder";;
"title/title_guardian";"Royal Guard";"Garde Royale";"Guardia Reale";"Königliche Garde";"Guardia Real";"Гвардеец";"Królewski Strażnik";"Královská garda";"Kraliyet Muhafızı";"皇\t家\t卫\t队";"イギリス\t近衛兵";"Guarda Real";"Гвардієць";"Kraljevski Gardista";"Királyi gárda";"근위병";"Гвардзеец";"Royal Guard";"皇\t家\t衛\t隊";"Royal Guard";"Vệ binh Hoàng gia";;
"title/title_guardian/desc";"British ground forces tester.";"Testeur des forces terrestres britanniques.";"Collaudatore delle forze terrestri Britanniche.";"Verliehen an die Tester der britischen Landstreitkräfte.";"Probador de Fuerzas de Tierra Británicas.";"Участник тестирования наземной техники Великобритании.";"Tester Brytyjskich Wojsk Lądowych.";"Tester Britských pozemních sil";"İngiliz yer birimleri test edici.";"参\t与\t英\t国\t陆\t战\t测\t试。";"イギリス\t陸軍\tテスター。";"Testador das Forças Terrestres Britânicas.";"Учасник тестування наземної техніки Великобританії.";"Tester Britanskih kopnenih trupa.";"A brit szárazföldi erők tesztelője.";"영국 지상군 테스터.";"Удзельнік тэставання наземнай тэхнікі Вялікабрытаніі.";"British ground forces tester.";"參\t與\t英\t國\t陸\t軍 CBT";"British ground forces tester.";"Người chơi thử nghiệm Lục quân Anh";;
"title/title_russian_bias";"Master of Russian Bias";"Maître du Russian Bias";"Maestro della Supremazia Russa";"Meister des Russian Bias";"Maestro de la Parcialidad Rusa";"Master of Russian Bias";"Wzorzec Radzieckiej Doskonałości";"Mistr Russian Bias";"Rus Yanlısı Ustası";"苏\t维\t埃\t亲\t爹\t之\t力";"ロシアンバイアスマスター";"Mestre do Russian Bias";"Майтер Russian Bias";"Gospodar Ruskih Predrasuda";"Яussian Bias mestere";"소뽕 마스터";"Master of Яussian Bias";"Master of Russian Bias";"蘇\t維\t埃\t親\t爹\t之\t力";"Master of Russian Bias";"Bậc Thầy của Sự Thiên Vị Nga";;
"title_russian_bias/desc";;;;;;;;;;;;;;;;;;;;;;;
