"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"___p1";"sample";"exemple";"esempio";"Beispiel";"muestra";"пример1";"próbka";"vzorek";"örnek";"sample";"sample";"Amostra";"зразок";"primer";"minta";"맛보기";"sample";"sample";"樣品";"sample";;
"unlocks/chapter/thunder_league";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder League";"썬더 리그";"Thunder League";"Thunder League";"雷霆聯賽";"Thunder League";;
"unlocks/group/thunder_league_air";"Sky challenges";"Défis du ciel";"Sfide nel cielo";"Herausforderungen (Luft)";"Desafíos del cielo";"Воздушные вызовы";"Podniebne Wyzwania";"Vzdušné výzvy";"Hava meydan okumaları";"空\t中\t挑\t战";"Sky challenges";"Desafios aéreos";"Повітряні виклики";"Vazdušni izazovi";"Pilóta-kihívások";"항공기 도전과제";"Паветраныя іспыты";"Sky challenges";"空中挑戰";"Sky challenges";;
"unlocks/group/thunder_league_tank";"Tank challenges";"Défis des chars";"Sfide su corazzati";"Herausforderungen (Land)";"Desafíos de tanques";"Наземные вызовы";"Pancerne Wyzwania";"Pozemní výzvy";"Tank meydan okumaları";"地\t面\t挑\t战";"Tank challenges";"Desafios de tanque";"Наземні виклики";"Tenkovski izazovi";"Harckocsizó kihívások";"전차 도전과제";"Наземныя іспыты";"Tank challenges";"地面挑戰";"Tank challenges";;
"mainmenu/btnthunder_league";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder League";"썬더 리그";"Thunder League";"Thunder League";"雷霆聯賽";"Thunder League";;
"unlocks/group/test_closeByEnt_group";"Test group";"Groupe de test";"Gruppo Test";"Testgruppe";"Grupo de pruebas";"Тестовая группа";"Grupa testowa";"Test group";"Test grubu";"测\t试\t分\t组";"Test group";"Grupo de Teste";"Тестова група";"Test grupa";"Tesztcsoport";"테스트 그룹";"Тэставая група";"Test group";"測試分組";"Test group";;
"unlocks/chapter/test_closeByEnt_chapter";"Test chapter";"Phase de test";"Capitolo Test";"Testkapitel";"Capítulo de pruebas";"Тестовая глава";"Rozdział testowy";"Test chapter";"Test bölümü";"测\t试\t章\t节";"Test chapter";"Capítulo de teste";"Тестова глава";"Test poglavlje";"Tesztfejezet";"테스트 챕터";"Тэставы раздзел";"Test chapter";"測試章節";"Test chapter";;
"tl_tank/dislike/desc";"Dislike Team claim that total domination is achieved by destroying only enemy tanks. Think global, and sieze 10 capture points.";"La team Dislike précise que la domination totale est obtenue en ne détruisant que les chars ennemis. Pensez global et saisissez 10 points de capture.";"La squadra Dislike ha ottenuto il predominio distruggendo solo i carri nemici.
Pensa globale impadronisciti di 10 punti cattura.";"Team Dislike behauptet, dass die totale Vorherrschaft dadurch erreicht wird, dass nur feindliche Panzer zerstört werden. Denken Sie global und besetzen Sie 10 Eroberungspunkte.";"El equipo Dislike afirma que la dominación total se logra destruyendo solo los tanques enemigos. Piensa en el conjunto y toma 10 puntos de captura.";"Dislike знает, что доминирование достигается не только через уничтожение вражеских танков. Мысли глобально и захвати 10 ключевых зон на T-34-85.";"Dislike Team potwierdził, że całkowitą dominację można uzyskać jedynie poprzez zniszczenie czołgów przeciwnika. Myśl wszechstronnie i przejmij 10 punktów strategicznych.";"Dislike tým tvrdí, že úplné nadvlády je dosaženo pouze zničením nepřátelských tanků. Mysli globálně obsaď 10 obsazovacích bodů";"Dislike Takımı tam hâkimiyetin sadece düşman tanklarını yok ederek ulaşıldığını iddia ediyor. Küresel düşün, ve 10 ele geçirme bölgesi ele geçir.";"Dislike Team 认\t为\t击\t毁\t一\t辆\t敌\t方\t坦\t克\t就\t足\t以\t形\t成\t压\t倒\t性\t优\t势\t—\t—\t思\t维\t放\t活\t跃\t点，\t再\t占\t领 10 个\t战\t区\t什\t么\t的\t不\t就\t能\t赢\t了\t吗？";"Dislike Team claim that total domination is achieved by destroying only enemy tanks. Think global, and sieze 10 capture points.";"Dislike Team afirma que a dominação total é alcançada destruindo apenas tanques inimigos. Pense globalmente e obtenha 10 pontos de captura.";"Dislike знає, що домінування досягається не тільки через знищення ворожих танків. Мисли глобально і захопи 10 ключових зон на T-34-85.";"Dislike tim tvrdi da se totalna dominacija ostvaruje uništavanjem samo neprijateljskih tenkova. Misli globalno i zauzmi 10 strateških tački.";"A Dislike szerint a totális uralom kizárólag az ellenséges harckocsik megsemmisítésével érhető el. Gondolkodj nagyban, és foglalj el 10 zónát.";"Dislike Team claim that total domination is achieved by destroying only enemy tanks. Think global, and sieze 10 capture points.";"Dislike ведае, што дамінаванне дасягаецца не толькі знішчэннем варожых танкаў. Думайце глабальна і захапіце 10 ключавых зон на T-34-85.";"Dislike Team claim that total domination is achieved by destroying only enemy tanks. Think global, and sieze 10 capture points.";"Dislike Team 認為擊毀一輛敵方坦克就足以形成壓倒性優勢——思維放活躍點，再佔領 10 個戰區什麼的不就能贏了嗎？";"Dislike Team claim that total domination is achieved by destroying only enemy tanks. Think global, and sieze 10 capture points.";;
"tl_tank_dislike/name";"Dislike Team";"Dislike Team";"Squadra Dislike";"Team Dislike";"Equipo Dislike";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Takımı";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Team";"Tim Dislike";"Dislike";"싫어하는 팀";"Dislike Team";"Dislike Team";"Dislike Team";"Dislike Team";;
"tl_tank_cube/desc";"Fear is the worst danger to experience when in a tank. Go for it valiently; without any fear or doubt! Destroy 15 heavy tanks with your M41A1.";"La peur est le pire danger qu'un tankiste peut affronter. Soyez vaillant; sans peur et sans doute! Détruisez 15 chars lourds avec le M41A1.";"La paura è il peggior nemico quando si è alla guida di un carro armato. Vai avanti valorosamente; senza alcun dubbio o paura! Distruggi 15 carri pesanti sul tuo M41A1.";"Angst ist die schlimmste Gefahr, die man in einem Panzer erleben kann. Gehen Sie sie mutig an, ohne Angst und ohne Zweifel! Zerstören Sie 15 schwere Panzer mit ihrem M41A1.";"El miedo es el peor peligro que experimentar en un carro. Avanza con valor; ¡sin miedo ni duda!. Destruye 15 carros pesados con tu M41A1.";"Страх — основная опасность в танке. Иди на Голиафа без страха и сомнений: уничтожь 15 тяжелых танков.";"Strach jest największym zagrożeniem dla czołgisty. Pozbądź się go raz na zawsze! Zniszcz 15 czołgów ciężkich, prowadząc M41A1.";"Největším nepřítelem tankisty je strach, proto se do toho vrhni bez strachu a pochybností. S M41A1 znič 15 těžkých tanků.";"Korku bir tankta iken tecrübe edilebilecek en kötü tehlikedir. Cesaretle göreyim seni; korkusuz ve şüphesiz! M41A1'in ile 15 ağır tank yok et.";"当\t身\t处\t坦\t克\t之\t中\t时，\t内\t心\t的\t恐\t惧\t才\t是\t最\t危\t险\t的！\t勇\t敢\t克\t服\t恐\t惧\t吧！\t什\t么\t都\t不\t要\t想，\t驾\t驶\t您\t的 M41A1 击\t毁 15 辆\t敌\t方\t重\t型\t坦\t克。";"Fear is the worst danger to experience when in a tank. Go for it valiently; without any fear or doubt! Destroy 15 heavy tanks with your M41A1.";"O medo é o pior perigo a se experimentar quando em um tanque. Vá em frente com coragem; sem medo ou dúvida! Destrua 15 tanques pesados com seu M41A1.";"Страх - основна небезпека в танку. Іди на Голіафа без страху і сумнівів: знищ 15 важких танків.";"Strah je najgori protivnik iskustvu u tenku. Krenite viteški, bez straha i sumnji! Uništite 15 teških tenkova sa vašim M41A1.";"A félelem a legnagyobb ellenség egy harckocsiban ülve. Törj bátran előre félelem és kétség nélkül! Semmisíts meg 15 nehéz harckocsit az M41A1 használatával.";"Fear is the worst danger to experience when in a tank. Go for it valiently; without any fear or doubt! Destroy 15 heavy tanks with your M41A1.";"Страх — галоўная небяспека ў танку. Рушце на Галіяфа без страху і сумненняў: знішчыце 15 цяжкіх танкаў.";"Fear is the worst danger to experience when in a tank. Go for it valiently; without any fear or doubt! Destroy 15 heavy tanks with your M41A1.";"當身處坦克之中時，內心的恐懼才是最危險的！勇敢克服恐懼吧！什麼都不要想，駕駛您的 M41A1 擊毀 15 輛敵方重型坦克。";"Fear is the worst danger to experience when in a tank. Go for it valiently; without any fear or doubt! Destroy 15 heavy tanks with your M41A1.";;
"tl_tank_cube/name";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";"CUBE";;
